Id,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic,MAUT
9711157,0.037204059,0.045949054,0.82159783,0.004651232,0.004909058,0.03144928,0.050037944,0.050037944,0.009649354,0.002969391,0.754309742,0.194842216
9701155,0.027057497,0.020548307,0.714981891,3.63E-05,5.30E-05,0.01829296,0.024614772,0.024614772,7.23E-05,0.00076479,0.63628109,0.194842216
9712116,0.018038331,0.010150711,0.700295303,2.47E-05,4.04E-05,0.014551302,0.012253284,0.012253284,3.96E-05,0.000190338,0.618205447,0
9510228,0.034949267,0.036902204,0.781147711,0.000514296,0.000508407,0.022808007,0.041333453,0.041333453,0.000820169,0.002104176,0.695749249,0
9701020,0.014656144,0.010748013,0.700022278,4.95E-06,6.38E-06,0.011553387,0.012849888,0.012849888,1.12E-05,0.000211275,0.615627428,0.194842216
9606184,0.02367531,0.01343934,0.709733281,6.94E-05,0.000113328,0.015821184,0.0153022,0.0153022,3.23E-05,0.000300472,0.616246337,0.292263367
9704067,0.03156708,0.043427888,0.782874999,0.000278647,0.000273843,0.021655245,0.045528276,0.045528276,0.000679693,0.002565987,0.701577825,0
9702059,0.019165727,0.014263512,0.692997611,1.68E-06,2.33E-06,0.013242497,0.017574377,0.017574377,3.49E-06,0.000395222,0.612445638,0.097421151
9709081,0.01578354,0.02799593,0.779476366,0.000222633,0.000218031,0.011985211,0.029908813,0.029908813,0.000418541,0.001082672,0.693179954,0.779369037
9811119,0.012401353,0.009001213,0.69623502,1.05E-05,1.83E-05,0.009802227,0.010510829,0.010510829,7.02E-06,0.000139932,0.61236712,0
9705076,0.01578354,0.029809272,0.783371076,0.000646517,0.000701253,0.010502488,0.031375177,0.031375177,0.000243479,0.0011836,0.695317398,0.876790102
9808073,0.009019166,0.018664976,0.778093047,0.000215662,0.00027184,0.008082525,0.020139306,0.020139306,0.000450548,0.000477574,0.689538345,0.097421151
9603158,0.028184893,0.019316667,0.771123268,0.001092817,0.001242741,0.021762794,0.021858049,0.021858049,0.001698896,0.000592353,0.680128459,0.097421151
9710105,0.030439684,0.011304732,0.700496958,0.000934926,0.001106527,0.024156967,0.012790308,0.012790308,0.002298172,0.000208829,0.619358076,0
9712010,0.013528749,0.009156217,0.70381155,0.000125203,0.000166115,0.013527798,0.010561622,0.010561622,0.001165796,0.000140548,0.623296053,0.097421151
9707212,0.03945885,0.03197281,0.790333061,0.002888036,0.003160758,0.018338972,0.027766862,0.027766862,0.002842139,0.000828324,0.710759598,0.194842216
9707047,0.030439684,0.027733773,0.794571642,0.001199747,0.001288854,0.014104614,0.024201288,0.024201288,0.001872587,0.000629039,0.707447457,1.363895772
9608077,0.006764374,0.003946658,0.685663369,3.95E-06,6.84E-06,0.006976448,0.004967791,0.004967791,8.82E-06,3.07E-05,0.603768334,0
9611020,0.012401353,0.007192539,0.679840614,1.55E-05,2.88E-05,0.00934073,0.008301074,0.008301074,9.50E-06,8.93E-05,0.586992006,0.292263367
9704043,0.054114994,0.057297835,0.754278398,0.000407995,0.000472168,0.029684068,0.045498568,0.045498568,0.000719467,0.002494937,0.686359634,0.097421151
9707027,0.057497182,0.056823529,0.747956836,0.000377786,0.000442245,0.023772006,0.03954232,0.03954232,0.000595698,0.001902689,0.678076718,0
9705004,0.036076663,0.038356152,0.729901856,4.28E-05,4.89E-05,0.011537791,0.019801877,0.019801877,5.82E-05,0.0004839,0.646980114,0.194842216
9705106,0.045095829,0.046415292,0.734258313,7.83E-05,8.95E-05,0.012050352,0.020388467,0.020388467,5.21E-05,0.000513267,0.646611642,0.097421151
9411149,0.210822999,0.129304501,0.84313857,0.043654123,0.047614605,0.169515371,0.12850448,0.12850448,0.06338516,0.019133866,0.784182726,0.097421151
9503086,0.054114994,0.051165462,0.794831257,0.001669846,0.001735281,0.034857702,0.05384301,0.05384301,0.00257461,0.003587951,0.719789978,0.48710567
9505004,0.049605411,0.050872157,0.792542458,0.001263979,0.001309161,0.032497137,0.053545,0.053545,0.00211365,0.003556256,0.717236335,0.097421151
9505051,0.033821871,0.038242192,0.784299859,0.000633111,0.000611061,0.021975325,0.041705241,0.041705241,0.001013136,0.002143647,0.702281155,0
9505067,0.022547914,0.032076281,0.788853207,0.000466469,0.000472707,0.01650348,0.036444861,0.036444861,0.000858856,0.001605,0.704950009,0.194842216
9505088,0.038331454,0.049742431,0.804326031,0.000850284,0.000908137,0.025516052,0.052142504,0.052142504,0.001482509,0.00329064,0.733829795,0.097421151
9506148,0.050732807,0.038039027,0.764463187,0.00049241,0.000671888,0.0320786,0.040659645,0.040659645,0.000841787,0.002070159,0.690479795,0.292263367
9507018,0.049605411,0.045750286,0.786664302,0.000909751,0.000889579,0.030972037,0.051544823,0.051544823,0.001342072,0.00331133,0.707801816,0.097421151
9605232,0.028184893,0.037867326,0.783094496,0.000362261,0.000328209,0.018772836,0.041252687,0.041252687,0.000615695,0.002100478,0.701776944,0
9609230,0.012401353,0.011605165,0.693188712,1.09E-06,1.57E-06,0.009615892,0.014019597,0.014019597,2.41E-06,0.000249233,0.612730973,0
9607200,0.016910936,0.012480194,0.715144618,2.08E-05,3.40E-05,0.013075876,0.014666422,0.014666422,5.92E-05,0.000272384,0.6358341,0.48710567
9512140,0.011273957,0.026330334,0.778125161,5.21E-05,3.76E-05,0.010566787,0.02856509,0.02856509,0.000186868,0.000984809,0.691176196,0.097421151
9607151,0.027057497,0.043262694,0.783444321,0.000182054,0.000164838,0.018876723,0.044438275,0.044438275,0.000421538,0.002417282,0.700159363,0.292263367
9611049,0.018038331,0.019937646,0.723647216,3.06E-05,3.82E-05,0.013735222,0.020756584,0.020756584,0.000129103,0.000532758,0.645217728,0.194842216
9611152,0.01578354,0.028659374,0.779017396,0.000102044,0.000105607,0.011841882,0.030704985,0.030704985,0.000202008,0.001141072,0.692274427,0.292263367
9701009,0.025930101,0.040581565,0.783672282,0.000142231,0.00012475,0.018759769,0.04230003,0.04230003,0.000375426,0.002202826,0.702670154,0.292263367
9608046,0.01578354,0.009160993,0.698576206,2.07E-05,2.73E-05,0.011727556,0.011056573,0.011056573,2.04E-05,0.000156135,0.614895616,1.071632405
9504113,0.029312289,0.050473225,0.81945516,0.001916408,0.002099676,0.021149709,0.055518946,0.055518946,0.003813285,0.003650612,0.744490158,0
9701012,0.014656144,0.024606432,0.782858745,0.000833161,0.000895182,0.011295984,0.025740137,0.025740137,0.000739252,0.000789223,0.69660551,0.097421151
9702014,0.084554679,0.077460357,0.783558285,0.00190919,0.002186842,0.052404479,0.061413616,0.061413616,0.003784761,0.004462731,0.719845574,0.097421151
9704104,0.08680947,0.104207458,0.852093738,0.006607506,0.006585919,0.044423068,0.085542819,0.085542819,0.010547133,0.008459051,0.794212462,1.071632405
9506196,0.022547914,0.014799266,0.715959366,6.29E-05,0.000100881,0.016071272,0.016305101,0.016305101,0.0001032,0.000338594,0.637343654,0.681947886
9507169,0.029312289,0.031788915,0.779895548,0.001393492,0.001407309,0.021481714,0.034888883,0.034888883,0.002717336,0.001493689,0.693647728,0.194842216
9707071,0.02367531,0.043692436,0.789960508,0.00022342,0.000230804,0.017580382,0.045689047,0.045689047,0.000759583,0.002550929,0.711787264,0
9506084,0.021420519,0.032388535,0.794144903,0.000844078,0.000953251,0.017603988,0.034221026,0.034221026,0.002094081,0.001407476,0.708868486,0.097421151
9803087,0.014656144,0.008387852,0.698602092,1.53E-05,3.24E-05,0.013446594,0.009979143,0.009979143,2.31E-05,0.000124853,0.616111881,0.097421151
9710024,0.009019166,0.00641773,0.697271458,0.000174134,0.000226076,0.009912586,0.007204942,0.007204942,0.000930915,6.47E-05,0.614108465,0.097421151
9804061,0.025930101,0.038577753,0.783664138,0.000606546,0.000625841,0.018943491,0.039165746,0.039165746,0.00107816,0.001869097,0.699355192,0.097421151
9803139,0.010146561,0.022085879,0.776946694,0.000264301,0.000264559,0.009843298,0.02414963,0.02414963,0.000410671,0.000700187,0.688792933,0
9808125,0.003382187,0.012905299,0.771328335,0.000147554,0.000180526,0.005984735,0.013780209,0.013780209,0.000344384,0.000223811,0.680511043,0
9812155,0.014656144,0.010855734,0.699723495,1.29E-05,1.86E-05,0.011762321,0.012766922,0.012766922,1.61E-05,0.000206928,0.615949199,0.389684519
9710149,0.037204059,0.019004084,0.792600767,0.009981091,0.010918042,0.025418117,0.020029171,0.020029171,0.01422899,0.000467398,0.714238268,0.48710567
9803086,0.029312289,0.041772649,0.834415836,0.004124326,0.004574356,0.023256062,0.045359243,0.045359243,0.007673775,0.002253792,0.774700908,0
9502013,0.01578354,0.033564056,0.799262337,0.000634583,0.000633616,0.014349024,0.035889395,0.035889395,0.001407813,0.001530707,0.716577397,0.48710567
9502057,0.029312289,0.038144914,0.817102241,0.00248616,0.002537136,0.028471645,0.040760986,0.040760986,0.005887439,0.001916748,0.738710335,0
108101,0.051860203,0.07883375,0.838712548,0.002187699,0.002163153,0.035533435,0.105832514,0.105832514,0.006293847,0.011746541,0.793230384,0
9612131,0.058624577,0.046485432,0.785885492,0.002439297,0.002934094,0.033957889,0.03285609,0.03285609,0.002704049,0.001251237,0.706305263,0
9705069,0.016910936,0.031890705,0.782566284,0.000122409,0.000122821,0.012471611,0.031940626,0.031940626,0.000144861,0.001237352,0.699351856,0
9708015,0.045095829,0.054277312,0.763549841,0.000410959,0.000404955,0.021132849,0.039158039,0.039158039,0.00078989,0.001816598,0.694800101,0.584526735
9703210,0.065388952,0.083448553,0.831462656,0.002715707,0.002604134,0.037079606,0.071794605,0.071794605,0.004453997,0.00599416,0.770442185,0.097421151
9701015,0.045095829,0.051864145,0.80143683,0.001643335,0.001814285,0.014637965,0.031139731,0.031139731,0.001876627,0.00102498,0.715359849,0.48710567
9607058,0.01578354,0.029091147,0.796493452,0.000675612,0.000697015,0.009629483,0.024939297,0.024939297,0.002077666,0.000718309,0.701866496,0.194842216
9505073,0.069898534,0.0555467,0.837297093,0.01083202,0.013034816,0.014353116,0.025466116,0.025466116,0.002156127,0.000705058,0.703079339,0.097421151
109053,0.029312289,0.032686694,0.774298211,0.000397707,0.000451819,0.010117882,0.021104197,0.021104197,0.000360332,0.000459986,0.682248454,0
109063,0.038331454,0.031881852,0.784895763,0.000878906,0.001037826,0.01288413,0.016403928,0.016403928,0.000825384,0.000280151,0.68044296,0.194842216
9703110,0.052987599,0.049962387,0.823472887,0.023477172,0.025003572,0.01208844,0.031260361,0.031260361,0.000874602,0.001154682,0.706631482,0
9702173,0.029312289,0.028089161,0.773535747,0.000794923,0.001034754,0.010384668,0.013856786,0.013856786,0.000493534,0.000208956,0.674747899,0.097421151
9503106,0.021420519,0.026726401,0.808005914,0.007450376,0.007795356,0.009527146,0.026074667,0.026074667,0.000997565,0.000798303,0.706257622,0.292263367
9512173,0.02367531,0.024974224,0.806347102,0.007047648,0.00748551,0.010263065,0.025127953,0.025127953,0.001149555,0.000750055,0.703877951,0.194842216
110028,0.080045096,0.098921351,0.825094641,0.005273983,0.005357114,0.020956793,0.040935687,0.040935687,0.002608176,0.001772158,0.732896128,0.876790102
9702180,0.048478016,0.051868133,0.770445745,0.000411909,0.000489018,0.007204502,0.012429892,0.012429892,9.34E-05,0.000175901,0.647322242,0.097421151
9607125,0.024802706,0.045525548,0.790523612,0.000213455,0.000207746,0.014218782,0.038907715,0.038907715,0.000480323,0.001829538,0.698386799,0.097421151
110055,0.161217587,0.193146031,0.961630176,0.166323136,0.174065174,0.065646085,0.197904016,0.197904016,0.182702046,0.039354112,0.937911911,0.194842216
9506077,0.034949267,0.049783078,0.832013063,0.00907288,0.010091329,0.014061219,0.036182133,0.036182133,0.000993468,0.001566911,0.707855188,0
9704198,0.045095829,0.059228007,0.787436436,0.000598978,0.000582533,0.012483565,0.03213734,0.03213734,0.000652181,0.001227012,0.703371174,0
9812072,0.040586246,0.082102361,0.905523535,0.013270168,0.011691697,0.024079103,0.088726356,0.088726356,0.020489917,0.00825916,0.847189428,0.194842216
9503186,0.018038331,0.013777409,0.72628862,6.93E-05,0.000151885,0.004748677,0.005347926,0.005347926,1.92E-06,3.51E-05,0.611328419,0.194842216
110115,0.041713641,0.056242402,0.84153908,0.002480702,0.002516292,0.016883703,0.041336514,0.041336514,0.001841279,0.001831016,0.756110362,0.194842216
110184,0.032694476,0.057932011,0.838255727,0.002279218,0.00215666,0.0150755,0.053450948,0.053450948,0.002833566,0.002940335,0.76755454,0
9511065,0.016910936,0.005411167,0.714602483,0.004012543,0.004766404,0.004468293,0.004513735,0.004513735,1.41E-06,2.47E-05,0.590441254,0
9507170,0.016910936,0.015696552,0.771107498,0.001750531,0.002151612,0.005574123,0.013164205,0.013164205,4.31E-05,0.000211277,0.654393427,0
9711069,0.058624577,0.049036846,0.822745175,0.00584731,0.006654493,0.021637379,0.032023379,0.032023379,0.005209553,0.001068007,0.721719836,0.292263367
111013,0.036076663,0.058238957,0.811763313,0.014760634,0.017145771,0.013134869,0.051584173,0.051584173,0.003459909,0.002622982,0.715567606,0.097421151
9804053,0.003382187,0.002748324,0.678378986,0.000872249,0.001026266,0.003252177,0.003080439,0.003080439,0,1.13E-05,0.58933122,0.097421151
9704061,0.03156708,0.034671011,0.726197698,3.02E-05,3.30E-05,0.010399089,0.0174164,0.0174164,4.78E-05,0.000375213,0.638692066,0.194842216
112082,0.009019166,0.008001746,0.702310551,0.000756777,0.000854301,0.007976024,0.00919375,0.00919375,2.52E-05,0.000104221,0.621150655,0.292263367
9508046,0.011273957,0.016942128,0.758763633,0.000471076,0.000514427,0.008074028,0.016790696,0.016790696,0.0002556,0.000314826,0.683188109,0.097421151
9508021,0.028184893,0.010113548,0.780816103,0.002516958,0.003338184,0.007456521,0.003608595,0.003608595,0.000776957,1.54E-05,0.610794614,0
9810223,0.00789177,0.009318966,0.720336231,0.001520155,0.0016975,0.006723363,0.010827976,0.010827976,9.00E-05,0.000133913,0.638974578,0
9602021,0.010146561,0.025171215,0.794094729,0.000119011,0.00015934,0.006354055,0.024023393,0.024023393,0.000101213,0.000685663,0.688968958,0
9511213,0.037204059,0.051830226,0.83008982,0.003144754,0.003103546,0.022019575,0.052029999,0.052029999,0.005276809,0.002970919,0.765606977,0
9810192,0.005636979,0.004038091,0.693118629,4.43E-06,1.26E-05,0.003252177,0.003080439,0.003080439,0,1.13E-05,0.58933122,0.097421151
9703197,0.018038331,0.011122531,0.705708404,3.11E-05,4.66E-05,0.004034653,0.004580139,0.004580139,1.44E-06,2.56E-05,0.594530367,0.097421151
9708127,0.057497182,0.065836447,0.799584367,0.000683128,0.00069893,0.015932025,0.036177337,0.036177337,0.000317866,0.001565699,0.715148671,0.097421151
9706121,0.010146561,0.028847271,0.785026493,5.68E-05,4.21E-05,0.008215201,0.028518811,0.028518811,0.000149823,0.000974366,0.697553375,0.097421151
9708082,0.04735062,0.05725673,0.765930651,0.000485145,0.000484256,0.015729442,0.031840971,0.031840971,0.000721078,0.001184782,0.690238082,0.48710567
9709096,0.062006764,0.070584495,0.801931134,0.001002556,0.001065634,0.017544971,0.038199368,0.038199368,0.000413304,0.001748435,0.716075495,0.194842216
9601011,0.018038331,0.025398099,0.793292798,0.002516357,0.002452093,0.008988623,0.022172332,0.022172332,0.000392139,0.000576423,0.695019747,0.194842216
9506137,0.016910936,0.01164532,0.775556378,0.001242975,0.001331521,0.00991014,0.011065186,0.011065186,0.000673775,0.000134862,0.670337785,0
205100,0.052987599,0.086290224,0.850997563,0.002868581,0.002815509,0.025968763,0.09774775,0.09774775,0.005746405,0.010000552,0.803789477,0.974211253
205155,0.033821871,0.045562889,0.793643443,0.001058399,0.00128033,0.011075341,0.033829908,0.033829908,0.00074771,0.001205764,0.713855171,0.097421151
206054,0.002254791,0.009865951,0.740603977,0.000409655,0.000492995,0.004063664,0.010862862,0.010862862,1.04E-05,0.000142145,0.651212664,0
207027,0.029312289,0.032077484,0.766958892,0.000636267,0.000771134,0.011469143,0.018248203,0.018248203,0.000952333,0.000333876,0.682406945,0
207151,0.003382187,0.005534586,0.698679761,9.36E-05,0.000129083,0.004727927,0.005682183,0.005682183,1.20E-05,3.91E-05,0.614256264,0
9709161,0.012401353,0.011536718,0.710884033,2.15E-05,2.98E-05,0.009285455,0.012595533,0.012595533,3.54E-05,0.000198521,0.630660356,0.584526735
207161,0.01578354,0.032048544,0.781317668,0.000218951,0.000234084,0.009266167,0.030103649,0.030103649,0.000344204,0.001090111,0.692614673,0
208022,0.00789177,0.024265162,0.779266944,0.001525197,0.001689774,0.007159099,0.025521428,0.025521428,0.000160131,0.00077748,0.69036638,0
9812002,0.002254791,0.004356641,0.69237408,2.87E-08,4.72E-08,0.003828259,0.004363991,0.004363991,0,2.33E-05,0.608836873,0
9902150,0.021420519,0.026856137,0.779613357,0.003907371,0.003631106,0.011093064,0.026556772,0.026556772,0.00147017,0.000850731,0.690450543,0
9909193,0.027057497,0.028826823,0.779919745,0.005174748,0.004967303,0.011752941,0.028037444,0.028037444,0.00149982,0.000951624,0.690928325,0.194842216
209230,0.111612176,0.099308296,0.879306927,0.051220825,0.056294347,0.033377536,0.062601462,0.062601462,0.016809401,0.003971753,0.797159124,0
210044,0.019165727,0.034226804,0.835599286,0.005800783,0.006474998,0.012563855,0.03395433,0.03395433,0.006801452,0.001294178,0.737591577,0.097421151
211170,0.073280722,0.113311168,0.858417758,0.007967786,0.008561383,0.010370405,0.028369209,0.028369209,0.004220954,0.000886088,0.737310091,0.097421151
210294,0.011273957,0.004610361,0.703227431,0.001083038,0.001291469,0.007168605,0.005097529,0.005097529,0.000336936,2.86E-05,0.625153893,1.461316923
211075,0.050732807,0.077493023,0.749890617,0.000212673,0.000237132,0.006180133,0.00749389,0.00749389,5.51E-05,6.53E-05,0.632436257,0.194842216
9703172,0.020293123,0.022228663,0.758313474,0.00059131,0.000691277,0.008614408,0.014035254,0.014035254,0.000686952,0.000231131,0.65079159,0.389684519
211141,0.016910936,0.039510678,0.809297933,0.001154299,0.001200774,0.009572349,0.051479959,0.051479959,0.002047859,0.002798857,0.736656285,0.292263367
211271,0.068771139,0.100775314,0.773234353,0.000707271,0.000742764,0.008445063,0.014112253,0.014112253,0.000323121,0.000220146,0.67678433,0.097421151
212025,0.04735062,0.072222865,0.746158489,0.000217299,0.000252017,0.004034653,0.004580139,0.004580139,1.44E-06,2.56E-05,0.594530367,0
212095,0.05524239,0.082644696,0.75146732,0.000330906,0.00039906,0.003252177,0.003080439,0.003080439,0,1.13E-05,0.58933122,0.097421151
303065,0.020293123,0.031997224,0.733558359,5.77E-05,7.37E-05,0.00602718,0.009491508,0.009491508,1.80E-05,0.000108262,0.637431923,0
9604021,0.009019166,0.011429837,0.744581906,0.004907396,0.005351583,0.004063664,0.010862862,0.010862862,1.04E-05,0.000142145,0.651212664,0.389684519
9511014,0.010146561,0.022263403,0.788449073,0.001013545,0.001131354,0.005569148,0.022257678,0.022257678,5.83E-05,0.000590662,0.686741706,0.097421151
304036,0.00789177,0.024542183,0.777804136,2.86E-05,2.06E-05,0.00703407,0.025236385,0.025236385,0.000119347,0.000766331,0.688660017,0.097421151
9707062,0.014656144,0.005801346,0.729781778,0.001595178,0.002070523,0.010208348,0.00426137,0.00426137,0.000940164,2.15E-05,0.634736297,0.097421151
304238,0.022547914,0.030227351,0.816270864,0.002418858,0.002533201,0.011091588,0.04019915,0.04019915,0.002095766,0.001699185,0.739177083,0.48710567
9503033,0.020293123,0.02486494,0.817111094,0.011538119,0.012021824,0.019409582,0.024724086,0.024724086,0.012937139,0.000720583,0.701080286,0
9503122,0.003382187,0.015184583,0.785083701,0.000290068,0.000202854,0.006210266,0.016277236,0.016277236,0.00058077,0.000305783,0.694747242,0.097421151
9512063,0.006764374,0.021586559,0.781228634,0.000141356,0.000138377,0.006609159,0.022895947,0.022895947,0.000129021,0.000619333,0.69165757,0
9606070,0.006764374,0.005664392,0.700418884,0.000809468,0.000915945,0.006219508,0.006479916,0.006479916,0.000138094,5.18E-05,0.613966225,0
9706210,0.045095829,0.028307784,0.833392273,0.039759394,0.044148256,0.020870768,0.026516977,0.026516977,0.017342562,0.000744662,0.733655395,0.584526735
9807188,0.016910936,0.029812987,0.826306101,0.005128197,0.005713153,0.009196779,0.029878076,0.029878076,0.003856253,0.001023128,0.728808812,0.584526735
9803107,0.012401353,0.004527618,0.69714254,0.001102376,0.001350218,0.007443972,0.004451345,0.004451345,0.000284147,2.37E-05,0.609127938,0.097421151
9512024,0.003382187,0.004929068,0.700282297,5.72E-06,9.41E-06,0.003871536,0.003855261,0.003855261,3.54E-07,1.78E-05,0.589952696,0.097421151
9703215,0.019165727,0.019027899,0.735239061,8.99E-05,0.000105952,0.007984951,0.011086806,0.011086806,5.56E-05,0.000149335,0.638844997,0.097421151
9804074,0.005636979,0.020635658,0.798019027,0.001030568,0.001239186,0.005613331,0.028523326,0.028523326,0.001060853,0.000855468,0.727577151,0.194842216
5076,0.027057497,0.039713025,0.782923765,0.000853946,0.000905359,0.012576028,0.035275569,0.035275569,0.000326254,0.001511444,0.693596153,0.097421151
6086,0.010146561,0.028850902,0.779822965,3.74E-05,2.40E-05,0.008479004,0.02889865,0.02889865,0.000119799,0.001004252,0.690868025,0.389684519
7191,0.158962796,0.172051025,0.867542507,0.014031522,0.015139678,0.100120382,0.206064761,0.206064761,0.029148958,0.044633893,0.834100213,0.097421151
9805142,0.005636979,0.004566745,0.702519912,1.84E-06,5.76E-06,0.003967367,0.004346,0.004346,1.10E-06,2.26E-05,0.623813864,0
9804097,0.009019166,0.006069159,0.713217005,0.000314009,0.000461284,0.003252177,0.003080439,0.003080439,0,1.13E-05,0.58933122,0.194842216
9804114,0.013528749,0.025648478,0.790540186,0.000510529,0.000568347,0.009889466,0.026406575,0.026406575,0.00068734,0.000825891,0.70911918,0.584526735
7240,0.03945885,0.036257029,0.806519577,0.010639368,0.011872936,0.020831523,0.036538826,0.036538826,0.007297511,0.0016241,0.701270424,0.876790102
8112,0.059751973,0.053108883,0.830300028,0.006880946,0.007308812,0.020505394,0.063647924,0.063647924,0.004572223,0.004265982,0.76913902,0.194842216
8157,0.002254791,0.003370301,0.692475804,1.80E-05,3.70E-05,0.003252177,0.003080439,0.003080439,0,1.13E-05,0.58933122,0
9706074,0.005636979,0.00562401,0.699496331,8.79E-06,1.28E-05,0.004034653,0.004580139,0.004580139,1.44E-06,2.56E-05,0.594530367,12.85958877
9707089,0.030439684,0.04305447,0.807296629,0.004165286,0.004563243,0.016701378,0.042229795,0.042229795,0.002309266,0.001874787,0.740619922,0.779369037
9707197,0.019165727,0.016504961,0.725701528,0.000134051,0.000186158,0.006590536,0.010065179,0.010065179,5.85E-05,0.000121206,0.624322266,0.194842216
9707226,0.006764374,0.015462465,0.77186518,0.001136282,0.001220757,0.006254162,0.016742742,0.016742742,6.99E-05,0.000335112,0.68122592,0
9708113,0.018038331,0.009946484,0.708952628,0.000109021,0.0001674,0.004924779,0.004779713,0.004779713,6.44E-06,2.79E-05,0.597102314,1.363895772
9803225,0.006764374,0.021511501,0.777315082,0.000142733,0.000135351,0.005748862,0.022637562,0.022637562,8.44E-05,0.000611559,0.687657753,0.097421151
9805107,0.011273957,0.036699595,0.811475057,0.000496272,0.000369105,0.009870874,0.038838662,0.038838662,0.000985749,0.001745753,0.730026359,0.097421151
9806076,0.002254791,0.003657565,0.693654166,1.95E-06,3.37E-06,0.003252177,0.003080439,0.003080439,0,1.13E-05,0.58933122,0.097421151
9806079,0.009019166,0.022639327,0.777210937,0.000268695,0.000310255,0.009576866,0.024745202,0.024745202,0.000719574,0.00073554,0.6885738,0
9806142,0.006764374,0.006270313,0.688053138,0.000132741,0.000171039,0.008460546,0.006879066,0.006879066,0.000192736,5.93E-05,0.598369555,0.389684519
9807224,0.00789177,0.003530445,0.696125763,0.000162361,0.000227559,0.008411363,0.003527719,0.003527719,0.000524674,1.47E-05,0.603242825,0
9807240,0.027057497,0.007995372,0.737691608,0.001320466,0.001660781,0.018789633,0.008646029,0.008646029,0.002720004,7.95E-05,0.668347284,0.194842216
