,Rank,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic,MAUT
160,161,6062,104099,8004,105048,9501040,9602051,11077,11077,11156,9806146,12198,9506196
161,162,105097,208217,209150,110026,9211021,9909011,9510169,9510169,11241,8119,106201,9701045
162,163,105059,212188,9705173,9504145,5031,9811015,9401139,9401139,9139,109176,8015,11166
163,164,9611042,112214,9706025,7018,7018,9809057,7255,7255,9807080,12183,9808141,9612120
164,165,9704104,12179,9504145,112032,9711002,9501071,8023,8023,7024,12081,205204,9806240
165,166,9612192,9303067,7064,9507060,9504145,9501144,103209,103209,9209055,9908134,9610082,9712135
166,167,11256,205085,9707205,9703099,9806087,110108,109213,109213,9411102,9501068,8250,207264
167,168,9211021,105129,11095,9207094,9411048,9206006,104232,104232,9504081,9510169,11095,9810203
168,169,9812135,211012,9610085,9804177,9511126,10108,10058,10058,9507046,7255,9912244,9706192
169,170,9702187,9002,9603126,207276,9804177,5247,9501068,9501068,9805019,8023,9710102,9710096
170,171,9708164,7204,9912244,9501040,9711138,9311015,212114,212114,207142,9401139,9710198,9712088
171,172,9504047,104090,7236,9411048,105048,9502072,6085,6085,7007,11193,103090,9708022
172,173,9305185,209241,110240,9303160,9504149,9511043,9807080,9807080,9803235,10058,9504006,9706152
173,174,9411187,9503099,9411149,9511053,9207094,9503163,11193,11193,9812072,103209,109213,9709006
174,175,9306069,9811237,112145,9708164,9705122,10060,107178,107178,9411057,9807080,9411048,9710125
175,176,9701125,9101,9911112,9711138,9304047,9603053,106201,106201,11283,106191,9706025,9812049
176,177,9702014,9090,9512059,9607234,207276,9405166,106281,106281,9603097,112223,9511053,9710146
177,178,9402032,6062,9806146,9306069,9403173,9504145,9806146,9806146,205202,106117,9511178,9603082
178,179,5204,10256,9204099,9504006,9607234,9404013,12217,12217,9306013,104232,9908004,9406189
179,180,9603087,8023,9601029,9805114,9803030,9606139,6202,6202,9903162,212114,9904207,9504149
180,181,9610082,106002,206071,9806087,9702027,110055,106117,106117,8231,6085,11060,105016
181,182,12179,212063,5073,9204102,9303160,9211102,111093,111093,9807069,107178,109092,207026
182,183,9601038,109176,9806087,9705122,9204102,9309075,112218,112218,9805028,106281,111182,9705068
183,184,9810126,10101,9611110,9803030,9301114,9207042,8076,8076,9303048,12217,112126,9710126
184,185,9708009,9512077,9705055,9911242,9201059,9504047,112226,112226,206173,106201,111238,103031
185,186,9705078,6112,9904011,9403173,9507060,9806026,10218,10218,106076,8076,10010,9712097
186,187,9411210,11238,9711138,9702027,9911242,110007,7024,7024,9703166,6202,9606139,9901062
187,188,9507090,8142,9806240,9207084,9511053,9506011,9141,9141,9203079,106014,9803086,9907061
188,189,11073,107098,9507158,9504149,9306069,9307111,109131,109131,9911116,10218,9904011,9712177
189,190,9142,4013,110115,9304047,110026,9507048,106014,106014,106112,111008,9808069,212021
190,191,6071,7235,9806159,9411176,9411176,9910093,104090,104090,9905229,105097,210249,109070
191,192,9206084,303057,9504081,111208,111208,9910004,103090,103090,9606139,109131,107177,9706100
192,193,112218,104200,12213,9711002,9212083,9806146,110019,110019,9704128,9141,9904017,209098
193,194,9506102,9402113,210183,9603097,9608068,5208,105097,105097,9506085,104090,106112,11077
194,195,9612157,11170,12210,9407190,9211072,9303160,105085,105085,9402144,7024,9711138,207017
195,196,7064,107087,110007,9301114,9505035,9512031,209153,209153,9810201,209153,110200,9712241
196,197,107143,211263,303185,9610242,8004,9312172,106191,106191,9612217,110019,9504145,9708015
197,198,5208,5015,111222,9811028,9207084,9912001,112223,112223,9309075,105085,12131,9709161
198,199,11156,106213,9907142,9912171,9407190,9301114,9603167,9603167,105286,9411048,6008,9706210
199,200,9912001,12024,9706155,9710198,9907123,9806074,9911041,9911041,9308154,103090,9912266,9807188
200,201,9205068,105257,9507063,9211040,9707120,9604044,103069,103069,106109,210157,9904019,9804114
201,202,111129,105245,9702167,9608068,9211040,105097,9511030,9511030,9202046,9911041,9904150,304271
202,203,9303143,208048,9708123,9212083,9603097,9810126,210157,210157,9302033,7064,9707079,9703163
203,204,110028,4106,9608039,9211072,9504006,9505162,12239,12239,107105,103069,11256,9711112
204,205,9606139,105098,6008,9807069,9708164,9505061,212188,212188,9301046,9603167,9909049,9905068
205,206,9803031,211127,103090,9512077,9605029,11172,9105,9105,9201059,9139,11146,9810170
206,207,9712251,105076,5040,9201059,9402044,208020,9805034,9805034,9411187,9105,6023,9705016
207,208,11089,104164,103171,9512059,9807069,6240,9139,9139,9806199,9511030,9103,205138
208,209,9908105,9611050,9903110,112044,9409113,11256,104095,104095,9612192,12239,11111,9703118
209,210,206063,104229,9804038,9510169,9205027,9805112,5159,5159,9504047,212188,9805096,211110
210,211,8075,7089,9604097,9205027,9610242,6062,5087,5087,207249,4063,9809022,9804034
211,212,7177,7217,104147,5280,103170,9503121,10034,10034,9301083,9805034,9603142,9707205
212,213,9301068,12222,4198,9511222,9407168,9601038,11057,11057,106127,104095,9703210,9712179
213,214,207130,8127,9511228,9204064,9510169,9905210,103256,103256,9601013,9805114,108172,9803058
214,215,9505162,105311,211146,9209003,5280,9506112,11244,11244,9603053,110123,103209,9806188
215,216,9712110,209232,9905160,9707209,9706132,9612128,4063,4063,8241,5159,5048,9702067
216,217,7090,103196,7125,209162,9912171,4158,7064,7064,9307010,103256,301094,9707224
217,218,12145,211180,9607184,8004,9408158,9605001,109070,109070,9305185,10034,9806240,9904086
218,219,9038,109131,106255,103170,9605046,9206078,12164,12164,110007,11244,8112,9705242
219,220,9304011,207119,108101,9707120,9511222,9912012,8030,8030,9607161,9601029,208020,9707225
220,221,9246,209068,9611222,9907123,9209003,9504147,12266,12266,8004,108101,8013,11094
221,222,9908134,6236,104037,6028,9710198,8013,10190,10190,103055,11057,106192,9612057
222,223,9504145,111034,110184,9206114,9512077,7146,109209,109209,205101,107057,8004,9903092
223,224,9806194,109187,103080,6219,9811028,9205064,111008,111008,107177,12266,9804184,9904172
224,225,9905210,6209,103209,3270,9206114,9505186,9908152,9908152,9908036,109209,9610085,9710123
225,226,9701025,6202,9912280,9605029,103239,9903225,9805114,9805114,9710248,10190,9709172,9904116
226,227,9512219,5085,9603074,5029,9512059,9805171,107057,107057,9307036,109070,7106,210157
227,228,9705055,11079,9602022,9505035,9707209,9309097,105227,105227,12164,112140,9904033,9604051
228,229,9711143,207132,9810240,9407168,9204064,9908134,108101,108101,103067,9411057,9411178,9805102
229,230,9708118,7255,3251,11095,12062,112218,7140,7140,12154,5087,11073,103123
230,231,9911022,112231,9602052,9409113,6028,9612121,9601029,9601029,5130,9911096,110184,9804115
231,232,8205,5114,9505073,303109,9809057,9611173,11033,11033,9411210,8030,9912280,9602153
232,233,111238,110136,9905155,9706132,9401006,9209055,6013,6013,9912171,10088,9304011,9709159
233,234,112045,205098,8226,103239,112044,9803031,301094,301094,9506064,9904017,9511043,9708109
234,235,303095,104133,9908148,9202014,111154,9406208,9911096,9911096,7044,9908152,12183,8149
235,236,9201056,4183,4151,111228,6219,9308139,210134,210134,9706210,7140,3263,9711059
236,237,8252,10204,103163,9612192,9807165,9711002,9909214,9909214,9307111,12164,3251,9706144
237,238,9207094,9404008,9807080,107163,9201026,9211097,9411048,9411048,9605001,8140,9511108,108010
238,239,9501071,11088,106113,9401006,3270,9408113,9412184,9412184,12251,9412184,6019,207281
239,240,9511043,103056,207208,9404173,9404173,9608071,11147,11147,107191,11033,11292,208033
240,241,9903225,9141,9901135,9807165,9902115,9403141,9909059,9909059,9512216,9909214,9512196,5162
241,242,9709172,9510169,9507113,210134,107163,4147,10088,10088,9511043,6013,107220,9711008
242,243,208020,10251,9805019,9809057,111228,4014,9904017,9904017,209230,105227,207145,10184
243,244,11125,208094,106014,12062,12023,9604166,110093,110093,9507060,11147,10060,303015
244,245,9912012,11282,9912184,8200,11095,9503157,105139,105139,9312172,301094,9602052,103223
245,246,7043,12009,12092,9604148,9308027,9310188,10181,10181,109162,9806087,9511164,106043
246,247,9503163,11140,107057,111154,9202014,9205069,5178,5178,9507048,106127,104147,206171
247,248,9604166,103067,9811093,9408158,9205088,9302074,9911161,9911161,9201007,107067,11190,9707186
248,249,8140,8144,12198,12023,303109,9602049,110123,110123,9908021,210134,104136,208145
249,250,112223,207106,11077,9605046,9707171,9605150,6119,6119,9209049,110093,8119,304143
250,251,9601177,9803131,4148,9709106,205202,9201021,11119,11119,9806146,9911161,9903205,9712092
251,252,107251,5272,9511164,9308027,9908056,9207095,104021,104021,9910030,10181,9309140,9807056
252,253,303172,106027,108075,105005,207105,9705221,112140,112140,9501075,9909059,9511213,112187
253,254,9204083,8204,9103,9201026,9709106,7024,9806087,9806087,9205089,105139,112040,9908164
254,255,211170,5087,210044,207105,109163,12072,112195,112195,9804058,112253,9411057,9608118
255,256,211245,6091,9912271,109163,111013,4111,9912272,9912272,9406208,5178,9911112,9803140
256,257,12156,303191,9904129,9908056,105005,12210,106127,106127,9410073,6119,9812135,9910216
257,258,106127,7018,9704041,9205088,9202011,9512219,9411057,9411057,209188,112195,9305185,9608147
258,259,103171,109032,6202,304120,304120,9307010,110293,110293,106234,104021,107261,9503086
259,260,205321,7024,6019,205202,5029,9411028,206063,206063,110108,205100,9507115,9607200
260,261,9306153,9907166,12183,9202011,9604148,8252,9803067,9803067,7146,11119,6140,9710149
261,262,7146,12093,9911253,9707171,9502091,9511164,209150,209150,12141,9504090,9506194,9502013
262,263,9512031,9411149,7130,9903162,9310113,9610193,10244,10244,5087,110293,9709107,9701015
263,264,9907166,110093,109092,9402044,210134,5067,9512062,9512062,9804057,9511222,104232,9708082
264,265,9502072,210157,110274,110242,8200,9601150,11223,11223,208020,110087,9805047,304238
265,266,9503121,11244,9512219,9502091,206173,7064,9511222,9511222,9405190,10244,9808149,9804007
266,267,9503179,110002,9912227,9603167,9804085,9403198,205100,205100,9504145,103078,206141,9511157
267,268,9202,7106,9803086,12111,12111,9506126,106180,106180,9903021,9803067,9806199,9905056
268,269,11197,11099,9905004,9211034,12024,5016,11233,11233,6132,11223,7130,9712206
269,270,10090,212114,9707099,206173,110242,9502025,8140,8140,108099,110234,9705167,9712048
270,271,207116,8001,9603167,12024,9203056,9201007,9140,9140,9204046,106180,110274,9701169
271,272,9603109,12217,9912266,111013,9203079,9209054,107184,107184,8001,9912272,108152,9701186
272,273,9812031,9501068,9411178,107248,9910226,9202092,6019,6019,8081,9512062,9705173,111165
273,274,9605150,7158,9912272,9902115,9301083,11089,107067,107067,9211097,11233,9704110,9611103
274,275,9506112,11057,9156,212117,9906033,9402077,9504090,9504090,11095,107184,12164,9612127
275,276,9603003,301049,106127,9805019,9603167,5204,12024,12024,9612148,9612192,9807127,207142
276,277,9510182,9411057,9206084,9902157,9902157,104136,12080,12080,9903205,210187,6062,211250
277,278,111165,10017,303033,9711006,9910157,9811035,103168,103168,5133,206063,302030,212114
278,279,4111,10244,9706210,9203079,212117,5006,106036,106036,303087,12024,12249,9808134
279,280,12234,8119,9208027,9310113,9903162,9809022,12234,12234,9707009,106036,9148,6091
280,281,11017,210134,9909059,108172,107248,9210127,9182,9182,9811035,9602052,9805171,7055
281,282,111182,9901159,9607067,9203056,9910013,5015,9911251,9911251,210070,110265,9612162,9803152
282,283,107138,9401139,9809022,9903205,9202057,9805168,7130,7130,9610157,209150,7043,103146
283,284,9805112,103209,9905064,9804085,9903233,12198,105257,105257,9909134,210252,9904129,9711029
284,285,9705221,106187,9903207,9910013,9302103,9606001,111077,111077,7064,12080,5129,9703211
285,286,9411102,9411048,3263,9202057,9711006,9702014,11170,11170,9808141,9140,205201,9903105
286,287,9511164,6119,6140,11241,9506035,9909205,207097,207097,9708147,111085,9605033,9708133
287,288,9912167,107075,9903029,9506035,9211034,9301037,6014,6014,7195,9703166,9912072,9611097
288,289,9505073,12266,4111,12266,9502122,9907166,9602052,9602052,9502096,105257,9505053,303115
289,290,210183,11117,8119,5133,11241,9204046,112253,112253,12128,6019,211146,9611012
290,291,9511053,9601029,9247,9910226,209162,9906182,9252,9252,9602043,111077,109081,9803143
291,292,5015,206255,9605154,208048,107067,9812135,6160,6160,9201021,11170,107143,9611051
292,293,106191,12164,205201,9302103,9209044,9607163,104133,104133,9712212,9911251,104169,9703194
293,294,106247,12183,9805047,105097,108172,9812013,10028,10028,9308139,9182,9903091,205202
294,295,9303160,9912167,9903091,9602070,9602070,9902121,8092,8092,9810006,207097,9811093,9607169
295,296,9401070,6085,110178,9906033,9902018,9805217,9612192,9612192,9503157,103168,9604156,9706023
296,297,11226,8057,9903021,9301083,9806146,5029,11226,11226,9301114,6014,110240,4167
297,298,106034,11223,9711108,9709172,9212009,107143,10105,10105,9307174,109057,110031,9702054
298,299,9805171,9912272,9912241,9502122,9910030,9808149,9811019,9811019,9205043,9252,9906200,6198
