,Unnamed: 0,Node Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-Centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-Centrality,Page-Rank,Percolation-Centrality,Rank-Prestige,scores
230,230,9701025,1.12e-18,0.0,0.0,0.101550461,0.102246313,0.0,0.0,0.056971421,0.0,0.0,0.0,0.0,0.0,0.093786085
241,241,9701037,0.091749197,0.046438627,0.053226761,0.074418688,0.054996129,5.03e-20,0.109238385,0.012820367,0.005527708,0.047254071,0.006231138,0.046438627,0.09486166,0.093786085
257,257,9701055,0.079138552,0.007346155,0.05955443,0.044961319,0.024012389,7.11e-19,0.002697822,0.007367408,0.012380302,0.006742222,0.004531737,0.007346155,0.116600791,0.083365542
265,265,9509170,0.00459926,0.021911368,0.026097875,0.019379932,0.006971333,4.1700000000000006e-21,0.00054933,0.000258102,0.00399027,0.022312938,0.011706987,0.021911368,0.063241107,0.031262826
271,271,9701069,1.12e-18,0.0,0.0,0.034108617,0.034856703,0.0,0.0,0.012179483,0.0,0.0,0.0,0.0,0.0,0.0
289,289,9701088,0.120996795,0.020691245,0.073873496,0.063565969,0.037180481,1.93e-18,0.042085658,0.019909017,0.013265224,0.019997685,0.01789092,0.020691245,0.128458498,0.104206628
293,293,9701093,1.12e-18,0.0,0.0,0.047286916,0.048024795,0.0,0.00036622,0.017970408,0.0,0.0,0.0,0.0,0.0,0.0
321,321,9701123,1.12e-18,0.0,0.0,0.033333424,0.03408211,0.0,0.011237727,0.008231637,0.0,0.0,0.0,0.0,0.0,0.0
323,323,9701125,1.12e-18,0.0,0.0,0.084496197,0.085205258,0.0,0.017242866,0.030033168,0.0,0.0,0.0,0.0,0.0,0.625234271
335,335,9701137,1.12e-18,0.0,0.0,0.032558231,0.033307518,0.0,0.039869009,0.015178578,0.0,0.0,0.0,0.0,0.0,0.041683369
337,337,9701139,0.092492756,0.002358904,0.009912896,0.044186126,0.036405888,1.01e-30,0.012683425,0.014579748,0.002073211,0.002432288,0.000991317,0.002358904,0.041501976,0.0
342,342,9701144,0.031633242,0.067946592,0.068851309,0.013953581,0.005422148,2.84e-18,0.025098288,0.002461451,0.005290313,0.06504794,0.010149203,0.067946592,0.049407115,0.020842283
347,347,9701149,1.12e-18,0.0,0.0,0.064341162,0.065065832,0.0,0.032312761,0.019796829,0.0,0.0,0.0,0.0,0.0,0.166730129
358,358,9701161,0.000781945,0.0,0.02587087,0.00542644,0.0,9.61e-26,0.005127082,4.45e-21,0.002308152,0.0,0.063398529,0.0,0.031620553,0.239673931
359,359,9701162,1.12e-18,0.0,0.0,0.04263574,0.043377222,0.0,0.0,0.00635174,0.0,0.0,0.0,0.0,0.0,0.187571216
361,361,9701165,1.12e-18,0.0,0.0,0.02403109,0.024786981,0.0,0.0,0.004410986,0.0,0.0,0.0,0.0,0.0,0.104206628
362,362,9701166,1.12e-18,0.0,0.0,0.056589232,0.057319906,0.0,0.002136284,0.016379576,0.0,0.0,0.0,0.0,0.0,0.125047956
380,380,9701186,0.17390748,0.021530079,0.08565986,0.029457459,0.003872963,1.3e-19,0.00036622,0.001422447,0.01033021,0.021549668,0.015058585,0.021530079,0.114624506,0.072944999
381,381,9701187,0.132337846,0.022724783,0.097652926,0.04263574,0.013168092,5.64e-18,0.000793477,0.007326425,0.022021285,0.020862725,0.012698305,0.022724783,0.138339921,0.052103912
442,442,9308075,1.12e-18,0.0,0.0,0.028682266,0.029434555,0.0,0.0,0.013767511,0.0,0.0,0.0,0.0,0.0,0.260515018
448,448,9308083,1.12e-18,0.0,0.0,0.044186126,0.044926407,0.0,0.001770064,0.007835455,0.0,0.0,0.0,0.0,0.0,0.093786085
474,474,9308122,1.12e-18,0.0,0.0,0.052713267,0.053446943,0.0,0.0,0.011786476,0.0,0.0,0.0,0.0,0.0,0.343879363
475,475,9308124,1.12e-18,0.0,0.0,0.030232652,0.03098374,0.0,0.0,0.007410164,0.0,0.0,0.0,0.0,0.0,0.010419333
487,487,9308139,1.12e-18,0.0,0.0,0.041085354,0.041828036,0.0,0.00626498,0.018206946,0.0,0.0,0.0,0.0,0.0,0.020842283
499,499,9308154,0.001521239,0.000683777,0.001587632,0.041085354,0.039504259,1.85e-37,0.001464881,0.006555995,0.000561018,0.000643691,0.000566467,0.000683777,0.013833992,0.864907006
517,517,9702006,0.094256398,0.007320735,0.059941019,0.027131862,0.019364833,9.77e-20,0.0,0.012728919,0.003566222,0.007251069,0.001274551,0.007320735,0.049407115,0.218832845
519,519,9702008,1.12e-18,0.0,0.0,0.041860547,0.042602629,0.0,0.00036622,0.010057193,0.0,0.0,0.0,0.0,0.0,0.177150672
523,523,9702012,0.069948562,0.024631224,0.083562959,0.020930318,0.007745926,2.27e-19,0.00073244,0.001640967,0.006720193,0.025009827,0.028417768,0.024631224,0.079051383,0.093786085
525,525,9702014,0.02466682,0.013650121,0.015991305,0.07751946,0.071262591,1.3e-30,0.065532084,0.02394757,0.002366831,0.014349484,0.001510579,0.013650121,0.039525692,0.093786085
526,526,9702015,0.059214586,0.026165528,0.06755484,0.051162881,0.041053444,2.17e-18,0.00109866,0.025237049,0.005283006,0.027522768,0.002124252,0.026165528,0.051383399,0.229253388
529,529,9702018,0.061489336,0.018886481,0.065928867,0.01627916,0.005422148,3.56e-20,0.008708628,0.002378991,0.006374365,0.018903664,0.033232738,0.018886481,0.053359684,0.020842283
548,548,9702038,0.059498929,0.008057893,0.047543462,0.033333424,0.020914018,1.18e-20,0.00036622,0.010248625,0.004015391,0.008217878,0.003304392,0.008057893,0.084980237,0.010419333
582,582,9702076,1.12e-18,0.0,0.0,0.050387688,0.051123166,0.0,0.00036622,0.062677906,0.0,0.0,0.0,0.0,0.0,0.041683369
599,599,9702093,1.12e-18,0.0,0.0,0.020155125,0.020914018,0.0,0.082586146,0.009191314,0.0,0.0,0.0,0.0,0.0,0.083365542
600,600,9702094,1.12e-18,0.0,0.0,0.032558231,0.033307518,0.0,0.0,0.010134417,0.0,0.0,0.0,0.0,0.0,0.052103912
605,605,9702099,1.12e-18,0.0,0.0,0.015503967,0.016266463,0.0,0.00073244,0.01037413,0.0,0.0,0.0,0.0,0.0,0.218832845
607,607,9702101,1.12e-18,0.0,0.0,0.033333424,0.03408211,0.0,0.003540128,0.01931897,0.0,0.0,0.0,0.0,0.0,0.104206628
609,609,9702103,1.12e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.00036622,0.014651737,0.0,0.0,0.0,0.0,0.0,0.0
637,637,9702133,1.12e-18,0.0,0.0,0.035659003,0.036405888,0.0,0.001464881,0.013262563,0.0,0.0,0.0,0.0,0.0,0.041683369
640,640,9702136,1.12e-18,0.0,0.0,0.036434196,0.037180481,0.0,0.077986004,0.022814766,0.0,0.0,0.0,0.0,0.0,0.510608296
657,657,9702154,0.027723516,0.023614456,0.03913624,0.038759775,0.029434555,2.13e-21,0.001281771,0.008252128,0.002970209,0.024195672,0.014161678,0.023614456,0.053359684,0.917009964
658,658,9702155,1.12e-18,0.0,0.0,0.027907073,0.028659962,0.0,0.070772415,0.012777241,0.0,0.0,0.0,0.0,0.0,0.239673931
664,664,9702163,1.12e-18,0.0,0.0,0.031783038,0.032532925,0.0,0.081686942,0.020178828,0.0,0.0,0.0,0.0,0.0,0.0
667,667,9702166,0.076462167,0.024224517,0.083890667,0.028682266,0.0123935,8.99e-19,0.001647991,0.007541194,0.008839569,0.024450095,0.011470959,0.024224517,0.075098814,0.010419333
669,669,9702168,0.059285672,0.020691245,0.104864278,0.018604739,0.005422148,3.13e-18,0.003644762,0.00169869,0.009049167,0.021422456,0.009724352,0.020691245,0.071146245,0.375141235
675,675,9702174,0.011515922,0.000627855,0.001778145,0.035659003,0.033307518,1.02e-38,0.003418055,0.005798016,0.000680024,0.000623338,0.000660878,0.000627855,0.015810277,0.156309586
680,680,9702180,0.060423047,0.032249873,0.07973271,0.048062109,0.037180481,1.02e-18,0.017594262,0.009517281,0.00427856,0.031721518,0.004201298,0.032249873,0.053359684,0.020842283
684,684,9702184,0.008601398,0.033253424,0.071477147,0.032558231,0.022463203,1.5e-18,0.030664134,0.00164509,0.003976685,0.033143237,0.046202475,0.033253424,0.04743083,0.343879363
687,687,9702187,1.12e-18,0.0,0.0,0.103100847,0.103795498,0.0,0.0,0.059558996,0.0,0.0,0.0,0.0,0.0,0.052103912
694,694,9702194,0.00318465,0.000564307,0.044259447,0.027907073,0.001549006,2.7e-19,0.001464881,2.02e-07,0.007964961,0.00056482,0.120752854,0.000564307,0.148221344,0.0
698,698,9702198,1.12e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.002746651,0.008715393,0.0,0.0,0.0,0.0,0.0,0.104206628
699,699,9702199,0.02239207,0.000287237,0.044651015,0.019379932,0.002323778,7.48e-20,0.0,6.72e-05,0.007621179,0.000290043,0.068295637,0.000287237,0.086956522,0.052103912
701,701,9702201,1.12e-18,0.0,0.0,0.03488381,0.035631296,0.0,0.0,0.013189668,0.0,0.0,0.0,0.0,0.0,0.052103912
702,702,9702202,1.12e-18,0.0,0.0,0.036434196,0.037180481,0.0,0.0,0.013265696,0.0,0.0,0.0,0.0,0.0,0.104206628
703,703,9702203,1.12e-18,0.0,0.0,0.026356669,0.027110759,0.0,0.0,0.016023965,0.0,0.0,0.0,0.0,0.0,0.020842283
724,724,9309023,1.12e-18,0.0,0.0,0.037209389,0.037955073,0.0,0.00036622,0.004564487,0.0,0.0,0.0,0.0,0.0,0.052103912
736,736,9309039,1.12e-18,0.0,0.0,0.049612495,0.050348573,0.0,0.001525917,0.012594425,0.0,0.0,0.0,0.0,0.0,0.395982321
750,750,9309055,1.12e-18,0.0,0.0,0.028682266,0.029434555,0.0,0.00036622,0.000166158,0.0,0.0,0.0,0.0,0.0,0.125047956
761,761,9309067,0.003163324,0.041210911,0.008915433,0.010077616,0.001549006,3.95e-34,0.0,7.01e-05,0.002429954,0.04136544,0.033279944,0.041210911,0.041501976,0.270935561
769,769,9309075,0.001627868,0.007930797,0.002469653,0.051938074,0.04957398,3.02e-36,0.00036622,0.005549562,0.000787129,0.008752167,0.000566467,0.007930797,0.015810277,0.573131555
783,783,9309097,1.12e-18,0.0,0.0,0.058139618,0.058869092,0.0,0.00036622,0.008547173,0.0,0.0,0.0,0.0,0.0,0.0
789,789,9309103,0.002495116,0.0,0.005976546,0.007752019,0.000774503,2.38e-25,0.00109866,5.77e-06,0.00221764,0.0,0.055891423,0.0,0.035573123,0.031262826
792,792,9309106,1.12e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.006530926,0.002902616,0.0,0.0,0.0,0.0,0.0,0.062524455
795,795,9309110,0.003682252,0.005160102,0.003600749,0.036434196,0.03098374,1.39e-37,0.00073244,0.002168716,0.001394051,0.005088469,0.004814971,0.005160102,0.031620553,0.291776647
808,808,9309125,8.25e-05,0.040642791,0.006916462,0.011628002,0.002323778,4.74e-33,0.002746651,0.000206976,0.003086338,0.039716013,0.029597907,0.040642791,0.053359684,0.437664494
822,822,9309140,1.12e-18,0.0,0.0,0.084496197,0.085205258,0.0,0.003704927,0.015441298,0.0,0.0,0.0,0.0,0.0,0.427243951
827,827,9309145,1.12e-18,0.0,0.0,0.081395425,0.082106888,0.0,0.00054933,0.031945142,0.0,0.0,0.0,0.0,0.0,0.020842283
891,891,3268,1.03e-18,0.0,0.017704306,0.000775103,0.0,3.1200000000000004e-21,0.00073244,4.45e-21,0.000617302,0.0,0.061570256,0.0,0.003952569,0.010419333
915,915,9703014,0.000895683,0.028763881,0.018316207,0.006201633,0.000774503,1.28e-20,0.00036622,0.000266348,0.001757157,0.028924387,0.027332039,0.028763881,0.033596838,0.010419333
917,917,9703016,0.15066309,0.018149323,0.086459728,0.021705511,0.00309837,3.38e-19,0.00073244,0.001175065,0.006284262,0.018674683,0.004106887,0.018149323,0.096837945,0.062524455
929,929,9703030,1.12e-18,0.0,0.0,0.178294639,0.178931053,0.0,0.024245822,0.096403622,0.0,0.0,0.0,0.0,0.0,0.0
930,930,9703031,1.12e-18,0.0,0.0,0.024806283,0.025561574,0.0,0.01178139,0.018626135,0.0,0.0,0.0,0.0,0.0,0.083365542
939,939,9703040,1.12e-18,0.0,0.0,0.041860547,0.042602629,0.0,0.031585894,0.049077337,0.0,0.0,0.0,0.0,0.0,0.020842283
950,950,9703051,0.027083742,0.003304499,0.069658619,0.03488381,0.029434555,8.79e-19,0.005645894,0.008956879,0.002024591,0.003332947,0.000991317,0.003304499,0.027667984,0.0
951,951,9703052,0.106300489,0.074880701,0.091938051,0.037209389,0.023237796,3.34e-19,0.086712041,0.01312106,0.006367051,0.0746682,0.002879541,0.074880701,0.07312253,0.010419333
958,958,9703059,1.12e-18,0.0,0.0,0.027907073,0.028659962,0.0,0.0,0.008366955,0.0,0.0,0.0,0.0,0.0,0.1354685
970,970,9703072,0.092042782,0.025885154,0.083760729,0.048837302,0.021688611,1.07e-18,0.001586954,0.005371818,0.012370374,0.026130054,0.014020061,0.025885154,0.136363636,0.020842283
976,976,9703078,1.12e-18,0.0,0.0,0.017054353,0.017815648,0.0,0.004272568,0.010900147,0.0,0.0,0.0,0.0,0.0,0.0
998,998,9703101,0.008459227,0.027389972,0.110454676,0.019379932,0.009295111,6.21e-18,0.003723238,0.002985076,0.011439165,0.026638646,0.033563177,0.027389972,0.055335968,0.218832845
999,999,9703102,1.12e-18,0.0,0.0,0.019379932,0.020139426,0.0,0.00073244,0.013612072,0.0,0.0,0.0,0.0,0.0,0.0
1006,1006,9703110,0.080639176,0.060941309,0.092585726,0.055038846,0.037180481,1.53e-18,0.0,0.012002481,0.007162468,0.059984658,0.005711877,0.060941309,0.100790514,0.0
1041,1041,9703146,0.151132968,0.008362923,0.08715799,0.038759775,0.004647556,1.23e-17,0.06512874,0.005856069,0.018828331,0.007378281,0.011376548,0.008362923,0.16798419,0.010419333
1060,1060,9703166,1.12e-18,0.0,0.0,0.212403167,0.213013163,0.0,0.00073244,0.097682546,0.0,0.0,0.0,0.0,0.0,0.031262826
1064,1064,9703170,1.33e-06,0.0,0.009089357,0.003876054,0.0,8.26e-21,0.007379336,4.45e-21,0.001545805,0.0,0.066125596,0.0,0.023715415,0.031262826
1102,1102,9703210,0.133163154,0.005490552,0.062567545,0.070542724,0.053446943,7.56e-19,0.008730863,0.02042151,0.004349293,0.005520989,0.002549102,0.005490552,0.092885375,0.020842283
1103,1103,9703211,0.154638215,0.019293188,0.0774168,0.028682266,0.004647556,2.38e-18,0.003295981,0.004928798,0.011665932,0.018547471,0.00878024,0.019293188,0.114624506,0.010419333
1108,1108,9703216,1.12e-18,0.0,0.0,0.020155125,0.020914018,0.0,0.0,0.019219646,0.0,0.0,0.0,0.0,0.0,0.0
1109,1109,9703217,1.12e-18,0.0,0.0,0.040310161,0.041053444,0.0,0.002380431,0.013377183,0.0,0.0,0.0,0.0,0.0,0.1354685
1110,1110,9703218,0.093402656,0.03590414,0.079596316,0.050387688,0.038729666,3.86e-19,0.00073244,0.022764383,0.004436983,0.035920523,0.002549102,0.03590414,0.063241107,0.218832845
1134,1134,9310026,0.003177541,0.022750202,0.00441471,0.014728774,0.008520519,3.57e-34,0.010620384,0.004767918,0.001683114,0.02320342,0.006278344,0.022750202,0.041501976,0.93785105
1197,1197,9310101,0.006575449,0.069519788,0.016376539,0.022480704,0.007745926,5.15e-21,0.001647991,0.000229653,0.005192837,0.06883427,0.016852397,0.069519788,0.081027668,0.125047956
1204,1204,9310112,0.000234584,0.001774262,0.000444485,0.059690004,0.059643684,2.57e-39,0.0,0.016982611,0.000170006,0.001852203,9.44e-05,0.001774262,0.001976285,0.010419333
1250,1250,9310159,0.002352945,0.024021163,0.010076165,0.02403109,0.010069722,4.5800000000000004e-33,0.001953174,0.000390039,0.004309843,0.023864921,0.023933236,0.024021163,0.083003953,0.020842283
1252,1252,4046,9.25e-19,0.0,0.008253141,0.003876054,0.0,3.84e-25,0.00036622,4.45e-21,0.001408103,0.0,0.057937786,0.0,0.0256917,0.114627171
1260,1260,9310170,0.000774837,0.032886879,0.007557126,0.051938074,0.046475592,3.17e-32,0.00793477,0.002477943,0.001881362,0.033699661,0.018362976,0.032886879,0.035573123,0.0
1275,1275,9310188,1.12e-18,0.0,0.0,0.026356669,0.027110759,0.0,0.022039425,2.51e-05,0.0,0.0,0.0,0.0,0.0,0.666916685
1280,1280,9310194,1.12e-18,0.0,0.0,0.021705511,0.022463203,0.0,0.00036622,0.017430002,0.0,0.0,0.0,0.0,0.0,0.0
1288,1288,9310202,0.000102364,0.000564307,0.001333609,0.027907073,0.027885352,1.12e-36,0.00054933,0.007815417,0.000239707,0.000460506,0.000283234,0.000564307,0.005928854,0.020842283
1318,1318,9704005,0.094082238,0.015785336,0.060653981,0.046511705,0.034856703,2.74e-18,0.00109866,0.025171245,0.004957662,0.017555219,0.001416168,0.015785336,0.057312253,0.072944999
1325,1325,9704013,0.028434375,0.025190447,0.091485959,0.032558231,0.006196741,3.27e-18,0.013346981,0.004124683,0.009968843,0.025340578,0.015152996,0.025190447,0.136363636,0.020842283
1330,1330,9704018,1.12e-18,0.0,0.0,0.037984582,0.038729666,0.0,0.0,0.030179329,0.0,0.0,0.0,0.0,0.0,0.041683369
1341,1341,9704029,1.12e-18,0.0,0.0,0.023255897,0.024012389,0.0,0.081676115,0.01251349,0.0,0.0,0.0,0.0,0.0,0.010419333
1352,1352,9704040,0.034405594,0.034526164,0.076059479,0.023255897,0.003872963,2.23e-19,0.019559353,0.000296446,0.00798963,0.033763521,0.028370562,0.034526164,0.102766798,0.010419333
1353,1353,9704041,0.179200539,0.011489488,0.086376241,0.050387688,0.03408211,7.6e-19,0.0,0.020134753,0.007080644,0.010304151,0.002454691,0.011489488,0.088932806,0.104206628
1354,1354,9704043,0.046205859,0.021657176,0.088265568,0.045736512,0.033307518,1.01e-17,0.0,0.009357266,0.0080402,0.021091706,0.008827446,0.021657176,0.059288538,0.031262826
1355,1355,9704044,1.12e-18,0.0,0.0,0.028682266,0.029434555,0.0,0.0,0.009908021,0.0,0.0,0.0,0.0,0.0,0.010419333
1362,1362,9704051,0.069024445,0.028414113,0.059639241,0.028682266,0.020139426,1.86e-19,0.003662202,0.003953989,0.003768539,0.02832471,0.008213773,0.028414113,0.045454545,0.052103912
1369,1369,9704059,1.12e-18,0.0,0.0,0.019379932,0.020139426,0.0,0.001831101,0.010100402,0.0,0.0,0.0,0.0,0.0,0.0
1389,1389,9704080,1.12e-18,0.0,0.0,0.134883796,0.135553831,0.0,0.00350961,0.075537608,0.0,0.0,0.0,0.0,0.0,0.177150672
1395,1395,9704086,0.086259231,0.023538198,0.07178608,0.013178388,0.000774503,3.21e-19,0.0,0.000585471,0.003900859,0.024144787,0.009205091,0.023538198,0.06916996,0.218832845
1398,1398,9704089,1.12e-18,0.0,0.0,0.057364425,0.058094499,0.0,0.00073244,0.038936983,0.0,0.0,0.0,0.0,0.0,0.0
1404,1404,9704095,0.088480666,0.062425283,0.121379151,0.037209389,0.004647556,2.11e-17,0.011245139,0.001550261,0.02265627,0.061587017,0.036206691,0.062425283,0.162055336,0.104206628
1407,1407,9704098,1.12e-18,0.0,0.0,0.032558231,0.033307518,0.0,0.080377621,0.011740339,0.0,0.0,0.0,0.0,0.0,0.072944999
1413,1413,9704104,0.183435128,0.041554833,0.089515526,0.082170618,0.04957398,1.9e-17,0.0,0.015266852,0.014414653,0.040750244,0.014114473,0.041554833,0.166007905,0.020842283
1417,1417,9704109,0.101620191,0.088476425,0.083655295,0.020155125,0.004647556,3.3e-19,0.0,0.000564856,0.006248327,0.088371703,0.020864873,0.088476425,0.088932806,0.0
1418,1418,9704110,0.236491539,0.010574396,0.073696379,0.03488381,0.000774503,1.71e-18,0.00073244,0.000593717,0.018191315,0.010609459,0.016852397,0.010574396,0.169960474,0.093786085
1427,1427,9704119,8.96e-06,0.000266902,0.028514262,0.003100861,0.000774503,9.08e-28,0.024564217,3.96e-06,0.001631865,0.000267145,0.058578838,0.000266902,0.015810277,0.052103912
1428,1428,9704120,1.12e-18,0.0,0.0,0.023255897,0.024012389,0.0,0.0,0.009886582,0.0,0.0,0.0,0.0,0.0,0.145889043
1439,1439,9704131,1.12e-18,0.0,0.0,0.027131862,0.027885352,0.0,0.0,0.007547626,0.0,0.0,0.0,0.0,0.0,0.052103912
1452,1452,9704145,1.12e-18,0.0,0.0,0.02403109,0.024786981,0.0,0.083044793,0.0098644,0.0,0.0,0.0,0.0,0.0,0.083365542
1458,1458,9704151,1.12e-18,0.0,0.0,0.052713267,0.053446943,0.0,0.00073244,0.024326312,0.0,0.0,0.0,0.0,0.0,0.072944999
1465,1465,9704158,0.089399096,0.020589568,0.080994801,0.039534968,0.030209147,1.05e-18,0.097709598,0.016490156,0.005265319,0.020557416,0.002124252,0.020589568,0.057312253,0.093786085
1474,1474,9704167,1.12e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.00793477,0.003921005,0.0,0.0,0.0,0.0,0.0,0.041683369
1477,1477,9704170,1.12e-18,0.0,0.0,0.035659003,0.036405888,0.0,0.00036622,0.014626215,0.0,0.0,0.0,0.0,0.0,0.104206628
1481,1481,9704174,0.093193664,0.004956748,0.098484564,0.048837302,0.013942685,4.58e-18,0.0,0.004473121,0.026596302,0.004808604,0.01831577,0.004956748,0.183794466,0.020842283
1484,1484,9704177,1.12e-18,0.0,0.0,0.031007845,0.031758333,0.0,0.0,0.002383114,0.0,0.0,0.0,0.0,0.0,0.031262826
1493,1493,9704186,1.12e-18,0.0,0.0,0.015503967,0.016266463,0.0,0.0,0.010319129,0.0,0.0,0.0,0.0,0.0,0.052103912
1496,1496,9704189,0.030851297,0.022445171,0.060303371,0.019379932,0.007745926,1.61e-19,0.00036622,0.00407768,0.005092863,0.022312938,0.00911068,0.022445171,0.053359684,6.825463429
1502,1502,9704195,1.12e-18,0.0,0.0,0.02403109,0.024786981,0.0,0.008235303,0.020127126,0.0,0.0,0.0,0.0,0.0,0.0
1526,1526,9311009,0.009170086,0.030848257,0.010681578,0.034108617,0.01549187,7.930000000000001e-35,0.006775073,0.000771007,0.004730603,0.031181377,0.01189581,0.030848257,0.096837945,0.104206628
1532,1532,9311015,0.00505421,0.001464147,0.004773552,0.031007845,0.027110759,3.53e-33,0.0,0.000824607,0.001122573,0.001490922,0.000613673,0.001464147,0.017786561,0.041683369
1536,1536,9311021,8.53e-06,0.028621279,0.002778359,0.003876054,0.000774503,1.87e-18,0.0,0.000204915,0.000958025,0.028657496,0.019731938,0.028621279,0.015810277,0.072944999
1580,1580,9311081,1.12e-18,0.0,0.0,0.024806283,0.025561574,0.0,0.0,0.005523092,0.0,0.0,0.0,0.0,0.0,0.0
1615,1615,9311120,0.009027914,0.001919151,0.004939295,0.033333424,0.028659962,3.9000000000000003e-35,0.001831101,0.004341555,0.001515098,0.001849659,0.000991317,0.001919151,0.0256917,0.072944999
1623,1623,9311130,0.005082645,0.02086918,0.006519875,0.019379932,0.010069722,1.3600000000000001e-21,0.001831101,0.002828401,0.002689605,0.020735513,0.007364073,0.02086918,0.04743083,0.677337229
1663,1663,9311177,9.24e-05,0.018810223,0.00615512,0.043410933,0.043377222,7.4e-34,0.005283162,0.006947065,0.000643065,0.019463395,0.000802495,0.018810223,0.003952569,0.010419333
1718,1718,9705003,0.032983875,0.06107476,0.0877981,0.029457459,0.008520519,2.57e-17,0.022001984,0.001385339,0.01436101,0.061266698,0.02742645,0.06107476,0.102766798,0.031262826
1726,1726,9705011,1.12e-18,0.0,0.0,0.026356669,0.027110759,0.0,0.085838597,0.017225664,0.0,0.0,0.0,0.0,0.0,0.1354685
1729,1729,9705014,0.058716984,0.026118757,0.021018316,0.013953581,0.00309837,2.01e-22,0.077172191,0.00016822,0.00299203,0.026509653,0.008733035,0.026118757,0.065217391,0.010419333
1738,1738,9705023,0.03675143,0.05010535,0.078641772,0.009302423,0.003872963,1.87e-19,0.0,0.001245156,0.002714503,0.050366433,0.007364073,0.05010535,0.033596838,0.0
1745,1745,9705030,1.12e-18,0.0,0.0,0.026356669,0.027110759,0.0,0.0,0.012819295,0.0,0.0,0.0,0.0,0.0,0.020842283
1751,1751,9705037,1.12e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.0,0.002564527,0.0,0.0,0.0,0.0,0.0,0.031262826
1754,1754,9705040,1.12e-18,0.0,0.0,0.041860547,0.042602629,0.0,0.003051835,0.012913713,0.0,0.0,0.0,0.0,0.0,0.020842283
1757,1757,9705044,1.12e-18,0.0,0.0,0.026356669,0.027110759,0.0,0.098392658,0.012786971,0.0,0.0,0.0,0.0,0.0,0.041683369
1759,1759,9705046,1.12e-18,0.0,0.0,0.048837302,0.04957398,0.0,0.0,0.019995023,0.0,0.0,0.0,0.0,0.0,0.010419333
1765,1765,9705052,2.38e-05,0.000251904,0.002941782,0.031007845,0.028659962,1.39e-34,0.089497885,9.77e-05,0.000828796,0.000254423,0.002879541,0.000251904,0.023715415,0.1354685
1766,1766,9705053,1.12e-18,0.0,0.0,0.010852809,0.011618907,0.0,0.053692961,0.010535217,0.0,0.0,0.0,0.0,0.0,0.166730129
1768,1768,9705055,0.21448049,0.018530611,0.089025196,0.056589232,0.024012389,3.11e-18,0.00073244,0.013787425,0.012831039,0.017860528,0.007600101,0.018530611,0.162055336,0.604393184
1770,1770,9705057,1.12e-18,0.0,0.0,0.02403109,0.024786981,0.0,0.016922859,0.01667627,0.0,0.0,0.0,0.0,0.0,0.343879363
1786,1786,9705074,0.080532547,0.000439753,0.00355629,0.033333424,0.027885352,2.05e-38,0.00073244,0.011231144,0.001360052,0.000437608,0.000283234,0.000439753,0.0256917,0.145889043
