Id,score
9810014,1.22E-05
,
9811119,1.95E-06
,
9904210,1.26E-06
,
107152,0.000221746
,
1132,7.43E-06
,
2037,1.75E-05
,
3242,5.72E-05
,
3263,0.000247624
,
5049,0.000659433
,
6047,6.31E-05
,
6100,0.000157861
,
6189,0.000243582
,
6224,0.000107442
,
9072,2.80E-05
,
9112,0.000115447
,
9247,0.000204834
,
10196,0.000157366
,
10217,1.02E-05
,
10222,0.000155652
,
10223,0.000369038
,
11017,0.000400541
,
11079,0.000307942
,
12041,8.13E-05
,
12054,0.000195273
,
101114,0.000311826
,
101135,8.03E-05
,
104041,1.72E-05
,
104147,0.000267985
,
104200,0.000221237
,
105014,6.77E-05
,
105063,9.19E-05
,
105077,2.95E-05
,
105159,7.87E-05
,
105216,2.48E-05
,
106079,5.65E-05
,
106262,4.03E-05
,
107063,0.000517028
,
9507158,0.001252082
,
9508072,0.000209903
,
9602111,3.64E-05
,
9603090,0.00013329
,
9606040,0.000424339
,
9607108,0.000156756
,
9608005,6.08E-05
,
9610105,0.000199426
,
9610157,0.000559229
,
9611161,1.67E-05
,
9612076,2.27E-06
,
9701054,0.000122752
,
9702103,4.85E-05
,
9703082,0.000103396
,
9703101,1.24E-05
,
9704147,3.49E-05
,
9708065,3.66E-06
,
9712186,0.000511498
,
9801205,2.12E-05
,
9802033,1.14E-05
,
9803142,1.95E-05
,
9805220,7.12E-06
,
9807056,1.96E-05
,
9807087,4.35E-05
,
9812049,0.000416957
,
9902100,9.55E-05
,
9906200,0.000155543
,
9907013,1.37E-05
,
9907131,9.25E-06
,
9908135,2.64E-05
,
9910170,6.58E-05
,
9910172,2.28E-05
,
9911161,0.000276647
,
9912147,8.40E-06
,
9912188,9.45E-06
,
107153,0.000147655
,
3025,0.000232531
,
4073,7.34E-05
,
6011,0.000182602
,
102095,3.49E-05
,
103170,0.001084584
,
103183,3.89E-05
,
105101,0.000108109
,
106267,3.92E-05
,
208020,0.000436338
,
9505054,0.000106134
,
9506048,2.63E-05
,
9510101,0.001182127
,
9512059,0.001384878
,
9512077,0.001210416
,
9601038,0.0006102
,
9604041,0.000391849
,
9604178,5.74E-05
,
9607163,0.001102416
,
9608163,0.000445457
,
9609017,0.000214791
,
9611090,9.89E-05
,
9712028,0.000441159
,
9802012,7.10E-05
,
9802049,0.000272546
,
9802108,0.000210673
,
9804208,0.000575475
,
9805141,8.54E-06
,
9805168,0.000731036
,
9805201,2.08E-06
,
9806226,1.73E-05
,
9806238,2.41E-05
,
9812209,1.20E-05
,
9906011,5.22E-05
,
9912271,0.002618872
,
9506026,6.19E-05
,
107154,6.79E-07
,
6160,0.000204114
,
8083,0.000841163
,
10160,4.68E-05
,
107155,7.05E-05
,
2016,0.000115436
,
5222,4.46E-05
,
10268,5.37E-05
,
107216,1.16E-06
,
9602011,9.55E-05
,
9602022,0.005210705
,
9607112,0.00012006
,
9609086,5.99E-05
,
9703214,1.95E-05
,
9706148,5.07E-06
,
9710136,5.27E-05
,
9711162,0.010550011
,
9712004,0.000552207
,
9803031,0.000158825
,
9807199,1.96E-06
,
9810072,0.000406245
,
9903205,0.001444847
,
9908142,0.039825142
,
9911068,0.000127339
,
4104,6.86E-05
,
6091,0.000226568
,
9153,4.64E-05
,
105094,0.000508838
,
107156,2.36E-05
,
2091,0.000313372
,
3118,0.000207522
,
3237,0.000528476
,
10141,3.04E-05
,
11118,2.52E-05
,
101027,4.84E-05
,
105048,0.001189221
,
9711200,0.069837375
,
9905012,0.000587221
,
9905111,0.015859429
,
9906064,0.025986365
,
9906182,0.000191891
,
9908076,0.000163343
,
9911043,7.19E-05
,
9912001,0.0001384
,
107157,1.24E-05
,
5282,4.36E-05
,
9209027,8.22E-06
,
9307080,2.54E-05
,
9401086,0.000143987
,
9401115,0.000374782
,
9407026,1.30E-05
,
9410105,3.43E-05
,
9506058,8.78E-05
,
9705103,5.31E-05
,
9301003,9.98E-05
,
9306091,0.000176892
,
9303046,0.001322086
,
9209049,0.000603648
,
9212149,0.001680467
,
9301068,0.002809967
,
9306013,0.000754068
,
9307111,0.00034395
,
9309128,0.000341436
,
9311015,0.000466781
,
9401044,2.23E-05
,
9401153,0.002585808
,
9501092,9.12E-05
,
9507088,2.49E-05
,
9508003,0.000274868
,
107158,0.000130625
,
5263,7.89E-05
,
6003,0.00010132
,
102049,1.43E-05
,
104247,4.53E-05
,
105050,0.000132528
,
9302044,0.000204345
,
9906065,4.11E-05
,
107159,3.48E-05
,
6201,9.43E-05
,
12124,2.62E-05
,
9205068,0.002798097
,
9310151,0.000103682
,
9509115,2.22E-05
,
9606087,3.58E-05
,
9703059,5.70E-05
,
9704177,3.91E-05
,
9807011,4.53E-05
,
9807067,9.79E-07
,
9812118,3.15E-05
,
9907112,1.49E-06
,
9907184,1.18E-05
,
9909116,2.47E-06
,
9912108,5.63E-06
,
107160,0.000680235
,
2142,5.75E-07
,
3029,6.22E-05
,
3184,0.000443277
,
7007,0.000407787
,
9096,0.000216627
,
9137,2.46E-05
,
11102,0.000449004
,
12128,0.00037922
,
12149,1.40E-06
,
102156,1.28E-05
,
103064,3.92E-05
,
103197,7.47E-05
,
105046,0.00068487
,
105123,2.84E-05
,
105248,6.41E-05
,
9201080,7.68E-05
,
9207032,0.000115399
,
9303160,0.001025869
,
9307037,5.51E-05
,
9308037,7.19E-05
,
9407151,2.23E-05
,
9503209,0.000249904
,
9509166,0.000774689
,
9510149,0.00013692
,
9511134,0.000330438
,
9512175,0.00014597
,
9512210,7.62E-05
,
9603156,0.000217275
,
9604026,2.81E-05
,
9605062,9.77E-05
,
9605151,0.000208668
,
9606050,0.000115414
,
9606102,0.000121186
,
9606130,4.26E-05
,
9606138,0.000214029
,
9606154,0.000164551
,
9609238,0.000304125
,
9610168,3.03E-05
,
9611160,0.000167167
,
9703028,7.22E-06
,
9705240,4.16E-05
,
9707090,7.16E-06
,
9710248,0.000290352
,
9802109,0.017622834
,
9802150,0.025546386
,
9807034,0.000377887
,
9807091,5.71E-05
,
9808124,0.001098179
,
9808169,0.000769068
,
9812016,2.94E-05
,
9903162,0.000714098
,
9909068,9.33E-05
,
9911163,7.72E-05
,
9912143,2.83E-05
,
9206063,9.59E-05
,
9302027,5.66E-05
,
9304011,0.008122481
,
9201079,5.51E-06
,
9204097,8.38E-06
,
107161,3.50E-06
,
104003,6.92E-05
,
9211059,0.000243877
,
9407190,0.001358994
,
9902098,0.000760685
,
9912281,1.46E-05
,
107162,7.32E-05
,
6120,0.000126265
,
10269,7.98E-05
,
11257,2.95E-05
,
12141,0.002321914
,
102122,3.72E-05
,
102183,3.76E-05
,
102201,0.000103224
,
9201056,0.004219445
,
9206084,0.005272147
,
9207094,0.00120127
,
9406095,6.13E-06
,
9705038,8.29E-05
,
9705241,0.000338053
,
9811237,0.000235348
,
9912151,3.00E-05
,
107163,0.000797286
,
3004,0.000157322
,
4036,0.000115039
,
7146,0.000440329
,
101176,9.57E-05
,
102077,0.000537777
,
105038,0.001009588
,
106109,0.000917374
,
106112,0.000247336
,
106113,0.001020994
,
9202085,0.000112859
,
9203079,0.000876744
,
9204099,0.007577537
,
9306069,0.001426559
,
9307168,0.00033202
,
9308100,0.000108082
,
9308139,0.000895698
,
9309145,0.000891306
,
9401070,0.002454098
,
9409089,0.00879683
,
9412232,5.40E-05
,
9511227,3.53E-05
,
9601029,0.006550639
,
9602052,0.002614084
,
9607235,0.00043734
,
9612197,0.00021446
,
9712251,0.000786063
,
9806026,0.000462824
,
9812013,0.000215559
,
9812056,0.001296985
,
9812193,0.000303215
,
9907030,7.88E-06
,
9912224,5.83E-05
,
9205095,2.24E-05
,
9302127,2.53E-06
,
9307057,1.56E-06
,
9402125,5.58E-05
,
9402136,0.000188903
,
9503016,0.000212606
,
9506138,6.16E-05
,
9506182,0.000188303
,
9504147,0.000491074
,
9602043,0.000924947
,
9603078,0.000142328
,
9605112,1.55E-05
,
9609075,1.20E-05
,
9612146,0.000368532
,
9707170,1.97E-05
,
9803025,6.20E-05
,
107164,0.000120444
,
3272,9.55E-06
,
4186,0.000445643
,
8031,0.000128906
,
8225,7.96E-05
,
12016,2.43E-05
,
9603136,0.000149748
,
9605038,3.64E-05
,
9712211,4.84E-05
,
9902005,5.10E-05
,
9906119,5.22E-05
,
9907014,2.11E-05
,
9907090,6.42E-06
,
9909035,2.53E-06
,
9909218,9.20E-05
,
9912082,1.36E-05
,
9912083,2.00E-05
,
9601146,9.54E-05
,
9605229,0.000504718
,
9702161,2.48E-06
,
9704153,4.78E-06
,
9708006,6.71E-06
,
9709080,6.30E-06
,
9803127,1.73E-05
,
9804139,8.07E-06
,
9804164,1.06E-05
,
9804174,8.11E-05
,
9901107,1.93E-06
,
9902111,4.43E-05
,
9903095,0
,
9907157,2.36E-06
,
107165,2.75E-05
,
12072,0.000269065
,
104136,0.000187596
,
105314,2.15E-06
,
106235,0.000514417
,
107116,0.000244126
,
9701137,7.08E-05
,
9808141,0.000479643
,
9810188,0.001790738
,
9903128,5.04E-07
,
9906055,5.54E-05
,
9908030,8.65E-07
,
9605033,0.00062209
,
9710206,0.000139385
,
9811035,0.000356267
,
9902196,4.86E-06
,
107166,0.000563445
,
1133,7.42E-06
,
2103,9.99E-06
,
4165,9.30E-05
,
5067,0.000810831
,
6049,1.44E-05
,
7024,0.000782392
,
7090,0.000209971
,
8142,0.002376729
,
8173,4.44E-05
,
8230,7.72E-05
,
8250,0.00017688
,
10091,1.88E-05
,
11073,0.00034665
,
11089,0.000282919
,
11130,2.12E-05
,
11256,0.000330243
,
11269,7.99E-05
,
12156,4.87E-05
,
12157,2.33E-05
,
101096,2.99E-05
,
101206,5.95E-06
,
103115,0.000188395
,
103167,9.55E-05
,
103177,2.71E-05
,
105096,8.63E-05
,
105155,0.000404
,
105208,3.95E-05
,
106026,2.34E-05
,
106034,0.000120561
,
106040,6.74E-05
,
106162,1.97E-05
,
106177,6.53E-05
,
107036,8.82E-05
,
107138,0.000137938
,
107143,0.000124571
,
9410206,4.04E-05
,
9503030,0.000370585
,
9508033,5.82E-05
,
9511030,0.001503508
,
9602032,2.30E-05
,
9603167,0.002270487
,
9605049,3.05E-05
,
9606169,6.48E-05
,
9610106,0.000145557
,
9701057,4.24E-05
,
9704059,1.41E-05
,
9704151,0.000238421
,
9704185,1.49E-05
,
9705163,2.40E-05
,
9706051,1.58E-05
,
9706158,0.000125123
,
9708040,1.51E-05
,
9710149,0.00055391
,
9711201,2.63E-05
,
9801114,2.20E-05
,
9802103,7.84E-05
,
9803141,8.52E-06
,
9804026,6.45E-05
,
9804110,5.52E-06
,
9805157,0.000169432
,
9806008,6.96E-06
,
9806044,3.78E-06
,
9806080,5.97E-05
,
9807235,0.000114965
,
9808139,0.000267724
,
9812071,5.55E-05
,
9812088,0.00012653
,
9903051,6.23E-05
,
9905098,2.60E-05
,
9907086,5.91E-06
,
9908023,5.52E-05
,
9908072,4.44E-05
,
9908130,2.05E-05
,
9909172,8.54E-05
,
9911021,1.97E-06
,
9911190,5.93E-07
,
9912204,2.66E-05
,
9409096,4.05E-05
,
9409184,2.07E-07
,
9506006,1.66E-05
,
9202046,0.000442051
,
9304104,4.38E-05
,
9307171,3.43E-05
,
9505080,3.45E-06
,
9508073,6.76E-06
,
9510009,5.69E-05
,
9510094,1.54E-06
,
9601036,0.000129714
,
9203025,0.000102331
,
9406132,0.000122272
,
9501131,3.96E-05
,
9502077,0.000559915
,
9505098,0.000132357
,
9507162,3.16E-06
,
9512034,7.47E-06
,
9512155,0.000178997
,
9602045,0.000181184
,
9603074,0.001907302
,
9604112,0.000168424
,
9605170,0.00012089
,
9605221,9.91E-06
,
9607138,3.04E-06
,
9607144,4.55E-05
,
9609027,5.69E-06
,
9609137,0.000495945
,
9607137,5.06E-07
,
107167,0.000237122
,
1212,3.72E-06
,
2190,6.41E-05
,
3054,1.57E-05
,
4057,2.68E-05
,
5016,0.000254455
,
5217,0.000143342
,
6059,7.46E-05
,
6215,5.81E-05
,
8041,8.89E-05
,
8054,0.00051292
,
8128,0.000129737
,
9022,9.84E-05
,
9199,5.74E-05
,
11111,0.000171416
,
11245,2.33E-05
,
12049,4.64E-05
,
102125,0.000517169
,
103031,0.000198962
,
9510017,0.026409492
,
9602070,0.001818842
,
9603133,0.000373071
,
9603142,0.003519655
,
9611213,0.000716724
,
9612128,0.001555449
,
9709093,1.09E-05
,
9802183,0.001274012
,
9803015,0.000264688
,
9803076,9.82E-05
,
9803086,0.000205881
,
9803214,1.50E-05
,
9804092,2.81E-05
,
9804184,0.000134604
,
9806091,3.31E-06
,
9806143,2.75E-06
,
9807082,5.58E-06
,
9808048,7.62E-07
,
9809147,0.000189275
,
9810010,0.000203413
,
9811193,2.74E-05
,
9812163,2.15E-05
,
9902080,3.63E-06
,
9904007,1.09E-08
,
9904211,1.09E-08
,
9905033,1.09E-08
,
9905137,1.68E-06
,
107168,1.82E-05
,
2009,3.71E-05
,
6137,0.000238944
,
101029,0.000725807
,
103013,0.000743742
,
103179,0.000595312
,
106011,0.000690236
,
106016,2.14E-05
,
9710191,2.44E-05
,
107169,2.58E-05
,
2145,6.74E-05
,
12052,6.35E-05
,
103171,0.000263103
,
104180,0.000139427
,
104181,8.40E-05
,
105017,1.04E-05
,
106201,0.00095001
,
9605016,0.000123191
,
9610068,1.36E-05
,
9611175,3.99E-06
,
9905177,6.87E-05
,
9906022,7.87E-05
,
9410215,5.35E-05
,
9411187,0.000857557
,
9506200,0.000398219
,
9511064,0.000151753
,
9601177,0.000495728
,
9602051,0.000619594
,
9602065,0.000155377
,
9603060,0.000131345
,
9603061,7.34E-05
,
9603109,0.000235185
,
9603195,6.02E-05
,
9604042,0.000184459
,
9605091,5.38E-05
,
9606031,1.69E-05
,
9606185,0.000183752
,
9607149,7.72E-05
,
9512031,0.000170307
,
9604166,0.000286942
,
9608108,5.82E-05
,
9609076,2.52E-05
,
9610172,6.19E-05
,
107170,0
,
7132,1.58E-08
,
107171,8.71E-07
,
10199,5.60E-05
,
107172,0.000128793
,
4147,0.000653889
,
7089,5.27E-05
,
8013,0.000220274
,
8042,0.000167702
,
8075,0.000450991
,
8144,2.34E-05
,
8205,9.86E-05
,
9101,5.16E-05
,
10122,0.000166463
,
10204,6.36E-05
,
10258,4.42E-05
,
11125,0.000268016
,
11131,0.000310703
,
11147,4.18E-05
,
12145,0.000491435
,
12218,0.000151904
,
101016,2.85E-05
,
102158,0.000143798
,
103124,0.000166808
,
104036,0.000123928
,
104045,2.57E-05
,
104139,7.85E-05
,
105139,4.32E-05
,
105166,0.000545021
,
106024,2.39E-05
,
106048,0.013289242
,
106121,2.96E-06
,
106217,1.76E-05
,
107087,8.98E-06
,
107106,0.000331074
,
9510161,0.000209526
,
9601057,0.000222562
,
9603194,0.000100989
,
9611173,0.000563825
,
9710230,0.000229558
,
9711165,0.002166724
,
9802088,6.21E-05
,
9805034,6.18E-05
,
9809100,1.41E-05
,
9811213,2.67E-06
,
9901080,9.91E-05
,
9904095,4.45E-05
,
9907132,2.98E-06
,
9907166,0.000151872
,
9908056,0.000841405
,
9908134,0.000265018
,
9908152,2.50E-05
,
9909214,0.000137597
,
9910004,0.000172683
,
9910052,5.96E-05
,
9910053,0.002250532
,
9911041,6.14E-05
,
107173,9.57E-05
,
2230,0.000307272
,
9501127,0.000384154
,
9806004,0.000247683
,
9806087,0.00103218
,
9808032,4.22E-05
,
9812032,0.000110006
,
9910267,1.12E-05
,
9609085,0.00022619
,
9709064,4.96E-05
,
9711002,0.001846352
,
9802203,0.000112208
,
9803028,0.000514273
,
9803119,1.12E-06
,
9803131,0.001922645
,
9803251,0.00012745
,
9804035,6.38E-05
,
9804041,0
,
9804058,0.000323978
,
9804083,0.000150862
,
9804099,4.86E-06
,
9804170,9.89E-05
,
9805114,0.000954137
,
9805171,0.000464592
,
107174,4.04E-07
,
1197,0.000352514
,
1206,0.00036487
,
3002,2.31E-06
,
12143,0.000463937
,
106120,0.000574413
,
106237,1.16E-06
,
9910149,0.000194789
,
9910174,9.33E-05
,
107175,9.24E-06
,
6158,1.53E-05
,
7064,0.00047544
,
7177,8.61E-05
,
10186,7.28E-05
,
105091,4.38E-05
,
9911181,1.11E-05
,
9912118,5.27E-05
,
107176,2.93E-05
,
1071,7.34E-05
,
1159,3.01E-05
,
3197,0.000272468
,
7018,0.001993604
,
7044,0.000480589
,
11045,2.99E-06
,
12104,0.000449539
,
12110,4.16E-05
,
103233,0.000211911
,
103239,0.000973806
,
104056,0.000100784
,
104073,0.000198686
,
105032,0.000121184
,
105061,3.73E-05
,
105199,3.26E-05
,
105203,2.99E-05
,
105204,0.000211009
,
105212,9.10E-06
,
106179,9.89E-05
,
106241,0.000104597
,
106282,9.17E-06
,
107148,8.51E-06
,
9605136,8.45E-05
,
9608019,9.10E-05
,
9609209,0.000112814
,
9707143,6.01E-05
,
9710208,3.81E-05
,
9711197,4.48E-05
,
9801030,5.04E-05
,
9803235,0.000523469
,
9805181,0.00025442
,
9806051,0.000249833
,
9811141,2.25E-05
,
107177,0.001137953
,
3136,0.003523816
,
6010,7.38E-05
,
7191,0.000972039
,
8001,0.000456178
,
11023,9.58E-05
,
11190,6.94E-05
,
12011,0.000118539
,
12136,3.07E-05
,
102185,0.000275799
,
103011,0.000258155
,
103067,0.000365023
,
103155,9.57E-05
,
103223,3.68E-05
,
104124,1.38E-05
,
104208,3.26E-05
,
105225,5.60E-05
,
9301042,0.00473092
,
9301043,0.000342959
,
9402005,0.000377903
,
9408013,0.000322763
,
9501068,0.00215225
,
9504090,0.001723718
,
9504145,0.000955402
,
9506150,0.000167356
,
9609122,0.000282542
,
9702202,0.000149141
,
9705199,0.000470056
,
9708147,0.001035282
,
9805112,0.000361904
,
9805183,1.59E-05
,
9806030,0.000101818
,
9808014,1.88E-05
,
9811131,0.000185141
,
9812205,0.000306916
,
9901154,1.00E-05
,
9902029,3.88E-05
,
9902186,7.97E-06
,
9907026,0.000869773
,
107178,0.000139444
,
3007,0.000950288
,
10090,0.000166951
,
10105,0.000546004
,
105311,4.86E-05
,
107200,5.59E-05
,
9510227,0.00020984
,
9601150,0.00057045
,
9612115,0.002748505
,
9703052,3.78E-05
,
9705084,6.35E-05
,
9705130,0.000183518
,
10158,2.84E-05
,
12068,4.77E-05
,
9604119,0.00013866
,
9707079,0.000230595
,
107179,1.97E-05
,
2101,7.11E-06
,
4071,1.09E-05
,
9231,2.05E-05
,
10113,0.000262187
,
10187,9.05E-05
,
10256,0.000139799
,
10264,0.000405859
,
12184,3.19E-05
,
101177,6.60E-06
,
102092,0.000357555
,
104021,6.56E-05
,
104232,0.000507976
,
106072,8.51E-05
,
106242,2.10E-05
,
9912238,1.60E-05
,
107180,0.000242145
,
1053,0.000800907
,
5048,0.000519719
,
5183,0.000476781
,
6023,8.96E-05
,
6062,0.000470608
,
6085,0.000114587
,
8073,6.23E-05
,
9140,0.000115972
,
9181,0.000107679
,
9182,0.000224937
,
11054,8.82E-07
,
11282,0.000250597
,
12093,7.76E-05
,
12183,0.000200629
,
103154,0.000720788
,
106129,6.91E-05
,
9210116,4.18E-06
,
9705221,0.000404059
,
9802042,0.000755832
,
9803002,0.000860989
,
9807226,0.000106284
,
9808017,5.71E-05
,
9808149,0.000289205
,
9809022,0.000226924
,
9910099,3.50E-06
,
107181,1.22E-05
,
5270,8.97E-05
,
104081,7.72E-05
,
9504081,0.000775712
,
9806106,9.00E-05
,
9811101,3.11E-05
,
107182,4.72E-06
,
102106,8.78E-05
,
9507105,6.30E-05
,
9607161,0.001970786
,
9806117,7.63E-06
,
9909064,6.24E-05
,
107184,3.22E-05
,
3057,0.000383724
,
3204,4.21E-05
,
5159,6.01E-05
,
9401139,0.010282948
,
9807198,2.04E-05
,
9810099,1.40E-05
,
9810116,3.18E-05
,
9810185,2.53E-06
,
9810219,3.79E-05
,
9812219,0.001042375
,
9906161,0.000119088
,
9906192,0.000457279
,
9908019,3.92E-05
,
9909176,2.97E-05
,
9911018,9.46E-07
,
9912038,1.90E-06
,
9912293,4.28E-06
,
107185,0.00012872
,
1111,1.43E-06
,
2194,9.74E-07
,
6018,2.43E-05
,
8125,0.000279431
,
10022,9.46E-05
,
11033,0.000160471
,
102009,4.12E-05
,
104061,1.12E-05
,
104146,0.000139056
,
104236,0.000149512
,
106067,8.91E-05
,
9610249,0.00035708
,
9611159,0.000468247
,
9612080,0.000459227
,
9612120,9.70E-05
,
9701125,0.000939851
,
9711179,0.000108399
,
9808074,2.60E-05
,
9903210,0.000129547
,
9906214,9.11E-05
,
9907211,2.18E-05
,
9909095,0.000185797
,
9909132,3.60E-06
,
9909139,1.65E-05
,
9912070,1.73E-05
,
107186,3.54E-05
,
2189,6.86E-06
,
103247,0.000219873
,
105001,0.000109461
,
106149,0.000603152
,
106200,0.00048902
,
107040,2.31E-07
,
9805125,3.64E-05
,
9806042,4.64E-05
,
9806159,0.000770335
,
9808004,9.43E-06
,
9810226,3.32E-05
,
9908163,4.74E-06
,
107187,7.59E-05
,
6147,0.000268103
,
8093,3.93E-06
,
9161,1.84E-05
,
102026,0.00029939
,
105141,2.41E-05
,
9609035,5.03E-05
,
9610193,0.001284579
,
9705151,0.001633215
,
9705176,0.000357271
,
9807069,0.001043152
,
9808127,3.71E-06
,
9808129,0.000130237
,
9811077,0.000189826
,
9812090,0.000265146
,
9905147,0.000312028
,
9905215,1.63E-05
,
9906198,3.04E-05
,
9907180,0.000104822
,
107188,5.92E-06
,
9402015,0.000239941
,
9612163,2.35E-06
,
9707028,4.01E-05
,
9908124,0.000346218
,
9407056,6.56E-05
,
9605231,0.000115627
,
107189,5.53E-05
,
1199,5.21E-06
,
5065,0.000198866
,
9242,0.00050405
,
12234,0.001132796
,
102176,1.81E-05
,
105200,4.15E-05
,
105252,2.75E-05
,
105283,0.000183178
,
106004,0.000204925
,
106005,0.00028198
,
106171,0.000193114
,
107035,0.00012413
,
107131,1.06E-05
,
9609112,0.000959532
,
9612148,0.000166437
,
9806024,7.91E-05
,
9806194,0.000452764
,
9812027,7.03E-06
,
9812046,5.32E-05
,
9812100,5.97E-07
,
9901122,1.01E-05
,
9903219,7.34E-05
,
9904145,0.000209783
,
9908036,0.000757935
,
9908040,0.00037059
,
9909030,0.000196811
,
9909110,0.000126189
,
9909163,4.12E-05
,
107190,3.09E-05
,
4084,0.000263529
,
9243,0.000131184
,
105124,9.90E-06
,
106166,1.41E-06
,
9307036,0.00048189
,
9803165,5.78E-06
,
9809123,0.000161963
,
9811150,0.000130228
,
9902024,0.000359895
,
107191,0.000283332
,
4044,1.76E-05
,
106183,8.62E-05
,
9406208,0.000383907
,
9511157,0.000363124
,
9511167,0.000256535
,
9603141,2.75E-05
,
9611051,0.000872626
,
9305185,0.000757294
,
9404151,3.83E-05
,
9411028,0.007655354
,
9501030,0.000123878
,
9504027,0.000180288
,
9504047,0.000563796
,
9505053,0.00028475
,
9506122,6.32E-05
,
9506126,0.000310709
,
9506160,0.00014239
,
9506194,0.0001223
,
9507027,3.40E-05
,
9507050,0.000160618
,
9507121,0.00138733
,
9508144,1.53E-05
,
9509132,0.001298513
,
9510169,0.001388293
,
9510225,0.000165074
,
9510229,0.000376359
,
9510234,2.56E-05
,
9511026,2.69E-05
,
9511043,0.000586553
,
9205043,0.000695755
,
9304071,3.36E-05
,
9306154,0.00013667
,
9308048,0.000123613
,
9312200,3.41E-05
,
9402155,1.19E-05
,
9404077,5.92E-05
,
9406109,2.01E-05
,
9409164,4.53E-05
,
9506061,7.57E-05
,
9508112,2.23E-09
,
9601156,5.25E-10
,
107192,0
,
107193,0.000188317
,
7040,1.65E-05
,
9311037,0.00023461
,
9404013,0.000857161
,
9404173,0.000559589
,
9508025,3.38E-05
,
9604044,0.000856579
,
9605187,0.001199325
,
9610208,1.47E-06
,
9802100,2.30E-05
,
9908179,7.51E-05
,
9211133,4.25E-05
,
9211111,0.00068649
,
9507056,3.25E-07
,
9511210,9.56E-06
,
9609123,0.000462752
,
9611025,2.08E-08
,
9805008,0.000359562
,
9808153,2.50E-05
,
107194,9.64E-07
,
101088,4.60E-05
,
103237,8.69E-05
,
9702056,1.70E-05
,
