Id,degree centrality,betweenness centrality,closeness centrality,eigenvector centrality,Katz-Centrality,Percolation-Centrality,Harmonic centrality,hubscore,authoritiesscore,Page-Rank,rank-Prestige,degree_prestige,scores
9412010,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,4.88E-20,-7.34E-19,8.55E-05,3,0.000182782,0.727231301
9302055,0.000182782,0,0.000182782,2.51E-32,0.013323298,0,1,0,-1.16E-19,8.55E-05,3,0,0.727231301
9205111,0.000182782,0,0,2.79E-34,0.012112089,0,0,5.64E-20,0,4.63E-05,0,0.000182782,1.090846952
9310118,0.000365564,1.28E-05,0.000182782,2.51E-32,0.013323298,1.28E-05,1,-2.07E-18,4.60E-19,8.55E-05,3,0.000182782,0.727231301
9610144,0.000365564,1.48E-05,0.004510992,2.33E-16,0.013496814,1.48E-05,27.31050894,1.63E-22,-5.14E-19,0.000253635,3,0.000182782,0.727231301
9709087,0.00091391,6.61E-05,0.007388191,2.05E-09,0.016324002,6.61E-05,49.81526798,-1.39E-19,-2.57E-18,0.000764231,6,0.000365564,0.727231301
9702195,0.000548346,2.43E-05,0.000921526,1.32E-28,0.015188559,2.43E-05,5.833333333,-4.55E-20,-9.34E-19,0.000403611,4,0.000182782,0.727231301
9409113,0.000365564,9.69E-07,0.000182782,2.51E-32,0.013323298,9.69E-07,1,1.69E-20,-6.30E-19,8.55E-05,3,0.000182782,0.727231301
9512020,0.000182782,0,0,2.79E-34,0.012112089,0,0,-7.43E-20,0,4.63E-05,0,0.000182782,0.727231301
9306035,0.000365564,2.81E-06,0.000182782,2.51E-32,0.013323298,2.81E-06,1,-1.70E-19,-3.22E-19,8.55E-05,2,0.000182782,0.727231301
9511129,0.000182782,0,0,2.79E-34,0.012112089,0,0,-4.37E-21,0,4.63E-05,0,0.000182782,0.727231301
9911175,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,-3.18E-20,9.39E-19,8.55E-05,1,0.000182782,0.727231301
9703010,0.000182782,0,0.000182782,2.51E-32,0.013323298,0,1,0,8.24E-19,8.55E-05,1,0,0.727231301
9904016,0.000365564,1.34E-07,0.000417787,3.31E-30,0.01368666,1.34E-07,2.5,4.10E-20,3.84E-19,0.00018522,1,0.000182782,0.727231301
9310106,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.63E-20,0,4.63E-05,0,0.000182782,0.727231301
9410103,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.62E-19,0,4.63E-05,0,0.000182782,0.727231301
9701012,0.000365564,1.67E-07,0.000182782,2.51E-32,0.013323298,1.67E-07,1,-4.88E-20,-5.57E-19,8.55E-05,1,0.000182782,0.363615651
9911030,0.000182782,0,0,2.79E-34,0.012112089,0,0,9.73E-21,0,4.63E-05,0,0.000182782,0.363615651
9904202,0.000548346,1.34E-07,0.000365564,5.00E-32,0.014534506,1.34E-07,2,-7.28E-20,-3.04E-20,0.000124722,3,0.000182782,0.727231301
9707044,0.000365564,1.21E-05,0.010393203,3.28E-05,0.013825349,1.21E-05,71.34673074,6.56E-20,-1.36E-18,0.000214602,1,0.000182782,0.727231301
9612128,0.000365564,9.52E-06,0.000351504,7.47E-28,0.013469854,9.52E-06,2.416666667,1.10E-18,1.57E-19,0.000199007,1,0.000182782,0.727231301
9305012,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.61E-19,0,4.63E-05,0,0.000182782,0.363615651
9707121,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.12E-19,0,4.63E-05,0,0.000182782,0.727231301
9511070,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.22E-20,0,4.63E-05,0,0.000182782,0.363615651
9212149,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.50E-20,0,4.63E-05,0,0.000182782,5.09061712
9604034,0.000548346,0.000123291,0.011509418,3.28E-05,0.015602825,0.000123291,81.59978682,5.98E-20,-1.48E-18,0.000556947,3,0.000182782,0.727231301
9709228,0.000365564,1.55E-05,0.000598195,1.99E-25,0.013593773,1.55E-05,4.183333333,8.15E-20,2.56E-18,0.000160589,3,0.000182782,0.727231301
9603142,0.000365564,4.32E-05,0.008015745,1.45E-17,0.013498914,4.32E-05,47.59390332,-1.39E-20,-7.05E-19,0.000419973,2,0.000182782,0.727231301
9306080,0.000365564,1.09E-05,0.000182782,2.51E-32,0.013323298,1.09E-05,0,-1.20E-19,5.06E-19,8.55E-05,2,0.000182782,0.727231301
9601028,0.000182782,0,0,2.79E-34,0.012112089,0,1,4.09E-20,0,4.63E-05,0,0.000182782,0.363615651
6178,0.000182782,0,0.004652377,3.29E-13,0.013457904,0,27.90178074,0,1.64E-19,0.000200371,2,0,0.727231301
9704054,0.000365564,5.90E-05,0.002574268,1.15E-19,0.013500208,5.90E-05,16.30678211,4.80E-21,4.71E-20,0.00045982,1,0.000182782,0.727231301
9211052,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.63E-20,0,4.63E-05,0,0.000182782,0.363615651
6108,0.000365564,6.68E-07,0.000324946,6.46E-29,0.013468643,6.68E-07,2.166666667,1.64E-20,-3.46E-19,0.000175082,3,0.000182782,0.727231301
9606013,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.21E-21,0,4.63E-05,0,0.000182782,0.727231301
207179,0.000182782,0,0,2.79E-34,0.012112089,0,0,4.45E-21,0,4.63E-05,0,0.000182782,0.363615651
8135,0.000365564,0,0.000571194,3.33E-30,0.014897869,0,3.5,0,5.99E-19,0.000224444,5,0,2.181693904
9305052,0.000182782,0,0,2.79E-34,0.012112089,0,0,7.92E-21,0,4.63E-05,0,0.000182782,0.727231301
9602074,0.000365564,2.44E-05,0.000984684,2.65E-21,0.013579,2.44E-05,6.948015873,-2.83E-19,-3.04E-19,0.00017406,2,0.000182782,0.727231301
9702104,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.84E-20,0,4.63E-05,0,0.000182782,0.727231301
9907001,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.73E-20,0,4.63E-05,0,0.000182782,0.727231301
208072,0.000731128,4.01E-07,0.000548346,6.57E-29,0.014800972,4.01E-07,3.666666667,-1.26E-20,6.86E-19,0.000247546,2,0.000365564,0.727231301
9511065,0.000365564,7.62E-06,0.002062009,2.93E-22,0.013617388,7.62E-06,12.80714286,6.08E-20,9.52E-19,0.000170716,2,0.000182782,0.727231301
9310032,0.000182782,0,0,2.79E-34,0.012112089,0,0,-8.32E-21,0,4.63E-05,0,0.000182782,0.727231301
9605004,0.000182782,0,0,2.79E-34,0.012112089,0,0,4.05E-20,0,4.63E-05,0,0.000182782,0.727231301
9303160,0.000182782,0,0,2.79E-34,0.012112089,0,0,-4.09E-20,0,4.63E-05,0,0.000182782,0.727231301
9306118,0.000182782,0,0,2.79E-34,0.012112089,0,0,-3.54E-20,0,4.63E-05,0,0.000182782,0.727231301
9804205,0.000365564,2.67E-07,0.000417787,3.31E-30,0.01368666,2.67E-07,2.5,1.82E-20,7.65E-19,0.00018522,3,0.000182782,0.727231301
9510221,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.74E-20,0,4.63E-05,0,0.000182782,0.363615651
9408165,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,1.69E-20,-2.14E-19,8.55E-05,1,0.000182782,0.727231301
9612025,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,2.65E-21,-4.72E-20,8.55E-05,2,0.000182782,0.363615651
202032,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.13E-20,0,4.63E-05,0,0.000182782,0.363615651
9511037,0.000548346,5.51E-06,0.000411259,1.14E-30,0.014655627,5.51E-06,2.5,-4.52E-20,1.22E-19,0.000157963,5,0.000182782,0.727231301
9304035,0.000182782,0,0,2.79E-34,0.012112089,0,0,-6.43E-20,0,4.63E-05,0,0.000182782,0.727231301
9906069,0.000182782,0,0,2.79E-34,0.012112089,0,0,-4.53E-21,0,4.63E-05,0,0.000182782,1.090846952
9504117,0.000182782,0,0,2.79E-34,0.012112089,0,0,5.91E-22,0,4.63E-05,0,0.000182782,0.727231301
9408025,0.000182782,0,0,2.79E-34,0.012112089,0,0,-5.22E-20,0,4.63E-05,0,0.000182782,0.727231301
3112,0.000731128,2.67E-07,0.000584902,1.17E-30,0.015866836,2.67E-07,3.5,-3.26E-20,1.50E-19,0.000197187,5,0.000182782,0.727231301
207064,0.000182782,0,0.000243709,1.12E-30,0.013444419,0,1.5,0,-4.52E-19,0.000118739,1,0,0.363615651
9411031,0.000365564,3.64E-06,0.000182782,2.51E-32,0.013323298,3.64E-06,1,7.63E-21,-2.53E-19,8.55E-05,3,0.000182782,0.363615651
9207074,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.20E-20,0,4.63E-05,0,0.000182782,0.727231301
9307184,0.000182782,0,0,2.79E-34,0.012112089,0,0,-3.04E-20,0,4.63E-05,0,0.000182782,1.090846952
9509106,0.000182782,0,0,2.79E-34,0.012112089,0,0,7.79E-20,0,4.63E-05,0,0.000182782,0.727231301
9608042,0.000182782,0,0,2.79E-34,0.012112089,0,0,8.60E-20,0,4.63E-05,0,0.000182782,0.727231301
2231,0.000548346,5.35E-07,0.000487419,2.24E-30,0.014776748,5.35E-07,3,-3.55E-20,-2.93E-19,0.000191204,4,0.000182782,0.727231301
203026,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,-7.92E-21,-6.86E-19,8.55E-05,2,0.000182782,0.727231301
9609131,0.000365564,2.67E-07,0.000243709,1.12E-30,0.013444419,2.67E-07,1.5,-1.09E-20,-3.90E-19,0.000118739,2,0.000182782,0.727231301
9509022,0.000548346,0,0.000548346,7.49E-32,0.015745715,0,3,0,9.48E-19,0.000163946,5,0,0.727231301
9909215,0.00091391,8.42E-05,0.002778714,1.20E-22,0.017821037,8.42E-05,19.98690476,1.93E-19,-3.26E-19,0.001657426,6,0.000182782,0.727231301
9202001,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.98E-21,0,4.63E-05,0,0.000182782,0.727231301
9906130,0.000365564,1.00E-07,0.000274173,3.29E-29,0.013456531,1.00E-07,1.833333333,-2.33E-20,-2.22E-19,0.000146911,2,0.000182782,0.727231301
9905084,0.000182782,0,0,2.79E-34,0.012112089,0,0,-5.03E-21,0,4.63E-05,0,0.000182782,0.363615651
204158,0.001645037,3.48E-06,0.004775289,5.56E-23,0.02391127,3.48E-06,34.58333333,6.62E-19,1.44E-18,0.002652845,14,0.000182782,0.727231301
9405096,0.000365564,1.24E-06,0.000182782,2.51E-32,0.013323298,1.24E-06,1,-1.99E-20,6.98E-19,8.55E-05,1,0.000182782,0.727231301
9312172,0.000548346,7.39E-05,0.000792055,2.12E-25,0.013862782,7.39E-05,5.2,-3.79E-19,1.15E-19,0.000160778,1,0.000365564,0.727231301
9212040,0.000182782,0,0,2.79E-34,0.012112089,0,0,-7.21E-21,0,4.63E-05,0,0.000182782,0.727231301
9306129,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.75E-20,0,4.63E-05,0,0.000182782,0.727231301
204223,0.000365564,1.34E-07,0.000243709,1.12E-30,0.013444419,1.34E-07,1.5,8.63E-21,7.75E-20,0.000118739,1,0.000182782,0.727231301
9803136,0.000182782,0,0.001877826,1.15E-19,0.01346782,0,12.07344877,0,3.30E-19,0.00046135,3,0,0.727231301
9204054,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,-2.12E-20,-6.41E-19,8.55E-05,2,0.000182782,0.727231301
9303115,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.21E-19,0,4.63E-05,0,0.000182782,0.727231301
9303068,0.000182782,0,0,2.79E-34,0.012112089,0,0,-9.00E-20,0,4.63E-05,0,0.000182782,0.727231301
2014,0.000182782,0,0.000243709,1.12E-30,0.013444419,0,1.5,0,6.55E-19,0.000118739,2,0,0.363615651
209042,0.000548346,2.67E-07,0.000417787,3.29E-29,0.014667739,2.67E-07,2.833333333,-2.52E-20,-4.86E-19,0.000186134,4,0.000182782,0.727231301
9802116,0.000731128,0.000300822,0.030642441,0.123740824,0.014134511,0.000300822,190.3730817,-5.26E-18,2.07E-19,0.001903967,2,0.000548346,0.727231301
210066,0.000182782,0,0.000243709,1.12E-30,0.013444419,0,1.5,0,6.24E-19,0.000118739,3,0,0.727231301
9511154,0.000731128,0.000917335,0.009452201,5.18E-17,0.013498831,0.000917335,55.75353535,7.54E-19,-3.47E-19,0.000514793,3,0.000548346,0.727231301
212014,0.000182782,0,0.000589619,1.37E-26,0.01360563,0,3.95,0,1.33E-19,0.000328644,2,0,0.727231301
9206080,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.60E-19,0,4.63E-05,0,0.000182782,0.727231301
9406056,0.000365564,1.34E-06,0.000182782,2.51E-32,0.013323298,1.34E-06,1,2.89E-20,-5.27E-19,8.55E-05,1,0.000182782,0.727231301
9710002,0.000182782,0,0,2.79E-34,0.012112089,0,0,-9.29E-20,0,4.63E-05,0,0.000182782,0.727231301
9410114,0.000365564,8.02E-07,0.000182782,2.51E-32,0.013323298,8.02E-07,1,1.03E-19,6.54E-19,8.55E-05,1,0.000182782,1.454462603
9505176,0.000182782,0,0,2.79E-34,0.012112089,0,0,4.10E-20,0,4.63E-05,0,0.000182782,0.363615651
9902109,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,9.68E-21,1.38E-20,8.55E-05,1,0.000182782,0.727231301
9207068,0.000182782,0,0,2.79E-34,0.012112089,0,0,-6.68E-21,0,4.63E-05,0,0.000182782,0.727231301
9611039,0.000365564,2.17E-05,0.006375939,4.26E-16,0.013458277,2.17E-05,37.46245144,-3.94E-20,-5.71E-19,0.000399971,3,0.000182782,0.727231301
9903217,0.000365564,1.27E-06,0.000182782,2.51E-32,0.013323298,1.27E-06,1,-1.37E-20,-1.25E-19,8.55E-05,2,0.000182782,0.727231301
203124,0.000548346,1.40E-06,0.000587299,2.39E-23,0.014791552,1.40E-06,4.977380952,4.00E-20,3.36E-19,0.00038525,5,0.000182782,0.727231301
9412027,0.000365564,0.000116118,0.001455785,2.46E-24,0.013927002,0.000116118,9.442857143,-2.32E-20,1.55E-19,0.000287091,1,0.000182782,0.727231301
9805009,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,1.93E-20,2.35E-19,8.55E-05,3,0.000182782,0.727231301
9305068,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.41E-20,0,4.63E-05,0,0.000182782,0.727231301
2186,0.00091391,9.32E-05,0.008434031,1.43E-12,0.017713442,9.32E-05,54.58241505,-2.81E-22,-2.37E-18,0.000611353,10,0.000182782,0.727231301
9912003,0.000182782,0,0.000182782,2.51E-32,0.013323298,0,1,0,-3.20E-19,8.55E-05,1,0,0.727231301
9412078,0.000365564,1.34E-07,0.000182782,2.51E-32,0.013323298,1.34E-07,1,-2.44E-21,-7.00E-19,8.55E-05,3,0.000182782,0.363615651
9701050,0.000365564,1.34E-07,0.000243709,1.12E-30,0.013444419,1.34E-07,1.5,4.03E-20,-2.38E-19,0.000118739,1,0.000182782,0.727231301
9408032,0.000182782,0,0,2.79E-34,0.012112089,0,0,-5.37E-21,0,4.63E-05,0,0.000182782,0.727231301
9505157,0.000182782,0,0,2.79E-34,0.012112089,0,0,-5.82E-20,0,4.63E-05,0,0.000182782,0.727231301
207280,0.000548346,2.67E-07,0.000487419,2.24E-30,0.014776748,2.67E-07,3,3.47E-20,1.48E-19,0.000191204,6,0.000182782,0.727231301
9211112,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.05E-20,0,4.63E-05,0,0.000182782,0.727231301
9711201,0.000365564,2.51E-06,0.000721508,3.62E-25,0.013607108,2.51E-06,4.933333333,-1.97E-20,5.00E-19,0.000209419,1,0.000182782,0.727231301
9307186,0.000365564,1.70E-06,0.000182782,2.51E-32,0.013323298,1.70E-06,1,-1.47E-20,-1.38E-19,8.55E-05,1,0.000182782,0.363615651
9411176,0.000731128,4.21E-06,0.000548346,7.49E-32,0.015745715,4.21E-06,3,2.58E-20,5.04E-19,0.000163946,4,0.000182782,0.727231301
9505128,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.29E-21,0,4.63E-05,0,0.000182782,0.363615651
8201,0.000365564,6.68E-07,0.000351504,7.47E-28,0.013469854,6.68E-07,2.416666667,-2.30E-20,2.91E-19,0.000199007,2,0.000182782,0.727231301
9203070,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.29E-20,0,4.63E-05,0,0.000182782,0.727231301
204112,0.000365564,2.67E-07,0.000243709,1.12E-30,0.013444419,2.67E-07,1.5,5.53E-20,3.15E-19,0.000118739,2,0.000182782,0.727231301
9708165,0.000182782,0,0.000182782,2.51E-32,0.013323298,0,1,0,-4.53E-19,8.55E-05,1,0,0.727231301
209148,0.000365564,1.67E-07,0.000380796,7.16E-28,0.013578863,1.67E-07,2.583333333,-1.39E-20,-4.29E-19,0.000204076,2,0.000182782,0.727231301
9709227,0.000548346,1.00E-07,0.000411259,1.14E-30,0.014655627,1.00E-07,2.5,6.93E-20,-2.21E-19,0.000157963,5,0.000182782,0.727231301
9511118,0.000365564,6.68E-08,0.000182782,2.51E-32,0.013323298,6.68E-08,1,2.68E-20,-2.85E-20,8.55E-05,1,0.000182782,0.727231301
9803229,0.000365564,1.00E-07,0.000182782,2.51E-32,0.013323298,1.00E-07,1,4.76E-20,-3.98E-19,8.55E-05,2,0.000182782,0.727231301
206104,0.000365564,6.68E-08,0.000182782,2.51E-32,0.013323298,6.68E-08,1,3.22E-21,5.44E-19,8.55E-05,1,0.000182782,0.727231301
9911028,0.000365564,4.01E-07,0.000365564,3.39E-29,0.013577651,4.01E-07,2.333333333,2.34E-20,6.82E-19,0.000180151,1,0.000182782,0.727231301
9606133,0.000365564,0.000117087,0.000577681,6.53E-23,0.013592335,0.000117087,4.503571429,-2.86E-20,4.36E-19,0.000394269,2,0.000182782,0.727231301
9510057,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.68E-20,0,4.63E-05,0,0.000182782,0.727231301
9308054,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.93E-20,0,4.63E-05,0,0.000182782,0.363615651
1163,0.000365564,3.01E-07,0.000274173,3.29E-29,0.013456531,3.01E-07,1.833333333,7.65E-21,-1.51E-19,0.000146911,3,0.000182782,0.727231301
9205091,0.000182782,0,0,2.79E-34,0.012112089,0,0,4.08E-20,0,4.63E-05,0,0.000182782,0.727231301
9803237,0.000365564,0,0.001124694,2.16E-20,0.014815775,0,8.940079365,0,9.87E-19,0.000190523,3,0,0.727231301
9311050,0.000182782,0,0,2.79E-34,0.012112089,0,0,4.44E-20,0,4.63E-05,0,0.000182782,0.727231301
9911063,0.000548346,2.00E-07,0.000365564,5.00E-32,0.014534506,2.00E-07,2,7.17E-20,8.65E-19,0.000124722,4,0.000182782,0.727231301
9404155,0.000182782,0,0,2.79E-34,0.012112089,0,0,9.08E-20,0,4.63E-05,0,0.000182782,0.363615651
9603187,0.001827819,0.000218231,0.003167954,2.67E-22,0.023403287,0.000218231,24.1797619,1.52E-19,-2.31E-17,0.001113442,12,0.000365564,0.727231301
9712066,0.000548346,2.78E-05,0.010575367,6.57E-05,0.015256456,2.78E-05,74.67223677,-7.91E-21,5.93E-19,0.000495673,5,0.000182782,0.727231301
9207003,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.31E-20,0,4.63E-05,0,0.000182782,0.727231301
9710142,0.000182782,0,0.014496598,6.57E-05,0.01347884,0,90.6916731,0,2.58E-19,0.000350552,1,0,0.727231301
2213,0.000182782,0,0.008599326,1.45E-11,0.013460827,0,51.32343382,0,-3.36E-19,0.000338547,1,0,0.727231301
9804172,0.000365564,1.17E-06,0.000182782,2.51E-32,0.013323298,1.17E-06,1,4.84E-20,-9.18E-19,8.55E-05,2,0.000182782,0.727231301
9602160,0.000365564,3.34E-08,0.000182782,2.51E-32,0.013323298,3.34E-08,1,-5.97E-21,7.45E-19,8.55E-05,1,0.000182782,0.727231301
9412064,0.000731128,6.22E-06,0.000411259,1.14E-30,0.014655627,6.22E-06,2.5,-8.42E-20,2.68E-19,0.000157963,4,0.000365564,0.727231301
9608093,0.000731128,0.000289338,0.003660421,2.24E-21,0.017691189,0.000289338,25.46587302,2.42E-20,2.20E-18,0.00108968,5,0.000182782,0.727231301
9611237,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.87E-20,0,4.63E-05,0,0.000182782,0.727231301
9508064,0.000365564,3.10E-05,0.000329007,2.21E-30,0.013565539,3.10E-05,2,-2.69E-18,-6.64E-20,0.00015198,2,0.000182782,0.727231301
5254,0.000182782,0,0.001528639,2.26E-22,0.013540194,0,9.932539683,0,6.09E-19,0.000380987,2,0,0.727231301
9310052,0.000365564,0,0.000365564,5.00E-32,0.014534506,0,2,0,-6.10E-19,0.000124722,4,0,0.727231301
9905136,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.90E-20,0,4.63E-05,0,0.000182782,0.727231301
9412221,0.000365564,3.54E-06,0.000365564,3.39E-29,0.013577651,3.54E-06,2.333333333,-8.45E-21,1.65E-19,0.000113213,1,0.000182782,0.727231301
9906121,0.000182782,0,0,2.79E-34,0.012112089,0,0,5.70E-20,0,4.63E-05,0,0.000182782,0.727231301
209120,0.000548346,2.00E-07,0.000548346,6.57E-29,0.014800972,2.00E-07,3.666666667,2.44E-20,5.64E-19,0.000202755,6,0.000182782,0.727231301
201017,0.000365564,4.01E-07,0.000292451,7.15E-28,0.013457742,4.01E-07,2.083333333,-1.68E-20,-2.39E-19,0.000170836,3,0.000182782,0.727231301
9304112,0.000365564,1.50E-06,0.000182782,2.51E-32,0.013323298,1.50E-06,1,5.68E-21,7.28E-19,8.55E-05,3,0.000182782,0.727231301
9205093,0.000182782,0,0,2.79E-34,0.012112089,0,0,-3.20E-20,0,4.63E-05,0,0.000182782,0.363615651
9707057,0.000182782,0,0,2.79E-34,0.012112089,0,0,-9.61E-21,0,4.63E-05,0,0.000182782,0.727231301
9804068,0.000182782,0,0.019631913,0.000262624,0.013563845,0,124.5806221,0,-1.02E-18,0.000545026,1,0,0.727231301
11014,0.00091391,4.01E-07,0.001052824,7.82E-28,0.017478955,4.01E-07,7.25,-7.08E-20,-1.24E-18,0.000444572,9,0.000182782,0.727231301
9607115,0.000182782,0,0,2.79E-34,0.012112089,0,0,8.24E-21,0,4.63E-05,0,0.000182782,0.727231301
9706210,0.001096692,0.000130721,0.011069764,3.28E-05,0.018425887,0.000130721,82.93488703,2.84E-19,-1.74E-18,0.000859841,6,0.000365564,0.727231301
9508016,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.23E-20,0,4.63E-05,0,0.000182782,0.727231301
9502006,0.000365564,1.98E-05,0.001639361,2.29E-25,0.013521815,1.98E-05,9.966666667,3.57E-20,-4.48E-20,0.000490652,2,0.000182782,0.727231301
9206015,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.50E-19,0,4.63E-05,0,0.000182782,0.727231301
