,S.No,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank,Rank_prestige,Authorities-Score,score
29,29,9610162,0.00516951,0.115460882,0.051366863,7.82e-19,0.053852732,0.00516951,0.005127076,0.046876939,0.019071302,0.013976486,0.024192566,0.169230769,0.013976486,0.018870113
30,30,9403187,0.000494144,0.002083482,0.018226827,1.13e-42,0.000889599,0.000494144,0.000510301,0.0,0.016583744,0.006028864,0.001794055,0.009615385,0.006028864,0.094355737
31,31,9606049,0.002111078,0.088835637,0.038939357,1.38e-20,0.030904981,0.002111078,0.001997875,0.056300605,0.014925366,0.015214743,0.006143281,0.119230769,0.015214743,0.522107386
33,33,9710046,0.105674666,0.219041969,0.147472921,1.41e-15,0.176536599,0.105674666,0.104846056,0.306894872,0.029021553,0.027002465,0.131816324,0.553846154,0.027002465,0.182422166
34,34,9912188,0.000877179,0.284408761,0.024026334,1.41e-07,0.010876586,0.000877179,0.00091469,0.386173523,0.016583744,0.007618165,0.004131764,0.036538462,0.007618165,0.069193809
36,36,9608104,0.000947354,0.080734016,0.020712345,4.01e-21,0.019467832,0.000947354,0.00099292,0.71155569,0.003316757,0.004904128,0.019571514,0.086538462,0.004904128,0.012579552
38,38,9602147,2.11e-06,0.004020467,0.004142316,2.71e-40,0.001378408,2.11e-06,1.06e-06,0.525336205,0.00165873,0.000628036,0.001087306,0.011538462,0.000628036,0.006291814
40,40,9807124,0.01205718,0.263794393,0.073736378,5.38e-09,0.11755008,0.01205718,0.012512472,0.000658836,0.009950251,0.01016894,0.101220067,0.3,0.01016894,0.012579552
49,49,3298,0.003766023,0.314909201,0.031482846,4.88e-07,0.030523624,0.003766023,0.003712918,0.349394787,0.007462693,0.008686664,0.042404948,0.111538462,0.008686664,0.006291814
51,51,9607223,0.006380895,0.099475179,0.01905534,5.27e-21,0.019972044,0.006380895,0.006595995,0.403613589,0.00165873,0.002361247,0.018049285,0.080769231,0.002361247,0.22016505
52,52,102198,2.27e-05,0.462059589,0.017398335,2.2e-05,0.029500355,2.27e-05,2.64e-05,0.546413164,0.003316757,0.007149967,0.011579813,0.075,0.007149967,0.232746014
54,54,109013,0.000280113,0.553279746,0.029825841,0.000225621,0.100907634,0.000280113,0.000281628,0.000329418,0.000829365,0.001096792,0.089628837,0.138461539,0.001096792,0.088065176
55,55,109155,0.0,0.130745324,0.022369329,4.76e-17,0.055322116,0.0,0.0,0.747174309,0.0,3.17e-19,0.039034298,0.103846154,3.17e-19,0.006291814
56,56,211121,0.0,0.608331194,0.014084325,0.000214774,0.06649882,0.0,0.0,0.315670506,0.0,3.17e-19,0.10412698,0.071153846,3.17e-19,0.012579552
57,57,212020,6.96e-05,0.19798926,0.024026334,8.53e-11,0.047622775,6.96e-05,7.1e-05,0.059831708,0.000829365,0.000106186,0.067431478,0.107692308,0.000106186,0.056612846
58,58,9909032,5.56e-05,0.190963048,0.014912838,4.05e-13,0.05002572,5.56e-05,5.76e-05,0.402598184,0.000829365,0.002144683,0.029248541,0.069230769,0.002144683,0.088065176
64,64,9707022,6.2e-05,0.159214333,0.032311338,7.22e-16,0.063658856,6.2e-05,6.32e-05,0.456135923,0.000829365,0.00249398,0.056065865,0.153846154,0.00249398,0.0
65,65,9309097,0.000643265,0.000846596,0.056337857,1.09e-44,0.000468209,0.000643265,0.000698053,0.217447147,0.055555548,0.028687962,0.000706749,0.003846154,0.028687962,0.031450918
66,66,9504090,0.004204613,0.006576745,0.143330419,1.91e-37,0.001206928,0.004204613,0.004404953,0.005062054,0.140961847,0.199979447,0.003751207,0.017307692,0.199979447,0.358555334
67,67,9510234,0.003268955,0.047384822,0.043910351,2.26e-25,0.006494194,0.003268955,0.003279644,0.0,0.033996688,0.058126074,0.003207554,0.046153846,0.058126074,0.0
68,68,9603150,0.007836778,0.078675087,0.064622861,1.7400000000000003e-21,0.0192122,0.007836778,0.007811991,0.000658836,0.051409611,0.063341635,0.00347938,0.061538462,0.063341635,0.018870113
69,69,9702155,0.003584739,0.079572205,0.03645384,1.93e-19,0.008367451,0.003584739,0.003797165,0.0,0.024046438,0.015823428,0.006686934,0.059615385,0.015823428,0.012579552
70,70,9702198,0.003321586,0.1154749,0.041424854,3.86e-18,0.042171339,0.003321586,0.002804246,0.034282875,0.02072968,0.032205242,0.008263528,0.117307692,0.032205242,0.006291814
75,75,9508107,0.005298163,0.019413521,0.017398335,1.1300000000000001e-29,0.004480038,0.005298163,0.005614509,0.0,0.008291872,0.01635869,0.008644085,0.05,0.01635869,0.270488746
77,77,9608039,0.000404672,0.054620888,0.019883832,3.35e-23,0.008242237,0.000404672,0.00041823,0.156859754,0.011608629,0.010461721,0.00092421,0.042307692,0.010461721,0.301941076
78,78,9605200,0.023047126,0.100698099,0.063794369,2.71e-20,0.035318092,0.023047126,0.023893137,0.0,0.041459361,0.081242891,0.006741299,0.121153846,0.081242891,0.044031882
79,79,9710021,0.000883027,0.121145512,0.017398335,5.56e-17,0.022785906,0.000883027,0.000854513,0.004913816,0.002487558,0.000505083,0.048228017,0.071153846,0.000505083,0.006291814
80,80,9706110,0.056901626,0.169904428,0.099419882,8.47e-16,0.104821852,0.056901626,0.058059502,0.104354405,0.049751254,0.097137016,0.030118386,0.257692308,0.097137016,0.0
82,82,1025,0.000319293,0.295877334,0.01574133,4.65e-07,0.007103095,0.000319293,0.000346017,0.000494127,0.008291872,0.002598769,0.003153188,0.030769231,0.002598769,0.195003129
84,84,9407025,0.000126899,0.001763369,0.01905534,2.9900000000000003e-43,0.000983242,0.000126899,0.000102903,0.09348921,0.016583744,0.005644638,0.000978576,0.015384615,0.005644638,0.025160516
85,85,9708065,0.001040919,0.140273344,0.021540837,3.75e-16,0.01643006,0.001040919,0.001035044,0.366915127,0.011608629,0.010132543,0.006795665,0.05,0.010132543,0.138388872
86,86,9704151,0.012563547,0.124418948,0.072907865,2.95e-17,0.018680815,0.012563547,0.013638082,0.000329418,0.057213926,0.089146431,0.007176222,0.075,0.089146431,0.069193809
88,88,9711124,0.0003959,0.114286699,0.027340344,1.9e-16,0.010471029,0.0003959,0.000436885,0.261903891,0.016583744,0.010570911,0.003207554,0.059615385,0.010570911,0.0
89,89,9404092,0.004122743,0.007053457,0.01905534,5.65e-30,0.002802781,0.004122743,0.004230439,0.064191077,0.011608629,0.000880228,0.013645695,0.038461538,0.000880228,0.012579552
90,90,9811004,0.003192933,0.308012005,0.038939357,1.77e-06,0.033079481,0.003192933,0.003291679,0.000329418,0.026533995,0.027229997,0.004457956,0.057692308,0.027229997,0.018870113
92,92,9810244,0.004701681,0.34154022,0.026511831,2.75e-05,0.067591771,0.004701681,0.004633625,0.005380491,0.007462693,0.006189541,0.024301297,0.088461538,0.006189541,0.0
93,93,9811131,0.012075718,0.31140653,0.058823354,4.92e-06,0.018659172,0.012075718,0.01255237,0.342968482,0.036484246,0.04654297,0.021039378,0.111538462,0.04654297,0.069193809
95,95,9412074,0.000336837,0.013136706,0.011598828,4.25e-30,0.003609593,0.000336837,0.00035023,0.499183023,0.004145936,0.000463168,0.002609535,0.036538462,0.000463168,0.176131763
96,96,9806177,0.008315894,0.310315275,0.034796855,8.11e-07,0.088180265,0.008315894,0.008337877,0.376648644,0.004975115,0.004142661,0.062931661,0.128846154,0.004142661,0.050322443
97,97,1206,0.013586571,0.433497433,0.077050367,0.000204932,0.026527102,0.013586571,0.014311161,0.0,0.066334998,0.026219062,0.004077399,0.051923077,0.026219062,0.100646139
100,100,9911068,0.012562552,0.418584722,0.048881366,2.9e-05,0.072177106,0.012562552,0.012864147,0.279576547,0.019071302,0.00316463,0.021148109,0.144230769,0.00316463,0.025160516
102,102,2205,0.000578354,0.437463029,0.025683339,4.77e-05,0.080353029,0.000578354,0.000571079,0.001647089,0.003316757,0.001732513,0.040502162,0.117307692,0.001732513,0.125808067
103,103,2222,0.016108813,0.423464411,0.05385236,2.81e-05,0.068002435,0.016108813,0.016680448,0.104419818,0.024046438,0.036284261,0.03936049,0.144230769,0.036284261,0.0
104,104,9712011,2.18e-05,0.144354741,0.009941823,6.87e-16,0.021673453,2.18e-05,2.18e-05,0.001317671,0.004145936,0.00987609,0.00173969,0.028846154,0.00987609,0.452912324
105,105,7075,0.00500577,0.461809093,0.021540837,3.24e-05,0.03441866,0.00500577,0.005109023,0.006055013,0.007462693,0.004568803,0.017940555,0.076923077,0.004568803,0.075484212
107,107,11197,0.002923931,0.355973674,0.078707372,4.17e-07,0.139125648,0.002923931,0.002936635,0.318070748,0.006633494,0.001781414,0.112336143,0.336538462,0.001781414,0.0
108,108,104147,0.004467766,0.549491892,0.033968343,0.000179481,0.078616182,0.004467766,0.004495218,0.091798385,0.01077943,0.013129301,0.046427981,0.121153846,0.013129301,0.031450918
111,111,109069,0.000976593,0.557233245,0.03645384,0.000205392,0.091751107,0.000976593,0.001004955,0.000988253,0.004975115,0.008326329,0.065181297,0.155769231,0.008326329,0.25161738
112,112,111154,0.00549699,0.63380511,0.042253346,0.001218239,0.126639619,0.00549699,0.005458049,0.231283292,0.012437808,0.006231456,0.032129903,0.140384615,0.006231456,0.125808067
113,113,112006,0.0,0.392133895,0.012427341,4.45e-06,0.02287185,0.0,0.0,0.0,0.0,3.17e-19,0.095269782,0.071153846,3.17e-19,0.157260397
114,114,203111,0.000388883,0.622452359,0.014912838,0.000268889,0.048267428,0.000388883,0.000400778,0.0,0.000829365,0.000697895,0.049876373,0.080769231,0.000697895,0.031450918
115,115,206012,2.95e-07,0.590625054,0.004142316,0.000199787,0.015141374,2.95e-07,2.98e-07,0.0,0.000829365,0.000664363,0.018864765,0.019230769,0.000664363,0.075484212
116,116,303087,0.0,0.897293082,0.033968343,0.019875282,0.226868008,0.0,0.0,0.561167989,0.0,3.17e-19,0.272112549,0.169230769,3.17e-19,0.025160516
118,118,9512149,0.0,0.042619171,0.011598828,4.96e-24,0.004885841,0.0,0.0,0.48226298,0.0,3.17e-19,0.019517149,0.059615385,3.17e-19,0.037741479
120,120,9311042,2.79e-05,0.000423298,0.018226827,5.43e-45,0.000234104,2.79e-05,2.2e-05,0.019076167,0.018242123,0.012847279,0.000271827,0.001923077,0.012847279,0.125808067
121,121,9602114,0.010598723,0.073436039,0.102733892,1.3e-22,0.010441674,0.010598723,0.011067744,0.0,0.093698172,0.109875594,0.00848099,0.044230769,0.109875594,0.213874496
122,122,9905036,0.000203506,0.09164678,0.010770336,5.12e-19,0.012287847,0.000203506,0.000217841,0.023092854,0.005804315,0.001886203,0.005599628,0.019230769,0.001886203,0.132098469
123,123,9507012,0.001713424,0.023801022,0.056337857,1.3600000000000002e-27,0.003486261,0.001713424,0.001763185,0.10629911,0.050580433,0.132797293,0.002011517,0.036538462,0.132797293,0.025160516
126,126,2004,0.000442683,0.30017664,0.014084325,5.76e-07,0.012242168,0.000442683,0.000440495,0.476728889,0.003316757,0.002067838,0.008915912,0.059615385,0.002067838,0.056612846
129,129,12041,0.00363737,0.458515823,0.026511831,3.63e-05,0.025538296,0.00363737,0.003767077,0.0,0.019071302,0.01408861,0.006686934,0.040384615,0.01408861,0.018870113
131,131,9401139,0.009971365,0.004911431,0.176470435,4.25e-30,0.001921999,0.009971365,0.010403451,0.06868252,0.171641799,0.109768779,0.002283343,0.030769231,0.109768779,0.125808067
132,132,9611137,0.009699673,0.10926197,0.1019054,4.81e-19,0.061213429,0.009699673,0.009644439,0.096759703,0.050580433,0.144566362,0.025279873,0.255769231,0.144566362,0.132098469
133,133,9712028,0.010138789,0.190480372,0.060480359,9.71e-14,0.046091843,0.010138789,0.010560934,0.018238766,0.041459361,0.075575339,0.012667119,0.088461538,0.075575339,0.069193809
134,134,9908144,0.003403456,0.328918344,0.035625347,9.29e-06,0.024944689,0.003403456,0.003604599,0.00444714,0.026533995,0.007358567,0.009024643,0.048076923,0.007358567,0.0
135,135,9410167,0.003713392,0.003931733,0.293289024,4.25e-30,0.000917925,0.003713392,0.004086015,0.000329418,0.291873966,0.221447303,0.000434923,0.011538462,0.221447303,0.0
137,137,9504006,0.004549637,0.01368256,0.067936871,1.41e-29,0.003437567,0.004549637,0.004573448,0.0,0.060530683,0.047671479,0.001413498,0.042307692,0.047671479,0.012579552
138,138,9504034,0.000583617,0.009126087,0.048881366,4.25e-30,0.002423858,0.000583617,0.000543398,0.101910434,0.043946939,0.041742933,0.000869845,0.030769231,0.041742933,0.031450918
139,139,9506126,0.006037684,0.030870588,0.078707372,3.48e-27,0.010590052,0.006037684,0.006189921,0.000329418,0.060530683,0.048642664,0.005545262,0.084615385,0.048642664,0.0
140,140,9504081,0.005315706,0.023702904,0.099419882,1.58e-28,0.003754814,0.005315706,0.005548315,0.050750046,0.090381435,0.082434971,0.010927429,0.05,0.082434971,0.0
141,141,9507090,0.004368353,0.038404377,0.07456487,4.8700000000000004e-27,0.0122517,0.004368353,0.004495218,0.722697104,0.057213926,0.060297024,0.007230587,0.078846154,0.060297024,0.0
143,143,9412209,0.008903136,0.010110303,0.029825841,9.889999999999999e-30,0.003601779,0.008903136,0.009179753,0.004897345,0.02072968,0.01244426,0.00685003,0.051923077,0.01244426,0.100646139
144,144,9508143,0.010475567,0.049669651,0.156586438,1.66e-24,0.007031995,0.010475567,0.011069128,0.002251022,0.147595361,0.243669151,0.002120247,0.044230769,0.243669151,0.012579552
145,145,9508154,0.005953357,0.050041087,0.059651867,1.3e-24,0.010628871,0.005953357,0.006005659,0.298983261,0.047263675,0.067677946,0.01032941,0.065384615,0.067677946,0.320812442
146,146,9509106,0.038244374,0.07186594,0.034796855,3.13e-24,0.023035632,0.038244374,0.040623592,0.004611849,0.004975115,0.007543345,0.045068848,0.142307692,0.007543345,0.006291814
148,148,9709180,0.008155604,0.182760363,0.041424854,2.77e-14,0.041076485,0.008155604,0.008455463,0.586432843,0.009121051,0.011499901,0.015113558,0.148076923,0.011499901,0.018870113
149,149,9907061,4.4e-05,0.129164786,0.004970829,9.77e-15,0.007553282,4.4e-05,4.93e-05,0.089486514,0.000829365,0.000168361,0.001032941,0.021153846,0.000168361,0.056612846
150,150,9902012,0.003672457,0.293901102,0.014912838,5.03e-06,0.010901939,0.003672457,0.00378513,0.170700399,0.007462693,0.003499955,0.005001609,0.042307692,0.003499955,0.025160516
152,152,9609112,0.008061161,0.049345189,0.038939357,5.99e-25,0.008654313,0.008061161,0.008188398,0.817858153,0.023217238,0.008850345,0.014189348,0.084615385,0.008850345,0.094355737
153,153,9905078,5.51e-05,0.269742018,0.008284818,8.58e-08,0.013259995,5.51e-05,6.26e-05,0.289894231,0.002487558,0.001746484,0.00163096,0.030769231,0.001746484,0.106936542
154,154,9510023,0.003420999,0.051697766,0.025683339,2.24e-25,0.011138982,0.003420999,0.003586546,0.021227579,0.01077943,0.06135721,0.010655602,0.071153846,0.06135721,0.025160516
155,155,9607201,0.010474105,0.083241345,0.106047902,1.01e-20,0.019512863,0.010474105,0.010521157,0.000494127,0.089552236,0.064490403,0.004675417,0.082692308,0.064490403,0.088065176
156,156,9707099,0.001070159,0.153162721,0.039767849,1.15e-14,0.046485652,0.001070159,0.001077167,0.0,0.009950251,0.005658609,0.010003218,0.136538462,0.005658609,0.050322443
157,157,9603089,0.002777734,0.069816121,0.024026334,1.18e-21,0.008827696,0.002777734,0.002882476,0.012309638,0.016583744,0.01623455,0.001576594,0.034615385,0.01623455,0.018870113
158,158,9603186,6.43e-05,0.064367609,0.012427341,2.3700000000000003e-21,0.006078108,6.43e-05,6.8e-05,0.120361698,0.009950251,0.022467823,0.000652384,0.013461538,0.022467823,0.006291814
159,159,9604013,0.007126438,0.065676297,0.021540837,3.63e-21,0.009775835,0.007126438,0.00736289,0.807288429,0.004145936,0.015875822,0.029900925,0.076923077,0.015875822,0.031450918
160,160,9610024,0.012570155,0.075336774,0.028168836,1.2000000000000002e-21,0.012344416,0.012570155,0.012625244,0.296668139,0.008291872,0.002228514,0.013917521,0.092307692,0.002228514,0.050322443
161,161,9610062,1.98e-05,0.075356292,0.014084325,8.510000000000001e-21,0.013203126,1.98e-05,1.99e-05,0.56895833,0.000829365,0.020864969,0.022942164,0.057692308,0.020864969,0.006291814
162,162,9712084,0.028043305,0.203986318,0.043081859,2.41e-12,0.085365646,0.028043305,0.028662581,0.377895187,0.015754565,0.007900676,0.053415555,0.128846154,0.007900676,0.132098469
163,163,9505052,0.054045063,0.043270448,0.048052853,3.15e-24,0.017869298,0.054045063,0.054680626,0.093031606,0.017412944,0.005344242,0.044199003,0.155769231,0.005344242,0.088065176
164,164,9802051,0.073712007,0.269873757,0.103562384,2.7e-12,0.148124033,0.073712007,0.076328681,0.000494127,0.038971803,0.036655144,0.078412185,0.305769231,0.036655144,0.031450918
165,165,9802067,0.083920386,0.25610373,0.108533399,3.3e-12,0.08923726,0.083920386,0.08324885,0.252777184,0.068822555,0.052762551,0.027019563,0.184615385,0.052762551,0.094355737
166,166,1021,0.000146781,0.066055703,0.005799321,5.100000000000001e-21,0.003489847,0.000146781,0.000151044,0.331605517,0.000829365,8.1e-06,0.003588111,0.030769231,8.1e-06,0.0
167,167,9505186,0.001350856,0.013267865,0.035625347,4.25e-30,0.001928579,0.001350856,0.001432211,0.000329418,0.03233831,0.013528338,0.000271827,0.017307692,0.013528338,0.132098469
173,173,9507112,0.008755594,0.02658548,0.025683339,1.16e-27,0.005734391,0.008755594,0.009134259,0.003829874,0.014925366,0.002354261,0.010709968,0.059615385,0.002354261,0.106936542
176,176,9509123,0.016398165,0.023257533,0.01905534,4.92e-28,0.00419872,0.016398165,0.017026646,0.0,0.011608629,0.001131722,0.025769161,0.034615385,0.001131722,0.006291814
178,178,9911080,0.002128622,0.305201876,0.021540837,1.04e-06,0.038778857,0.002128622,0.002106193,0.0,0.006633494,0.002354261,0.011362351,0.075,0.002354261,0.119517506
179,179,9806030,0.00456718,0.2029789,0.012427341,6.96e-13,0.030998031,0.00456718,0.004705837,0.000658836,0.002487558,0.002640684,0.013482599,0.042307692,0.002640684,0.018870113
181,181,9909215,0.017834634,0.453307862,0.047224361,0.000104044,0.09456698,0.017834634,0.018223626,0.286181119,0.026533995,0.039109863,0.012340927,0.1,0.039109863,0.018870113
183,183,9812037,0.0174723,0.351826408,0.029825841,6.38e-06,0.084154,0.0174723,0.017919732,0.130358379,0.003316757,0.007568774,0.022452876,0.123076923,0.007568774,0.150969836
184,184,9709062,0.00566073,0.161643674,0.040596342,1.82e-15,0.031013012,0.00566073,0.005837164,0.018226758,0.018242123,0.02864926,0.010166314,0.109615385,0.02864926,0.113227103
185,185,9411028,0.013160496,0.019422494,0.03645384,3.21e-28,0.004358131,0.013160496,0.013729972,0.379763191,0.026533995,0.012415408,0.022779068,0.046153846,0.012415408,0.195003129
186,186,9701019,0.009407982,0.139140087,0.042253346,1.22e-17,0.049508675,0.009407982,0.009692159,0.058692972,0.013267008,0.039838776,0.011742909,0.130769231,0.039838776,0.232746014
187,187,9502038,0.0006842,0.017280795,0.022369329,2.17e-28,0.003283578,0.0006842,0.000698053,0.167139221,0.015754565,0.00331832,0.003044458,0.042307692,0.00331832,0.050322443
188,188,9708086,0.003040888,0.123742442,0.021540837,1.36e-16,0.005536897,0.003040888,0.003207431,0.002141216,0.014096187,0.039157437,0.00429486,0.048076923,0.039157437,0.327103004
192,192,9803086,0.00972669,0.238757203,0.03645384,4.19e-12,0.035191241,0.00972669,0.009934853,0.089663123,0.015754565,0.026011999,0.013373868,0.1,0.026011999,0.0
193,193,9405002,0.006638493,0.006401018,0.018226827,4.25e-30,0.002907812,0.006638493,0.00681883,0.109948306,0.009950251,0.005581764,0.023159625,0.036538462,0.005581764,0.088065176
194,194,9802099,0.000947354,0.141906916,0.043081859,8.25e-18,0.043924141,0.000947354,0.000980884,0.007973087,0.002487558,0.003660631,0.035011264,0.194230769,0.003660631,0.075484212
196,196,9512188,0.000725135,0.067724923,0.023197842,3.9399999999999996e-23,0.017859663,0.000725135,0.000686017,0.001317671,0.007462693,0.010791946,0.009296469,0.076923077,0.010791946,0.100646139
201,201,9708089,0.006971996,0.157856581,0.020712345,1.47e-15,0.027781325,0.006971996,0.007258423,0.015181455,0.007462693,0.00469455,0.00592582,0.061538462,0.00469455,0.176131763
203,203,9612254,0.0,0.003413873,0.002485332,4.25e-30,0.000426307,0.0,0.0,0.0,0.002487558,0.027868162,5.44e-05,0.003846154,0.027868162,0.056612846
204,204,9707205,0.005298163,0.175087181,0.037282352,4.97e-15,0.048804446,0.005298163,0.005602474,0.108872047,0.00165873,0.000642706,0.031096962,0.169230769,0.000642706,0.056612846
205,205,9807135,0.001409335,0.325638986,0.024854846,4.48e-06,0.058961399,0.001409335,0.001480353,0.0039287,0.002487558,0.015255052,0.00685003,0.103846154,0.015255052,0.031450918
207,207,9612192,0.00407596,0.130533643,0.043081859,3.33e-18,0.057609421,0.00407596,0.004164245,0.0,0.004145936,0.015132589,0.016418326,0.182692308,0.015132589,0.018870113
208,208,9703136,0.010643927,0.125237423,0.03645384,3.17e-18,0.02923024,0.010643927,0.010858389,0.000494127,0.009950251,0.003793364,0.013047676,0.128846154,0.003793364,0.144679433
209,209,9909219,0.000119296,0.298421747,0.017398335,1.24e-06,0.036176379,0.000119296,0.000126973,0.266822706,0.00165873,0.001830316,0.008100432,0.067307692,0.001830316,0.025160516
210,210,9610005,0.00202336,0.110326771,0.032311338,5.14e-19,0.045256768,0.00202336,0.001913627,0.001427477,0.000829365,0.004142661,0.019680245,0.142307692,0.004142661,0.106936542
211,211,9611209,0.001111094,0.05798594,0.025683339,1.2499999999999999e-23,0.012270602,0.001111094,0.001161415,0.000329418,0.009950251,0.022051042,0.006741299,0.071153846,0.022051042,0.025160516
213,213,9510092,0.019511625,0.020751386,0.008284818,5.21e-28,0.002710959,0.019511625,0.020337281,0.447938178,0.003316757,0.001292398,0.004621052,0.019230769,0.001292398,0.201293532
214,214,9603015,7.95e-05,0.008002468,0.006627834,1.7000000000000001e-29,0.001955077,7.95e-05,8.3e-05,0.371132364,0.002487558,0.018864267,0.004240495,0.019230769,0.018864267,0.138388872
216,216,9404063,0.012744129,0.024226516,0.053023868,1e-28,0.014381599,0.012744129,0.012756249,0.062603934,0.019900501,0.006091738,0.04202439,0.15,0.006091738,0.081774773
217,217,9804208,0.000853788,0.227578943,0.043910351,1.6e-12,0.069195152,0.000853788,0.000842477,0.0,0.009950251,0.048595159,0.014243713,0.159615385,0.048595159,0.163550799
218,218,9604196,0.003730936,0.057679086,0.019883832,6.1599999999999995e-24,0.00553779,0.003730936,0.003887431,0.000658836,0.01077943,0.003248461,0.003425015,0.048076923,0.003248461,0.006291814
219,219,9706210,0.011118423,0.08833681,0.018226827,1.13e-20,0.010739902,0.011118423,0.011352622,0.3342172,0.004145936,0.001404173,0.006088916,0.065384615,0.001404173,0.018870113
222,222,9910053,0.161189296,0.494541844,0.198011458,7.29e-05,0.204164985,0.161189296,0.159586678,0.003425945,0.121890545,0.140827768,0.126248771,0.363461539,0.140827768,0.025160516
223,223,9812061,0.000105846,0.152101953,0.053023868,7.96e-16,0.036090551,0.000105846,0.000107717,0.348918819,0.000829365,1.51e-05,0.030390213,0.242307692,1.51e-05,0.025160516
224,224,9602145,0.000953201,0.076198909,0.021540837,1.82e-22,0.019793165,0.000953201,0.000986902,0.708329409,0.00165873,0.001271441,0.020930647,0.098076923,0.001271441,0.119517506
226,226,9807195,0.000394146,0.307613841,0.020712345,9.29e-07,0.077644812,0.000394146,0.000409805,0.0,0.000829365,0.000408677,0.008807181,0.096153846,0.000408677,0.006291814
228,228,9707202,0.01151561,0.114258345,0.023197842,2.9e-18,0.014469289,0.01151561,0.011729811,0.001317671,0.005804315,0.001404173,0.022996529,0.084615385,0.001404173,0.012579552
