Id,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality,scores
1044,0.030999408,3.44E-06,0.00010129,0.065453126,0.003364202,0.000108523,0.00012928,2420.839806,2.19E-05,1.90E-06,1.90E-06,0.239203756
1045,0.001333308,3.45E-12,1.53E-10,0.035541434,0.000144697,3.62E-05,7.78E-11,1097.541358,5.09E-05,0,0,0.241748462
1046,0.004333251,1.03E-11,1.52E-10,0.042309519,0.000470265,0.000217045,2.93E-09,1486.245626,6.68E-05,0.000101666,0.000101666,0.119601878
1047,0.022666234,2.30E-06,7.87E-05,0.063550407,0.002459847,0.000108523,0.000126996,2255.325326,2.98E-05,3.49E-06,3.49E-06,0.081431079
1048,0.001999962,2.85E-25,2.33E-23,0.000195536,0.000217045,7.23E-05,6.65E-29,7.95,3.76E-05,8.07E-09,8.07E-09,0.05598388
1049,0.038332601,1.27E-05,0.000102013,0.06710543,0.004160035,0.000397916,0.00014052,2568.861223,3.73E-05,6.65E-05,6.65E-05,0.223935451
1050,0.003666597,2.03E-06,4.30E-06,0.005681381,0.000397916,0.000217045,8.50E-23,184.7861916,1.73E-05,1.97E-06,1.97E-06,0.002546535
1051,0.033332697,2.30E-06,0.000101445,0.056152396,0.003617422,7.23E-05,2.54E-05,2167.56793,3.04E-05,3.30E-07,3.30E-07,0.096699385
1052,0.000666654,0,3.35E-11,0.000146506,7.23E-05,0,3.73E-33,4.916666667,2.12E-05,0,0,0.269740437
1053,0.067332048,0.000108711,0.000101725,0.074650505,0.007307191,0.003942989,0.00080367,2574.3304,2.53E-05,0.000411972,0.000411972,0.201032957
1054,0.042665852,8.20E-06,0.000103343,0.081437968,0.0046303,0.000289394,0.003541251,3048.360742,2.94E-05,1.91E-05,1.91E-05,0.007634188
1055,0.044332487,3.12E-05,0.000102409,0.073044224,0.004811171,0.000976704,0.000785686,2664.894505,3.60E-05,8.77E-05,8.77E-05,0.030536681
1056,0.03633264,2.32E-05,0.000102012,0.072075126,0.003942989,0.000832007,0.001358984,2529.673082,2.42E-05,0.000177912,0.000177912,0.259561543
1057,0.034666005,2.32E-06,0.00010272,0.069534693,0.003762118,7.23E-05,0.001438487,2528.987596,2.32E-05,1.15E-07,1.15E-07,0.043260281
1060,0.002999943,1.14E-06,4.42E-09,0.003621536,0.000325568,7.23E-05,2.53E-25,117.4333333,3.18E-05,5.52E-08,5.52E-08,0.16795157
1061,0.000999981,1.85E-25,6.86E-24,7.23E-05,0.000108523,3.62E-05,8.75E-36,2,2.13E-05,0,0,0.005086035
1062,0.019332964,7.49E-06,5.59E-05,0.050053772,0.002098104,0.00025322,1.57E-07,1885.268258,5.70E-05,5.53E-05,5.53E-05,0.244293238
1063,0.035332659,1.84E-05,0.000101663,0.068550189,0.003834467,0.000578787,0.000248849,2364.86229,2.55E-05,1.81E-06,1.81E-06,0.254472132
1064,0.004999905,8.73E-07,1.02E-08,0.006448794,0.000542613,7.23E-05,2.47E-22,223.9737734,4.44E-05,3.99E-07,3.99E-07,0.295187636
1065,0.031999389,4.63E-06,0.000102674,0.079700975,0.003472725,0.000144697,0.002952319,2893.404212,2.37E-05,9.55E-06,9.55E-06,0.23665905
1066,0.040332563,1.27E-05,0.000101564,0.073305545,0.00437708,0.000434091,0.000433511,2672.186088,4.88E-05,0.000123415,0.000123415,0.264650955
1067,0.003999924,1.68E-08,1.49E-06,0.005009878,0.000434091,7.23E-05,2.89E-22,166.2589827,3.88E-05,8.18E-07,8.18E-07,0.007634188
1068,0.039665909,2.30E-05,0.0001011,0.071057288,0.004304732,0.000759659,0.00035667,2502.799725,3.91E-05,2.85E-05,2.85E-05,0.076341597
1069,0.000333327,0,1.30E-23,4.82E-05,3.62E-05,0,8.22E-36,1.5,3.21E-05,0,0,0.328269023
1070,0.003999924,3.10E-08,6.16E-10,0.008473772,0.000434091,7.23E-05,4.05E-19,272.4811522,8.72E-05,1.02E-06,1.02E-06,0.274829849
1071,0.063665451,0.000103302,0.00010193,0.074512735,0.006909275,0.003472725,0.004605223,2656.027452,2.65E-05,0.000122886,0.000122886,0.015268305
1072,0.026999484,2.31E-06,0.000101806,0.06936272,0.002930111,7.23E-05,0.000472305,2388.08361,1.98E-05,2.20E-09,2.20E-09,0.038170799
1073,0.011333117,6.92E-06,3.13E-05,0.06711203,0.001229923,0.000217045,8.73E-05,2334.220858,1.73E-05,1.73E-06,1.73E-06,0.389342315
1074,0.027999465,3.42E-06,0.000101012,0.049169426,0.003038634,0.000144697,7.91E-07,1820.55381,2.19E-05,1.26E-06,1.26E-06,0.335903141
1075,0.000666654,0,1.74E-09,0.004662417,7.23E-05,0,1.50E-20,143.402952,1.60E-05,0,0,0.015268305
1076,0.014999714,1.15E-06,4.23E-05,0.059072256,0.00162784,3.62E-05,1.81E-05,2116.669409,3.70E-05,1.42E-08,1.42E-08,0.022902493
1077,0.046665776,6.94E-06,0.000103159,0.082123103,0.00506439,0.000217045,0.003676261,3060.619655,4.83E-05,0.000107825,0.000107825,0.259561543
1080,0.028332792,0,0.000101653,0.065740797,0.003074808,0,2.18E-05,2231.88727,9.00E-05,0,0,0.015268305
1081,0.004666578,7.95E-07,1.35E-08,0.002363337,0.000506439,3.62E-05,4.11E-24,91.92160895,5.42E-05,0.000124032,0.000124032,0.117057172
1082,0.049999045,4.58E-05,0.00010264,0.079935334,0.005426132,0.001519317,0.002520677,2861.956982,4.04E-05,0.000612052,0.000612052,0.343537329
1083,0.050665699,1.44E-05,0.000102374,0.078644554,0.005498481,0.000470265,0.000452636,2894.957131,0.000110253,0.000304307,0.000304307,0.320634835
1084,0.057665566,8.85E-05,0.000101121,0.062485395,0.006258139,0.003291854,1.73E-05,2244.239698,1.90E-05,2.94E-05,2.94E-05,0.254472132
1085,0.019666291,8.13E-06,5.60E-05,0.079143224,0.002134279,0.000289394,0.002353316,2831.447852,6.20E-05,7.31E-05,7.31E-05,0.027991905
1086,0.001999962,4.41E-08,1.30E-06,0.007710035,0.000217045,0.000108523,2.95E-20,236.1460211,2.26E-05,1.31E-09,1.31E-09,0.300277048
1087,0.000666654,0,2.58E-10,8.14E-05,7.23E-05,0,8.75E-36,2.5,1.90E-05,0,0,0.251927355
1088,0.006999866,1.45E-06,2.66E-05,0.017271596,0.000759659,7.23E-05,2.16E-14,544.0139555,1.59E-05,3.58E-06,3.58E-06,0.297732342
1089,0.039332582,1.85E-05,0.000102425,0.07490455,0.004268557,0.000578787,0.000381934,2697.175779,2.87E-05,9.39E-05,9.39E-05,0.277374555
1090,0.006666539,3.44E-06,8.69E-06,0.003425799,0.000723484,0.000144697,6.20E-22,118.9202381,7.51E-05,5.60E-08,5.60E-08,0.297732342
1091,0.001666635,1.89E-09,1.31E-09,0.002078409,0.000180871,3.62E-05,4.24E-26,67.67380952,2.72E-05,3.33E-08,3.33E-08,0.010178894
1092,0.042999179,4.83E-05,0.000101882,0.071336659,0.004666474,0.001555491,0.001363777,2455.878807,1.70E-05,6.09E-06,6.09E-06,0.007634188
1093,0.035332659,2.29E-06,0.000101733,0.074917708,0.003834467,7.23E-05,0.000651857,2805.84531,4.09E-05,1.07E-05,1.07E-05,0.005086035
1094,0.004666578,0,1.50E-06,0.014212024,0.000506439,0,4.02E-15,455.3390387,6.67E-05,0,0,0.073796891
1096,0.000999981,7.68E-27,-1.27E-23,8.14E-05,0.000108523,3.62E-05,8.75E-36,2.5,4.20E-05,3.93E-09,3.93E-09,0.025447199
1097,0.005333232,1.27E-06,3.88E-06,0.006595961,0.000578787,0.000144697,9.49E-23,231.6736846,5.34E-05,6.54E-06,6.54E-06,0.318090129
1098,0.033332697,3.46E-06,0.000102169,0.07484375,0.003617422,0.000108523,0.001210888,2737.618575,5.71E-05,5.97E-05,5.97E-05,0.119601878
1100,0.001666635,1.14E-06,4.18E-09,0.047969855,0.000180871,7.23E-05,9.09E-08,1607.667611,2.35E-05,3.49E-05,3.49E-05,0.203577663
1101,0.030666081,2.32E-06,0.000101414,0.07099301,0.003328028,7.23E-05,0.000253968,2516.378318,2.67E-05,1.41E-06,1.41E-06,0.094154679
1102,0.000666654,1.14E-06,3.11E-24,3.62E-05,7.23E-05,3.62E-05,5.47E-37,1,2.85E-05,1.69E-05,1.69E-05,0.295187636
1103,0.045999122,3.35E-05,0.000102943,0.08005538,0.004992042,0.001085226,0.004288769,2928.046889,3.66E-05,0.000567608,0.000567608,0.269740437
1105,0.0296661,8.07E-06,0.000101353,0.066447361,0.003219505,0.00025322,5.56E-05,2351.458172,2.09E-05,9.37E-05,9.37E-05,0.005086035
1106,0.033332697,8.10E-06,0.000101322,0.052282066,0.003617422,0.000289394,2.43E-06,2010.936072,3.39E-05,2.48E-06,2.48E-06,0.23665905
1107,0.033999351,2.19E-05,0.00010119,0.07153635,0.00368977,0.000723484,0.001570387,2452.250776,2.02E-05,2.57E-06,2.57E-06,0.101788867
1108,0.002666616,1.89E-12,1.36E-06,0.000849218,0.000289394,3.62E-05,1.09E-29,29.08333333,9.04E-05,8.77E-08,8.77E-08,0.246837944
1109,0.033666024,3.44E-06,0.000101273,0.07942266,0.003653596,0.000108523,0.00270901,2872.803428,9.53E-05,0.000223067,0.000223067,0.282464037
1110,0.011666444,1.92E-07,1.71E-05,0.005580573,0.001266098,3.62E-05,6.60E-20,202.2265873,7.43E-05,1.25E-07,1.25E-07,0.203577663
1111,0.036999294,1.95E-05,0.000101568,0.067557229,0.004015338,0.000614962,0.000211372,2429.039773,2.24E-05,0.00016905,0.00016905,0.015268305
1112,0.007999847,1.61E-05,1.45E-07,0.042399583,0.000868181,0.000578787,3.84E-09,1584.655371,1.87E-05,5.57E-07,5.57E-07,0.376618716
1113,0.049332391,0.000149728,0,0,0.005353784,0.005353784,1.76E-38,0,1.55E-05,0,0,0.005086035
1114,0.031999389,2.46E-06,0.000101097,0.063589647,0.003472725,0.000108523,0.000392004,2306.482718,5.95E-05,3.06E-05,3.06E-05,0.351171516
1115,0.000666654,1.16E-06,7.65E-10,0.000115757,7.23E-05,3.62E-05,7.93E-34,3.75,1.61E-05,5.34E-09,5.34E-09,0.234114344
1116,0.000333327,0,-8.66E-24,3.62E-05,3.62E-05,0,5.47E-37,1,2.85E-05,0,0,0.277374555
1117,0.001333308,0,1.50E-09,0.004046749,0.000144697,0,1.17E-24,127.6747586,3.71E-05,0,0,0.007634188
1118,0.028999446,1.15E-05,0.000101094,0.071399363,0.003147157,0.000361742,0.00031637,2489.362651,1.67E-05,1.32E-05,1.32E-05,0.216301263
1119,0.000666654,1.14E-06,1.32E-09,0.000559748,7.23E-05,3.62E-05,1.90E-29,16.41666667,1.58E-05,4.48E-08,4.48E-08,0.229024862
1121,0.019666291,1.05E-12,5.99E-05,0.049495375,0.002134279,3.62E-05,6.73E-07,1751.133906,5.49E-05,1.80E-05,1.80E-05,0.002546535
1122,0.043665833,2.67E-05,0.000102632,0.087586873,0.004738822,0.000868181,0.006786803,2928.863644,6.12E-05,0.000131478,0.000131478,0.206122369
1123,0.035332659,1.04E-05,0.000101369,0.067207219,0.003834467,0.000325568,0.000158765,2530.955421,6.16E-05,0.000260876,0.000260876,0.234114344
1124,0.018999637,2.17E-06,3.65E-05,0.015002812,0.00206193,0.000217045,2.79E-15,523.5107881,0.000102244,0.000264405,0.000264405,0.274829849
1125,0.034666005,1.16E-06,0.000101251,0.074103116,0.003762118,7.23E-05,0.000363292,2705.918536,8.20E-05,6.21E-06,6.21E-06,0.005086035
1126,0.03633264,1.80E-05,0.000102101,0.072966113,0.003942989,0.000578787,0.00074001,2583.828374,2.44E-05,1.58E-05,1.58E-05,0.262106249
1127,0.034999332,5.76E-06,0.000102964,0.07783958,0.003798293,0.000180871,0.001373524,2751.357473,3.32E-05,2.51E-05,2.51E-05,0.285008742
1128,0.016666348,5.69E-06,3.78E-05,0.043384361,0.001808711,0.000361742,1.27E-08,1578.824335,6.02E-05,1.09E-05,1.09E-05,0.234114344
1129,0.004666578,4.20E-06,1.75E-09,0.000354507,0.000506439,0.000325568,5.05E-31,13.06666667,2.63E-05,2.99E-07,2.99E-07,0.033081387
1130,0.029332773,4.61E-06,0.000101164,0.066438274,0.003183331,0.000144697,0.000118403,2361.527742,2.08E-05,6.32E-06,6.32E-06,0.257016838
1131,0.040332563,1.85E-05,0.00010212,0.079305425,0.00437708,0.000651136,0.002725665,2882.477228,7.18E-05,5.10E-05,5.10E-05,0.122146584
1132,0.045332468,3.44E-05,0.000101351,0.062529487,0.004919693,0.001157575,0.000117246,2408.025614,3.87E-05,4.24E-05,4.24E-05,0.239203756
1133,0.040999217,2.75E-05,0.000101545,0.071914083,0.004449428,0.000868181,0.000415758,2596.330519,4.46E-05,9.59E-05,9.59E-05,0.050894398
1134,0.01433306,3.62E-06,3.94E-05,0.072108307,0.001555491,0.000180871,0.000319984,2456.5299,6.52E-05,2.88E-05,2.88E-05,0.358805634
1135,0.033999351,1.03E-05,0.000102025,0.069028004,0.00368977,0.000325568,0.00012884,2482.591238,2.82E-05,5.54E-05,5.54E-05,0.002546535
1136,0.003666597,2.28E-06,1.67E-09,0.033144923,0.000397916,7.23E-05,7.62E-13,1126.926734,8.28E-05,3.49E-05,3.49E-05,0.053439174
1137,0.013333079,1.56E-06,1.71E-05,0.004818241,0.001446969,0.000325568,4.09E-20,176.8459957,3.74E-05,1.67E-07,1.67E-07,0.0127236
1138,0.044999141,2.66E-05,0.000102651,0.072909976,0.004883519,0.000868181,0.005011629,2596.670065,3.48E-05,5.58E-06,5.58E-06,0.035626093
1140,0.011999771,3.50E-06,3.81E-05,0.056626964,0.001302272,0.000144697,2.65E-06,1878.899998,4.16E-05,9.79E-06,9.79E-06,0.155227971
1141,0.025999504,1.14E-06,0.000101057,0.054522221,0.002821589,3.62E-05,8.52E-06,2065.744183,1.62E-05,2.89E-06,2.89E-06,0.269740437
1142,0.037999274,0,0.00010184,0.068663184,0.004123861,0,9.71E-05,2425.471836,8.47E-05,0,0,0.269740437
1143,0.042665852,3.57E-05,0.000101479,0.064682998,0.0046303,0.001157575,7.86E-05,2372.260009,2.85E-05,0.000180023,0.000180023,0.297732342
1144,0.035332659,1.38E-05,0.000101687,0.073843425,0.003834467,0.000434091,0.000454096,2668.981482,2.74E-05,5.54E-05,5.54E-05,0.015268305
1145,0.03299937,1.50E-05,0.000101106,0.072687839,0.003581247,0.000542613,0.000630905,2555.970124,2.19E-05,2.52E-05,2.52E-05,0.246837944
1146,0.000666654,0,1.53E-10,0.000144697,7.23E-05,0,5.94E-33,4.916666667,3.25E-05,0,0,0.264650955
1147,0.000333327,0,5.14E-09,0.001046468,3.62E-05,0,2.79E-26,32.25238095,1.56E-05,0,0,0.279919331
1148,0.001333308,0,1.12E-08,0.012100824,0.000144697,0,6.41E-16,380.1600945,1.76E-05,0,0,0.020357787
1149,0.015333041,1.14E-06,4.02E-05,0.073221822,0.001664014,3.62E-05,0.000346641,2619.756182,4.64E-05,4.21E-06,4.21E-06,0.005086035
1150,0.028999446,1.14E-06,0.000101074,0.067632691,0.003147157,3.62E-05,7.50E-05,2441.804241,5.40E-05,2.02E-10,2.02E-10,0.142504371
1151,0.003999924,1.10E-06,1.28E-06,0.054476956,0.000434091,0.000217045,1.60E-05,1916.376458,3.09E-05,0.000160305,0.000160305,0.226480156
1152,0.000666654,9.75E-12,1.16E-10,0.007652658,7.23E-05,3.62E-05,1.48E-19,233.2496059,2.14E-05,2.17E-06,2.17E-06,0.223935451
1153,0.000333327,0,1.05E-14,3.62E-05,3.62E-05,0,5.47E-37,1,1.63E-05,0,0,0.002546535
1154,0.000333327,0,2.29E-10,3.62E-05,3.62E-05,0,5.47E-37,1,1.65E-05,0,0,0.376618716
1155,0.000666654,6.14E-15,5.44E-13,3.62E-05,7.23E-05,3.62E-05,5.47E-37,1,1.87E-05,0,0,0.203577663
1156,0.001666635,1.14E-06,3.06E-10,0.000393897,0.000180871,3.62E-05,8.72E-33,13.16666667,8.50E-05,2.05E-08,2.05E-08,0.206122369
1157,0.031666062,3.46E-06,0.000101337,0.071734899,0.00343655,0.000108523,0.000310443,2546.774711,3.75E-05,5.05E-06,5.05E-06,0.208667145
1158,0.011999771,2.29E-06,3.78E-05,0.013349402,0.001302272,7.23E-05,6.58E-16,451.1420724,2.66E-05,9.17E-07,9.17E-07,0.226480156
1159,0.055665604,7.42E-05,0.000101981,0.078608312,0.006041094,0.002459847,0.002458088,2752.369536,2.69E-05,0.000175655,0.000175655,0.277374555
1161,0.028999446,2.32E-06,0.000101079,0.066374966,0.003147157,0.000108523,5.36E-05,2348.799428,2.67E-05,2.94E-05,2.94E-05,0.027991905
1162,0.00333327,1.02E-07,4.45E-06,0.001449851,0.000361742,7.23E-05,8.26E-25,49.15,2.52E-05,2.61E-07,2.61E-07,0.318090129
1163,0.004999905,4.46E-07,8.86E-09,0.048007216,0.000542613,0.000108523,2.08E-07,1594.404628,4.71E-05,4.06E-05,4.06E-05,0.277374555
1164,0.005333232,4.45E-07,3.36E-09,0.044555136,0.000578787,0.000144697,4.11E-08,1482.297901,6.58E-05,2.77E-05,2.77E-05,0.010178894
1165,0.015666368,5.73E-06,4.37E-05,0.070238099,0.001700188,0.000217045,0.000241106,2449.038661,6.92E-05,5.12E-05,5.12E-05,0.241748462
1166,0.033666024,6.93E-06,0.000101296,0.071550603,0.003653596,0.000361742,0.001706031,2479.351617,2.71E-05,4.67E-06,4.67E-06,0.005086035
1167,0.040332563,4.02E-05,0.000101317,0.068231437,0.00437708,0.001338446,0.000166488,2410.91098,2.40E-05,9.71E-05,9.71E-05,0.358805634
1168,0.040999217,9.17E-06,0.000101408,0.05684763,0.004449428,0.000289394,6.51E-06,2268.49793,0.000103298,6.51E-06,6.51E-06,0.24938265
1169,0.032332716,4.94E-06,0.000101152,0.067857309,0.003508899,0.000217045,6.73E-05,2479.745219,4.05E-05,3.25E-06,3.25E-06,0.259561543
1170,0.037665948,8.04E-06,0.000101476,0.066913928,0.004087686,0.000289394,0.000255326,2551.176139,5.15E-05,3.10E-05,3.10E-05,0.173041052
1171,0.001666635,1.14E-06,2.47E-09,0.002768691,0.000180871,3.62E-05,2.72E-25,91.12662338,1.87E-05,0,0,0.216301263
1172,0.005999885,4.02E-11,4.04E-09,0.008128168,0.000651136,3.62E-05,1.11E-20,288.151445,4.45E-05,1.08E-07,1.08E-07,0.231569638
1173,0.005999885,4.59E-06,4.76E-08,0.052879707,0.000651136,0.000180871,1.02E-06,1936.594597,3.79E-05,5.17E-06,5.17E-06,0.277374555
1174,0.003666597,8.43E-07,4.30E-06,0.002463972,0.000397916,0.000108523,6.02E-27,77.80952381,2.53E-05,3.16E-07,3.16E-07,0.226480156
1175,0.007333193,1.43E-06,1.28E-05,0.04609065,0.000795833,0.000144697,3.14E-07,1586.034414,3.82E-05,1.60E-05,1.60E-05,0.218845969
1176,0.017333002,3.46E-06,5.45E-05,0.036639782,0.001881059,0.000108523,1.15E-10,1390.815135,2.83E-05,6.81E-07,6.81E-07,0.211211851
1177,0.037665948,9.30E-06,0.000102674,0.084640329,0.004087686,0.000325568,0.004735456,2971.108744,3.31E-05,2.92E-05,2.92E-05,0.229024862
1178,0.036999294,2.20E-05,0.000101795,0.079831523,0.004015338,0.00068731,0.005039799,2882.118836,3.05E-05,1.38E-05,1.38E-05,0.346082034
1179,0.031666062,6.36E-06,0.000102175,0.080221032,0.00343655,0.000217045,0.003286898,2898.038536,5.25E-05,0.00011783,0.00011783,0.035626093
1180,0.033666024,1.38E-05,0.00010137,0.068089813,0.003653596,0.000470265,0.000157938,2336.585822,3.24E-05,5.64E-05,5.64E-05,0.017813082
1182,0.040999217,4.49E-05,0.000101289,0.066062004,0.004449428,0.001519317,6.08E-05,2308.328832,1.66E-05,0.000117905,0.000117905,0.005086035
1183,0.01433306,2.41E-05,3.60E-07,0.072967674,0.001555491,0.000832007,0.00091006,2549.142313,4.39E-05,5.01E-05,5.01E-05,0.015268305
1184,0.038665928,1.95E-05,0.000101293,0.052856195,0.004196209,0.00068731,2.52E-06,2078.073257,3.99E-05,2.80E-05,2.80E-05,0.244293238
1185,0.012333098,2.18E-06,5.64E-06,0.008270916,0.001338446,0.000217045,1.11E-20,306.9453483,6.09E-05,2.03E-06,2.03E-06,0.178130464
1186,0.029332773,1.14E-06,0.000102076,0.065042193,0.003183331,3.62E-05,0.00039547,2384.183809,6.14E-05,6.93E-07,6.93E-07,0.007634188
1187,0.000999981,0,4.08E-11,0.008661811,0.000108523,0,1.13E-18,291.1568072,3.44E-05,0,0,0.010178894
1188,0.013999733,3.53E-06,1.71E-05,0.004871747,0.001519317,0.000506439,5.00E-20,175.7606782,3.63E-05,2.16E-05,2.16E-05,0.239203756
1189,0.031999389,6.07E-06,0.000101154,0.056690596,0.003472725,0.000217045,2.76E-05,2156.094822,3.20E-05,2.36E-05,2.36E-05,0.41733422
1190,0.035332659,8.05E-06,0.00010196,0.070119723,0.003834467,0.00025322,4.95E-05,2505.332633,5.87E-05,6.72E-05,6.72E-05,0.0127236
1191,0.000999981,1.85E-25,6.86E-24,7.23E-05,0.000108523,3.62E-05,8.75E-36,2,2.13E-05,0,0,0.005086035
