Id,degree centrality,betweenness centrality,eigenvector centrality,closeness centrality,hubscore,authoritiesscore,degree_prestige,rank-Prestige,Page-Rank,Percolation-Centrality,Harmonic centrality,score
1039,0.000296135,2.34E-07,3.05E-27,0.000564303,5.96E-07,6.16E-12,0.00024678,1,2.56E-05,2.34E-07,14.36666667,0.005049912
1040,9.87E-05,2.44E-09,6.86E-35,4.94E-05,4.32E-24,1.27E-10,4.94E-05,2,2.56E-05,2.44E-09,1,0.184321773
1041,0.003602981,0.000545199,0.002003908,0.069734051,0.000322831,0.000380791,0.001579389,74,7.98E-05,0.000545199,1808.999809,0.027774514
1042,0.000542915,0.000102742,3.10E-05,0.050635251,9.97E-10,7.67E-06,9.87E-05,16,0.000105684,0.000102742,1299.641546,0.04797416
1044,0.000937762,9.37E-06,8.43E-05,0.056120859,4.23E-06,2.10E-05,0.000148068,32,2.75E-05,9.37E-06,1539.018462,0.010099823
1045,0.000197424,0,4.33E-20,0.002083478,1.74E-09,3.12E-08,4.94E-05,5,6.52E-05,0,52.37375402,0.027774514
1046,0.000542915,0.00014826,2.28E-13,0.029877931,9.14E-10,3.26E-10,0.000296135,9,6.13E-05,0.00014826,769.3924466,0.022724602
1047,0.000444203,4.75E-06,8.11E-05,0.055247077,7.24E-06,0.000138397,0.000148068,13,3.34E-05,4.75E-06,1436.404499,0.015149735
1048,0.000296135,4.47E-09,4.72E-31,0.000201537,1.69E-22,2.16E-21,9.87E-05,8,4.87E-05,4.47E-09,5.166666667,0.09594832
1049,0.001875524,6.73E-05,9.11E-05,0.056823799,3.07E-05,3.58E-05,0.000542915,47,4.50E-05,6.73E-05,1609.956511,0.017674691
1050,0.000345491,1.05E-06,7.15E-31,0.000238319,1.65E-08,9.31E-09,0.000296135,1,2.09E-05,1.05E-06,5.583333333,0.04797416
1051,0.000937762,7.59E-08,1.61E-05,0.047240602,2.07E-06,2.93E-05,9.87E-05,30,3.70E-05,7.59E-08,1277.936884,0.005049912
1052,9.87E-05,0,9.42E-33,0.000112813,0,2.69E-11,0,2,2.60E-05,0,2.833333333,0.308044606
1053,0.00602142,0.000602081,0.000511383,0.067890519,0.000589885,3.32E-05,0.005379794,26,2.62E-05,0.000602081,1702.10807,0.093423364
1054,0.001826169,3.37E-05,0.002249441,0.071834039,5.96E-05,0.00043184,0.000394847,68,3.18E-05,3.37E-05,2001.760668,0.141397524
1055,0.002763931,8.81E-05,0.000495943,0.064191585,0.000190219,0.000399535,0.001332609,59,4.06E-05,8.81E-05,1736.06188,0.083323541
1056,0.001628745,0.000221414,0.000874569,0.064317916,0.000224997,0.000327104,0.001135186,14,2.61E-05,0.000221414,1665.00789,0.073223718
1057,0.001431321,1.34E-07,0.000918664,0.060784426,3.20E-05,0.000400404,9.87E-05,54,2.89E-05,1.34E-07,1636.914573,0.015149735
1060,0.000296135,1.87E-08,1.23E-27,0.000420824,6.95E-09,1.16E-09,9.87E-05,7,3.02E-05,1.87E-08,10.08333333,0.007574867
1061,0.000148068,0,1.06E-33,9.87E-05,-1.04E-23,2.05E-22,4.94E-05,5,2.76E-05,0,2,0.027774514
1062,0.000542915,0.000107655,6.62E-11,0.035869815,5.50E-06,7.31E-08,0.000345491,10,5.23E-05,0.000107655,984.7259075,0.075748674
1063,0.001480677,2.98E-06,0.00015642,0.061580655,6.77E-05,0.000220762,0.000789694,26,2.74E-05,2.98E-06,1527.250048,0.017674691
1064,0.000345491,4.55E-08,1.48E-30,0.000382934,3.88E-07,1.12E-08,9.87E-05,11,3.37E-05,4.55E-08,9.416666667,0.04797416
1065,0.000937762,1.33E-05,0.001873062,0.071049223,3.96E-05,0.000377062,0.000197424,27,2.84E-05,1.33E-05,1923.370264,0.113623011
1066,0.002221016,0.00018588,0.000280265,0.064507132,3.48E-05,6.05E-05,0.000592271,66,5.63E-05,0.00018588,1735.965188,0.015149735
1067,0.000296135,4.02E-08,4.33E-30,0.000532842,4.07E-11,3.75E-08,9.87E-05,8,2.92E-05,4.02E-08,12.33333333,0.106048143
1068,0.002072948,6.14E-05,0.000223159,0.063385899,6.99E-05,9.34E-06,0.001036474,43,4.68E-05,6.14E-05,1644.189647,0.002524956
1069,4.94E-05,0,9.97E-34,6.58E-05,0,1.23E-22,0,2,4.16E-05,0,1.5,0.027774514
1070,0.000542915,9.46E-08,2.53E-28,0.000828224,1.07E-09,7.58E-08,9.87E-05,20,9.67E-05,9.46E-08,22.41666667,0.290369916
1071,0.005675929,0.000154378,0.002993302,0.066294922,0.000562509,5.55E-05,0.004738167,48,3.19E-05,0.000154378,1767.965602,0.017674691
1072,0.000345491,4.02E-09,0.000301881,0.062393892,2.35E-05,0.000293336,9.87E-05,10,2.48E-05,4.02E-09,1570.656794,0.030299469
1073,0.000592271,3.65E-06,5.61E-05,0.058896689,1.24E-05,1.53E-05,0.000296135,10,2.22E-05,3.65E-06,1521.160904,0.025249558
1074,0.000493559,5.83E-07,6.69E-12,0.030478491,4.88E-08,4.91E-07,0.000197424,16,2.61E-05,5.83E-07,862.1627149,0.005049912
1075,9.87E-05,0,1.55E-28,0.000292239,0,9.28E-09,0,5,2.07E-05,0,7,0.025249558
1076,0.000493559,1.76E-09,1.12E-05,0.050706565,2.18E-06,1.18E-05,4.94E-05,17,3.88E-05,1.76E-09,1312.556409,0.14392248
1077,0.002813287,0.00017335,0.00235161,0.072878839,1.61E-05,0.000382546,0.000296135,98,5.34E-05,0.00017335,2048.806231,0.020199646
1080,0.000394847,0,1.37E-05,0.059774611,0,0.000204097,0,14,8.67E-05,0,1431.575353,0.020199646
1081,0.000394847,0.000145925,3.69E-29,0.000499729,1.12E-08,5.86E-09,4.94E-05,14,4.89E-05,0.000145925,12,0.184321773
1082,0.003602981,0.000892901,0.001619653,0.071924665,0.000209029,0.000278161,0.002072948,64,4.76E-05,0.000892901,1916.550459,0.156547259
1083,0.003060066,0.000434666,0.000269302,0.069850819,2.04E-05,5.00E-05,0.000641627,102,0.000113288,0.000434666,1886.433359,0.247445667
1084,0.004836879,2.79E-05,1.12E-05,0.054007281,0.000152951,7.63E-06,0.004491387,11,2.35E-05,2.79E-05,1403.603472,0.045449204
1085,0.000888406,0.000411778,0.001494391,0.070727011,2.00E-06,3.42E-05,0.000394847,21,6.11E-05,0.000411778,1893.501613,0.012624779
1086,0.00024678,2.44E-09,3.09E-27,0.000569729,5.88E-09,9.69E-09,0.000148068,4,2.75E-05,2.44E-09,15.03333333,0.005049912
1087,9.87E-05,0,1.35E-34,9.87E-05,0,6.59E-09,0,5,2.42E-05,0,2,0.007574867
1088,0.000148068,7.76E-07,4.51E-18,0.00298505,1.76E-06,1.03E-06,9.87E-05,1,2.04E-05,7.76E-07,68.6488456,0.103523187
1089,0.002023592,0.000132836,0.000244617,0.065699016,4.29E-05,7.70E-05,0.000789694,55,3.32E-05,0.000132836,1756.899093,0.017674691
1090,0.000345491,4.17E-05,2.36E-31,0.000201537,1.04E-06,1.06E-07,0.000197424,5,4.74E-05,4.17E-05,4.833333333,0.005049912
1091,9.87E-05,2.44E-09,6.86E-35,4.94E-05,5.25E-08,1.74E-09,4.94E-05,2,2.84E-05,2.44E-09,1,0.133822657
1092,0.002615863,5.07E-06,0.000889917,0.064330818,0.000117498,2.64E-05,0.002122304,22,2.16E-05,5.07E-06,1634.881339,0.065648851
1093,0.001283254,2.01E-05,0.000417433,0.065303506,1.66E-06,5.47E-05,9.87E-05,45,4.40E-05,2.01E-05,1812.344312,0.025249558
1094,0.000493559,0,4.50E-19,0.002495834,0,7.77E-08,0,18,4.93E-05,0,64.3205378,0.002524956
1095,4.94E-05,0,2.29E-36,0,6.83E-24,0,4.94E-05,0,2.00E-05,0,0,0.007574867
1096,0.000148068,4.87E-09,1.35E-34,9.87E-05,6.83E-24,7.45E-23,4.94E-05,4,5.38E-05,4.87E-09,2,0.027774514
1097,0.000542915,1.29E-06,8.36E-27,0.001161072,2.59E-09,3.27E-08,0.000197424,17,5.34E-05,1.29E-06,27.73333333,0.050499116
1098,0.000987118,9.66E-05,0.000784689,0.065848253,9.44E-06,4.01E-05,0.000148068,41,6.72E-05,9.66E-05,1759.089736,0.010099823
1100,0.000197424,5.01E-05,5.88E-08,0.041976551,2.25E-07,2.93E-07,9.87E-05,4,2.50E-05,5.01E-05,1000.75175,0.042924248
1101,0.00083905,1.96E-06,0.000163238,0.063177513,8.18E-06,3.19E-05,9.87E-05,33,3.21E-05,1.96E-06,1636.103583,0.005049912
1102,9.87E-05,2.79E-05,6.86E-35,4.94E-05,8.22E-08,-6.08E-23,4.94E-05,3,3.69E-05,2.79E-05,1,0.141397524
1103,0.002763931,0.000827447,0.002704122,0.071284149,0.000241298,0.000406629,0.001480677,50,4.45E-05,0.000827447,1948.672248,0.037874337
1105,0.000740339,0.000124186,3.54E-05,0.058248135,2.53E-05,3.35E-05,0.000345491,20,2.63E-05,0.000124186,1512.286631,0.063123895
1106,0.001233898,3.20E-06,1.14E-06,0.043820291,5.27E-05,4.08E-05,0.000394847,35,4.25E-05,3.20E-06,1193.988781,0.070698762
1107,0.001381965,2.23E-06,0.001029107,0.064555016,4.15E-05,2.36E-05,0.000987118,19,2.55E-05,2.23E-06,1645.102046,0.017674691
1108,0.000345491,3.65E-08,1.45E-30,0.00042117,1.93E-09,3.36E-09,4.94E-05,9,8.74E-05,3.65E-08,10.41666667,0.065648851
1109,0.001283254,0.000249867,0.001721339,0.071098449,1.15E-05,5.63E-05,0.000148068,44,0.000114112,0.000249867,1923.271703,0.04797416
1110,0.000937762,1.79E-08,8.28E-22,0.001247274,1.30E-09,4.08E-08,4.94E-05,37,7.14E-05,1.79E-08,32.45,0.093423364
1111,0.001826169,0.000202173,0.000135235,0.058806911,3.64E-05,5.57E-05,0.00083905,45,2.83E-05,0.000202173,1556.755787,0.053024072
1112,0.001036474,5.44E-07,4.33E-15,0.012189245,3.20E-05,1.18E-05,0.000789694,9,2.22E-05,5.44E-07,278.8489899,0.373693457
1113,0.007304674,0,2.29E-36,0,0.00043579,0,0.007304674,0,2.00E-05,0,0,0.040399293
1114,0.000789694,9.12E-05,0.000248926,0.055066236,1.77E-06,1.43E-05,0.000148068,29,5.18E-05,9.12E-05,1437.694932,0.002524956
1115,4.94E-05,0,2.29E-36,0,1.38E-05,0,4.94E-05,0,2.00E-05,0,0,0.002524956
1116,4.94E-05,0,6.86E-35,4.94E-05,0,-2.27E-22,0,2,3.69E-05,0,1,0.005049912
1117,9.87E-05,0,6.37E-32,0.000112173,0,1.16E-08,0,2,3.08E-05,0,3.083333333,0.032824425
1118,0.000641627,2.48E-05,0.000200919,0.063480789,3.40E-05,1.39E-05,0.000493559,5,2.13E-05,2.48E-05,1625.448713,0.002524956
1119,4.94E-05,0,2.29E-36,0,6.04E-07,0,4.94E-05,0,2.00E-05,0,0,0.035349381
1121,0.000690983,2.48E-05,4.31E-07,0.042578701,1.12E-10,6.33E-07,4.94E-05,18,5.56E-05,2.48E-05,1050.02264,0.138872568
1122,0.002714575,0.000171205,0.00440555,0.083593381,0.000304656,0.000371076,0.001184542,57,7.26E-05,0.000171205,2057.234546,0.078273629
1123,0.001530033,0.000247816,0.000103543,0.057253057,2.70E-05,2.20E-05,0.000444203,41,7.40E-05,0.000247816,1608.480256,0.050499116
1124,0.000987118,0.000321839,7.27E-19,0.001991534,1.34E-06,2.47E-05,0.000296135,29,9.11E-05,0.000321839,58.33611111,0.075748674
1125,0.001480677,4.14E-05,0.000229661,0.064773421,1.44E-05,2.43E-05,9.87E-05,52,9.10E-05,4.14E-05,1761.111861,0.083323541
1126,0.001628745,3.16E-05,0.00048106,0.06494395,3.97E-05,4.79E-05,0.000789694,30,2.94E-05,3.16E-05,1697.472645,0.070698762
1127,0.001381965,9.91E-05,0.000879779,0.070221735,2.47E-05,0.00035202,0.00024678,53,3.79E-05,9.91E-05,1828.239275,0.042924248
1128,0.00083905,1.84E-05,1.23E-08,0.042359737,5.42E-08,1.13E-08,0.000493559,11,4.97E-05,1.84E-05,1029.194583,0.035349381
1129,0.000690983,3.77E-07,5.09E-31,0.00033844,1.05E-05,7.33E-09,0.000444203,6,3.26E-05,3.77E-07,8.166666667,0.035349381
1130,0.000690983,1.45E-05,7.69E-05,0.058326267,9.79E-06,2.00E-05,0.000197424,20,2.62E-05,1.45E-05,1510.367758,0.108573099
1131,0.002122304,5.78E-05,0.001727858,0.070906854,0.000148294,0.000382535,0.000888406,42,7.96E-05,5.78E-05,1923.184946,0.14392248
1132,0.002813287,3.88E-05,7.62E-05,0.052557328,5.62E-05,2.42E-05,0.001579389,47,4.25E-05,3.88E-05,1477.108728,0.118672922
1133,0.002319728,0.000176128,0.000267461,0.063722824,2.72E-05,3.98E-05,0.001184542,43,5.09E-05,0.000176128,1686.545611,0.037874337
1134,0.000740339,4.05E-05,0.000207911,0.06435312,5.64E-08,4.22E-06,0.00024678,18,6.14E-05,4.05E-05,1628.375911,0.068173806
1135,0.001332609,6.30E-05,8.38E-05,0.060173118,1.62E-05,4.37E-05,0.000444203,37,3.54E-05,6.30E-05,1600.310009,0.025249558
1136,0.000493559,5.68E-05,7.78E-15,0.026558323,1.06E-06,7.16E-08,9.87E-05,18,8.81E-05,5.68E-05,632.0885368,0.055549027
1137,0.00108583,6.90E-08,6.12E-22,0.001048704,4.70E-07,4.19E-08,0.000444203,23,3.88E-05,6.90E-08,27.53333333,0.146447436
1138,0.002862643,6.42E-06,0.002882646,0.064797961,0.000262279,0.000386573,0.001184542,66,4.26E-05,6.42E-06,1716.873297,0.022724602
1140,0.000444203,1.77E-05,1.72E-06,0.050769588,1.16E-06,1.54E-07,0.000197424,13,4.97E-05,1.77E-05,1203.697227,0.010099823
1141,0.000197424,2.59E-07,5.28E-06,0.045247073,1.35E-07,5.30E-06,4.94E-05,9,2.06E-05,2.59E-07,1239.36067,0.080798585
1142,0.001579389,0,5.38E-05,0.061411709,0,9.59E-06,0,52,0.00010088,0,1567.998652,0.128772745
1143,0.002517151,0.000200979,5.12E-05,0.055531692,0.000105626,2.65E-05,0.001579389,36,3.32E-05,0.000200979,1491.284155,0.075748674
1144,0.001480677,6.48E-05,0.000287858,0.064537964,3.21E-05,7.32E-05,0.000592271,40,3.10E-05,6.48E-05,1724.494384,0.060598939
1145,0.001184542,6.07E-05,0.00040643,0.064785689,7.32E-05,1.32E-05,0.000740339,17,2.71E-05,6.07E-05,1687.445191,0.005049912
1146,9.87E-05,0,1.06E-33,9.87E-05,0,2.86E-09,0,4,4.04E-05,0,2,0.007574867
1148,0.000148068,0,2.10E-19,0.001268519,0,7.61E-07,0,6,2.08E-05,0,31.35936286,0.032824425
1149,0.000641627,3.42E-06,0.000219669,0.064178484,5.45E-07,4.00E-05,4.94E-05,29,5.03E-05,3.42E-06,1701.882443,0.025249558
1150,0.000493559,3.50E-10,4.68E-05,0.059026814,5.45E-07,7.64E-06,4.94E-05,21,5.53E-05,3.50E-10,1557.432729,0.022724602
1151,0.000444203,0.00018991,9.23E-06,0.046401579,9.36E-09,1.35E-08,0.000296135,5,3.35E-05,0.00018991,1175.169863,0.005049912
1152,9.87E-05,1.65E-07,4.98E-26,0.000529258,-9.04E-25,9.14E-11,4.94E-05,3,2.62E-05,1.65E-07,12.88690476,0.002524956
1154,4.94E-05,0,6.86E-35,4.94E-05,0,8.51E-10,0,3,2.13E-05,0,1,0.005049912
1155,9.87E-05,0,6.86E-35,4.94E-05,5.95E-10,1.70E-08,4.94E-05,3,2.42E-05,0,1,0.012624779
1156,0.00024678,1.58E-08,1.14E-32,0.000241844,8.48E-11,2.06E-08,4.94E-05,8,7.05E-05,1.58E-08,5.5,0.037874337
1157,0.000740339,5.98E-06,0.000200144,0.063805235,1.00E-05,2.50E-05,0.000148068,19,4.05E-05,5.98E-06,1659.009355,0.012624779
1158,0.00024678,5.23E-07,9.26E-20,0.001394111,2.17E-06,2.09E-07,9.87E-05,4,2.35E-05,5.23E-07,36.36343656,0.224721065
1159,0.004392676,0.000222226,0.001582081,0.071223789,0.000395989,6.78E-05,0.003356202,43,3.13E-05,0.000222226,1845.646851,0.010099823
1160,0.000197424,0,2.29E-36,0,5.91E-06,0,0.000197424,0,2.00E-05,0,0,0.022724602
1161,0.000444203,4.62E-05,3.30E-05,0.057878216,1.06E-05,5.69E-06,0.000148068,11,2.95E-05,4.62E-05,1493.794251,0.005049912
1162,9.87E-05,0,2.29E-36,0,3.63E-09,0,9.87E-05,0,2.00E-05,0,0,0.037874337
1163,0.000740339,6.27E-05,1.36E-07,0.042177672,4.34E-09,1.18E-07,0.000148068,26,5.58E-05,6.27E-05,1015.033174,0.037874337
1164,0.000740339,4.51E-05,2.65E-08,0.038996071,3.82E-09,2.43E-08,0.000197424,26,7.59E-05,4.51E-05,920.8221474,0.037874337
1165,0.000740339,5.30E-05,0.000154745,0.062712661,1.85E-05,1.09E-05,0.000296135,17,5.22E-05,5.30E-05,1599.017966,0.068173806
1166,0.001332609,5.11E-06,0.001111714,0.064441508,2.82E-05,3.48E-05,0.000493559,40,3.37E-05,5.11E-06,1659.262111,0.118672922
1167,0.002319728,0.000102905,0.000106623,0.059519775,4.53E-05,2.38E-05,0.001826169,23,2.76E-05,0.000102905,1552.152723,0.068173806
1168,0.001332609,9.50E-06,2.55E-07,0.0445338,5.01E-06,1.24E-05,0.000394847,42,5.85E-05,9.50E-06,1248.783367,0.053024072
1169,0.001036474,2.23E-06,4.19E-05,0.058982717,4.50E-06,6.81E-06,0.000296135,29,4.45E-05,2.23E-06,1571.326067,0.093423364
1170,0.001826169,4.69E-05,0.000166464,0.056785437,1.03E-05,2.43E-05,0.000394847,56,6.24E-05,4.69E-05,1611.283353,0.007574867
1171,0.000148068,0,3.07E-31,0.000308173,1.34E-07,2.68E-09,4.94E-05,4,2.15E-05,0,7.333333333,0.037874337
1172,0.000740339,3.43E-08,1.33E-08,0.040950585,4.21E-09,1.23E-07,4.94E-05,27,4.86E-05,3.43E-08,944.4114518,0.042924248
1173,0.00083905,6.60E-06,6.57E-07,0.044231666,2.08E-06,1.81E-06,0.00024678,23,4.10E-05,6.60E-06,1165.241859,0.015149735
1174,0.000296135,2.78E-05,1.13E-33,0.000148068,3.78E-09,1.81E-09,0.000148068,8,2.72E-05,2.78E-05,3,0.030299469
1175,0.000592271,3.19E-06,1.88E-07,0.039803373,1.79E-08,3.51E-08,0.000197424,19,4.19E-05,3.19E-06,972.571038,0.025249558
1176,0.000493559,4.33E-07,2.60E-16,0.007538877,8.48E-06,8.53E-07,0.000148068,16,3.15E-05,4.33E-07,176.15,0.093423364
1177,0.001826169,3.56E-05,0.003024779,0.077778377,0.000126195,0.000328621,0.000444203,51,3.72E-05,3.56E-05,2034.728742,0.088373453
1178,0.001727457,2.42E-05,0.003175322,0.071460868,0.000228262,7.07E-05,0.000937762,33,3.72E-05,2.42E-05,1935.482529,0.04797416
1179,0.000937762,0.000185715,0.002096185,0.071759696,5.08E-05,0.000163908,0.000296135,25,6.01E-05,0.000185715,1940.37232,0.058073983
1180,0.001135186,2.99E-05,0.000100696,0.061384686,4.91E-05,0.000116931,0.000641627,25,3.36E-05,2.99E-05,1510.195286,0.002524956
1181,4.94E-05,0,2.29E-36,0,-1.01E-24,0,4.94E-05,0,2.00E-05,0,0,0.123722834
1182,0.002418439,0.000147621,3.84E-05,0.058140551,7.15E-05,2.20E-05,0.002072948,14,2.11E-05,0.000147621,1491.45675,0.090898408
1183,0.001776813,4.17E-05,0.000589179,0.064935731,3.99E-05,2.52E-05,0.001135186,25,3.26E-05,4.17E-05,1697.530284,0.083323541
1184,0.001628745,2.09E-05,2.82E-08,0.043811667,4.16E-05,5.92E-06,0.000937762,28,4.00E-05,2.09E-05,1197.864291,0.035349381
1185,0.000690983,6.39E-05,1.33E-08,0.040973287,2.88E-08,4.73E-09,0.000296135,14,3.55E-05,6.39E-05,943.7252002,0.025249558
1186,0.000493559,4.91E-07,0.000252089,0.056129985,1.53E-06,0.000145179,4.94E-05,15,7.39E-05,4.91E-07,1520.897359,0.007574867
1187,0.000148068,0,1.75E-23,0.000758921,0,1.63E-11,0,4,4.31E-05,0,23.12114043,0.065648851
1188,0.001283254,3.35E-05,9.25E-22,0.001091945,5.50E-07,3.98E-08,0.000690983,25,3.90E-05,3.35E-05,27.95,0.053024072
1189,0.001036474,6.40E-05,1.56E-05,0.04754192,4.47E-05,2.01E-05,0.000296135,27,3.91E-05,6.40E-05,1293.840801,0.075748674
1190,0.001480677,2.81E-05,2.81E-05,0.06212495,4.95E-05,0.000305652,0.000345491,47,6.63E-05,2.81E-05,1602.597822,0.007574867
1191,0.000148068,0,1.06E-33,9.87E-05,-1.04E-23,2.05E-22,4.94E-05,5,2.76E-05,0,2,0.260070446
1192,0.005083658,0.000678228,0.00394331,0.077785452,0.000584157,0.000359243,0.003208134,77,6.43E-05,0.000678228,2002.835055,0.088373453
1193,0.001727457,0.000436934,0.002013247,0.070904894,0.000181795,0.00035157,0.000690983,42,4.77E-05,0.000436934,1828.788121,0.027774514
1194,0.000542915,0,5.53E-05,0.055649793,0,7.28E-06,0,19,3.69E-05,0,1485.629357,0.017674691
1195,0.000345491,8.28E-09,1.03E-32,0.000111051,1.05E-05,1.20E-07,0.00024678,4,2.43E-05,8.28E-09,2.5,0.007574867
1196,0.000148068,0,1.89E-11,0.034769609,5.60E-12,2.57E-14,4.94E-05,4,7.31E-05,0,837.30476,0.396418059
1197,0.007748877,0.001378576,0.001636719,0.065918468,0.000618898,5.51E-05,0.007008539,34,2.62E-05,0.001378576,1740.170833,0.065648851
1198,0.001283254,0.000116265,4.13E-06,0.048199768,8.69E-06,7.57E-06,0.000345491,31,4.73E-05,0.000116265,1306.310555,0.083323541
1199,0.001628745,1.78E-05,0.000169412,0.056124542,4.38E-05,1.40E-05,0.00108583,22,2.84E-05,1.78E-05,1512.374654,0.159072215
1200,0.003109422,0.00010696,0.000298063,0.061047267,8.66E-05,8.52E-05,0.001283254,66,5.79E-05,0.00010696,1691.062838,0.194421596
