,Rank,Id,degree centrality,betweenness centrality,closeness centrality,eigenvector centrality,Katz-Centrality,Percolation-Centrality,Harmonic centrality,hubscore,authoritiesscore,Page-Rank,rank-Prestige,degree_prestige
65,66,9910165,9707079,9611204,9612005,9707241,9607020,9611204,9708005,9210045,9704049,9804124,9411187,9310159
66,67,9910159,9703040,9302126,9906194,9802042,9707079,9302126,9805104,9304146,9602043,9411187,9306033,9803109
67,68,9910156,9710206,9704089,9708005,9710063,9505052,9704089,9803263,9310144,9703201,9607020,9310113,9704029
68,69,9910146,9602052,9711001,9804068,9707228,9602043,9711001,9804068,9212148,9803023,9505052,204253,9707174
69,70,9910145,9610104,9903221,9803263,9704089,9612215,9903221,9705221,9311072,9709228,9705199,9504047,9604196
70,71,9910139,9612102,9602114,9704089,9706079,205017,9602114,9704089,9705221,9412209,9611040,9309125,9709065
71,72,9910103,9407087,9805112,9702109,9706007,9506091,9805112,9906194,9707093,9509161,9605009,9803263,9612103
72,73,9910086,9309050,9801038,9705221,9705117,9408083,9801038,9702109,9705117,9211040,9503124,9601169,9612008
73,74,9910085,9709087,9704030,9606061,9705190,9210119,9704030,9606061,9709220,9603042,9911084,9506091,9507036
74,75,9910080,9909215,9705113,9703163,9710250,9707171,9705113,9703163,9708099,9601011,9711113,9712086,9409021
75,76,9910060,2186,9805129,9707097,204016,9407099,9805129,9707097,9706192,9910188,9509161,9407099,9602120
76,77,9910053,11014,9709069,9705117,9712117,9606054,9709069,9704029,9704112,9705055,9804058,9408029,9031
77,78,9910052,9306083,9704087,9712086,9712241,9601029,9704087,9712086,9604089,9309125,9703201,2186,9709220
78,79,9910039,11115,9511043,9704018,9803068,9712086,9511043,9803196,9711053,9608093,9509151,9704094,9303029
79,80,9910037,9603003,9504047,9704030,9801061,9704094,9504047,9705117,9711002,9403137,9708005,10054,9046
80,81,9910035,9704094,9411187,9704029,9802168,206006,9411187,9704080,9711037,7018,204168,9508005,9707192
81,82,9910027,9306156,9703201,9707241,9802067,9403121,9703201,9710231,9707158,9705117,9605211,9302126,9609192
82,83,9909215,206182,9907048,9803196,9707134,9611050,9907048,9805093,9709099,9601043,9707093,9607083,9511157
83,84,9909202,9705211,9611040,9712191,9711161,9610104,9611040,9703201,9705192,9803217,9802130,9805129,9407190
84,85,9909190,9304053,9601011,9610059,9703040,9308062,9601011,9707241,9309044,9306037,9612049,9406059,9611174
85,86,9909189,9707091,9704094,9710231,9706072,7018,9704094,9511075,9409098,9705211,204089,9608189,9702083
86,87,9909176,9709220,9602052,9804016,9712239,9805129,9602052,9804016,9403193,9309050,9712115,9302033,9602105
87,88,9909166,9046,9711200,9704080,9803053,11115,9711200,9704018,9308135,9803005,204261,9612042,9403137
88,89,9909164,9705055,9309140,9705190,9801145,9612083,9309140,9704030,9402041,3086,9512184,9607233,9404094
89,90,9909140,9609192,9601029,9705055,9803038,9406059,9601029,9712191,9310153,9802007,10054,9610104,9602043
90,91,9909138,9407190,9607020,9709220,9904015,3255,9607020,9610059,9401115,9703176,9803263,9606015,9712125
91,92,9909124,9503104,9612049,9805093,9702109,9406213,9612049,206223,9406046,9707126,9506112,9608078,9701169
92,93,9909103,9508005,9602172,9709002,9712066,9705199,9602172,9705057,9310013,9707158,9302126,9505052,9611161
93,94,9909101,9411049,9902184,9704087,9710142,9705131,9902184,9607020,9309067,9705034,9801038,9309110,9601085
94,95,9909094,9704049,9607105,9705113,9704029,9710206,9607105,9705113,9409044,9301083,9603187,9309067,9403173
95,96,9909076,9305109,9711113,9705057,9710122,9803076,9711113,9707228,9408029,9701154,9402107,9712117,9709069
96,97,9909052,9611136,9510135,9707228,9710163,9404109,9510135,9705190,9710231,9704186,9601177,9607229,9605211
97,98,9909047,10069,9606148,9703201,9709220,9409009,9606148,9708147,5031,9607083,9608189,9306037,9403073
98,99,9909044,9709014,9604134,9710240,9705113,9601078,9604134,9705055,2237,9904085,9606130,9406213,9605018
99,100,9909023,9607187,9506075,9705175,9705055,9804124,9506075,9710240,12251,9210119,9510101,9306153,9610134
100,101,9909014,9506075,9706109,9701140,9706175,9611040,9706109,9712125,203185,9305163,9608093,9703201,1021
101,102,9908202,9803076,9703110,9805102,9711001,9607233,9703110,9705175,201159,9611215,9602172,11014,9305109
102,103,9908182,9607083,9410167,9712125,207201,9309110,9410167,9705199,7153,9804115,9712086,9709109,9302126
103,104,9908149,9704131,9210119,9706007,9704018,9612102,9210119,9603126,9246,9711127,9408074,9707093,9509151
104,105,9908142,9611068,9408083,9607020,9702045,9706210,9408083,9709002,8033,206182,9802042,206182,9710239
105,106,9908141,9805129,9905127,9710122,9705188,9601169,9905127,9706072,10190,9704029,9711053,9803189,9405121
106,107,9908136,9603116,9802116,9706072,9708005,206182,9802116,9712117,9910159,9703014,9605209,9507036,9704158
107,108,9908131,9404157,9707174,9710142,9609238,9504047,9707174,9311056,9907192,9612103,9606082,9707091,9605151
108,109,9908115,201253,9802051,9706175,9705175,9407087,9802051,9701140,12188,11115,9506011,9706020,9511053
109,110,9908112,9504047,9904085,9710063,9705057,9601177,9904085,9805102,203187,9403121,9606143,10069,9307111
110,111,9908110,9711175,9509035,9712226,9704137,9402060,9509035,9706007,10179,9406212,9602043,9702094,9509050
111,112,9908105,9309125,9612008,9705188,9704030,9708147,9612008,9710142,6181,9308034,9703163,9708005,9709118
112,113,9908101,9608189,9608093,9802120,9710240,9712117,9608093,9712226,203161,9701019,5280,201253,9704167
113,114,9908092,9803263,9502072,9706079,9710231,9310113,9502072,9803053,201173,9210123,9612215,9711175,9710233
114,115,9908090,9302033,9603106,9708147,9703163,9309107,9603106,9710122,203190,9511087,9605151,9707079,9910027
115,116,9908075,9412209,9609041,9707031,207273,9710178,9609041,9710063,203030,5280,9703110,9601029,9704018
116,117,9908042,9804124,9512121,9704176,9712165,9407001,9512121,9605009,9707192,9609113,9601029,9703040,9607187
117,118,9908038,9612042,9609065,9712085,9704087,9703201,9609065,9802120,9707247,9706060,9704094,9402031,9608035
118,119,9908025,9602115,9605211,9707134,9805093,9904085,9605211,9705188,9712193,9601029,9612008,9702163,9506112
119,120,9908021,9210123,9504027,9605009,9712086,9801182,9504027,9707134,9711083,9601040,9509035,9710178,206164
120,121,9908005,9705172,9803263,9803053,9712085,9802042,9803263,9709014,9712145,9407190,9508058,7018,9404109
121,122,9907207,9506002,9712117,9710250,9805179,9610012,9712117,9603116,9801017,9611132,9508091,9506122,9506075
122,123,9907200,9505162,9609066,9612049,9703201,9703110,9609066,9706175,9708134,9506002,9512078,9308062,9707083
123,124,9907192,205209,9606082,9712117,9712144,9708005,9606082,9803068,9612104,9803142,9712125,9910188,9704009
124,125,9907180,208072,9606169,9709014,9704080,9801151,9606169,9707031,9605158,9706023,9507036,9610012,9610251
125,126,9907177,3112,9407087,9712165,9712088,9311130,9407087,9706079,9507045,9803054,9901118,9705003,2251
126,127,9907176,9802116,9707093,9705199,9712071,9803263,9707093,9706023,9605213,9301028,9510017,9708147,9705169
127,128,9907154,9511154,9404025,9603126,9803019,201253,9404025,9803054,9307155,9506206,9309140,5280,9404114
128,129,9907143,9411176,9705199,9509161,9243,9411049,9705199,9603003,9406030,9611072,9712257,9405029,9802203
129,130,9907129,9412064,3158,204016,9803214,10069,3158,9712241,9404003,9701076,9612102,9508058,9708005
130,131,9907122,9608093,9612121,9803068,9802120,9711175,9612121,9612049,9612118,206038,9702109,9510017,9804013
131,132,9907118,9609001,9602174,9712241,9801182,9608107,9602174,9706210,9412092,204158,10069,206006,9411210
132,133,9907113,9607037,9601059,9805179,9803027,9711127,9601059,9704176,9705199,9606015,9607187,9403121,9302037
133,134,9907080,9609191,9506002,9603116,6227,9803189,9506002,9712085,9704043,9607032,201253,9711113,9608117
134,135,9907072,9601112,9507050,9711113,9804180,9909215,9507050,9803265,9302103,9610195,9606148,9611050,9411178
135,136,9907067,9303013,9310170,9603003,204188,9508058,9310170,9612121,9309107,9310101,9705113,9705034,9505173
136,137,9907066,9803109,9705123,9612215,9707044,9709109,9705123,9604034,9803001,206010,9702163,9701101,9704131
137,138,9907048,9401006,9710034,9709069,9604034,5280,9710034,9607229,9612128,9711001,9710169,9607032,9410104
138,139,9907029,9704029,9803066,9710034,9706210,10054,9803066,9711161,9706089,9712173,9506075,9505162,9603116
139,140,9907024,9604196,9504010,9711143,9706023,9607083,9504010,9711001,9705232,9503212,9706210,9609001,9601179
140,141,9907017,9803189,9303159,9709099,9603003,9701101,9303159,9612215,9704198,9046,9412236,9611132,9712241
141,142,9907002,9406212,9612164,9711161,9607077,2244,9612164,9606082,9706082,9402060,9709220,9503104,9712071
142,143,9907001,9410093,9704043,9703219,9611204,2186,9704043,9801182,9206046,9312045,9702194,9405067,9705104
143,144,9906244,9612103,9804058,9803265,9805102,9608093,9804058,9603147,9704089,9710163,9708147,9411049,9601029
144,145,9906241,9611132,9703008,9711001,9712191,9611204,9703008,9604134,9704018,9602114,9611190,9704049,9309140
145,146,9906217,9409021,9311130,9703196,9709071,9702163,9311130,9602045,9803054,9707091,9703072,9611136,9210123
146,147,9906198,10054,9704009,9706023,9611040,9704131,9704009,9708003,9804184,205200,9506091,9308034,9607233
147,148,9906194,9602120,9603187,9803054,9703041,9412236,9603187,9710163,9804124,9802168,9511043,2245,9412229
148,149,9906189,9611040,9209055,9801061,9701154,204071,9209055,9710250,9804170,9712071,9210119,9601104,9705175
149,150,9906182,9303029,9803023,9602052,9605046,9610191,9803023,9801061,9801020,9505093,9704089,9801132,9612126
150,151,9906174,9706020,9508044,9712071,9803054,9611068,9508044,9509161,9712086,9510142,9411028,3059,9801061
151,152,9906151,9408104,9606061,9708003,9611161,9711001,9606061,9712165,9803214,9403094,9803066,9602115,9710206
152,153,9906142,9707192,9906198,9606082,9612131,9510017,9906198,9709099,9511154,9303044,9609137,8186,9311156
153,154,9906139,9511157,9909166,9708002,9708003,9509161,9909166,9712071,9701025,9710193,9610012,9710206,9506002
154,155,9906135,201258,9610012,9604034,9709069,9711113,9610012,9704043,9803011,9704043,9612117,9603126,9602172
155,156,9906130,9302020,9705117,9603147,9605211,9611190,9705117,9602052,9410027,9903258,9601023,9612102,9612102
156,157,9906129,9411238,9612157,9604134,9602045,9310101,9612157,9709069,9704212,206006,9901122,7001,9606061
157,158,9906121,9608071,9609219,207201,9706192,7170,9609219,9710034,9406118,2251,9506106,9308075,9308075
158,159,9906119,9702083,9803005,9801182,9609138,11014,9803005,9711143,9712124,9611068,9602114,9712115,9504027
159,160,9906107,9602105,9604164,9602045,9801121,9403137,9604164,9706192,9602053,9407078,9803189,9710231,9704197
160,161,9906089,9506159,9505052,9801121,9604097,9309125,9505052,9711113,9705132,9706175,9710178,9506106,9710231
161,162,9906087,9602175,9602120,206223,9805020,9705034,9602120,9703219,204158,9801090,9607105,9802150,9703163
162,163,9906082,9404094,9702163,9712239,9709014,9509151,9702163,9708002,206182,9805052,203168,3190,9309044
163,164,9906079,9803005,9611190,9710163,9610059,9611136,9611190,9709080,205246,9604166,9612121,9603030,9704043
164,165,9906074,9712125,9701154,9712088,9610251,9612084,9701154,9712066,204189,205209,9506002,9211047,9611203
165,166,9906069,9410138,9712086,9801151,9804016,9606101,9712086,204016,204168,9710206,9710247,9606077,9505052
166,167,9906064,9603052,9702107,9612121,9611222,9704049,9702107,9703196,205290,9909140,9705131,4004,9802150
167,168,9906034,9304072,9712241,9512078,9603116,9608189,9712241,9804180,202187,9606054,9504010,9503021,9703219
168,169,9906027,9803265,9707241,9802168,9803193,9511071,9707241,9712239,206196,9711055,9611050,9608107,9506122
169,170,9906015,9707224,9610251,9704043,9707031,9707091,9610251,9805179,9411149,9608148,9707079,5242,9902011
170,171,9906013,9611161,9803196,9709080,9612224,9608078,9803196,9712088,5122,9704025,9710231,9610191,9707126
171,172,9905213,9610097,9902011,9803005,9704176,2245,9902011,9704137,9510205,9403129,9510142,4032,9610012
172,173,9905201,9307101,9411028,9706210,9603126,9503104,9411028,9801151,9412061,9307101,9504047,8061,9705003
173,174,9905200,9405067,9803116,9705123,9702163,9612042,9803116,9605059,9607121,9711161,9709087,9703072,12134
174,175,9905179,9403173,9702043,9612251,9606061,9804016,9702043,9805020,9601023,9703008,9704009,9603188,9511222
175,176,9905167,9708003,9408098,9701025,9706096,9605211,9408098,9802168,9306147,5277,9803138,2043,9612117
176,177,9905162,9605211,9506122,9804019,9704197,9505093,9506122,9604097,9208047,11251,9705007,9301083,9312045
177,178,9905146,9403073,9601023,9607229,9603147,9601023,9601023,9803027,9403143,9912015,9803116,9407031,9704087
178,179,9905142,9610134,9604052,9706192,9703100,9412209,9604052,9707044,9303027,9404008,9704131,9603106,9709013
179,180,9905136,9710239,9505123,9903258,9704043,9701078,9505123,9801121,9303167,9710245,9502072,9801151,9712117
180,181,9905127,9605030,9710122,207273,9703150,9503021,9710122,9512078,9210026,9403066,7018,9410237,9610006
181,182,9905111,9710065,9510195,9510017,9710034,9407031,9510195,9609138,9204044,201253,9710030,9711127,9412228
182,183,9905107,9308034,6051,9804180,9702050,9712257,6051,9609219,9401148,9709100,9704059,9705199,9705007
183,184,9905100,9511053,2167,9510101,9711143,9705211,2167,9703110,9206061,9602062,9805093,9702043,9712084
184,185,9905095,9706163,9708005,9709100,9604134,9304053,9708005,9803005,9611204,9610153,9610106,3086,9408098
185,186,9905084,9702094,9612251,9803027,9612015,9508005,9612251,9612251,9710178,9307049,9711127,9306156,9605225
186,187,9905081,9509050,9503016,9709109,9707097,9306033,9503016,9701025,9703072,9609203,9708003,9401006,9407001
187,188,9905079,204261,9607104,9804168,9607229,2043,9607104,9705123,9302037,9604097,11115,9406212,9412167
188,189,9905057,9508044,9711161,9801145,9803072,9701076,9711161,9803164,9712084,9908142,9801182,9606054,9911072
189,190,9905026,9801067,9705221,9611132,9704108,9403173,9705221,9602070,9712059,9603044,9701101,9611040,9801038
190,191,9905025,9710233,9411049,9603188,9607108,9612121,9411049,9510017,9610012,9803237,9707241,9709220,9605152
191,192,9905015,9910027,9701025,9605059,9704186,9712115,9701025,207201,9610223,9609152,9803196,9407190,9911207
192,193,9905008,9701019,9603188,9609138,9708147,9606015,9603188,9709109,9603005,9303006,9805200,9608071,4032
193,194,9904202,9901118,9408029,9609219,9803164,9602115,9408029,9903258,9508017,9504026,9705123,9506159,9705131
194,195,9904193,9608035,9705190,9704137,9707158,9609166,9705190,9603188,9503225,9704096,9311130,9803005,9802051
195,196,9904184,9506112,9704057,9243,9702107,9309050,9704057,9709100,9307174,9410152,9704029,9610097,9707214
196,197,9904182,9708002,9407190,9712066,9612121,9402031,9407190,9804019,9507159,2245,9803005,9711001,9802042
197,198,9904181,206164,9609085,9604097,9606143,9511087,9609085,9801145,9602001,9611222,9407087,9509151,9804083
198,199,9904157,9702045,9709002,9803164,9611182,3190,9709002,9243,9712253,9603128,9510225,9403094,9701125
199,200,9904139,9704009,9612015,9602070,9704013,9306037,9612015,9712144,9705138,9305038,9804115,9403129,9511130
200,201,9904096,9610251,9605018,9805020,9701140,9602049,9605018,9702163,9402063,9502140,9508044,9904085,9701140
201,202,9904085,2251,9707079,9707044,9804168,9901118,9707079,9601029,9707079,9410016,209225,9910053,9209116
202,203,9904084,9705169,9407118,9701125,9606093,9708002,9407118,9611132,9707118,9803251,9805104,9305163,9801206
203,204,9904072,9506116,9706175,9803189,9611050,9508044,9706175,9804168,9705078,9703158,9710101,9412209,9602001
204,205,9904064,9404114,9305185,9902011,9612005,9609192,9305185,9610251,9711003,9511065,9704137,9505144,9703196
205,206,9904047,2245,9911084,9805050,9610172,204261,9911084,9803189,9711026,9409069,8001,9804124,9412236
206,207,9904045,9804016,9709220,9803038,9703204,9306156,9709220,9803019,9605105,9509022,9609192,9210123,9711200
207,208,9904044,9404092,9309044,9507036,9709080,9404157,9309044,9510101,9404109,9607119,9310170,205200,9511071
208,209,9904028,9601104,9705175,6227,9609219,9302033,9705175,9606093,9302033,9093,9709002,9705172,9510017
209,210,9904019,9802203,9712085,9512121,9606082,9705172,9712085,9507036,9204099,205037,9706091,9511087,9510101
210,211,9904017,9804013,9802150,9610251,9703110,9211047,9802150,207273,9210121,9911175,9801206,9604026,9702006
211,212,9904016,9302037,9411149,9803019,9602070,9606077,9411149,9701125,9210119,12147,9801151,9602002,9601043
212,213,9904015,9608117,9309067,9601029,9605059,4004,9309067,9704108,9412236,9610018,9209055,9018,9411149
213,214,9904009,9607121,9704029,9712144,9705199,11214,9704029,9707158,9212016,207268,9712117,9707228,9712253
214,215,9903266,3059,9608191,9606093,9702043,9405029,9608191,9803038,9211059,9704059,9408083,7170,9407109
215,216,9903258,9505173,9701106,9901069,9607032,9306153,9701106,9805050,9210134,9506116,6121,9312189,9703201
216,217,9903251,9410104,9510142,9912036,9702086,9301083,9510142,6227,9309095,9712117,9902011,11214,3158
217,218,9903221,9601179,9803231,9911107,12023,9211040,9803231,5280,9202060,9711057,9709109,9710192,9705117
218,219,9903220,9307065,9610059,9704108,8222,9703219,9610059,206182,9309125,9701106,9303159,9601177,9502072
219,220,9903217,9403129,9410142,9507090,4032,9601043,9410142,9611204,9201050,9902011,9707171,9612084,9173
220,221,9903205,9508071,9712125,9802039,8171,9606082,9712125,9902011,9706177,208048,9512042,9803053,9612164
221,222,9903196,6110,9403137,9904015,5122,9506106,9403137,9704197,9710174,2136,9703008,9803142,9707120
222,223,9903176,9906244,9706210,9510135,6238,9512078,9706210,9607032,9604196,9707009,207007,9311181,9711113
223,224,9903167,9904085,9510225,204188,9709099,9705113,9510225,9512121,9703201,9512129,9906194,9412236,9612207
224,225,9903162,9712071,9703041,5280,9710174,9705221,9703041,9611161,9508155,9507115,9611215,9511071,9609113
225,226,9903136,9705104,9707063,9605018,206223,9712059,9707063,9507090,9706210,9701125,9410167,9407109,9608183
226,227,9903134,9910053,9605151,9511154,9709087,9407190,9605151,9803214,9403173,3158,9403173,9609166,9803028
227,228,9903130,9305163,9702050,9511030,206182,9505162,9702050,204188,9601177,4060,9803019,9606101,9606093
228,229,9903116,9701025,9309125,9707158,9708116,9603116,9309125,9703041,9601043,9510008,9404025,9701076,9603106
229,230,9903095,10060,9310026,9803214,204261,9802185,9310026,9901069,9704087,9603052,9805050,9711055,5122
230,231,9903091,9505144,9407001,9705139,9708055,9410237,9407001,9912036,9609087,9602070,9406203,9310101,9310101
231,232,9903088,9311009,9704186,9907072,204089,9707228,9704186,9911107,9309093,9308042,9412228,9607234,9602049
232,233,9903070,9505043,9512042,9903134,12256,9709220,9512042,9611222,9209043,9607060,9607083,9601078,9602096
233,234,9903050,9612224,9905111,9611222,9710046,9704089,9905111,9603106,9307107,204087,205209,9310026,9710101
234,235,9903047,9412229,9805104,9607032,9707087,9612224,9805104,9802039,9509105,209025,2186,9612083,9704057
235,236,9903044,9705175,9710163,9611161,9902038,9607187,9710163,10054,9410010,9911063,9510195,9309050,9306041
236,237,9903033,9407018,9604034,9512219,203030,9407118,9604034,204089,9211063,8186,9507090,9709087,9704059
237,238,9903012,205200,9802042,9603106,9705169,9702094,9802042,9904015,9208029,9410053,9601043,9909215,9705162
238,239,9902209,9801061,9712071,9503124,1070,9711161,9712071,9703204,9407023,7001,9909176,207280,9804058
239,240,9902205,9702109,9704131,9702163,9804167,9603106,9704131,9611050,9703219,9603030,9507050,209120,9701023
240,241,9902204,9309041,9612126,9611204,2213,9506122,9612126,9612224,9201014,9311058,9801132,9706210,9801182
241,242,9902199,9409098,9503022,10054,9702168,9603188,9503022,9503124,9406008,203187,9710163,9306083,9606082
242,243,9902189,9702195,9903134,9703041,9910035,9408098,9903134,9605018,9211047,9603101,9804019,9607037,9606130
243,244,9902187,9904202,9511030,9511043,202043,9803053,9511030,9511030,9210142,1042,207078,9603003,207217
244,245,9902184,9604034,9702168,9912072,9909190,9609191,9702168,9705139,9309147,9801024,9510135,11208,9142
245,246,9902177,9511037,9706007,1152,9710129,9603003,9706007,9510135,9606162,9707090,9712226,9304053,9702043
246,247,9902173,2231,9609192,9907154,3075,9405067,9609192,9508155,9702163,9702083,9506122,9412119,9607032
247,248,9902126,9509022,9612224,9703110,9907072,9803142,9612224,9907072,9903130,9908105,9604007,9410093,9208010
248,249,9902121,9312172,9606133,9612131,9903134,9703072,9606133,9903134,9803221,9408005,9803214,9401093,9903044
249,250,9902109,209042,9412027,9607077,9701106,9708003,9412027,9511043,9711001,9403058,9706141,9712059,9709139
250,251,9902094,203124,9606044,9611182,9710203,9709099,9606044,9511154,9711061,9412229,9801157,11251,9702109
