Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz Centrality,Page-Rank,Percolation-Centrality,score
9503086,0.002899181,0.00011781,0.0055108,0.266403314,8.28E-05,8.28E-05,0.002899181,8.37E-05,0.266403314,8.37E-05,0.00011781,0.000111669
,,,,,,,,,,,,
9503121,0.004131333,0.000440817,0.013970766,0.270691025,0.000210612,0.000210612,0.004131333,0.000114762,0.270691025,0.000114762,0.000440817,0.000450748
,,,,,,,,,,,,
9503179,0.004385011,0.000225277,0.007203051,0.265597824,0.000108308,0.000108308,0.004385011,0.000124802,0.265597824,0.000124802,0.000225277,0.00023121
,,,,,,,,,,,,
9505004,0.003189099,0.00018392,0.006978613,0.274986297,0.000104925,0.000104925,0.003189099,9.24E-05,0.274986297,9.24E-05,0.00018392,0.000160023
,,,,,,,,,,,,
9505051,0.001993187,5.77E-05,0.003893279,0.26249341,5.85E-05,5.85E-05,0.001993187,5.94E-05,0.26249341,5.94E-05,5.77E-05,4.98E-05
,,,,,,,,,,,,
9505067,0.001630789,4.80E-05,0.003783446,0.2661995,5.69E-05,5.69E-05,0.001630789,5.03E-05,0.2661995,5.03E-05,4.80E-05,4.60E-05
,,,,,,,,,,,,
9505088,0.002174386,5.21E-05,0.005356087,0.265292751,8.05E-05,8.05E-05,0.002174386,6.07E-05,0.265292751,6.07E-05,5.21E-05,4.91E-05
,,,,,,,,,,,,
9506148,0.0030079,0.000127488,0.006190362,0.273654957,9.30E-05,9.30E-05,0.0030079,8.54E-05,0.273654957,8.54E-05,0.000127488,0.000120097
,,,,,,,,,,,,
9507018,0.002138146,4.99E-05,0.004003543,0.261759938,6.02E-05,6.02E-05,0.002138146,6.25E-05,0.261759938,6.25E-05,4.99E-05,4.43E-05
,,,,,,,,,,,,
9510135,0.017250127,0.008978019,0.041406859,0.310170586,0.000622651,0.000622651,0.017250127,0.000524719,0.310170586,0.000524719,0.008978019,0.008777565
,,,,,,,,,,,,
9602035,0.000833515,2.67E-05,0.001044116,0.240720176,1.57E-05,1.57E-05,0.000833515,2.95E-05,0.240720176,2.95E-05,2.67E-05,3.00E-05
,,,,,,,,,,,,
9605232,0.001195912,2.11E-05,0.003799685,0.269900217,5.71E-05,5.71E-05,0.001195912,3.58E-05,0.269900217,3.58E-05,2.11E-05,1.88E-05
,,,,,,,,,,,,
9609230,0.000543596,5.25E-08,0.001004427,0.233119126,1.51E-05,1.51E-05,0.000543596,1.90E-05,0.233119126,1.90E-05,5.25E-08,6.10E-08
,,,,,,,,,,,,
9610043,0.032108429,0.037090515,0.078242519,0.324947422,0.001176695,0.001176695,0.032108429,0.00104477,0.324947422,0.00104477,0.037090515,0.034677903
,,,,,,,,,,,,
9701020,0.000652316,3.92E-06,0.000927043,0.237323414,1.39E-05,1.39E-05,0.000652316,2.32E-05,0.237323414,2.32E-05,3.92E-06,5.10E-06
,,,,,,,,,,,,
9402044,0.00764659,0.00183844,0.010021188,0.277875426,0.000150744,0.000150744,0.00764659,0.000251685,0.277875426,0.000251685,0.00183844,0.001977732
,,,,,,,,,,,,
9403198,0.003913894,0.000185676,0.00439866,0.254586456,6.61E-05,6.61E-05,0.003913894,0.00011955,0.254586456,0.00011955,0.000185676,0.000237233
,,,,,,,,,,,,
9407106,0.002283105,3.36E-05,0.002978998,0.245252878,4.48E-05,4.48E-05,0.002283105,6.57E-05,0.245252878,6.57E-05,3.36E-05,4.41E-05
,,,,,,,,,,,,
9509066,0.006668116,0.003707613,0.009624754,0.28416184,0.000144803,0.000144803,0.006668116,0.000236657,0.28416184,0.000236657,0.003707613,0.00371072
,,,,,,,,,,,,
9603158,0.001630789,0.000158441,0.002273963,0.257310248,3.42E-05,3.42E-05,0.001630789,5.67E-05,0.257310248,5.67E-05,0.000158441,0.000177782
,,,,,,,,,,,,
9607200,0.001195912,6.91E-06,0.001638995,0.243273147,2.46E-05,2.46E-05,0.001195912,3.66E-05,0.243273147,3.66E-05,6.91E-06,9.34E-06
,,,,,,,,,,,,
9612207,0.002971661,8.77E-05,0.002859539,0.249039467,4.30E-05,4.30E-05,0.002971661,9.18E-05,0.249039467,9.18E-05,8.77E-05,0.000107077
,,,,,,,,,,,,
9701045,0.00155831,2.72E-05,0.004560509,0.256910533,6.85E-05,6.85E-05,0.00155831,4.32E-05,0.256910533,4.32E-05,2.72E-05,2.45E-05
,,,,,,,,,,,,
9407087,0.037906791,0.070352544,0.062805874,0.334255495,0.000944169,0.000944169,0.037906791,0.001391058,0.334255495,0.001391058,0.070352544,0.063452271
,,,,,,,,,,,,
9408099,0.028810611,0.024617773,0.048807363,0.317349509,0.000733662,0.000733662,0.028810611,0.00097655,0.317349509,0.00097655,0.024617773,0.021477028
,,,,,,,,,,,,
9408155,0.003261579,0.000118692,0.00428198,0.257964307,6.43E-05,6.43E-05,0.003261579,0.00010447,0.257964307,0.00010447,0.000118692,0.000158201
,,,,,,,,,,,,
9411048,0.008661303,0.001025562,0.019112624,0.283719487,0.000287144,0.000287144,0.008661303,0.000231335,0.283719487,0.000231335,0.001025562,0.000961579
,,,,,,,,,,,,
9411057,0.007429151,0.000547454,0.016792717,0.278823954,0.000252319,0.000252319,0.007429151,0.000196421,0.278823954,0.000196421,0.000547454,0.000507386
,,,,,,,,,,,,
9504080,0.001123433,2.04E-05,0.003717282,0.270063453,5.59E-05,5.59E-05,0.001123433,3.53E-05,0.270063453,3.53E-05,2.04E-05,1.89E-05
,,,,,,,,,,,,
9504102,0.003660216,3.39E-05,0.008203935,0.255879995,0.000123157,0.000123157,0.003660216,9.13E-05,0.255879995,9.13E-05,3.39E-05,3.82E-05
,,,,,,,,,,,,
9505062,0.004493731,0.000271408,0.011086894,0.271966003,0.000166792,0.000166792,0.004493731,0.000123773,0.271966003,0.000123773,0.000271408,0.000286341
,,,,,,,,,,,,
9505075,0.005907081,0.000134591,0.011680424,0.26322066,0.000175387,0.000175387,0.005907081,0.000151682,0.26322066,0.000151682,0.000134591,0.000143109
,,,,,,,,,,,,
9505100,0.005291005,9.22E-05,0.01075959,0.260305221,0.000161588,0.000161588,0.005291005,0.000135869,0.260305221,0.000135869,9.22E-05,0.000104295
,,,,,,,,,,,,
9507008,0.003623976,3.04E-05,0.008055263,0.253584043,0.000120924,0.000120924,0.003623976,8.94E-05,0.253584043,8.94E-05,3.04E-05,3.45E-05
,,,,,,,,,,,,
9507032,0.002391824,1.16E-05,0.006985025,0.265676837,0.000104862,0.000104862,0.002391824,6.08E-05,0.265676837,6.08E-05,1.16E-05,1.51E-05
,,,,,,,,,,,,
9509130,0.001304631,1.24E-05,0.004671795,0.270909995,7.02E-05,7.02E-05,0.001304631,3.91E-05,0.270909995,3.91E-05,1.24E-05,1.39E-05
,,,,,,,,,,,,
9509175,0.005291005,0.000135304,0.013304788,0.270866173,0.000199809,0.000199809,0.005291005,0.000130309,0.270866173,0.000130309,0.000135304,0.000149434
,,,,,,,,,,,,
9509176,0.00308038,1.78E-05,0.006754398,0.24863271,0.000101385,0.000101385,0.00308038,7.58E-05,0.24863271,7.58E-05,1.78E-05,2.10E-05
,,,,,,,,,,,,
9510222,0.002355585,9.41E-05,0.004344125,0.260502639,6.53E-05,6.53E-05,0.002355585,6.80E-05,0.260502639,6.80E-05,9.41E-05,0.000102937
,,,,,,,,,,,,
9511154,0.002717982,0.000165603,0.005689064,0.261908352,8.56E-05,8.56E-05,0.002717982,8.08E-05,0.261908352,8.08E-05,0.000165603,0.000179349
,,,,,,,,,,,,
9512140,0.000579836,1.85E-06,0.002526074,0.257659161,3.80E-05,3.80E-05,0.000579836,2.03E-05,0.257659161,2.03E-05,1.85E-06,1.17E-06
,,,,,,,,,,,,
9603002,0.001667029,1.82E-05,0.003447539,0.247857558,5.18E-05,5.18E-05,0.001667029,4.78E-05,0.247857558,4.78E-05,1.82E-05,2.13E-05
,,,,,,,,,,,,
9603042,0.002717982,0.000103462,0.004813395,0.257664117,7.23E-05,7.23E-05,0.002717982,7.89E-05,0.257664117,7.89E-05,0.000103462,0.000128758
,,,,,,,,,,,,
9603051,0.001848228,9.23E-06,0.005476532,0.263414757,8.23E-05,8.23E-05,0.001848228,4.94E-05,0.263414757,4.94E-05,9.23E-06,1.13E-05
,,,,,,,,,,,,
9607151,0.001377111,8.57E-06,0.004564062,0.262537138,6.86E-05,6.86E-05,0.001377111,3.77E-05,0.262537138,3.77E-05,8.57E-06,8.25E-06
,,,,,,,,,,,,
9608084,0.000253678,1.06E-06,0.000137409,0.211981477,2.06E-06,2.06E-06,0.000253678,1.65E-05,0.211981477,1.65E-05,1.06E-06,2.13E-06
,,,,,,,,,,,,
9608111,0.0030079,0.000272215,0.006793377,0.268012954,0.000102225,0.000102225,0.0030079,8.99E-05,0.268012954,8.99E-05,0.000272215,0.000289211
,,,,,,,,,,,,
9609059,0.002065666,2.59E-05,0.006012868,0.261089059,9.03E-05,9.03E-05,0.002065666,5.33E-05,0.261089059,5.33E-05,2.59E-05,2.50E-05
,,,,,,,,,,,,
9611049,0.000761035,1.24E-06,0.001857007,0.239493648,2.79E-05,2.79E-05,0.000761035,2.29E-05,0.239493648,2.29E-05,1.24E-06,1.59E-06
,,,,,,,,,,,,
9611097,0.000761035,1.03E-06,0.001640443,0.238374957,2.46E-05,2.46E-05,0.000761035,2.30E-05,0.238374957,2.30E-05,1.03E-06,1.21E-06
,,,,,,,,,,,,
9611152,0.000724795,8.69E-06,0.003319677,0.270126079,4.99E-05,4.99E-05,0.000724795,2.43E-05,0.270126079,2.43E-05,8.69E-06,8.18E-06
,,,,,,,,,,,,
9701009,0.001340871,8.02E-06,0.004097046,0.259066835,6.15E-05,6.15E-05,0.001340871,3.70E-05,0.259066835,3.70E-05,8.02E-06,7.31E-06
,,,,,,,,,,,,
9701191,0.001340871,2.00E-06,0.001699496,0.239249841,2.55E-05,2.55E-05,0.001340871,4.07E-05,0.239249841,4.07E-05,2.00E-06,2.95E-06
,,,,,,,,,,,,
9505006,0.0030079,0.000105923,0.00441872,0.258392228,6.64E-05,6.64E-05,0.0030079,8.59E-05,0.258392228,8.59E-05,0.000105923,0.000103524
,,,,,,,,,,,,
9605108,0.001050953,8.14E-06,0.000979087,0.235121984,1.47E-05,1.47E-05,0.001050953,3.70E-05,0.235121984,3.70E-05,8.14E-06,1.11E-05
,,,,,,,,,,,,
9605113,0.001630789,3.70E-05,0.003146334,0.257552655,4.73E-05,4.73E-05,0.001630789,5.06E-05,0.257552655,5.06E-05,3.70E-05,3.22E-05
,,,,,,,,,,,,
9606184,0.001195912,4.87E-06,0.001362311,0.241201283,2.05E-05,2.05E-05,0.001195912,3.87E-05,0.241201283,3.87E-05,4.87E-06,6.41E-06
,,,,,,,,,,,,
9607021,0.000869754,1.23E-05,0.001145931,0.24503082,1.72E-05,1.72E-05,0.000869754,2.92E-05,0.24503082,2.92E-05,1.23E-05,1.78E-05
,,,,,,,,,,,,
9608046,0.000724795,1.18E-06,0.000869641,0.235504333,1.31E-05,1.31E-05,0.000724795,2.63E-05,0.235504333,2.63E-05,1.18E-06,1.49E-06
,,,,,,,,,,,,
9609183,0.000543596,2.72E-07,0.000884393,0.236291528,1.33E-05,1.33E-05,0.000543596,1.99E-05,0.236291528,1.99E-05,2.72E-07,9.92E-07
,,,,,,,,,,,,
9610139,0.001920707,4.31E-05,0.002269016,0.249060303,3.41E-05,3.41E-05,0.001920707,5.85E-05,0.249060303,5.85E-05,4.31E-05,5.23E-05
,,,,,,,,,,,,
9702179,0.001014713,3.10E-06,0.001783657,0.248519701,2.68E-05,2.68E-05,0.001014713,3.14E-05,0.248519701,3.14E-05,3.10E-06,5.52E-06
,,,,,,,,,,,,
9711157,0.001739509,0.000393849,0.007434837,0.284014236,0.000111809,0.000111809,0.001739509,5.56E-05,0.284014236,5.56E-05,0.000393849,0.000380697
,,,,,,,,,,,,
9209016,0.001884468,7.33E-05,0.002547402,0.255779838,3.83E-05,3.83E-05,0.001884468,6.63E-05,0.255779838,6.63E-05,7.33E-05,8.00E-05
,,,,,,,,,,,,
9304154,0.006233239,0.004188961,0.007477659,0.280097801,0.000112488,0.000112488,0.006233239,0.000241881,0.280097801,0.000241881,0.004188961,0.003916308
,,,,,,,,,,,,
9305142,0.002391824,0.000140792,0.003326831,0.256676709,5.00E-05,5.00E-05,0.002391824,8.15E-05,0.256676709,8.15E-05,0.000140792,0.000150728
,,,,,,,,,,,,
9402032,0.00608828,0.002632525,0.010465752,0.285184201,0.000157399,0.000157399,0.00608828,0.000228169,0.285184201,0.000228169,0.002632525,0.00261061
,,,,,,,,,,,,
9410167,0.018772197,0.008983101,0.040425256,0.307610077,0.000608177,0.000608177,0.018772197,0.00056909,0.307610077,0.00056909,0.008983101,0.008211263
,,,,,,,,,,,,
9503124,0.027034863,0.019970351,0.057040924,0.31972785,0.000858193,0.000858193,0.027034863,0.000846707,0.31972785,0.000846707,0.019970351,0.018509295
,,,,,,,,,,,,
9503221,0.000108719,0,0.000136378,0.221688276,2.05E-06,2.05E-06,0.000108719,9.38E-06,0.221688276,9.38E-06,0,0
,,,,,,,,,,,,
9504113,0.00144959,0.000299192,0.005033396,0.273551576,7.57E-05,7.57E-05,0.00144959,5.05E-05,0.273551576,5.05E-05,0.000299192,0.000305572
,,,,,,,,,,,,
9505105,0.007537871,0.00075667,0.014161756,0.278175479,0.000212839,0.000212839,0.007537871,0.00020785,0.278175479,0.00020785,0.00075667,0.000694906
,,,,,,,,,,,,
9508143,0.008226426,0.001455533,0.018549158,0.287652082,0.000279092,0.000279092,0.008226426,0.000245601,0.287652082,0.000245601,0.001455533,0.001466382
,,,,,,,,,,,,
9510209,0.020946583,0.010399171,0.042350086,0.300314023,0.000637899,0.000637899,0.020946583,0.000631394,0.300314023,0.000631394,0.010399171,0.009537699
,,,,,,,,,,,,
9606045,0.000253678,2.46E-05,0.000131593,0.22431275,1.98E-06,1.98E-06,0.000253678,2.00E-05,0.22431275,2.00E-05,2.46E-05,2.89E-05
,,,,,,,,,,,,
9611050,0.017141408,0.011804062,0.041103171,0.313220184,0.000618361,0.000618361,0.017141408,0.000539658,0.313220184,0.000539658,0.011804062,0.011663197
,,,,,,,,,,,,
9611230,0.011777923,0.002473908,0.030649477,0.289626668,0.000461251,0.000461251,0.011777923,0.000310039,0.289626668,0.000310039,0.002473908,0.00236683
,,,,,,,,,,,,
9701012,0.000833515,0.000133164,0.002429844,0.261951885,3.65E-05,3.65E-05,0.000833515,3.78E-05,0.261951885,3.78E-05,0.000133164,0.000134466
,,,,,,,,,,,,
9701019,0.000724795,1.71E-05,0.002080316,0.253824286,3.13E-05,3.13E-05,0.000724795,2.74E-05,0.253824286,2.74E-05,1.71E-05,2.17E-05
,,,,,,,,,,,,
9701155,0.001232152,3.04E-05,0.001911581,0.244322484,2.87E-05,2.87E-05,0.001232152,3.96E-05,0.244322484,3.96E-05,3.04E-05,2.90E-05
,,,,,,,,,,,,
9702014,0.004964847,0.000325186,0.013262433,0.277340403,0.000199504,0.000199504,0.004964847,0.000124731,0.277340403,0.000124731,0.000325186,0.000312353
,,,,,,,,,,,,
9702094,0.001811988,0.000137068,0.003171208,0.263225832,4.77E-05,4.77E-05,0.001811988,6.57E-05,0.263225832,6.57E-05,0.000137068,0.000158704
,,,,,,,,,,,,
9703166,0.011777923,0.002249263,0.03445837,0.290856058,0.000518651,0.000518651,0.011777923,0.000307045,0.290856058,0.000307045,0.002249263,0.002126628
,,,,,,,,,,,,
9704104,0.004674929,0.00068868,0.01572723,0.293429949,0.000236514,0.000236514,0.004674929,0.000119292,0.293429949,0.000119292,0.00068868,0.000644671
,,,,,,,,,,,,
9705003,0.002138146,7.31E-05,0.003217501,0.24982437,4.84E-05,4.84E-05,0.002138146,6.44E-05,0.24982437,6.44E-05,7.31E-05,8.00E-05
,,,,,,,,,,,,
9708078,0.001014713,3.30E-05,0.004828328,0.273551576,7.26E-05,7.26E-05,0.001014713,3.22E-05,0.273551576,3.22E-05,3.30E-05,3.45E-05
,,,,,,,,,,,,
9708134,0.001050953,1.96E-05,0.002178481,0.247882784,3.28E-05,3.28E-05,0.001050953,3.13E-05,0.247882784,3.13E-05,1.96E-05,2.51E-05
,,,,,,,,,,,,
9712010,0.000761035,2.43E-06,0.001155282,0.239264797,1.74E-05,1.74E-05,0.000761035,2.66E-05,0.239264797,2.66E-05,2.43E-06,4.26E-06
,,,,,,,,,,,,
9712116,0.000761035,1.65E-06,0.000903065,0.232829426,1.36E-05,1.36E-05,0.000761035,2.61E-05,0.232829426,2.61E-05,1.65E-06,1.99E-06
,,,,,,,,,,,,
9506098,0.001920707,0.000479182,0.002884141,0.266766717,4.34E-05,4.34E-05,0.001920707,6.90E-05,0.266766717,6.90E-05,0.000479182,0.000515494
,,,,,,,,,,,,
9506139,0.00159455,0.000392259,0.002020119,0.237346541,3.03E-05,3.03E-05,0.00159455,5.61E-05,0.237346541,5.61E-05,0.000392259,0.000362697
,,,,,,,,,,,,
9506196,0.001304631,8.15E-06,0.001781678,0.239264797,2.68E-05,2.68E-05,0.001304631,4.00E-05,0.239264797,4.00E-05,8.15E-06,1.06E-05
,,,,,,,,,,,,
9710105,0.002138146,4.23E-05,0.002123853,0.241754103,3.19E-05,3.19E-05,0.002138146,6.66E-05,0.241754103,6.66E-05,4.23E-05,4.68E-05
,,,,,,,,,,,,
9801173,0.002138146,0.000115952,0.005213055,0.256337807,7.83E-05,7.83E-05,0.002138146,6.04E-05,0.256337807,6.04E-05,0.000115952,0.00010827
,,,,,,,,,,,,
9503163,0.004022614,0.000185575,0.011873097,0.269938287,0.000178656,0.000178656,0.004022614,0.000108647,0.269938287,0.000108647,0.000185575,0.00020613
,,,,,,,,,,,,
9505035,0.006015801,0.001272248,0.01147628,0.274175842,0.000172398,0.000172398,0.006015801,0.000180851,0.274175842,0.000180851,0.001272248,0.001250114
,,,,,,,,,,,,
9507169,0.00159455,6.19E-05,0.00293107,0.256127059,4.40E-05,4.40E-05,0.00159455,5.25E-05,0.256127059,5.25E-05,6.19E-05,5.83E-05
,,,,,,,,,,,,
9509161,0.005653403,0.000267471,0.010743096,0.265998639,0.000161272,0.000161272,0.005653403,0.000155472,0.265998639,0.000155472,0.000267471,0.0002828
,,,,,,,,,,,,
9511118,0.000289918,3.74E-05,7.10E-05,0.214422804,1.07E-06,1.07E-06,0.000289918,2.82E-05,0.214422804,2.82E-05,3.74E-05,4.11E-05
,,,,,,,,,,,,
9511180,0.001848228,3.13E-06,0.004951007,0.248974667,7.43E-05,7.43E-05,0.001848228,4.68E-05,0.248974667,4.68E-05,3.13E-06,4.22E-06
,,,,,,,,,,,,
9512005,0.001703269,1.08E-05,0.005323413,0.259016744,7.99E-05,7.99E-05,0.001703269,4.39E-05,0.259016744,4.39E-05,1.08E-05,9.75E-06
,,,,,,,,,,,,
9606043,0.001630789,2.80E-06,0.005133321,0.258479479,7.71E-05,7.71E-05,0.001630789,4.17E-05,0.258479479,4.17E-05,2.80E-06,4.21E-06
,,,,,,,,,,,,
9609041,0.003877655,0.000502729,0.010490622,0.269962767,0.000157481,0.000157481,0.003877655,0.000100443,0.269962767,0.000100443,0.000502729,0.000452349
,,,,,,,,,,,,
9609145,0.003225339,3.56E-05,0.009398994,0.266022409,0.000141116,0.000141116,0.003225339,7.83E-05,0.266022409,7.83E-05,3.56E-05,3.58E-05
,,,,,,,,,,,,
9610156,0.003370298,0.000419722,0.009228677,0.26872802,0.000138555,0.000138555,0.003370298,9.21E-05,0.26872802,9.21E-05,0.000419722,0.000374101
,,,,,,,,,,,,
9701055,0.002609263,4.50E-05,0.007595863,0.261826448,0.000114021,0.000114021,0.002609263,6.72E-05,0.261826448,6.72E-05,4.50E-05,4.59E-05
,,,,,,,,,,,,
9704067,0.001739509,1.87E-05,0.004390949,0.261384536,6.60E-05,6.60E-05,0.001739509,4.97E-05,0.261384536,4.97E-05,1.87E-05,1.99E-05
,,,,,,,,,,,,
9706076,0.00159455,1.47E-05,0.004690765,0.260229371,7.05E-05,7.05E-05,0.00159455,4.27E-05,0.260229371,4.27E-05,1.47E-05,1.60E-05
,,,,,,,,,,,,
9707071,0.000978474,6.19E-06,0.004264401,0.25887659,6.41E-05,6.41E-05,0.000978474,2.86E-05,0.25887659,2.86E-05,6.19E-06,5.90E-06
,,,,,,,,,,,,
9710001,0.001087193,3.18E-05,0.002555263,0.255367821,3.84E-05,3.84E-05,0.001087193,3.63E-05,0.255367821,3.63E-05,3.18E-05,3.00E-05
,,,,,,,,,,,,
9801187,0.000724795,5.80E-07,0.000882953,0.232282386,1.33E-05,1.33E-05,0.000724795,2.53E-05,0.232282386,2.53E-05,5.80E-07,6.88E-07
,,,,,,,,,,,,
9602180,0.000942234,2.60E-05,0.000857765,0.236650516,1.29E-05,1.29E-05,0.000942234,3.71E-05,0.236650516,3.71E-05,2.60E-05,3.23E-05
,,,,,,,,,,,,
9702059,0.000942234,1.63E-06,0.001399282,0.235968953,2.10E-05,2.10E-05,0.000942234,2.98E-05,0.235968953,2.98E-05,1.63E-06,2.76E-06
,,,,,,,,,,,,
9709081,0.000761035,9.89E-06,0.002636992,0.256607874,3.96E-05,3.96E-05,0.000761035,2.59E-05,0.256607874,2.59E-05,9.89E-06,8.63E-06
,,,,,,,,,,,,
9802092,0.000869754,2.61E-05,0.000984599,0.239081177,1.48E-05,1.48E-05,0.000869754,3.18E-05,0.239081177,3.18E-05,2.61E-05,3.37E-05
,,,,,,,,,,,,
9410203,0.000688555,0.000238684,0.000142041,0.229110176,2.13E-06,2.13E-06,0.000688555,4.65E-05,0.229110176,4.65E-05,0.000238684,0.000248155
,,,,,,,,,,,,
9506084,0.001050953,6.10E-05,0.003164483,0.264243522,4.76E-05,4.76E-05,0.001050953,3.55E-05,0.264243522,3.55E-05,6.10E-05,6.04E-05
,,,,,,,,,,,,
9703159,0.000905994,2.59E-06,0.001008052,0.236801115,1.52E-05,1.52E-05,0.000905994,3.19E-05,0.236801115,3.19E-05,2.59E-06,3.60E-06
,,,,,,,,,,,,
9704114,0.001087193,0.000215053,0.001628718,0.25651697,2.45E-05,2.45E-05,0.001087193,5.06E-05,0.25651697,5.06E-05,0.000215053,0.000248256
,,,,,,,,,,,,
9801007,0.000362398,5.71E-07,0.00062766,0.235979345,9.44E-06,9.44E-06,0.000362398,1.64E-05,0.235979345,1.64E-05,5.71E-07,6.14E-07
,,,,,,,,,,,,
9801207,0.002899181,8.60E-05,0.008189046,0.267841475,0.000123126,0.000123126,0.002899181,7.13E-05,0.267841475,7.13E-05,8.60E-05,9.07E-05
,,,,,,,,,,,,
9803087,0.000905994,2.86E-06,0.001142879,0.233653817,1.72E-05,1.72E-05,0.000905994,3.12E-05,0.233653817,3.12E-05,2.86E-06,3.72E-06
,,,,,,,,,,,,
9710024,0.000652316,1.58E-05,0.001032935,0.239570743,1.55E-05,1.55E-05,0.000652316,2.56E-05,0.239570743,2.56E-05,1.58E-05,1.79E-05
,,,,,,,,,,,,
9804061,0.001848228,6.46E-05,0.004919567,0.256472769,7.39E-05,7.39E-05,0.001848228,5.36E-05,0.256472769,5.36E-05,6.46E-05,5.81E-05
,,,,,,,,,,,,
9803139,0.000905994,1.60E-05,0.002436849,0.254729268,3.66E-05,3.66E-05,0.000905994,2.98E-05,0.254729268,2.98E-05,1.60E-05,1.37E-05
,,,,,,,,,,,,
9808125,0.000616076,1.01E-05,0.003044184,0.261770168,4.58E-05,4.58E-05,0.000616076,1.95E-05,0.261770168,1.95E-05,1.01E-05,9.36E-06
,,,,,,,,,,,,
9606139,0.006196999,0.000739324,0.0145031,0.275628478,0.00021803,0.00021803,0.006196999,0.000152753,0.275628478,0.000152753,0.000739324,0.0007262
,,,,,,,,,,,,
9703051,0.002391824,2.36E-05,0.005958263,0.261297861,8.96E-05,8.96E-05,0.002391824,6.00E-05,0.261297861,6.00E-05,2.36E-05,2.65E-05
,,,,,,,,,,,,
9704043,0.002826701,6.30E-05,0.007986496,0.26569001,0.000120094,0.000120094,0.002826701,6.99E-05,0.26569001,6.99E-05,6.30E-05,6.64E-05
,,,,,,,,,,,,
9707027,0.002355585,1.45E-05,0.006095911,0.253610448,9.16E-05,9.16E-05,0.002355585,5.81E-05,0.253610448,5.81E-05,1.45E-05,1.56E-05
,,,,,,,,,,,,
9708118,0.004022614,0.000282834,0.014494413,0.285226706,0.000217881,0.000217881,0.004022614,9.72E-05,0.285226706,9.72E-05,0.000282834,0.000258739
,,,,,,,,,,,,
9802067,0.004711169,0.001029584,0.014880686,0.281406986,0.000223963,0.000223963,0.004711169,0.000131603,0.281406986,0.000131603,0.001029584,0.001053343
,,,,,,,,,,,,
9812015,7.25E-05,3.75E-08,0.000144785,0.221559946,2.18E-06,2.18E-06,7.25E-05,7.42E-06,0.221559946,7.42E-06,3.75E-08,4.41E-08
,,,,,,,,,,,,
9812155,0.001123433,2.28E-06,0.001553494,0.239485085,2.33E-05,2.33E-05,0.001123433,3.49E-05,0.239485085,3.49E-05,2.28E-06,2.92E-06
,,,,,,,,,,,,
9810014,0.001123433,6.44E-06,0.001342476,0.234068205,2.02E-05,2.02E-05,0.001123433,3.53E-05,0.234068205,3.53E-05,6.44E-06,1.22E-05
,,,,,,,,,,,,
9811119,0.001304631,1.32E-06,0.00138306,0.232833473,2.08E-05,2.08E-05,0.001304631,4.16E-05,0.232833473,4.16E-05,1.32E-06,1.95E-06
,,,,,,,,,,,,
