,Rank,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank
108,109,9912152,9602043,111012,9911116,205251,303193,9602043,9803135,9702152,9510086,7018,9202
109,110,9912151,9811089,209195,9304154,206073,203268,9811089,9809172,211069,9712251,9507008,202188
110,111,9912150,9803051,209201,9806087,211090,207145,9803051,9602043,201259,9611173,9708118,304057
111,112,9912149,5049,211023,9910219,211197,304192,5049,9611047,211156,208020,9712028,211156
112,113,9912147,9611047,211091,9605150,212126,208009,9611047,9711001,9902165,9701025,9506110,212112
113,114,9912145,9711001,302008,202109,212223,202135,9711001,9503027,9608017,201081,9602073,210262
114,115,9912144,9907070,207117,109162,303095,204174,9907070,9907070,9208045,9602064,9509161,303193
115,116,9912143,9912001,208074,9505075,210272,209203,9912001,9804092,9706061,9603003,9612128,212139
116,117,9912142,9503027,210221,9207016,112045,112140,9503027,5049,9704187,9211021,9611173,211182
117,118,9912141,9609113,204203,112044,207009,106253,9609113,9609113,9801135,9908056,9309140,208132
118,119,9912140,9709087,211059,9611190,208165,212332,9709087,9907129,103232,9505150,9703210,211149
119,120,9912139,9907129,303185,9505035,210221,7250,9907129,9703040,9904014,9504145,9904017,210124
120,121,9912137,9804092,210206,5067,112253,210313,9804092,9803051,9703213,9612121,9602051,303251
121,122,9912135,9807230,210158,9803015,208142,304241,9807230,9807230,9903185,9612080,9602070,210060
122,123,9912133,9703040,212095,203157,209224,202014,9703040,9807080,9512142,106113,9804184,206016
123,124,9912132,9612224,206196,9603003,208196,206063,9612224,9808016,210022,9506112,9812219,212277
124,125,9912130,9704172,110055,9912249,212079,11166,9704172,9704172,9411076,9508155,9504047,112158
125,126,9912129,9808016,201210,9705221,208041,301171,9808016,9612224,9011,9607163,9507050,107151
126,127,9912128,9709220,209150,9712251,210187,12137,9709220,9912001,9309068,9509066,9602065,212223
127,128,9912126,9602070,304224,9604035,112140,212063,9602070,9709087,9507047,202109,9707079,112133
128,129,9912125,9703126,211271,106113,208187,302148,9703126,9501030,9310131,9606139,9709220,301071
129,130,9912124,9602045,302174,9510182,206221,209011,9602045,9602070,9912254,9611159,9612126,304090
130,131,9912123,9807080,304072,9908105,212017,303060,9807080,9703126,9601035,9510161,9604042,209214
131,132,9912122,9803135,304271,9710231,303013,301094,9803135,9709220,3047,9806194,9508154,211041
132,133,9912121,9711161,303055,9803001,209068,10122,9711161,9602045,9609043,9905210,9805157,212043
133,134,9912120,9902200,209222,9509161,208009,207107,9902200,9711161,203229,9612157,9510129,211012
134,135,9912119,204054,208178,9148,211122,211263,204054,9905020,9802074,9709027,9803002,208187
135,136,9912118,9803265,212297,9505150,205266,107172,9803265,9803265,104101,9148,9802042,212293
136,137,9912114,9909061,212010,9510086,303050,203191,9909061,9909061,9602087,9505062,9607066,5219
137,138,9912112,9812226,211257,9906142,210055,201205,9812226,9804202,5199,9103,9908072,5220
138,139,9912111,9804202,301101,9611173,212092,2118,9804202,9601177,111178,9605033,9607201,206094
139,140,9912109,7044,211287,9511043,209116,103163,7044,9805139,9301028,9810126,9512196,302027
140,141,9912108,9601177,206108,9701125,209225,5067,9601177,9605200,9504004,9306002,9602064,207116
141,142,9912107,9501030,209247,9905210,212317,7082,9501030,9812226,9509108,9510182,9806008,304072
142,143,9912106,9804111,205251,203211,207194,206183,9804111,203101,203093,9902105,9603150,210026
143,144,9912105,9805139,301161,9702076,212277,109054,9805139,9711162,9210042,9205027,9804058,303001
144,145,9912104,9605200,208003,9905104,302182,202148,9605200,9610018,103063,9810072,9706109,208141
145,146,9912102,9802042,211289,9510225,201176,106014,9802042,204054,208068,110242,9512062,212170
146,147,9912101,9610018,207127,9609239,212010,110028,9610018,9803235,8166,9510225,9602120,209067
147,148,9912100,9707192,209197,9612121,210091,211090,9707192,9707192,9211076,9602136,9505100,304120
148,149,9912099,203101,205067,9612080,208179,11095,203101,7044,9307137,9505100,112044,212215
149,150,9912098,9712220,210263,9706109,211257,212278,9712220,9907188,212130,9910149,9512219,301124
150,151,9912097,9907188,209194,9611159,208086,7018,9907188,9712220,209063,9802067,9704089,212313
151,152,9912094,9905020,111165,204054,208148,203052,9905020,9803142,9611040,9612128,9603042,209153
152,153,9912093,203191,212269,9510161,210108,110050,203191,9909058,9507090,9305185,9510023,212199
153,154,9912092,9803090,211138,9103,111238,210094,9803090,9503124,9612143,9908105,9602043,302130
154,155,9912091,9711087,207091,9908056,202083,211042,9711087,9808149,9608139,9611202,9811139,205299
155,156,9912090,9803142,210219,9805171,204138,3136,9803142,9804111,9009,9603087,9207053,206226
156,157,9912089,9610012,210308,12210,303087,107251,9610012,9704127,9811096,9805112,9706051,205170
157,158,9912088,9803235,212109,9605033,203227,112253,9803235,9802042,210221,9708005,9501030,208003
158,159,9912086,9909058,203267,9708005,210229,207104,9909058,9711087,9312028,1206,9507090,209148
159,160,9912085,10122,210083,9506112,207247,209197,10122,202210,11043,9512219,9602135,210094
160,161,9912084,9609043,303001,11197,208065,208074,9609043,9609043,9810098,7191,9604178,210302
161,162,9912082,202210,212274,9506126,211091,12210,202210,9609219,9808104,9512031,9603133,212116
162,163,9912080,3187,203052,9505062,210056,303087,3187,9506106,9303105,9702076,9701088,302148
163,164,9912079,9808149,209090,9712186,207001,109182,9808149,9610012,9406090,9508072,9510234,208190
164,165,9912078,9806104,210153,9603090,210157,204023,9806104,203191,9512002,9805171,9604179,7133
165,166,9912077,111165,209081,8142,211130,209263,111165,9803090,9912187,9504047,9512078,6141
166,167,9912076,9711012,209255,9806104,211131,211138,9711012,9711012,9603100,9812135,9507115,207228
167,168,9912074,9704127,207162,9606185,208074,108043,9704127,9805112,9205005,9205068,9802033,206239
168,169,9912073,9711162,205103,9912001,210046,111093,9711162,9902200,9311098,2075,9409188,212063
169,170,9912072,9503124,212150,208020,207214,210187,9503124,10122,212333,9503163,9702187,212331
170,171,9912071,9609219,212126,1206,212083,211195,9609219,3187,9912038,9602051,9705221,211068
171,172,9912070,9805019,211218,9607163,212112,11029,9805019,9704052,211161,9908134,9508091,209205
172,173,9912069,9906182,301094,9202,206248,210292,9906182,9604090,9910060,9812031,9609104,302058
173,174,9912068,203211,212343,9610148,212047,304271,203211,9806199,205203,9806074,9304154,9805142
174,175,9912067,9506106,207067,9603087,205037,211287,9506106,111165,9806007,9401070,202109,109054
175,176,9912064,9805112,212074,9602051,303236,8130,9805112,9805019,9210115,9712186,9305185,207130
176,177,9912063,205316,204146,9810072,207067,109131,205316,203211,206015,5129,107177,208081
177,178,9912061,9604090,206182,9701025,210206,112214,9604090,9901146,4180,9607235,9609041,212051
178,179,9912060,7170,204004,201081,212063,209002,7170,9806104,9906122,9602135,9706087,211091
179,180,9912059,9806199,209217,9512219,211206,212297,9806199,205316,9303136,9701149,9511088,112151
180,181,9912057,9801067,208042,9512031,303157,111165,9801067,9801067,9510184,9907166,9510182,111260
181,182,9912056,11156,210122,9810126,303269,211073,11156,9804085,112118,5031,9604129,212126
182,183,9912055,112223,209002,2091,204112,211059,112223,9906182,9912248,9805028,9607207,210022
183,184,9912054,9810195,208103,9701166,209194,210221,9810195,7170,9412239,9208027,9505073,207246
184,185,9912052,9402107,209047,110028,211182,111044,9402107,8142,109058,9507050,9612131,209024
185,186,9912051,9907006,208029,303095,211042,208042,9907006,9402107,9608104,9604179,9602030,212278
186,187,9912050,9901146,209203,9309140,205134,206108,9901146,112223,9707024,9603090,9506102,207127
187,188,9912049,9811017,209057,9602136,207127,302127,9811017,9907006,9707165,9307049,9607057,2118
188,189,9912048,9902071,211073,9703040,212147,212126,9902071,112218,9304016,9703040,9906194,202014
189,190,9912045,102085,212056,9602135,209218,202126,102085,9902071,9073,2091,9606185,208009
190,191,9912044,9910052,112045,110108,212179,301101,9910052,9908038,9611048,9210010,9606122,209025
191,192,9912043,9709138,205131,9906194,209043,212116,9709138,9611042,9408081,9609239,9803001,212021
192,193,9912042,9908038,303107,9507090,108119,101099,9908038,11156,6077,9606112,9705163,206183
193,194,9912041,9704052,212063,9810201,211031,205096,9704052,9602135,9602145,9301068,9802067,208111
194,195,9912038,9602135,212208,11095,210200,204146,9602135,9810210,9706113,9610148,9702076,209228
195,196,9912036,9712071,204144,9812135,212066,110115,9712071,9510092,9409089,9911161,9511164,210123
196,197,9912035,9805082,304183,9902105,209004,209068,9805082,9902131,9708091,9309140,9611190,12062
197,198,9912034,9810210,303236,9211021,303185,3183,9810210,9805157,107120,9610249,9805171,212183
198,199,9912033,8142,303199,9908134,210158,9910053,8142,9809022,9307036,9210127,9905104,112132
199,200,9912032,9708044,302026,9604091,210155,206196,9708044,9811017,9307069,9905104,9908134,303270
200,201,9912030,205089,207105,9910149,111093,209163,205089,3180,9211084,9504006,9611165,203191
201,202,9912028,9902131,302148,9807124,109122,210263,9902131,9510182,9204007,9506126,9702202,9909061
202,203,9912027,206038,205311,206063,211271,207067,206038,9604089,302146,9509175,9705044,207139
203,204,9912025,3180,211172,9504145,205089,211198,3180,9803231,9312017,9701166,9510086,212211
204,205,9912024,112218,303054,10108,304181,303236,112218,9812062,9510110,9511164,9704170,212329
205,206,9912022,9611042,210227,9509066,204012,302174,9611042,9903107,9404105,9604091,9409089,108036
206,207,9912021,9510092,212118,9812031,111276,208196,9510092,9910004,105146,9309145,9512053,210292
207,208,9912020,9805131,303039,9612157,206038,109162,9805131,9704167,9512080,1113,9604035,3190
208,209,9912019,111093,209011,9704151,212056,107057,111093,9708044,201189,3136,9506126,212006
209,210,9912018,9604089,210102,9504047,211181,103090,9604089,9807087,9605153,9806051,9511080,104204
210,211,9912017,9805207,208232,9803194,211195,202151,9805207,9712071,9703052,5040,9804208,205096
211,212,9912016,9805157,211285,9611202,207107,212083,9805157,9806080,9703024,1197,9806159,206148
212,213,9912014,5048,208196,5129,207053,304183,5048,5048,9807160,9603109,9503179,303184
213,214,9912013,9910004,207247,12198,108172,206164,9910004,9810195,9211100,2211,9702136,9911022
214,215,9912012,9807087,206223,9305185,212177,9911022,9807087,9704131,3086,9609026,9911161,101041
215,216,9912010,9704131,111050,9709027,207174,211222,9704131,9709138,9709068,9906194,2159,301005
216,217,9912009,9808017,211130,9606139,212225,211011,9808017,9805131,9202006,9902121,9704114,209029
217,218,9912005,9704167,205306,9909061,302174,209004,9704167,9905174,9311076,5048,9504006,112228
218,219,9912002,9806080,212212,9507050,202052,302006,9806080,9805207,9309021,9704151,9603127,209145
219,220,9912001,9804085,212236,9911161,211059,212208,9804085,9801206,9701076,9507090,9712251,212174
220,221,9911255,9809022,209068,9805112,207156,212277,9809022,9805082,9503139,9605199,9508072,208086
221,222,9911254,9510182,211222,9306002,207104,9202,9510182,9808172,9605113,9505053,9810188,209160
222,223,9911253,9903107,206131,110242,303170,205067,9903107,205089,9608012,7018,9804085,303157
223,224,9911252,9808172,209263,9612128,209090,204004,9808172,9506124,9608099,8001,9610156,203157
224,225,9911249,208142,210217,9712072,303104,205311,208142,9808017,9502090,9604042,9603073,301094
225,226,9911248,11017,206073,9505100,202180,211110,11017,206038,9503094,9811035,9810126,209240
226,227,9911246,9506124,202135,5031,212069,301161,9506124,102085,209247,106109,9811131,301035
227,228,9911243,9901032,304173,9509175,301101,207001,9901032,9906194,9604195,9906182,9710009,5049
228,229,9911242,9812062,208209,9911022,211218,212248,9812062,9910052,9606102,9210065,9609212,208052
229,230,9911241,9702076,208041,9603133,301161,205074,9702076,9704018,9806199,9605184,9804160,202207
230,231,9911240,9704018,209235,9606112,204058,11086,9704018,9501144,210202,9604129,9606044,302118
231,232,9911239,9801206,208231,9604166,209066,210246,9801206,11017,11243,9510227,9701123,211042
232,233,9911238,9501144,208086,2075,212278,208029,9501144,9904122,9711054,9606185,9601057,209245
233,234,9911237,9905174,112152,9503163,301171,212179,9905174,9901032,9707248,9912012,9605215,301030
234,235,9911235,9906194,207111,107177,209081,110172,9906194,9806240,9309084,9809022,9605049,9608107
235,236,9911232,9708168,112226,9205027,202151,204012,9708168,9710206,9808006,9206084,8250,205065
236,237,9911231,9904122,205096,9704089,210308,111050,9904122,111093,7010,9309097,9605096,7110
237,238,9911229,9801008,206183,2211,304120,9801207,9801008,9408074,9711076,9603133,9504027,104127
238,239,9911225,205101,206221,9508072,205311,203165,205101,208142,8193,9504147,9509162,207177
239,240,9911223,9909215,206237,9605199,207091,302008,9909215,9802109,9801197,9702014,9809057,210035
240,241,9911222,9710206,211220,9603061,208029,210048,9710206,9706192,6016,9506102,9148,201032
241,242,9911221,11095,207004,1033,212290,206045,11095,9702076,9907009,9910004,9702180,206173
242,243,9911220,9512031,204071,9806074,210088,105311,9512031,9708168,211024,2237,9511026,210146
243,244,9911219,9806240,212166,9504006,201215,211217,9806240,9801008,9306125,9909053,9612115,9607234
244,245,9911217,109057,203268,9708164,205103,210083,109057,9909215,103183,9306069,9603060,110071
245,246,9911216,9812037,209265,9603127,209076,208041,9812037,205101,9408108,9304011,9505004,211031
246,247,9911215,9607187,207089,9604179,210035,206071,9607187,9804159,9309056,9603061,9808139,211225
247,248,9911213,9408074,211012,8001,208014,9907086,9408074,9603167,9307016,9704089,9410073,203160
248,249,9911211,9803231,212145,303172,210199,9189,9803231,9607187,201004,9801182,2103,206174
249,250,9911209,204203,209225,9609017,208042,5047,204203,11095,304190,9212149,9603002,304233
250,251,9911207,9707146,211198,9511164,204260,101064,9707146,9812037,9212026,9602120,1071,8096
251,252,9911206,9706192,208141,204004,209217,5230,9706192,9707146,204256,9603127,9805112,211158
252,253,9911205,9603167,304120,9607235,207037,110113,9603167,9912230,9804027,9803194,9609017,212136
253,254,9911203,9802109,209257,9604042,302222,210167,9802109,9512031,108193,9710230,9912012,304220
254,255,9911201,9912230,205106,9806051,209067,202131,9912230,9805165,9912060,8142,9608005,205230
255,256,9911200,9705241,212306,9701149,206065,104021,9705241,9612164,110179,9912001,9804027,211207
256,257,9911199,9712115,212307,9907166,211238,104026,9712115,9610148,9301105,9603126,9609219,202156
257,258,9911198,101126,209158,7170,210263,9908175,101126,9705241,9912168,9804170,9805019,303186
258,259,9911197,9910092,212179,9610172,206223,301187,9910092,9809057,9812058,9706072,9712072,209137
259,260,9911196,9804159,205066,9909047,209150,107177,9804159,109057,209233,9909047,9705004,106260
260,261,9911195,9809057,212061,9902121,207105,207117,9809057,204203,110193,9803076,9309145,11032
261,262,9911194,9610148,208126,9805028,211138,204144,9610148,9712115,109222,9604089,9609217,111091
262,263,9911193,9805165,302158,9501030,208190,112199,9805165,9804160,9612057,9803031,9806087,207264
263,264,9911192,107177,111238,9605184,212332,210272,107177,9910092,110206,9711002,9408155,212095
264,265,9911191,9612164,304208,9604090,202135,9710046,9612164,9509123,9403157,9504027,9803031,204220
265,266,9911190,9806004,302104,209169,302158,203211,9806004,9806004,9702065,9607207,9207094,212279
266,267,9911189,9804160,205290,9702014,204231,112119,9804160,107177,9206049,9503179,9704041,208125
267,268,9911187,107251,212091,2094,207117,206154,107251,9708166,9311189,9403198,9707244,204183
268,269,9911186,105311,206176,9610249,210083,210072,105311,105311,9805220,9610234,9811193,212276
269,270,9911185,9509123,208197,9805157,203108,211188,9509123,9701061,9805109,9410073,2091,207281
270,271,9911184,9601112,207190,2237,206196,208003,9601112,9310170,9305072,9802203,9406055,204182
271,272,9911183,1071,207223,9912012,210047,202083,1071,9903238,9607020,9603150,9911096,205202
272,273,9911182,10105,205015,111238,212051,108161,10105,9609176,207100,9810201,9504145,211130
273,274,9911181,9310170,211216,9401070,210169,212166,9310170,9902190,7172,9503121,9504034,211138
274,275,9911180,2028,208148,5048,212139,208141,2028,2222,111057,9604166,9308083,208012
275,276,9911179,9909070,209116,9603150,206059,205106,9909070,202109,9906246,9608117,9708147,9601169
276,277,9911178,2222,212136,9603109,212096,204260,2222,9601112,9304011,9910093,9601036,212210
277,278,9911176,9709118,212211,9806146,202140,206098,9709118,9510017,105227,9804083,9512031,203129
278,279,9911175,9701061,304139,9909172,301144,207163,9701061,2028,9403097,9612146,9803076,210224
279,280,9911173,9903048,304220,9808149,204174,206221,9903048,1071,9804094,9301052,9511154,212002
280,281,9911172,9708166,208190,9205068,207044,107167,9708166,10105,9708026,9507012,9609161,303154
281,282,9911170,9902190,212344,9811035,212009,212210,9902190,9711156,212029,9611137,9805139,301114
282,283,9911169,9903238,209163,102112,212243,211074,9903238,9512161,9911023,9705046,9307049,9906142
283,284,9911168,9803023,207037,9605200,204146,211202,9803023,9909070,9705102,9604178,9702154,206197
284,285,9911167,9609176,206029,203048,210072,103021,9609176,9903048,9803239,11256,9704080,212117
285,286,9911166,9602064,207257,10240,202060,212343,9602064,9709118,109209,9407031,9508094,101106
286,287,9911164,202109,210055,209122,206154,109065,202109,101126,9809102,9407190,9604119,209004
287,288,9911163,9701144,205291,202179,212091,205109,9701144,107251,9242,2186,9511173,209032
288,289,9911162,9912140,207221,9307049,212307,203163,9912140,9803174,3239,9706110,9511043,210175
289,290,9911161,9711156,209215,9609026,206005,209218,9711156,9611050,9408112,9501030,9902121,9710046
290,291,9911160,9811010,207171,9601108,211287,206155,9811010,9803023,206041,9601036,109152,204083
291,292,9911159,9409098,109122,9602120,203052,110209,9409098,2244,9611151,9710231,9703030,209194
292,293,9911157,9803174,210187,9708118,212344,201176,9803174,9602064,9910025,9602065,9710065,206001
293,294,9911156,2244,211141,9806159,206029,208231,2244,9812007,9603012,9603060,9610249,304045
294,295,9911155,8241,206228,304018,211286,111209,8241,9409098,103020,9809057,9510183,212252
