S.No,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank,Rank_prestige,Authorities-Score,score
35,9604057,7.49E-05,0.079220371,0.013255833,2.10E-21,0.016386664,7.49E-05,8.73E-05,0.300543275,0.000829365,0.001110764,0.01032941,0.059615385,0.001110764,0.195003129
36,9608104,0.000947354,0.080734016,0.020712345,4.01E-21,0.019467832,0.000947354,0.00099292,0.71155569,0.003316757,0.004904128,0.019571514,0.086538462,0.004904128,0.012579552
37,9406008,0.000192979,0.007909279,0.016569843,1.28E-40,0.004558721,0.000192979,0.00020761,0.0214299,0.003316757,0.001411159,0.010003218,0.061538462,0.001411159,0.012579552
38,9602147,2.11E-06,0.004020467,0.004142316,2.71E-40,0.001378408,2.11E-06,1.06E-06,0.525336205,0.00165873,0.000628036,0.001087306,0.011538462,0.000628036,0.006291814
39,9812068,3.94E-05,0.107079008,0.020712345,2.02E-18,0.025042634,3.94E-05,4.02E-05,0.000329418,0.000829365,9.99E-06,0.012395292,0.098076923,9.99E-06,0.358555334
40,9807124,0.01205718,0.263794393,0.073736378,5.38E-09,0.11755008,0.01205718,0.012512472,0.000658836,0.009950251,0.01016894,0.101220067,0.3,0.01016894,0.012579552
41,9504114,4.67E-06,0.004243833,0.004970829,2.71E-40,0.001729564,4.67E-06,3.11E-06,0.088314241,0.00165873,8.87E-05,0.002500805,0.013461538,8.87E-05,0.031450918
42,9504115,2.44E-05,0.010580185,0.009941823,3.61E-40,0.003871859,2.44E-05,2.31E-05,0.001218846,0.00165873,8.87E-05,0.004784148,0.036538462,8.87E-05,0.012579552
43,9812253,5.85E-05,0.203263122,0.009941823,9.99E-13,0.02729026,5.85E-05,6.80E-05,0,0.00165873,0.000135527,0.012177831,0.048076923,0.000135527,0.037741479
44,9705068,1.39E-05,0.101465398,0.009113331,1.49E-17,0.011381242,1.39E-05,1.76E-05,0.000658836,0.002487558,0.003569814,0.002228978,0.030769231,0.003569814,0.050322443
45,9510218,9.65E-05,0.031496309,0.006627834,9.40E-27,0.004048304,9.65E-05,0.000114938,0,0.000829365,1.74E-05,0.006632569,0.028846154,1.74E-05,0.025160516
46,9511206,0.00021988,0.001523546,0.003313824,5.67E-43,0.000561852,0.00021988,0.000217841,0.01239709,0.002487558,0.002913136,0.000543653,0.005769231,0.002913136,0.138388872
47,9611053,8.42E-05,0.003207471,0.004970829,1.05E-41,0.001390586,8.42E-05,8.61E-05,0.277387042,0.00165873,0.001851273,0.001413498,0.017307692,0.001851273,0.012579552
48,9611110,4.63E-05,0.109714836,0.01905534,2.13E-18,0.027727245,4.63E-05,4.72E-05,0.200081988,0.00165873,0.001830316,0.006306377,0.082692308,0.001830316,0.094355737
49,3298,0.003766023,0.314909201,0.031482846,4.88E-07,0.030523624,0.003766023,0.003712918,0.349394787,0.007462693,0.008686664,0.042404948,0.111538462,0.008686664,0.006291814
50,9604096,2.49E-05,0.02968397,0.003313824,1.25E-26,0.001444844,2.49E-05,3.06E-05,0.036543416,0.000829365,4.22E-05,0.007230587,0.015384615,4.22E-05,0.371136297
51,9607223,0.006380895,0.099475179,0.01905534,5.27E-21,0.019972044,0.006380895,0.006595995,0.403613589,0.00165873,0.002361247,0.018049285,0.080769231,0.002361247,0.22016505
52,102198,2.27E-05,0.462059589,0.017398335,2.20E-05,0.029500355,2.27E-05,2.64E-05,0.546413164,0.003316757,0.007149967,0.011579813,0.075,0.007149967,0.232746014
53,108234,0.000918114,0.446344976,0.014084325,2.57E-05,0.014065368,0.000918114,0.000980884,0.000329418,0.005804315,0.00130637,0.008861547,0.048076923,0.00130637,0.100646139
54,109013,0.000280113,0.553279746,0.029825841,0.000225621,0.100907634,0.000280113,0.000281628,0.000329418,0.000829365,0.001096792,0.089628837,0.138461539,0.001096792,0.088065176
55,109155,0,0.130745324,0.022369329,4.76E-17,0.055322116,0,0,0.747174309,0,3.17E-19,0.039034298,0.103846154,3.17E-19,0.006291814
56,211121,0,0.608331194,0.014084325,0.000214774,0.06649882,0,0,0.315670506,0,3.17E-19,0.10412698,0.071153846,3.17E-19,0.012579552
57,212020,6.96E-05,0.19798926,0.024026334,8.53E-11,0.047622775,6.96E-05,7.10E-05,0.059831708,0.000829365,0.000106186,0.067431478,0.107692308,0.000106186,0.056612846
58,9909032,5.56E-05,0.190963048,0.014912838,4.05E-13,0.05002572,5.56E-05,5.76E-05,0.402598184,0.000829365,0.002144683,0.029248541,0.069230769,0.002144683,0.088065176
59,9507075,1.41E-06,0.006190921,0.005799321,2.46E-39,0.002417503,1.41E-06,1.43E-06,0.020705359,0.000829365,0.000394705,0.018864765,0.021153846,0.000394705,0.012579552
60,9603059,0,0.069388442,0.018226827,1.68E-22,0.02141384,0,0,0,0,3.17E-19,0.010601237,0.094230769,3.17E-19,0.113227103
61,9609163,7.02E-07,0.005489249,0.007456326,3.02E-39,0.002986426,7.02E-07,7.28E-07,0.296137415,0.000829365,0.001383216,0.008535355,0.034615385,0.001383216,0.069193809
62,9610119,0,0.08001936,0.01574133,9.24E-21,0.014401257,0,0,0.351084348,0,3.17E-19,0.004457956,0.086538462,3.17E-19,0.044031882
63,9701094,1.59E-06,0.118328817,0.014912838,7.67E-18,0.029398522,1.59E-06,2.04E-06,0.000658836,0.000829365,0.007274736,0.011416717,0.057692308,0.007274736,0.069193809
64,9707022,6.20E-05,0.159214333,0.032311338,7.22E-16,0.063658856,6.20E-05,6.32E-05,0.456135923,0.000829365,0.00249398,0.056065865,0.153846154,0.00249398,0
65,9309097,0.000643265,0.000846596,0.056337857,1.09E-44,0.000468209,0.000643265,0.000698053,0.217447147,0.055555548,0.028687962,0.000706749,0.003846154,0.028687962,0.031450918
66,9504090,0.004204613,0.006576745,0.143330419,1.91E-37,0.001206928,0.004204613,0.004404953,0.005062054,0.140961847,0.199979447,0.003751207,0.017307692,0.199979447,0.358555334
67,9510234,0.003268955,0.047384822,0.043910351,2.26E-25,0.006494194,0.003268955,0.003279644,0,0.033996688,0.058126074,0.003207554,0.046153846,0.058126074,0
68,9603150,0.007836778,0.078675087,0.064622861,1.74E-21,0.0192122,0.007836778,0.007811991,0.000658836,0.051409611,0.063341635,0.00347938,0.061538462,0.063341635,0.018870113
69,9702155,0.003584739,0.079572205,0.03645384,1.93E-19,0.008367451,0.003584739,0.003797165,0,0.024046438,0.015823428,0.006686934,0.059615385,0.015823428,0.012579552
70,9702198,0.003321586,0.1154749,0.041424854,3.86E-18,0.042171339,0.003321586,0.002804246,0.034282875,0.02072968,0.032205242,0.008263528,0.117307692,0.032205242,0.006291814
71,9711036,0.001619858,0.12591489,0.009941823,1.40E-16,0.009083054,0.001619858,0.001745131,0,0.002487558,0.000740509,0.027617581,0.034615385,0.000740509,0.044031882
72,9501111,0.000318124,0.005654398,0.009941823,4.25E-30,0.001244738,0.000318124,0.000324956,0.002552988,0.007462693,0.003905139,0.001794055,0.019230769,0.003905139,0.075484212
73,9406032,0.001649097,0.008905761,0.010770336,9.00E-41,0.002587095,0.001649097,0.001793273,0,0.004975115,0.008092161,0.002065882,0.034615385,0.008092161,0.012579552
74,9503208,0.000394731,0.010456447,0.014084325,5.69E-39,0.003377712,0.000394731,0.000396566,0.156456161,0.007462693,0.008871023,0.014569905,0.038461538,0.008871023,0.025160516
75,9508107,0.005298163,0.019413521,0.017398335,1.13E-29,0.004480038,0.005298163,0.005614509,0,0.008291872,0.01635869,0.008644085,0.05,0.01635869,0.270488746
76,9404060,3.30E-06,0.001354269,0.004970829,2.93E-43,0.000749138,3.30E-06,3.51E-06,0,0.003316757,0.00092913,0.000271827,0.009615385,0.00092913,0.081774773
77,9608039,0.000404672,0.054620888,0.019883832,3.35E-23,0.008242237,0.000404672,0.00041823,0.156859754,0.011608629,0.010461721,0.00092421,0.042307692,0.010461721,0.301941076
78,9605200,0.023047126,0.100698099,0.063794369,2.71E-20,0.035318092,0.023047126,0.023893137,0,0.041459361,0.081242891,0.006741299,0.121153846,0.081242891,0.044031882
79,9710021,0.000883027,0.121145512,0.017398335,5.56E-17,0.022785906,0.000883027,0.000854513,0.004913816,0.002487558,0.000505083,0.048228017,0.071153846,0.000505083,0.006291814
80,9706110,0.056901626,0.169904428,0.099419882,8.47E-16,0.104821852,0.056901626,0.058059502,0.104354405,0.049751254,0.097137016,0.030118386,0.257692308,0.097137016,0
81,9807040,0.000596482,0.127878382,0.019883832,3.37E-16,0.019570919,0.000596482,0.000613805,0.002635342,0.006633494,0.005148636,0.007882971,0.076923077,0.005148636,0
82,1025,0.000319293,0.295877334,0.01574133,4.65E-07,0.007103095,0.000319293,0.000346017,0.000494127,0.008291872,0.002598769,0.003153188,0.030769231,0.002598769,0.195003129
83,9612181,4.00E-06,0.000762148,0.008284818,2.82E-43,0.000280929,4.00E-06,3.54E-06,0.001383555,0.008291872,0.001494991,0.000108731,0.005769231,0.001494991,0.037741479
84,9407025,0.000126899,0.001763369,0.01905534,2.99E-43,0.000983242,0.000126899,0.000102903,0.09348921,0.016583744,0.005644638,0.000978576,0.015384615,0.005644638,0.025160516
85,9708065,0.001040919,0.140273344,0.021540837,3.75E-16,0.01643006,0.001040919,0.001035044,0.366915127,0.011608629,0.010132543,0.006795665,0.05,0.010132543,0.138388872
86,9704151,0.012563547,0.124418948,0.072907865,2.95E-17,0.018680815,0.012563547,0.013638082,0.000329418,0.057213926,0.089146431,0.007176222,0.075,0.089146431,0.069193809
87,9711090,6.32E-06,0.002016462,0.009941823,1.01E-41,0.000618039,6.32E-06,6.14E-06,0.002141216,0.009121051,0.001921133,0.000326192,0.011538462,0.001921133,0.069193809
88,9711124,0.0003959,0.114286699,0.027340344,1.90E-16,0.010471029,0.0003959,0.000436885,0.261903891,0.016583744,0.010570911,0.003207554,0.059615385,0.010570911,0
89,9404092,0.004122743,0.007053457,0.01905534,5.65E-30,0.002802781,0.004122743,0.004230439,0.064191077,0.011608629,0.000880228,0.013645695,0.038461538,0.000880228,0.012579552
90,9811004,0.003192933,0.308012005,0.038939357,1.77E-06,0.033079481,0.003192933,0.003291679,0.000329418,0.026533995,0.027229997,0.004457956,0.057692308,0.027229997,0.018870113
91,9604043,9.06E-05,0.07339032,0.021540837,3.13E-22,0.020880906,9.06E-05,8.61E-05,0.087339785,0.00165873,0.005085763,0.005490897,0.1,0.005085763,0.044031882
92,9810244,0.004701681,0.34154022,0.026511831,2.75E-05,0.067591771,0.004701681,0.004633625,0.005380491,0.007462693,0.006189541,0.024301297,0.088461538,0.006189541,0
93,9811131,0.012075718,0.31140653,0.058823354,4.92E-06,0.018659172,0.012075718,0.01255237,0.342968482,0.036484246,0.04654297,0.021039378,0.111538462,0.04654297,0.069193809
94,9806059,0.000625721,0.144474067,0.01905534,1.32E-15,0.051069507,0.000625721,0.00062584,0.114681025,0.003316757,0.000852284,0.019952072,0.088461538,0.000852284,0.006291814
95,9412074,0.000336837,0.013136706,0.011598828,4.25E-30,0.003609593,0.000336837,0.00035023,0.499183023,0.004145936,0.000463168,0.002609535,0.036538462,0.000463168,0.176131763
96,9806177,0.008315894,0.310315275,0.034796855,8.11E-07,0.088180265,0.008315894,0.008337877,0.376648644,0.004975115,0.004142661,0.062931661,0.128846154,0.004142661,0.050322443
97,1206,0.013586571,0.433497433,0.077050367,0.000204932,0.026527102,0.013586571,0.014311161,0,0.066334998,0.026219062,0.004077399,0.051923077,0.026219062,0.100646139
98,9410184,1.62E-06,0.001692834,0.003313824,7.11E-43,0.000819365,1.62E-06,1.78E-06,0,0.00165873,7.61E-05,0.000652384,0.017307692,7.61E-05,0.075484212
99,9707198,2.79E-05,0.095934242,0.013255833,2.44E-18,0.01195028,2.79E-05,3.51E-05,0.08361974,0.002487558,0.00066087,0.022126684,0.055769231,0.00066087,0.031450918
100,9911068,0.012562552,0.418584722,0.048881366,2.90E-05,0.072177106,0.012562552,0.012864147,0.279576547,0.019071302,0.00316463,0.021148109,0.144230769,0.00316463,0.025160516
101,9811258,0.00050584,0.288160028,0.017398335,8.11E-07,0.017416902,0.00050584,0.000530761,0.000494127,0.007462693,0.007533356,0.006088916,0.046153846,0.007533356,0.044031882
102,2205,0.000578354,0.437463029,0.025683339,4.77E-05,0.080353029,0.000578354,0.000571079,0.001647089,0.003316757,0.001732513,0.040502162,0.117307692,0.001732513,0.125808067
103,2222,0.016108813,0.423464411,0.05385236,2.81E-05,0.068002435,0.016108813,0.016680448,0.104419818,0.024046438,0.036284261,0.03936049,0.144230769,0.036284261,0
104,9712011,2.18E-05,0.144354741,0.009941823,6.87E-16,0.021673453,2.18E-05,2.18E-05,0.001317671,0.004145936,0.00987609,0.00173969,0.028846154,0.00987609,0.452912324
105,7075,0.00500577,0.461809093,0.021540837,3.24E-05,0.03441866,0.00500577,0.005109023,0.006055013,0.007462693,0.004568803,0.017940555,0.076923077,0.004568803,0.075484212
106,9801175,0.000163155,0.149477145,0.007456326,2.24E-15,0.016301034,0.000163155,0.000178726,0.024492083,0.00165873,9.85E-05,0.004621052,0.032692308,9.85E-05,0
107,11197,0.002923931,0.355973674,0.078707372,4.17E-07,0.139125648,0.002923931,0.002936635,0.318070748,0.006633494,0.001781414,0.112336143,0.336538462,0.001781414,0
108,104147,0.004467766,0.549491892,0.033968343,0.000179481,0.078616182,0.004467766,0.004495218,0.091798385,0.01077943,0.013129301,0.046427981,0.121153846,0.013129301,0.031450918
109,9409072,0,0.0081538,0.005799321,1.41E-29,0.002496172,0,0,0.159839651,0,3.17E-19,0.005436532,0.030769231,3.17E-19,0.006291814
110,107217,4.42E-06,0.300140707,0.006627834,2.55E-06,0.007753238,4.42E-06,8.00E-06,0.067471027,0.000829365,8.10E-05,0.006088916,0.030769231,8.10E-05,0.062903248
111,109069,0.000976593,0.557233245,0.03645384,0.000205392,0.091751107,0.000976593,0.001004955,0.000988253,0.004975115,0.008326329,0.065181297,0.155769231,0.008326329,0.25161738
112,111154,0.00549699,0.63380511,0.042253346,0.001218239,0.126639619,0.00549699,0.005458049,0.231283292,0.012437808,0.006231456,0.032129903,0.140384615,0.006231456,0.125808067
113,112006,0,0.392133895,0.012427341,4.45E-06,0.02287185,0,0,0,0,3.17E-19,0.095269782,0.071153846,3.17E-19,0.157260397
114,203111,0.000388883,0.622452359,0.014912838,0.000268889,0.048267428,0.000388883,0.000400778,0,0.000829365,0.000697895,0.049876373,0.080769231,0.000697895,0.031450918
115,206012,2.95E-07,0.590625054,0.004142316,0.000199787,0.015141374,2.95E-07,2.98E-07,0,0.000829365,0.000664363,0.018864765,0.019230769,0.000664363,0.075484212
116,303087,0,0.897293082,0.033968343,0.019875282,0.226868008,0,0,0.561167989,0,3.17E-19,0.272112549,0.169230769,3.17E-19,0.025160516
117,9409124,6.43E-07,0.003808871,0.003313824,1.08E-40,0.001285937,6.43E-07,6.14E-07,0.134360547,0.000829365,0.000136924,0.004566687,0.015384615,0.000136924,0.031450918
118,9512149,0,0.042619171,0.011598828,4.96E-24,0.004885841,0,0,0.48226298,0,3.17E-19,0.019517149,0.059615385,3.17E-19,0.037741479
119,9612075,0,0.001128549,0.000828678,4.26E-43,0.000538443,0,0,0.079725202,0,3.17E-19,0.006686934,0.007692308,3.17E-19,0.050322443
120,9311042,2.79E-05,0.000423298,0.018226827,5.43E-45,0.000234104,2.79E-05,2.20E-05,0.019076167,0.018242123,0.012847279,0.000271827,0.001923077,0.012847279,0.125808067
121,9602114,0.010598723,0.073436039,0.102733892,1.30E-22,0.010441674,0.010598723,0.011067744,0,0.093698172,0.109875594,0.00848099,0.044230769,0.109875594,0.213874496
122,9905036,0.000203506,0.09164678,0.010770336,5.12E-19,0.012287847,0.000203506,0.000217841,0.023092854,0.005804315,0.001886203,0.005599628,0.019230769,0.001886203,0.132098469
123,9507012,0.001713424,0.023801022,0.056337857,1.36E-27,0.003486261,0.001713424,0.001763185,0.10629911,0.050580433,0.132797293,0.002011517,0.036538462,0.132797293,0.025160516
124,9801022,3.42E-05,0.004561972,0.009113331,4.25E-30,0.001863289,3.42E-05,3.51E-05,0,0.004145936,0.001103778,0.004023033,0.023076923,0.001103778,0.050322443
125,9808192,0.000194149,0.180298309,0.012427341,9.77E-13,0.005958581,0.000194149,0.000214832,0.000329418,0.00165873,0.000278739,0.007828606,0.055769231,0.000278739,0.025160516
126,2004,0.000442683,0.30017664,0.014084325,5.76E-07,0.012242168,0.000442683,0.000440495,0.476728889,0.003316757,0.002067838,0.008915912,0.059615385,0.002067838,0.056612846
127,11059,0.00055964,0.446906675,0.006627834,2.26E-05,0.02142642,0.00055964,0.000571079,0.014020649,0.000829365,8.59E-05,0.017342536,0.032692308,8.59E-05,0.276779156
128,11101,0.000701743,0.430125372,0.008284818,1.12E-05,0.016691944,0.000701743,0.000722123,0.327930204,0.000829365,0.000712566,0.029846559,0.042307692,0.000712566,0.025160516
129,12041,0.00363737,0.458515823,0.026511831,3.63E-05,0.025538296,0.00363737,0.003767077,0,0.019071302,0.01408861,0.006686934,0.040384615,0.01408861,0.018870113
130,109164,0,0.454552052,0.009113331,1.78E-05,0.026653796,0,0,0.013054488,0,3.17E-19,0.005382166,0.053846154,3.17E-19,0.037741479
131,9401139,0.009971365,0.004911431,0.176470435,4.25E-30,0.001921999,0.009971365,0.010403451,0.06868252,0.171641799,0.109768779,0.002283343,0.030769231,0.109768779,0.125808067
132,9611137,0.009699673,0.10926197,0.1019054,4.81E-19,0.061213429,0.009699673,0.009644439,0.096759703,0.050580433,0.144566362,0.025279873,0.255769231,0.144566362,0.132098469
133,9712028,0.010138789,0.190480372,0.060480359,9.71E-14,0.046091843,0.010138789,0.010560934,0.018238766,0.041459361,0.075575339,0.012667119,0.088461538,0.075575339,0.069193809
134,9908144,0.003403456,0.328918344,0.035625347,9.29E-06,0.024944689,0.003403456,0.003604599,0.00444714,0.026533995,0.007358567,0.009024643,0.048076923,0.007358567,0
135,9410167,0.003713392,0.003931733,0.293289024,4.25E-30,0.000917925,0.003713392,0.004086015,0.000329418,0.291873966,0.221447303,0.000434923,0.011538462,0.221447303,0
136,9502057,0.000777766,0.014721857,0.017398335,5.65E-30,0.00365232,0.000777766,0.000824424,0.000329418,0.009950251,0.008805774,0.001359133,0.038461538,0.008805774,0.031450918
137,9504006,0.004549637,0.01368256,0.067936871,1.41E-29,0.003437567,0.004549637,0.004573448,0,0.060530683,0.047671479,0.001413498,0.042307692,0.047671479,0.012579552
138,9504034,0.000583617,0.009126087,0.048881366,4.25E-30,0.002423858,0.000583617,0.000543398,0.101910434,0.043946939,0.041742933,0.000869845,0.030769231,0.041742933,0.031450918
139,9506126,0.006037684,0.030870588,0.078707372,3.48E-27,0.010590052,0.006037684,0.006189921,0.000329418,0.060530683,0.048642664,0.005545262,0.084615385,0.048642664,0
140,9504081,0.005315706,0.023702904,0.099419882,1.58E-28,0.003754814,0.005315706,0.005548315,0.050750046,0.090381435,0.082434971,0.010927429,0.05,0.082434971,0
141,9507090,0.004368353,0.038404377,0.07456487,4.87E-27,0.0122517,0.004368353,0.004495218,0.722697104,0.057213926,0.060297024,0.007230587,0.078846154,0.060297024,0
142,9508056,3.23E-06,0.023616027,0.007456326,4.57E-28,0.003711242,3.23E-06,2.61E-06,0,0.00165873,0.001928119,0.001087306,0.032692308,0.001928119,0.018870113
143,9412209,0.008903136,0.010110303,0.029825841,9.89E-30,0.003601779,0.008903136,0.009179753,0.004897345,0.02072968,0.01244426,0.00685003,0.051923077,0.01244426,0.100646139
144,9508143,0.010475567,0.049669651,0.156586438,1.66E-24,0.007031995,0.010475567,0.011069128,0.002251022,0.147595361,0.243669151,0.002120247,0.044230769,0.243669151,0.012579552
145,9508154,0.005953357,0.050041087,0.059651867,1.30E-24,0.010628871,0.005953357,0.006005659,0.298983261,0.047263675,0.067677946,0.01032941,0.065384615,0.067677946,0.320812442
146,9509106,0.038244374,0.07186594,0.034796855,3.13E-24,0.023035632,0.038244374,0.040623592,0.004611849,0.004975115,0.007543345,0.045068848,0.142307692,0.007543345,0.006291814
147,9406178,0.00043625,0.004541082,0.006627834,4.25E-30,0.001484461,0.00043625,0.000462761,0.143718342,0.003316757,0.002473022,0.001250402,0.019230769,0.002473022,0.056612846
148,9709180,0.008155604,0.182760363,0.041424854,2.77E-14,0.041076485,0.008155604,0.008455463,0.586432843,0.009121051,0.011499901,0.015113558,0.148076923,0.011499901,0.018870113
149,9907061,4.40E-05,0.129164786,0.004970829,9.77E-15,0.007553282,4.40E-05,4.93E-05,0.089486514,0.000829365,0.000168361,0.001032941,0.021153846,0.000168361,0.056612846
150,9902012,0.003672457,0.293901102,0.014912838,5.03E-06,0.010901939,0.003672457,0.00378513,0.170700399,0.007462693,0.003499955,0.005001609,0.042307692,0.003499955,0.025160516
151,9509171,0.003099367,0.005810037,0.012427341,4.25E-30,0.00254027,0.003099367,0.003177343,0.001811798,0.005804315,0.001718541,0.007828606,0.038461538,0.001718541,0.050322443
152,9609112,0.008061161,0.049345189,0.038939357,5.99E-25,0.008654313,0.008061161,0.008188398,0.817858153,0.023217238,0.008850345,0.014189348,0.084615385,0.008850345,0.094355737
153,9905078,5.51E-05,0.269742018,0.008284818,8.58E-08,0.013259995,5.51E-05,6.26E-05,0.289894231,0.002487558,0.001746484,0.00163096,0.030769231,0.001746484,0.106936542
