,S.No,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank,Rank_prestige,Authorities-Score,score
100,100,9911068,0.012562552,0.418584722,0.048881366,2.9e-05,0.072177106,0.012562552,0.012864147,0.279576547,0.019071302,0.00316463,0.021148109,0.144230769,0.00316463,0.025160516
103,103,2222,0.016108813,0.423464411,0.05385236,2.81e-05,0.068002435,0.016108813,0.016680448,0.104419818,0.024046438,0.036284261,0.03936049,0.144230769,0.036284261,0.0
107,107,11197,0.002923931,0.355973674,0.078707372,4.17e-07,0.139125648,0.002923931,0.002936635,0.318070748,0.006633494,0.001781414,0.112336143,0.336538462,0.001781414,0.0
111,111,109069,0.000976593,0.557233245,0.03645384,0.000205392,0.091751107,0.000976593,0.001004955,0.000988253,0.004975115,0.008326329,0.065181297,0.155769231,0.008326329,0.25161738
112,112,111154,0.00549699,0.63380511,0.042253346,0.001218239,0.126639619,0.00549699,0.005458049,0.231283292,0.012437808,0.006231456,0.032129903,0.140384615,0.006231456,0.125808067
113,113,112006,0.0,0.392133895,0.012427341,4.45e-06,0.02287185,0.0,0.0,0.0,0.0,3.17e-19,0.095269782,0.071153846,3.17e-19,0.157260397
114,114,203111,0.000388883,0.622452359,0.014912838,0.000268889,0.048267428,0.000388883,0.000400778,0.0,0.000829365,0.000697895,0.049876373,0.080769231,0.000697895,0.031450918
115,115,206012,2.95e-07,0.590625054,0.004142316,0.000199787,0.015141374,2.95e-07,2.98e-07,0.0,0.000829365,0.000664363,0.018864765,0.019230769,0.000664363,0.075484212
116,116,303087,0.0,0.897293082,0.033968343,0.019875282,0.226868008,0.0,0.0,0.561167989,0.0,3.17e-19,0.272112549,0.169230769,3.17e-19,0.025160516
121,121,9602114,0.010598723,0.073436039,0.102733892,1.3e-22,0.010441674,0.010598723,0.011067744,0.0,0.093698172,0.109875594,0.00848099,0.044230769,0.109875594,0.213874496
123,123,9507012,0.001713424,0.023801022,0.056337857,1.3600000000000002e-27,0.003486261,0.001713424,0.001763185,0.10629911,0.050580433,0.132797293,0.002011517,0.036538462,0.132797293,0.025160516
131,131,9401139,0.009971365,0.004911431,0.176470435,4.25e-30,0.001921999,0.009971365,0.010403451,0.06868252,0.171641799,0.109768779,0.002283343,0.030769231,0.109768779,0.125808067
132,132,9611137,0.009699673,0.10926197,0.1019054,4.81e-19,0.061213429,0.009699673,0.009644439,0.096759703,0.050580433,0.144566362,0.025279873,0.255769231,0.144566362,0.132098469
133,133,9712028,0.010138789,0.190480372,0.060480359,9.71e-14,0.046091843,0.010138789,0.010560934,0.018238766,0.041459361,0.075575339,0.012667119,0.088461538,0.075575339,0.069193809
134,134,9908144,0.003403456,0.328918344,0.035625347,9.29e-06,0.024944689,0.003403456,0.003604599,0.00444714,0.026533995,0.007358567,0.009024643,0.048076923,0.007358567,0.0
135,135,9410167,0.003713392,0.003931733,0.293289024,4.25e-30,0.000917925,0.003713392,0.004086015,0.000329418,0.291873966,0.221447303,0.000434923,0.011538462,0.221447303,0.0
137,137,9504006,0.004549637,0.01368256,0.067936871,1.41e-29,0.003437567,0.004549637,0.004573448,0.0,0.060530683,0.047671479,0.001413498,0.042307692,0.047671479,0.012579552
138,138,9504034,0.000583617,0.009126087,0.048881366,4.25e-30,0.002423858,0.000583617,0.000543398,0.101910434,0.043946939,0.041742933,0.000869845,0.030769231,0.041742933,0.031450918
139,139,9506126,0.006037684,0.030870588,0.078707372,3.48e-27,0.010590052,0.006037684,0.006189921,0.000329418,0.060530683,0.048642664,0.005545262,0.084615385,0.048642664,0.0
140,140,9504081,0.005315706,0.023702904,0.099419882,1.58e-28,0.003754814,0.005315706,0.005548315,0.050750046,0.090381435,0.082434971,0.010927429,0.05,0.082434971,0.0
141,141,9507090,0.004368353,0.038404377,0.07456487,4.8700000000000004e-27,0.0122517,0.004368353,0.004495218,0.722697104,0.057213926,0.060297024,0.007230587,0.078846154,0.060297024,0.0
143,143,9412209,0.008903136,0.010110303,0.029825841,9.889999999999999e-30,0.003601779,0.008903136,0.009179753,0.004897345,0.02072968,0.01244426,0.00685003,0.051923077,0.01244426,0.100646139
144,144,9508143,0.010475567,0.049669651,0.156586438,1.66e-24,0.007031995,0.010475567,0.011069128,0.002251022,0.147595361,0.243669151,0.002120247,0.044230769,0.243669151,0.012579552
145,145,9508154,0.005953357,0.050041087,0.059651867,1.3e-24,0.010628871,0.005953357,0.006005659,0.298983261,0.047263675,0.067677946,0.01032941,0.065384615,0.067677946,0.320812442
146,146,9509106,0.038244374,0.07186594,0.034796855,3.13e-24,0.023035632,0.038244374,0.040623592,0.004611849,0.004975115,0.007543345,0.045068848,0.142307692,0.007543345,0.006291814
148,148,9709180,0.008155604,0.182760363,0.041424854,2.77e-14,0.041076485,0.008155604,0.008455463,0.586432843,0.009121051,0.011499901,0.015113558,0.148076923,0.011499901,0.018870113
152,152,9609112,0.008061161,0.049345189,0.038939357,5.99e-25,0.008654313,0.008061161,0.008188398,0.817858153,0.023217238,0.008850345,0.014189348,0.084615385,0.008850345,0.094355737
154,154,9510023,0.003420999,0.051697766,0.025683339,2.24e-25,0.011138982,0.003420999,0.003586546,0.021227579,0.01077943,0.06135721,0.010655602,0.071153846,0.06135721,0.025160516
155,155,9607201,0.010474105,0.083241345,0.106047902,1.01e-20,0.019512863,0.010474105,0.010521157,0.000494127,0.089552236,0.064490403,0.004675417,0.082692308,0.064490403,0.088065176
156,156,9707099,0.001070159,0.153162721,0.039767849,1.15e-14,0.046485652,0.001070159,0.001077167,0.0,0.009950251,0.005658609,0.010003218,0.136538462,0.005658609,0.050322443
157,157,9603089,0.002777734,0.069816121,0.024026334,1.18e-21,0.008827696,0.002777734,0.002882476,0.012309638,0.016583744,0.01623455,0.001576594,0.034615385,0.01623455,0.018870113
158,158,9603186,6.43e-05,0.064367609,0.012427341,2.3700000000000003e-21,0.006078108,6.43e-05,6.8e-05,0.120361698,0.009950251,0.022467823,0.000652384,0.013461538,0.022467823,0.006291814
159,159,9604013,0.007126438,0.065676297,0.021540837,3.63e-21,0.009775835,0.007126438,0.00736289,0.807288429,0.004145936,0.015875822,0.029900925,0.076923077,0.015875822,0.031450918
160,160,9610024,0.012570155,0.075336774,0.028168836,1.2000000000000002e-21,0.012344416,0.012570155,0.012625244,0.296668139,0.008291872,0.002228514,0.013917521,0.092307692,0.002228514,0.050322443
161,161,9610062,1.98e-05,0.075356292,0.014084325,8.510000000000001e-21,0.013203126,1.98e-05,1.99e-05,0.56895833,0.000829365,0.020864969,0.022942164,0.057692308,0.020864969,0.006291814
162,162,9712084,0.028043305,0.203986318,0.043081859,2.41e-12,0.085365646,0.028043305,0.028662581,0.377895187,0.015754565,0.007900676,0.053415555,0.128846154,0.007900676,0.132098469
163,163,9505052,0.054045063,0.043270448,0.048052853,3.15e-24,0.017869298,0.054045063,0.054680626,0.093031606,0.017412944,0.005344242,0.044199003,0.155769231,0.005344242,0.088065176
164,164,9802051,0.073712007,0.269873757,0.103562384,2.7e-12,0.148124033,0.073712007,0.076328681,0.000494127,0.038971803,0.036655144,0.078412185,0.305769231,0.036655144,0.031450918
165,165,9802067,0.083920386,0.25610373,0.108533399,3.3e-12,0.08923726,0.083920386,0.08324885,0.252777184,0.068822555,0.052762551,0.027019563,0.184615385,0.052762551,0.094355737
167,167,9505186,0.001350856,0.013267865,0.035625347,4.25e-30,0.001928579,0.001350856,0.001432211,0.000329418,0.03233831,0.013528338,0.000271827,0.017307692,0.013528338,0.132098469
173,173,9507112,0.008755594,0.02658548,0.025683339,1.16e-27,0.005734391,0.008755594,0.009134259,0.003829874,0.014925366,0.002354261,0.010709968,0.059615385,0.002354261,0.106936542
176,176,9509123,0.016398165,0.023257533,0.01905534,4.92e-28,0.00419872,0.016398165,0.017026646,0.0,0.011608629,0.001131722,0.025769161,0.034615385,0.001131722,0.006291814
178,178,9911080,0.002128622,0.305201876,0.021540837,1.04e-06,0.038778857,0.002128622,0.002106193,0.0,0.006633494,0.002354261,0.011362351,0.075,0.002354261,0.119517506
181,181,9909215,0.017834634,0.453307862,0.047224361,0.000104044,0.09456698,0.017834634,0.018223626,0.286181119,0.026533995,0.039109863,0.012340927,0.1,0.039109863,0.018870113
183,183,9812037,0.0174723,0.351826408,0.029825841,6.38e-06,0.084154,0.0174723,0.017919732,0.130358379,0.003316757,0.007568774,0.022452876,0.123076923,0.007568774,0.150969836
184,184,9709062,0.00566073,0.161643674,0.040596342,1.82e-15,0.031013012,0.00566073,0.005837164,0.018226758,0.018242123,0.02864926,0.010166314,0.109615385,0.02864926,0.113227103
185,185,9411028,0.013160496,0.019422494,0.03645384,3.21e-28,0.004358131,0.013160496,0.013729972,0.379763191,0.026533995,0.012415408,0.022779068,0.046153846,0.012415408,0.195003129
186,186,9701019,0.009407982,0.139140087,0.042253346,1.22e-17,0.049508675,0.009407982,0.009692159,0.058692972,0.013267008,0.039838776,0.011742909,0.130769231,0.039838776,0.232746014
188,188,9708086,0.003040888,0.123742442,0.021540837,1.36e-16,0.005536897,0.003040888,0.003207431,0.002141216,0.014096187,0.039157437,0.00429486,0.048076923,0.039157437,0.327103004
192,192,9803086,0.00972669,0.238757203,0.03645384,4.19e-12,0.035191241,0.00972669,0.009934853,0.089663123,0.015754565,0.026011999,0.013373868,0.1,0.026011999,0.0
193,193,9405002,0.006638493,0.006401018,0.018226827,4.25e-30,0.002907812,0.006638493,0.00681883,0.109948306,0.009950251,0.005581764,0.023159625,0.036538462,0.005581764,0.088065176
194,194,9802099,0.000947354,0.141906916,0.043081859,8.25e-18,0.043924141,0.000947354,0.000980884,0.007973087,0.002487558,0.003660631,0.035011264,0.194230769,0.003660631,0.075484212
201,201,9708089,0.006971996,0.157856581,0.020712345,1.47e-15,0.027781325,0.006971996,0.007258423,0.015181455,0.007462693,0.00469455,0.00592582,0.061538462,0.00469455,0.176131763
203,203,9612254,0.0,0.003413873,0.002485332,4.25e-30,0.000426307,0.0,0.0,0.0,0.002487558,0.027868162,5.44e-05,0.003846154,0.027868162,0.056612846
204,204,9707205,0.005298163,0.175087181,0.037282352,4.97e-15,0.048804446,0.005298163,0.005602474,0.108872047,0.00165873,0.000642706,0.031096962,0.169230769,0.000642706,0.056612846
207,207,9612192,0.00407596,0.130533643,0.043081859,3.33e-18,0.057609421,0.00407596,0.004164245,0.0,0.004145936,0.015132589,0.016418326,0.182692308,0.015132589,0.018870113
208,208,9703136,0.010643927,0.125237423,0.03645384,3.17e-18,0.02923024,0.010643927,0.010858389,0.000494127,0.009950251,0.003793364,0.013047676,0.128846154,0.003793364,0.144679433
209,209,9909219,0.000119296,0.298421747,0.017398335,1.24e-06,0.036176379,0.000119296,0.000126973,0.266822706,0.00165873,0.001830316,0.008100432,0.067307692,0.001830316,0.025160516
211,211,9611209,0.001111094,0.05798594,0.025683339,1.2499999999999999e-23,0.012270602,0.001111094,0.001161415,0.000329418,0.009950251,0.022051042,0.006741299,0.071153846,0.022051042,0.025160516
213,213,9510092,0.019511625,0.020751386,0.008284818,5.21e-28,0.002710959,0.019511625,0.020337281,0.447938178,0.003316757,0.001292398,0.004621052,0.019230769,0.001292398,0.201293532
214,214,9603015,7.95e-05,0.008002468,0.006627834,1.7000000000000001e-29,0.001955077,7.95e-05,8.3e-05,0.371132364,0.002487558,0.018864267,0.004240495,0.019230769,0.018864267,0.138388872
216,216,9404063,0.012744129,0.024226516,0.053023868,1e-28,0.014381599,0.012744129,0.012756249,0.062603934,0.019900501,0.006091738,0.04202439,0.15,0.006091738,0.081774773
217,217,9804208,0.000853788,0.227578943,0.043910351,1.6e-12,0.069195152,0.000853788,0.000842477,0.0,0.009950251,0.048595159,0.014243713,0.159615385,0.048595159,0.163550799
219,219,9706210,0.011118423,0.08833681,0.018226827,1.13e-20,0.010739902,0.011118423,0.011352622,0.3342172,0.004145936,0.001404173,0.006088916,0.065384615,0.001404173,0.018870113
222,222,9910053,0.161189296,0.494541844,0.198011458,7.29e-05,0.204164985,0.161189296,0.159586678,0.003425945,0.121890545,0.140827768,0.126248771,0.363461539,0.140827768,0.025160516
223,223,9812061,0.000105846,0.152101953,0.053023868,7.96e-16,0.036090551,0.000105846,0.000107717,0.348918819,0.000829365,1.51e-05,0.030390213,0.242307692,1.51e-05,0.025160516
224,224,9602145,0.000953201,0.076198909,0.021540837,1.82e-22,0.019793165,0.000953201,0.000986902,0.708329409,0.00165873,0.001271441,0.020930647,0.098076923,0.001271441,0.119517506
228,228,9707202,0.01151561,0.114258345,0.023197842,2.9e-18,0.014469289,0.01151561,0.011729811,0.001317671,0.005804315,0.001404173,0.022996529,0.084615385,0.001404173,0.012579552
230,230,9909061,0.023699104,0.355281386,0.072079373,1.56e-06,0.079073815,0.023699104,0.024336521,0.131561495,0.025704816,0.004345253,0.161940146,0.196153846,0.004345253,0.012579552
236,236,9811019,0.0006842,0.373361592,0.05716637,8.31e-06,0.11548224,0.0006842,0.00070407,0.251772614,0.000829365,5.6e-05,0.033923958,0.257692308,5.6e-05,0.012579552
244,244,9711153,9.24e-05,0.21809719,0.048052853,1.34e-13,0.087388216,9.24e-05,0.000100496,0.604041878,0.000829365,0.00092913,0.048132334,0.215384615,0.00092913,0.006291814
245,245,9606077,0.00948453,0.066626469,0.023197842,1.2800000000000001e-22,0.012655246,0.00948453,0.009752156,0.075238836,0.004975115,0.001411159,0.034358881,0.1,0.001411159,0.069193809
248,248,9911205,0.000267832,0.34240625,0.01905534,4.85e-06,0.045353697,0.000267832,0.000281026,0.284392874,0.002487558,0.000360474,0.020495725,0.080769231,0.000360474,0.018870113
250,250,9712057,0.008924948,0.12849266,0.008284818,3.9e-16,0.007602023,0.008924948,0.009358358,0.000494127,0.00165873,0.0003479,0.012232196,0.040384615,0.0003479,0.069193809
260,260,9708164,0.003578891,0.227568218,0.067936871,8.55e-15,0.098311497,0.003578891,0.004049909,0.579576804,0.000829365,0.000224947,0.031151327,0.315384615,0.000224947,0.006291814
263,263,9710179,0.006691007,0.077141038,0.009113331,1.8e-19,0.003958206,0.006691007,0.006913669,0.00501421,0.003316757,0.000796397,0.023703278,0.028846154,0.000796397,0.069193809
265,265,4120,7.37e-05,0.068704589,0.016569843,1.33e-20,0.010245714,7.37e-05,7.46e-05,0.557741863,0.000829365,3.19e-06,0.021256839,0.071153846,3.19e-06,0.018870113
270,270,9909227,4.38e-05,0.191259621,0.006627834,3.59e-10,0.012596399,4.38e-05,4.06e-05,0.0,0.000829365,7.27e-05,0.003533746,0.028846154,7.27e-05,0.012579552
278,278,9009,0.001122789,0.476092778,0.028168836,0.000244203,0.086996358,0.001122789,0.001137344,0.721368593,0.003316757,0.004394155,0.022398511,0.126923077,0.004394155,0.094355737
280,280,9182,0.004251396,0.487238811,0.05053835,0.000970836,0.143559005,0.004251396,0.00433274,0.34927691,0.01077943,0.005435059,0.086324513,0.180769231,0.005435059,0.069193809
281,281,11032,0.0,0.493191386,0.047224361,8.93e-05,0.144633763,0.0,0.0,0.0,0.0,3.17e-19,0.14122696,0.244230769,3.17e-19,0.0
284,284,101041,2.07e-06,0.027181349,0.003313824,1.24e-22,0.001655955,2.07e-06,2.13e-06,0.253979809,0.000829365,8.66e-08,0.156204061,0.019230769,8.66e-08,0.031450918
286,286,9909150,0.000526892,0.25724406,0.019883832,2.66e-12,0.054521032,0.000526892,0.000539185,0.149652652,0.002487558,0.000662965,0.018919131,0.084615385,0.000662965,0.257907789
290,290,104143,0.00306428,0.597760278,0.038110845,0.00071037,0.155528385,0.00306428,0.00276814,0.157372326,0.007462693,0.002766431,0.018864765,0.138461539,0.002766431,0.031450918
292,292,9911203,4.34e-05,0.370153878,0.01574133,7.53e-06,0.045229329,4.34e-05,4.87e-05,0.300764162,0.000829365,9.5e-05,0.009133373,0.073076923,9.5e-05,0.132098469
294,294,109162,0.039857565,0.622534115,0.091963391,0.001460866,0.199940223,0.039857565,0.039546726,0.043644061,0.045605297,0.003087784,0.050792973,0.226923077,0.003087784,0.012579552
295,295,110055,0.007482398,0.796895504,0.196354453,0.005396785,0.648430642,0.007482398,0.00758043,0.014772036,0.00165873,0.000678335,0.418472683,0.898076923,0.000678335,0.025160516
298,298,204189,0.003368368,0.663678002,0.031482846,0.000614396,0.086999501,0.003368368,0.003418051,0.309227881,0.014925366,0.009620474,0.060411285,0.084615385,0.009620474,0.006291814
300,300,204089,0.013133245,0.856301276,0.175641943,0.003677832,0.699415746,0.013133245,0.012871488,0.000329418,0.011608629,0.009729315,0.863084753,0.755769231,0.009729315,0.106936542
304,304,205134,0.002608146,0.825060477,0.048052853,0.015785474,0.357930114,0.002608146,0.002545485,0.253797128,0.011608629,0.008841542,0.058770539,0.163461539,0.008841542,0.069193809
305,305,207238,7.84e-06,0.711148919,0.009113331,0.000944424,0.096699913,7.84e-06,1.74e-05,0.0,0.000829365,0.000336024,0.091907288,0.044230769,0.000336024,0.201293532
308,308,208187,0.005420968,0.901944665,0.044738844,0.026272282,0.413669495,0.005420968,0.005271501,0.0,0.004145936,0.001124736,0.194704492,0.194230769,0.001124736,0.094355737
309,309,210012,0.0,0.27039434,0.020712345,1.23e-08,0.033145317,0.0,0.0,0.022758457,0.0,3.17e-19,0.120665453,0.101923077,3.17e-19,0.075484212
310,310,210044,0.000695896,0.642383612,0.030654353,0.000427638,0.126364874,0.000695896,0.000722123,0.008389174,0.000829365,5.69e-05,0.056979202,0.146153846,5.69e-05,0.031450918
311,311,211056,0.000349702,0.708144072,0.01574133,0.001857826,0.077806759,0.000349702,0.000357451,0.013586132,0.000829365,5.95e-05,0.041752564,0.078846154,5.95e-05,0.0
312,312,211116,0.0,0.640227779,0.023197842,0.00148043,0.0866762,0.0,0.0,0.269918706,0.0,3.17e-19,0.068111588,0.111538462,3.17e-19,0.075484212
314,314,212085,3.16e-07,0.701139532,0.001656819,0.000887621,0.070601988,3.16e-07,4.35e-07,0.106734102,0.000829365,0.000154389,0.032891017,0.005769231,0.000154389,0.018870113
316,316,303173,0.0,0.850548052,0.030654353,0.006332043,0.140060975,0.0,0.0,0.0,0.0,3.17e-19,0.089123783,0.146153846,3.17e-19,0.037741479
317,317,304206,0.000203506,0.604251666,0.024854846,0.000182923,0.022433815,0.000203506,0.000217239,0.0,0.000829365,3.69e-06,0.099195502,0.117307692,3.69e-06,0.006291814
331,331,9404151,0.000372509,0.000423298,0.022369329,5.43e-45,0.000234104,0.000372509,0.000382124,0.0,0.022388059,0.020657417,0.000271827,0.005769231,0.020657417,0.144679433
332,332,9505162,0.002988257,0.034504228,0.096934385,6.2000000000000004e-27,0.008756214,0.002988257,0.003032918,0.739388727,0.082918742,0.138614693,0.002174613,0.069230769,0.138614693,0.113227103
333,333,9507050,0.011034448,0.039923363,0.072079373,3.59e-26,0.006420925,0.011034448,0.011992363,0.538767838,0.063018241,0.072417695,0.001957151,0.057692308,0.072417695,0.144679433
336,336,9408083,0.01452568,0.014442997,0.052195355,2.7500000000000003e-37,0.007938471,0.01452568,0.014935016,0.08182654,0.033167489,0.02030316,0.012612754,0.086538462,0.02030316,0.0
337,337,9504027,0.001871316,0.026880554,0.059651867,2.99e-28,0.004997343,0.001871316,0.001961769,0.011216676,0.052238811,0.044967711,0.001794055,0.036538462,0.044967711,0.006291814
340,340,9512196,0.00235084,0.060534427,0.047224361,4.5699999999999995e-23,0.017227073,0.00235084,0.002340883,0.0,0.029021553,0.064444575,0.008154798,0.090384615,0.064444575,0.075484212
341,341,9512219,0.004473614,0.05744397,0.076221875,6.25e-23,0.010830457,0.004473614,0.004651678,0.0,0.066334998,0.061820238,0.00255517,0.046153846,0.061820238,0.044031882
342,342,9703157,0.000643265,0.106076414,0.028168836,1.99e-17,0.039663117,0.000643265,0.000637876,0.008729572,0.009950251,0.032865203,0.009948853,0.090384615,0.032865203,0.069193809
344,344,7170,0.020922129,0.494809493,0.066279866,0.000123905,0.148833561,0.020922129,0.02121093,0.374420801,0.031509131,0.029504269,0.02402947,0.176923077,0.029504269,0.0
