Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-centrality,Page-Rank,Percolation-Centrality,score
9307038,0,0,0,0.000419992,0.000419992,4.82E-48,0,4.41E-06,0.000881624,0,1.31E-05,0,8.06044E+14
9307039,2.82E-07,1.40E-08,0.000136361,0.000381811,0.000267267,1.98E-44,4,9.47E-06,0.001163744,1.40E-08,1.62E-05,1.40E-08,8.48889E+13
9307040,0,0,0,0.000190905,0.000190905,4.82E-48,0,5.96E-07,0.000881624,0,1.31E-05,0,3.39387E+14
9307042,-4.51E-23,7.97E-08,3.82E-05,0.000190905,0.000152724,3.09E-46,1,6.62E-06,0.000969787,7.97E-08,1.49E-05,7.97E-08,8.48889E+13
9307043,8.42E-10,0,7.64E-05,0.000114543,3.82E-05,6.12E-46,2,2.10E-08,0.001057949,0,1.81E-05,0,1.19E+15
9307045,0,0,0,0.000649078,0.000649078,4.82E-48,0,2.50E-05,0.000881624,0,1.31E-05,0,8.48889E+13
9307046,3.45E-08,2.72E-06,0.000122179,0.000267267,0.000152724,2.11E-43,3.5,3.41E-08,0.001164625,2.78E-06,2.02E-05,2.72E-06,1.69693E+14
9307047,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.00E-09,0.000881624,0,1.31E-05,0,4.66658E+14
9307048,0,0,0,0.000229086,0.000229086,4.82E-48,0,9.72E-09,0.000881624,0,1.31E-05,0,8.48889E+13
9307049,2.35E-06,2.06E-05,0.000119316,0.001909053,0.001832691,2.89E-44,3.5,0.000777175,0.001084398,2.11E-05,1.48E-05,2.06E-05,5.09081E+14
9307050,2.89E-07,3.75E-06,7.64E-05,0.000267267,0.000190905,1.00E-44,2,8.38E-05,0.001066765,3.61E-06,1.60E-05,3.75E-06,4.24444E+13
9307052,4.76E-06,6.72E-06,0.000392719,0.000419992,3.82E-05,4.07E-44,11,5.71E-09,0.001798513,6.87E-06,1.97E-05,6.72E-06,1.48E+15
9307053,9.18E-07,0,0.000122179,0.000114543,0,1.03E-44,3.5,0,0.001154928,0,1.90E-05,0,7.21198E+14
9307054,3.14E-07,4.28E-06,0.000267267,0.000343629,7.64E-05,2.13E-45,7,3.59E-10,0.001498761,4.32E-06,2.21E-05,4.28E-06,2.5454E+14
9307055,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-6.67E-24,0.000881624,0,1.31E-05,0,1.48E+15
9307056,2.62E-09,1.37E-08,0.000159088,0.000267267,0.000114543,2.21E-43,4.5,4.96E-08,0.001261604,1.40E-08,1.98E-05,1.37E-08,4.66658E+14
9307057,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,7.85E-07,0.000881624,0,1.31E-05,0,1.15E+15
9307059,5.09E-08,8.81E-06,0.000124725,0.000267267,0.000229086,6.12E-43,3.666666667,5.05E-06,0.001007696,8.83E-06,1.39E-05,8.81E-06,9.33314E+14
9307061,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-1.06E-23,0.000881624,0,1.31E-05,0,8.48889E+13
9307063,3.58E-07,2.48E-06,0.000152724,0.000343629,0.000190905,1.22E-45,4,1.73E-07,0.001234274,2.48E-06,1.85E-05,2.48E-06,2.5454E+14
9307064,4.48E-09,0,0.000114543,0.000114543,0,9.16E-46,3,0,0.001146111,0,1.72E-05,0,9.33314E+14
9307065,3.07E-07,8.07E-06,0.000152724,0.000190905,3.82E-05,1.22E-45,4,5.16E-08,0.001234274,8.13E-06,1.83E-05,8.07E-06,3.8181E+14
9307066,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,2.39E-07,0.000881624,0,1.31E-05,0,8.48468E+14
9307067,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-1.50E-24,0.000881624,0,1.31E-05,0,2.5454E+14
9307068,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.02E-06,0.000881624,0,1.31E-05,0,8.48889E+13
9307069,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.06E-06,0.000881624,0,1.31E-05,0,2.5454E+14
9307071,8.46E-23,3.35E-08,3.82E-05,0.000152724,0.000114543,3.09E-46,1,3.86E-08,0.000969787,3.35E-08,1.68E-05,3.35E-08,1.69693E+14
9307072,1.03E-06,0,3.82E-05,3.82E-05,0,3.09E-46,1,0,0.000969787,0,1.35E-05,0,1.2727E+14
9307073,1.22E-06,1.20E-07,0.00051974,7.64E-05,3.82E-05,6.68E-42,14.58333333,1.78E-07,0.001145318,1.20E-07,1.42E-05,1.20E-07,9.75738E+14
9307074,2.08E-06,2.62E-08,0.000233859,0.000305448,7.64E-05,1.12E-44,6.5,3.00E-08,0.001419415,2.62E-08,4.90E-05,2.62E-08,5.09081E+14
9307075,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,2.26E-06,0.000881624,0,1.31E-05,0,4.24444E+13
9307076,8.28E-23,2.92E-09,7.64E-05,0.000114543,3.82E-05,6.12E-46,2,1.24E-07,0.001057949,2.92E-09,3.53E-05,2.92E-09,2.96963E+14
9307079,3.07E-08,5.13E-07,3.82E-05,0.000152724,0.000114543,3.09E-46,1,2.11E-06,0.000969787,5.16E-07,1.42E-05,5.13E-07,1.2727E+14
9307080,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.42E-07,0.000881624,0,1.31E-05,0,5.93928E+14
9307083,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.32E-23,0.000881624,0,1.31E-05,0,7.63621E+14
9307085,0,0,0,0.000229086,0.000229086,4.82E-48,0,2.33E-05,0.000881624,0,1.31E-05,0,2.5454E+14
9307086,-1.69E-22,0,0,7.64E-05,3.82E-05,4.45E-29,0,-7.13E-24,0.000979582,0,6.70E-05,0,2.5454E+14
9307087,3.37E-07,1.88E-06,7.64E-05,0.000190905,0.000114543,6.12E-46,2,5.01E-08,0.001057949,1.90E-06,1.37E-05,1.88E-06,3.61E+15
9307089,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-8.45E-24,0.000881624,0,1.31E-05,0,1.69693E+14
9307091,2.04E-09,9.56E-08,0.000152724,0.000229086,7.64E-05,1.22E-45,4,1.76E-10,0.001234274,6.44E-08,2.28E-05,9.56E-08,1.36E+15
9307092,4.55E-07,1.46E-08,7.64E-05,0.000190905,0.000114543,6.12E-46,2,3.61E-07,0.001057949,1.46E-08,2.54E-05,1.46E-08,8.48468E+14
9307093,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.50E-09,0.000881624,0,1.31E-05,0,8.48468E+14
9307095,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-1.27E-23,0.000881624,0,1.31E-05,0,2.5454E+14
9307097,6.65E-11,1.17E-08,3.82E-05,7.64E-05,3.82E-05,3.09E-46,1,1.31E-09,0.000969787,1.17E-08,1.38E-05,1.17E-08,4.66658E+14
9307099,0,0,0,0.000152724,0.000152724,4.82E-48,0,4.74E-11,0.000881624,0,1.31E-05,0,2.12117E+14
9307101,1.98E-07,2.92E-08,7.64E-05,0.000152724,7.64E-05,6.12E-46,2,2.99E-08,0.001057949,2.92E-08,1.51E-05,2.92E-08,8.48889E+13
9307102,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,9.26E-16,0.000881624,0,1.31E-05,0,3.39387E+14
9307103,1.56E-10,0,3.82E-05,3.82E-05,0,3.09E-46,1,0,0.000969787,0,1.68E-05,0,4.12E+15
9307104,-4.51E-23,2.43E-09,3.82E-05,0.000152724,0.000114543,3.09E-46,1,6.59E-06,0.000969787,2.43E-09,1.49E-05,2.43E-09,7.63621E+14
9307106,1.26E-07,5.95E-07,7.64E-05,0.000229086,0.000152724,6.12E-46,2,1.22E-08,0.001057949,5.98E-07,1.55E-05,5.95E-07,8.90891E+14
9307107,9.99E-08,1.11E-07,0.000114543,0.000229086,0.000114543,9.16E-46,3,6.01E-09,0.001146111,1.12E-07,2.03E-05,1.11E-07,1.74E+15
9307108,3.86E-07,1.95E-06,3.82E-05,0.00072544,0.000687259,3.09E-46,1,0.000109899,0.000969787,1.95E-06,1.49E-05,1.95E-06,7.21198E+14
9307109,3.04E-13,5.83E-09,3.82E-05,0.000114543,7.64E-05,3.09E-46,1,-9.94E-24,0.000969787,5.83E-09,1.53E-05,5.83E-09,6.36351E+14
9307110,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,3.16E-06,0.000881624,0,1.31E-05,0,4.24444E+13
9307111,0,0,0,0.000954526,0.000954526,4.82E-48,0,0.000103754,0.000881624,0,1.31E-05,0,4.24444E+13
9307112,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.06E-06,0.000881624,0,1.31E-05,0,1.10E+15
1001,0,0,0,0.000229086,0.000229086,4.82E-48,0,0.000173133,0.000881624,0,1.31E-05,0,7.21198E+14
9307113,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-4.02E-24,0.000881624,0,1.31E-05,0,4.66658E+14
9307115,2.63E-07,9.23E-06,0.000114543,0.000229086,0.000114543,1.03E-44,3,8.05E-10,0.001154928,9.35E-06,1.54E-05,9.23E-06,1.74E+15
9307116,3.08E-07,7.47E-07,0.000190905,0.000305448,0.000114543,1.52E-45,5,1.90E-09,0.001322436,7.24E-07,1.94E-05,7.47E-07,8.48889E+13
1002,0,0,0,0.000458173,0.000458173,4.82E-48,0,0.000145388,0.000881624,0,1.31E-05,0,5.93928E+14
9307118,0,0,0,0.000190905,0.000190905,4.82E-48,0,7.82E-13,0.000881624,0,1.31E-05,0,2.96963E+14
9307119,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.25E-10,0.000881624,0,1.31E-05,0,4.66658E+14
1008,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,4.14E-13,0.000881624,0,1.31E-05,0,1.69693E+14
9307120,0,0,0,0.000114543,0.000114543,4.82E-48,0,1.30E-08,0.000881624,0,1.31E-05,0,6.36351E+14
1010,0,0,0,0.000190905,0.000190905,4.82E-48,0,7.65E-05,0.000881624,0,1.31E-05,0,5.51504E+14
9307123,2.21E-06,1.81E-07,0.000114543,0.000267267,0.000152724,9.16E-46,0,3.95E-06,0.001146111,1.82E-07,1.52E-05,1.81E-07,1.40E+15
1012,0,0,0,0.000801802,0.000801802,4.82E-48,3,5.94E-05,0.000881624,0,1.31E-05,0,7.21198E+14
1013,0,0,0,0.000267267,0.000267267,4.82E-48,0,1.27E-05,0.000881624,0,1.31E-05,0,6.78774E+14
9307124,8.50E-10,0,3.82E-05,3.82E-05,0,3.09E-46,0,0,0.000969787,0,1.34E-05,0,8.48468E+14
9307126,8.12E-08,6.92E-06,0.000152724,0.000229086,0.000114543,2.92E-44,1,2.98E-06,0.00117256,6.95E-06,2.51E-05,6.92E-06,8.90891E+14
1014,0,0,0,3.82E-05,3.82E-05,4.82E-48,4.5,-1.86E-24,0.000881624,0,1.31E-05,0,1.2727E+14
1017,0,0,0,7.64E-05,7.64E-05,4.82E-48,1,1.07E-09,0.000881624,0,1.31E-05,0,1.10E+15
9307129,9.17E-10,0,7.64E-05,7.64E-05,0,6.12E-46,0,0,0.001057949,0,1.41E-05,0,1.2727E+14
1019,0,0,0,0.000152724,0.000152724,4.82E-48,0,1.90E-09,0.000881624,0,1.31E-05,0,6.78774E+14
1016,0,0,0,0.000229086,0.000229086,4.82E-48,0,0.000144016,0.000881624,0,1.31E-05,0,8.48889E+13
9307125,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-9.83E-24,0.000881624,0,1.31E-05,0,4.24444E+13
9307128,-1.72E-23,0,3.82E-05,3.82E-05,0,3.09E-46,0,0,0.000969787,0,2.42E-05,0,2.16E+15
1023,0,0,0,0.000114543,0.000114543,4.82E-48,2,2.98E-08,0.000881624,0,1.31E-05,0,2.96963E+14
9307136,1.78E-09,1.31E-08,3.82E-05,0.000114543,7.64E-05,3.09E-46,0,7.53E-11,0.000969787,1.31E-08,1.40E-05,1.31E-08,2.12117E+14
1024,0,0,0,0.000534535,0.000534535,4.82E-48,1,5.79E-05,0.000881624,0,1.31E-05,0,2.5454E+14
1025,0,0,0,0.000343629,0.000343629,4.82E-48,0,1.70E-05,0.000881624,0,1.31E-05,0,7.21198E+14
1027,0,0,0,0.00106907,0.00106907,4.82E-48,0,0.000248824,0.000881624,0,1.31E-05,0,8.48468E+14
9307140,8.16E-07,1.06E-07,7.64E-05,0.000152724,7.64E-05,6.12E-46,0,2.11E-07,0.001057949,1.08E-07,1.38E-05,1.06E-07,1.2727E+14
1029,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,3.72E-05,0.000881624,0,1.31E-05,0,1.53E+15
9307139,0,0,0,0.000114543,0.000114543,4.82E-48,0,2.22E-10,0.000881624,0,1.31E-05,0,2.04E+15
9307143,5.80E-06,1.05E-08,0.000458173,0.000496354,3.82E-05,3.19E-44,2,1.86E-07,0.001966022,1.05E-08,1.87E-05,1.05E-08,2.96963E+14
1032,0,0,0,0.00072544,0.00072544,4.82E-48,12,0.000101231,0.000881624,0,1.31E-05,0,5.09081E+14
1033,0,0,0,0.002061777,0.002061777,4.82E-48,0,0.000299292,0.000881624,0,1.31E-05,0,8.48889E+13
9307145,4.19E-08,3.66E-06,0.000170079,0.000229086,0.000114543,4.80E-44,0,6.90E-08,0.001190193,3.60E-06,1.97E-05,3.66E-06,2.12E+15
9307147,1.24E-08,1.14E-06,0.000318175,0.000458173,0.000152724,5.89E-44,5,2.38E-07,0.001639821,1.14E-06,3.87E-05,1.14E-06,2.12117E+14
1035,0,0,0,0.00106907,0.00106907,4.82E-48,9,3.46E-05,0.000881624,0,1.31E-05,0,1.15E+15
1037,0,0,0,0.00072544,0.00072544,4.82E-48,0,7.84E-05,0.000881624,0,1.31E-05,0,1.70E+15
9307148,1.39E-13,1.46E-09,5.09E-05,0.000114543,7.64E-05,9.73E-45,0,1.59E-13,0.000978603,1.46E-09,1.72E-05,1.46E-09,2.12117E+14
9307151,1.33E-07,5.76E-06,7.64E-05,0.000114543,3.82E-05,6.12E-46,1.5,8.07E-06,0.001057949,5.81E-06,1.53E-05,5.76E-06,7.63621E+14
1039,0,0,0,0.000114543,0.000114543,4.82E-48,2,8.09E-10,0.000881624,0,1.31E-05,0,6.36351E+14
1041,0,0,0,0.000419992,0.000419992,4.82E-48,0,0.000231442,0.000881624,0,1.31E-05,0,5.93928E+14
1042,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,2.34E-09,0.000881624,0,1.31E-05,0,3.8181E+14
9307155,0,0,0,0.000419992,0.000419992,4.82E-48,0,1.77E-07,0.000881624,0,1.31E-05,0,1.70E+15
9307154,3.63E-09,5.03E-07,0.000122179,0.000267267,0.000152724,2.92E-44,3.5,3.59E-10,0.00117256,5.05E-07,1.92E-05,5.03E-07,2.5454E+14
9307157,6.98E-07,3.71E-06,7.64E-05,0.000114543,3.82E-05,6.12E-46,0,3.27E-07,0.001057949,3.68E-06,1.61E-05,3.71E-06,1.02E+15
9307158,1.41E-06,1.41E-05,8.59E-05,0.001107251,0.001030888,1.94E-44,2,0.000102832,0.001075581,1.45E-05,1.40E-05,1.41E-05,5.51504E+14
9307159,4.01E-09,5.83E-09,7.64E-05,0.000114543,3.82E-05,6.12E-46,2.5,4.72E-06,0.001057949,5.83E-09,1.54E-05,5.83E-09,2.96963E+14
9307160,4.01E-07,2.09E-08,8.59E-05,0.000229086,0.000152724,1.00E-44,0,3.39E-07,0.001066765,2.10E-08,1.43E-05,2.09E-08,1.2727E+14
1049,0,0,0,0.000229086,0.000229086,4.82E-48,2,3.27E-05,0.000881624,0,1.31E-05,0,1.2727E+14
1048,0,0,0,3.82E-05,3.82E-05,4.82E-48,2.5,1.68E-23,0.000881624,0,1.31E-05,0,5.09081E+14
1050,0,0,0,0.000114543,0.000114543,4.82E-48,0,4.32E-09,0.000881624,0,1.31E-05,0,5.09081E+14
1046,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,6.26E-24,0.000881624,0,1.31E-05,0,1.69693E+14
1053,0,0,0,0.002214501,0.002214501,4.82E-48,0,0.000563839,0.000881624,0,1.31E-05,0,5.09081E+14
1054,0,0,0,0.000152724,0.000152724,4.82E-48,0,3.47E-05,0.000881624,0,1.31E-05,0,4.24444E+13
1055,0,0,0,0.000572716,0.000572716,4.82E-48,0,0.000126247,0.000881624,0,1.31E-05,0,2.12E+15
9307168,0,0,0,0.000992707,0.000992707,4.82E-48,0,6.96E-05,0.000881624,0,1.31E-05,0,1.69693E+14
9307169,2.22E-09,3.12E-07,7.64E-05,0.000305448,0.000229086,6.12E-46,0,2.35E-08,0.001057949,3.21E-07,1.46E-05,3.12E-07,4.24444E+13
9307170,1.27E-07,5.78E-08,0.000193292,0.000305448,0.000190905,6.32E-43,0,3.72E-08,0.001201654,5.81E-08,2.10E-05,5.78E-08,1.02E+15
9307171,8.12E-07,8.12E-06,0.000152724,0.000572716,0.000419992,1.06E-44,2,3.25E-06,0.00124309,8.24E-06,1.64E-05,8.12E-06,8.48889E+13
1056,0,0,0,0.000496354,0.000496354,4.82E-48,5.833333333,0.00032154,0.000881624,0,1.31E-05,0,8.06044E+14
9307173,4.19E-06,7.29E-09,0.000229086,0.000267267,3.82E-05,1.83E-45,4,9.24E-08,0.001410599,7.29E-09,1.87E-05,7.29E-09,1.69693E+14
9307174,0,0,0,0.000687259,0.000687259,4.82E-48,6,4.00E-06,0.000881624,0,1.31E-05,0,7.63621E+14
9307175,4.93E-08,4.28E-08,0.000122179,0.000343629,0.000229086,1.98E-44,0,3.13E-07,0.001163744,4.32E-08,1.61E-05,4.28E-08,4.66658E+14
9307176,6.20E-09,5.60E-07,0.000152724,0.000229086,7.64E-05,1.22E-45,3.5,5.86E-09,0.001234274,5.60E-07,2.49E-05,5.60E-07,4.66658E+14
1063,0,0,0,0.000305448,0.000305448,4.82E-48,0,3.36E-05,0.000881624,0,1.31E-05,0,1.2727E+14
