,Id,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality,scores
47,1049,0.038332601,1.27e-05,0.000102013,0.06710543,0.004160035,0.000397916,0.00014052,2568.861223,3.73e-05,6.65e-05,6.65e-05,0.223935451
50,1052,0.000666654,0.0,3.35e-11,0.000146506,7.23e-05,0.0,3.73e-33,4.916666667,2.12e-05,0.0,0.0,0.269740437
51,1053,0.067332048,0.000108711,0.000101725,0.074650505,0.007307191,0.003942989,0.00080367,2574.3304,2.53e-05,0.000411972,0.000411972,0.201032957
52,1054,0.042665852,8.2e-06,0.000103343,0.081437968,0.0046303,0.000289394,0.003541251,3048.360742,2.94e-05,1.91e-05,1.91e-05,0.007634188
54,1056,0.03633264,2.32e-05,0.000102012,0.072075126,0.003942989,0.000832007,0.001358984,2529.673082,2.42e-05,0.000177912,0.000177912,0.259561543
55,1057,0.034666005,2.32e-06,0.00010272,0.069534693,0.003762118,7.23e-05,0.001438487,2528.987596,2.32e-05,1.15e-07,1.15e-07,0.043260281
58,1062,0.019332964,7.49e-06,5.59e-05,0.050053772,0.002098104,0.00025322,1.57e-07,1885.268258,5.7e-05,5.53e-05,5.53e-05,0.244293238
59,1063,0.035332659,1.84e-05,0.000101663,0.068550189,0.003834467,0.000578787,0.000248849,2364.86229,2.55e-05,1.81e-06,1.81e-06,0.254472132
60,1064,0.004999905,8.73e-07,1.02e-08,0.006448794,0.000542613,7.23e-05,2.47e-22,223.9737734,4.44e-05,3.99e-07,3.99e-07,0.295187636
61,1065,0.031999389,4.63e-06,0.000102674,0.079700975,0.003472725,0.000144697,0.002952319,2893.404212,2.37e-05,9.55e-06,9.55e-06,0.23665905
62,1066,0.040332563,1.27e-05,0.000101564,0.073305545,0.00437708,0.000434091,0.000433511,2672.186088,4.88e-05,0.000123415,0.000123415,0.264650955
65,1069,0.000333327,0.0,1.2999999999999998e-23,4.82e-05,3.62e-05,0.0,8.22e-36,1.5,3.21e-05,0.0,0.0,0.328269023
66,1070,0.003999924,3.1e-08,6.16e-10,0.008473772,0.000434091,7.23e-05,4.05e-19,272.4811522,8.72e-05,1.02e-06,1.02e-06,0.274829849
67,1071,0.063665451,0.000103302,0.00010193,0.074512735,0.006909275,0.003472725,0.004605223,2656.027452,2.65e-05,0.000122886,0.000122886,0.015268305
69,1073,0.011333117,6.92e-06,3.13e-05,0.06711203,0.001229923,0.000217045,8.73e-05,2334.220858,1.73e-05,1.73e-06,1.73e-06,0.389342315
70,1074,0.027999465,3.42e-06,0.000101012,0.049169426,0.003038634,0.000144697,7.91e-07,1820.55381,2.19e-05,1.26e-06,1.26e-06,0.335903141
73,1077,0.046665776,6.94e-06,0.000103159,0.082123103,0.00506439,0.000217045,0.003676261,3060.619655,4.83e-05,0.000107825,0.000107825,0.259561543
76,1082,0.049999045,4.58e-05,0.00010264,0.079935334,0.005426132,0.001519317,0.002520677,2861.956982,4.04e-05,0.000612052,0.000612052,0.343537329
77,1083,0.050665699,1.44e-05,0.000102374,0.078644554,0.005498481,0.000470265,0.000452636,2894.957131,0.000110253,0.000304307,0.000304307,0.320634835
78,1084,0.057665566,8.85e-05,0.000101121,0.062485395,0.006258139,0.003291854,1.73e-05,2244.239698,1.9e-05,2.94e-05,2.94e-05,0.254472132
80,1086,0.001999962,4.41e-08,1.3e-06,0.007710035,0.000217045,0.000108523,2.95e-20,236.1460211,2.26e-05,1.31e-09,1.31e-09,0.300277048
81,1087,0.000666654,0.0,2.58e-10,8.14e-05,7.23e-05,0.0,8.75e-36,2.5,1.9e-05,0.0,0.0,0.251927355
82,1088,0.006999866,1.45e-06,2.66e-05,0.017271596,0.000759659,7.23e-05,2.16e-14,544.0139555,1.59e-05,3.58e-06,3.58e-06,0.297732342
83,1089,0.039332582,1.85e-05,0.000102425,0.07490455,0.004268557,0.000578787,0.000381934,2697.175779,2.87e-05,9.39e-05,9.39e-05,0.277374555
84,1090,0.006666539,3.44e-06,8.69e-06,0.003425799,0.000723484,0.000144697,6.2e-22,118.9202381,7.51e-05,5.6e-08,5.6e-08,0.297732342
90,1097,0.005333232,1.27e-06,3.88e-06,0.006595961,0.000578787,0.000144697,9.489999999999999e-23,231.6736846,5.34e-05,6.54e-06,6.54e-06,0.318090129
92,1100,0.001666635,1.14e-06,4.18e-09,0.047969855,0.000180871,7.23e-05,9.09e-08,1607.667611,2.35e-05,3.49e-05,3.49e-05,0.203577663
94,1102,0.000666654,1.14e-06,3.11e-24,3.62e-05,7.23e-05,3.62e-05,5.47e-37,1.0,2.85e-05,1.69e-05,1.69e-05,0.295187636
95,1103,0.045999122,3.35e-05,0.000102943,0.08005538,0.004992042,0.001085226,0.004288769,2928.046889,3.66e-05,0.000567608,0.000567608,0.269740437
97,1106,0.033332697,8.1e-06,0.000101322,0.052282066,0.003617422,0.000289394,2.43e-06,2010.936072,3.39e-05,2.48e-06,2.48e-06,0.23665905
99,1108,0.002666616,1.89e-12,1.36e-06,0.000849218,0.000289394,3.62e-05,1.0900000000000001e-29,29.08333333,9.04e-05,8.77e-08,8.77e-08,0.246837944
100,1109,0.033666024,3.44e-06,0.000101273,0.07942266,0.003653596,0.000108523,0.00270901,2872.803428,9.53e-05,0.000223067,0.000223067,0.282464037
101,1110,0.011666444,1.92e-07,1.71e-05,0.005580573,0.001266098,3.62e-05,6.6e-20,202.2265873,7.43e-05,1.25e-07,1.25e-07,0.203577663
103,1112,0.007999847,1.61e-05,1.45e-07,0.042399583,0.000868181,0.000578787,3.84e-09,1584.655371,1.87e-05,5.57e-07,5.57e-07,0.376618716
104,1113,0.049332391,0.000149728,0.0,0.0,0.005353784,0.005353784,1.76e-38,0.0,1.55e-05,0.0,0.0,0.005086035
105,1114,0.031999389,2.46e-06,0.000101097,0.063589647,0.003472725,0.000108523,0.000392004,2306.482718,5.95e-05,3.06e-05,3.06e-05,0.351171516
106,1115,0.000666654,1.16e-06,7.65e-10,0.000115757,7.23e-05,3.62e-05,7.93e-34,3.75,1.61e-05,5.34e-09,5.34e-09,0.234114344
107,1116,0.000333327,0.0,-8.66e-24,3.62e-05,3.62e-05,0.0,5.47e-37,1.0,2.85e-05,0.0,0.0,0.277374555
109,1118,0.028999446,1.15e-05,0.000101094,0.071399363,0.003147157,0.000361742,0.00031637,2489.362651,1.67e-05,1.32e-05,1.32e-05,0.216301263
110,1119,0.000666654,1.14e-06,1.32e-09,0.000559748,7.23e-05,3.62e-05,1.9000000000000002e-29,16.41666667,1.58e-05,4.48e-08,4.48e-08,0.229024862
112,1122,0.043665833,2.67e-05,0.000102632,0.087586873,0.004738822,0.000868181,0.006786803,2928.863644,6.12e-05,0.000131478,0.000131478,0.206122369
113,1123,0.035332659,1.04e-05,0.000101369,0.067207219,0.003834467,0.000325568,0.000158765,2530.955421,6.16e-05,0.000260876,0.000260876,0.234114344
114,1124,0.018999637,2.17e-06,3.65e-05,0.015002812,0.00206193,0.000217045,2.79e-15,523.5107881,0.000102244,0.000264405,0.000264405,0.274829849
116,1126,0.03633264,1.8e-05,0.000102101,0.072966113,0.003942989,0.000578787,0.00074001,2583.828374,2.44e-05,1.58e-05,1.58e-05,0.262106249
117,1127,0.034999332,5.76e-06,0.000102964,0.07783958,0.003798293,0.000180871,0.001373524,2751.357473,3.32e-05,2.51e-05,2.51e-05,0.285008742
118,1128,0.016666348,5.69e-06,3.78e-05,0.043384361,0.001808711,0.000361742,1.27e-08,1578.824335,6.02e-05,1.09e-05,1.09e-05,0.234114344
120,1130,0.029332773,4.61e-06,0.000101164,0.066438274,0.003183331,0.000144697,0.000118403,2361.527742,2.08e-05,6.32e-06,6.32e-06,0.257016838
122,1132,0.045332468,3.44e-05,0.000101351,0.062529487,0.004919693,0.001157575,0.000117246,2408.025614,3.87e-05,4.24e-05,4.24e-05,0.239203756
124,1134,0.01433306,3.62e-06,3.94e-05,0.072108307,0.001555491,0.000180871,0.000319984,2456.5299,6.52e-05,2.88e-05,2.88e-05,0.358805634
128,1138,0.044999141,2.66e-05,0.000102651,0.072909976,0.004883519,0.000868181,0.005011629,2596.670065,3.48e-05,5.58e-06,5.58e-06,0.035626093
130,1141,0.025999504,1.14e-06,0.000101057,0.054522221,0.002821589,3.62e-05,8.52e-06,2065.744183,1.62e-05,2.89e-06,2.89e-06,0.269740437
131,1142,0.037999274,0.0,0.00010184,0.068663184,0.004123861,0.0,9.71e-05,2425.471836,8.47e-05,0.0,0.0,0.269740437
132,1143,0.042665852,3.57e-05,0.000101479,0.064682998,0.0046303,0.001157575,7.86e-05,2372.260009,2.85e-05,0.000180023,0.000180023,0.297732342
134,1145,0.03299937,1.5e-05,0.000101106,0.072687839,0.003581247,0.000542613,0.000630905,2555.970124,2.19e-05,2.52e-05,2.52e-05,0.246837944
135,1146,0.000666654,0.0,1.53e-10,0.000144697,7.23e-05,0.0,5.9400000000000005e-33,4.916666667,3.25e-05,0.0,0.0,0.264650955
136,1147,0.000333327,0.0,5.14e-09,0.001046468,3.62e-05,0.0,2.79e-26,32.25238095,1.56e-05,0.0,0.0,0.279919331
140,1151,0.003999924,1.1e-06,1.28e-06,0.054476956,0.000434091,0.000217045,1.6e-05,1916.376458,3.09e-05,0.000160305,0.000160305,0.226480156
141,1152,0.000666654,9.75e-12,1.16e-10,0.007652658,7.23e-05,3.62e-05,1.48e-19,233.2496059,2.14e-05,2.17e-06,2.17e-06,0.223935451
143,1154,0.000333327,0.0,2.29e-10,3.62e-05,3.62e-05,0.0,5.47e-37,1.0,1.65e-05,0.0,0.0,0.376618716
144,1155,0.000666654,6.14e-15,5.44e-13,3.62e-05,7.23e-05,3.62e-05,5.47e-37,1.0,1.87e-05,0.0,0.0,0.203577663
145,1156,0.001666635,1.14e-06,3.06e-10,0.000393897,0.000180871,3.62e-05,8.72e-33,13.16666667,8.5e-05,2.05e-08,2.05e-08,0.206122369
146,1157,0.031666062,3.46e-06,0.000101337,0.071734899,0.00343655,0.000108523,0.000310443,2546.774711,3.75e-05,5.05e-06,5.05e-06,0.208667145
147,1158,0.011999771,2.29e-06,3.78e-05,0.013349402,0.001302272,7.23e-05,6.58e-16,451.1420724,2.66e-05,9.17e-07,9.17e-07,0.226480156
148,1159,0.055665604,7.42e-05,0.000101981,0.078608312,0.006041094,0.002459847,0.002458088,2752.369536,2.69e-05,0.000175655,0.000175655,0.277374555
150,1162,0.00333327,1.02e-07,4.45e-06,0.001449851,0.000361742,7.23e-05,8.26e-25,49.15,2.52e-05,2.61e-07,2.61e-07,0.318090129
151,1163,0.004999905,4.46e-07,8.86e-09,0.048007216,0.000542613,0.000108523,2.08e-07,1594.404628,4.71e-05,4.06e-05,4.06e-05,0.277374555
153,1165,0.015666368,5.73e-06,4.37e-05,0.070238099,0.001700188,0.000217045,0.000241106,2449.038661,6.92e-05,5.12e-05,5.12e-05,0.241748462
155,1167,0.040332563,4.02e-05,0.000101317,0.068231437,0.00437708,0.001338446,0.000166488,2410.91098,2.4e-05,9.71e-05,9.71e-05,0.358805634
156,1168,0.040999217,9.17e-06,0.000101408,0.05684763,0.004449428,0.000289394,6.51e-06,2268.49793,0.000103298,6.51e-06,6.51e-06,0.24938265
157,1169,0.032332716,4.94e-06,0.000101152,0.067857309,0.003508899,0.000217045,6.73e-05,2479.745219,4.05e-05,3.25e-06,3.25e-06,0.259561543
159,1171,0.001666635,1.14e-06,2.47e-09,0.002768691,0.000180871,3.62e-05,2.72e-25,91.12662338,1.87e-05,0.0,0.0,0.216301263
160,1172,0.005999885,4.02e-11,4.04e-09,0.008128168,0.000651136,3.62e-05,1.11e-20,288.151445,4.45e-05,1.08e-07,1.08e-07,0.231569638
161,1173,0.005999885,4.59e-06,4.76e-08,0.052879707,0.000651136,0.000180871,1.02e-06,1936.594597,3.79e-05,5.17e-06,5.17e-06,0.277374555
162,1174,0.003666597,8.43e-07,4.3e-06,0.002463972,0.000397916,0.000108523,6.020000000000001e-27,77.80952381,2.53e-05,3.16e-07,3.16e-07,0.226480156
163,1175,0.007333193,1.43e-06,1.28e-05,0.04609065,0.000795833,0.000144697,3.14e-07,1586.034414,3.82e-05,1.6e-05,1.6e-05,0.218845969
164,1176,0.017333002,3.46e-06,5.45e-05,0.036639782,0.001881059,0.000108523,1.15e-10,1390.815135,2.83e-05,6.81e-07,6.81e-07,0.211211851
165,1177,0.037665948,9.3e-06,0.000102674,0.084640329,0.004087686,0.000325568,0.004735456,2971.108744,3.31e-05,2.92e-05,2.92e-05,0.229024862
166,1178,0.036999294,2.2e-05,0.000101795,0.079831523,0.004015338,0.00068731,0.005039799,2882.118836,3.05e-05,1.38e-05,1.38e-05,0.346082034
171,1184,0.038665928,1.95e-05,0.000101293,0.052856195,0.004196209,0.00068731,2.52e-06,2078.073257,3.99e-05,2.8e-05,2.8e-05,0.244293238
175,1188,0.013999733,3.53e-06,1.71e-05,0.004871747,0.001519317,0.000506439,5e-20,175.7606782,3.63e-05,2.16e-05,2.16e-05,0.239203756
176,1189,0.031999389,6.07e-06,0.000101154,0.056690596,0.003472725,0.000217045,2.76e-05,2156.094822,3.2e-05,2.36e-05,2.36e-05,0.41733422
179,1192,0.0593322,7.29e-05,0.000102837,0.084318181,0.00643901,0.002351324,0.006051409,2916.71383,5.45e-05,0.00056291,0.00056291,0.307911236
180,1193,0.03633264,1.62e-05,0.000101999,0.078534122,0.003942989,0.000506439,0.003129637,2728.844993,4.53e-05,0.000348051,0.000348051,0.002546535
181,1194,0.010666463,0.0,2.23e-05,0.064978232,0.001157575,0.0,8.7e-05,2351.595707,3.37e-05,0.0,0.0,0.223935451
183,1196,0.001666635,1.66e-16,7.44e-20,0.042038168,0.000180871,3.62e-05,1.41e-09,1390.541656,6.93e-05,0.0,0.0,0.272285143
184,1197,0.077331857,0.000145302,0.000101924,0.073872205,0.008392418,0.005136739,0.002530871,2603.28997,2.08e-05,0.001006235,0.001006235,0.244293238
188,1201,0.05166568,5.97e-05,0.000101402,0.074549369,0.005607003,0.00206193,0.00070128,2712.858924,2.5e-05,0.000754086,0.000754086,0.005086035
189,1202,0.006333212,6.84e-06,1.3e-08,0.034770918,0.00068731,0.000289394,2.53e-11,1191.498482,3.49e-05,9.84e-08,9.84e-08,0.272285143
190,1203,0.058665547,9.42e-05,0.000101175,0.065563703,0.006366662,0.003508899,4.7e-05,2281.840423,2.02e-05,9.19e-05,9.19e-05,0.231569638
191,1204,0.042999179,3.82e-05,0.00010257,0.072597354,0.004666474,0.001193749,0.001524471,2542.637287,3.21e-05,6.15e-05,6.15e-05,0.017813082
192,1205,0.035665986,1.14e-05,0.000101532,0.069682191,0.003870641,0.000434091,0.000174285,2566.608426,8.84e-05,0.000180084,0.000180084,0.203577663
193,1206,0.083331742,0.00015443,0.000103013,0.075312974,0.009043554,0.005389958,0.002619416,2744.238464,2.57e-05,0.00185984,0.00185984,0.251927355
196,1209,0.037332621,2.3e-05,0.0001018,0.072734329,0.004051512,0.000723484,0.003575869,2536.203482,3.57e-05,2.82e-05,2.82e-05,0.24938265
198,1211,0.033999351,9.23e-06,0.00010121,0.07380748,0.00368977,0.000361742,0.001909228,2586.098334,6.8e-05,0.000111034,0.000111034,0.259561543
199,1212,0.05166568,1.73e-05,0.000102397,0.07251403,0.005607003,0.000614962,0.000985538,2773.753034,0.000151469,0.000301992,0.000301992,0.218845969
200,1213,0.049332391,2.08e-05,0.000103182,0.077344791,0.005353784,0.000723484,0.003165298,2868.968312,0.000133827,9.81e-05,9.81e-05,0.002546535
202,1215,0.048999064,6.45e-05,0.000101347,0.068467645,0.00531761,0.00206193,0.000250207,2437.03511,2.83e-05,0.000403662,0.000403662,0.218845969
205,1218,0.0296661,5.72e-06,0.000101313,0.066212653,0.003219505,0.000180871,8.27e-05,2324.800657,2.09e-05,6.77e-06,6.77e-06,0.231569638
206,1219,0.018332983,0.0,6.01e-05,0.048937524,0.001989582,0.0,4.17e-07,1800.328694,4.55e-05,0.0,0.0,0.315545424
207,1220,0.000333327,0.0,5.71e-11,3.62e-05,3.62e-05,0.0,5.47e-37,1.0,1.63e-05,0.0,0.0,0.218845969
208,1221,0.002999943,8.12e-08,1.27e-09,0.001383206,0.000325568,3.62e-05,3.07e-29,48.75952381,6.25e-05,5.67e-09,5.67e-09,0.279919331
209,1222,0.006666539,2.54e-06,8.66e-06,0.004469448,0.000723484,0.000180871,1.0099999999999999e-24,154.9757215,4.73e-05,2.51e-06,2.51e-06,0.241748462
211,2002,0.034666005,3.45e-06,0.000101638,0.075238233,0.003762118,0.000108523,0.001149429,2805.653166,6.2e-05,3.94e-05,3.94e-05,0.24938265
213,2004,0.036665967,1.14e-05,0.000101178,0.058689834,0.003979164,0.000361742,1.37e-05,2291.885174,3.59e-05,4.42e-06,4.42e-06,0.323179541
214,2006,0.030332754,2.29e-06,0.000101315,0.080805298,0.003291854,7.23e-05,0.002628655,2977.160958,4.51e-05,4.13e-05,4.13e-05,0.211211851
216,2008,0.039999236,1.27e-05,0.000102656,0.079545806,0.004340906,0.000397916,0.004275291,2888.025965,5.74e-05,5.4e-05,5.4e-05,0.251927355
219,2011,0.042665852,1.15e-05,0.000102617,0.082491448,0.0046303,0.000361742,0.003009728,3086.579309,6.5e-05,0.000103847,0.000103847,0.226480156
221,2013,0.006999866,1.15e-06,2.36e-05,0.048662087,0.000759659,3.62e-05,6.73e-07,1644.278675,2.85e-05,3.11e-08,3.11e-08,0.371529233
222,2014,0.002333289,0.0,1.69e-09,0.005537339,0.00025322,0.0,1.06e-19,179.8573887,7.25e-05,0.0,0.0,0.213756557
223,2015,0.002666616,3.38e-10,8.56e-09,0.000326698,0.000289394,0.000144697,3.12e-28,10.16666667,2.17e-05,2.29e-08,2.29e-08,0.223935451
224,2016,0.07699853,5.54e-05,0.000103665,0.077488844,0.008356244,0.001881059,0.000794585,2997.429559,0.000108054,0.000437364,0.000437364,0.091609973
226,2019,0.002999943,1.15e-06,4.27e-08,0.046027534,0.000325568,7.23e-05,4.16e-08,1593.432811,5.34e-05,1.25e-06,1.25e-06,0.297732342
227,2020,0.034666005,1.84e-05,0.000101523,0.068668849,0.003762118,0.000578787,0.000113808,2445.74065,2.82e-05,3.29e-05,3.29e-05,0.325724317
228,2021,0.038332601,7.33e-06,0.000102385,0.081382659,0.004160035,0.00025322,0.002356221,3040.447143,9.25e-05,4.87e-05,4.87e-05,0.223935451
229,2022,0.001999962,1.15e-06,6.97e-16,8.14e-05,0.000217045,0.000144697,8.75e-36,2.5,2.5e-05,1.8e-05,1.8e-05,0.211211851
231,2024,0.001999962,2.29e-06,2.3e-09,0.002678176,0.000217045,7.23e-05,3.83e-25,82.39166667,2.83e-05,5.53e-07,5.53e-07,0.223935451
233,2026,0.004666578,1.19e-06,4.3e-06,0.002287965,0.000506439,0.000108523,1.35e-25,83.99563492,2.88e-05,1.84e-08,1.84e-08,0.254472132
235,2028,0.041665871,1.97e-05,0.000102842,0.08139231,0.004521777,0.000651136,0.006327158,2963.511743,3.69e-05,0.000106062,0.000106062,0.346082034
236,2029,0.041999198,3.44e-06,0.000101639,0.077118014,0.004557951,0.000180871,0.000604763,2893.32758,0.000108771,9.63e-05,9.63e-05,0.147593783
238,2031,0.0296661,1.15e-06,0.000102371,0.074409824,0.003219505,3.62e-05,0.000891202,2535.386499,2.05e-05,8.78e-09,8.78e-09,0.216301263
239,2032,0.030332754,1.15e-06,0.000101441,0.060403999,0.003291854,3.62e-05,0.000257146,2275.989705,4.1e-05,8.42e-08,8.42e-08,0.257016838
240,2033,0.027666138,5.75e-06,0.000101093,0.066470016,0.00300246,0.000180871,0.000235393,2195.156884,1.6e-05,6.82e-08,6.82e-08,0.264650955
241,2034,0.066332067,3.73e-05,0.000101081,0.071820668,0.007198669,0.001808711,0.000391861,2517.468901,0.00020456,0.000846256,0.000846256,0.017813082
242,2035,0.033999351,2.55e-06,0.000101626,0.061862229,0.00368977,0.000144697,0.000120237,2418.729413,4.78e-05,0.00012301,0.00012301,0.277374555
243,2037,0.047665757,5.64e-05,0.000101188,0.058839641,0.005172913,0.001881059,3.98e-05,2295.645689,3.72e-05,3.82e-05,3.82e-05,0.216301263
244,2038,0.008666501,3.12e-06,3e-06,0.050196051,0.00094053,0.000180871,3e-06,1759.235363,4.15e-05,1.91e-05,1.91e-05,0.208667145
245,2039,0.033666024,9.27e-06,0.000102656,0.079590343,0.003653596,0.000289394,0.004560068,2871.070424,2.39e-05,1.51e-05,1.51e-05,0.244293238
246,2040,0.049999045,2.76e-05,0.000103089,0.080421481,0.005426132,0.00094053,0.010795648,2850.232079,3.6e-05,7.2e-05,7.2e-05,0.015268305
247,2041,0.000999981,3.43e-12,1.52e-10,0.032596505,0.000108523,7.23e-05,7.48e-13,1053.976051,2.11e-05,0.0,0.0,0.201032957
248,2042,0.034332678,1.15e-05,0.000102707,0.073426239,0.003725944,0.000397916,0.002333808,2586.6408,1.84e-05,3.39e-06,3.39e-06,0.193398769
249,2043,0.020332945,2.27e-06,3.38e-05,0.043145722,0.002206627,0.000325568,6.53e-09,1627.380164,0.000148753,0.00051126,0.00051126,0.244293238
250,2044,0.042332525,3.47e-05,0.000102003,0.072683193,0.004594125,0.001121401,0.000253223,2451.750424,3.29e-05,0.00013483,0.00013483,0.239203756
251,2045,0.002333289,1.94e-06,2.51e-09,0.037873917,0.00025322,0.000108523,1.46e-10,1277.948434,3.51e-05,5.02e-07,5.02e-07,0.287553448
252,2046,0.031332735,8.48e-06,0.000101403,0.064848365,0.003400376,0.000289394,6.61e-05,2345.069344,2.96e-05,0.000511034,0.000511034,0.259561543
257,2052,0.031666062,2.3e-06,0.0001027,0.080779378,0.00343655,7.23e-05,0.003450461,2918.500704,6.23e-05,1.25e-05,1.25e-05,0.208667145
258,2053,0.029332773,1.15e-06,0.000102079,0.070424489,0.003183331,3.62e-05,0.000739259,2520.727751,2.56e-05,1.84e-06,1.84e-06,0.229024862
260,2055,0.001333308,0.0,1.49e-06,0.002313194,0.000144697,0.0,8.43e-25,72.94801587,2.19e-05,0.0,0.0,0.234114344
261,2056,0.033999351,1.38e-05,0.000101676,0.073153077,0.00368977,0.000434091,0.004082424,2573.190919,2.69e-05,7.64e-06,7.64e-06,0.29264293
262,2057,0.033999351,5.79e-06,0.000101845,0.079039931,0.00368977,0.000180871,0.003720349,2790.74302,3.92e-05,0.000387649,0.000387649,0.038170799
263,2058,0.001999962,7.63e-07,1.66e-09,0.004655946,0.000217045,0.000108523,4.540000000000001e-21,143.9335075,1.79e-05,6.77e-08,6.77e-08,0.208667145
264,2059,0.000666654,0.0,1.52e-10,0.032601095,7.23e-05,0.0,8.22e-13,1054.976051,3e-05,0.0,0.0,0.218845969
