,Node Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-Centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-Centrality,Page-Rank,Percolation-Centrality,Rank-Prestige,scores
26,9306147,0.000155678,0.004905909,0.002722783,0.018604739,0.014717277,7.43E-38,0.002380431,0.000108848,0.001037037,0.004884931,0.008591418,0.004905909,0.023715415,0
27,9306148,1.12E-18,0,0,0.001550475,0.002323778,0,0,9.19E-06,0,0,0,0,0,0
28,9306149,1.12E-18,0,0,0,0.000774503,0,0,4.32E-21,0,0,0,0,0,0
29,9306150,1.12E-18,0,0,0.004651247,0.005422148,0,0,0.000874083,0,0,0,0,0,0.010419333
30,9306152,1.12E-18,0,0,0,0.000774503,0,0,4.26E-21,0,0,0,0,0,0
31,9306153,0.003312605,0.032787235,0.009673644,0.073643495,0.060418277,4.58E-34,0.011139196,0.006971226,0.003424151,0.033015262,0.023933236,0.032787235,0.063241107,0.010419333
32,9306154,6.21E-06,0.000102185,0.000444485,0.006201633,0.006196741,2.57E-39,0.00036622,1.98E-06,0.000170006,0.000108384,0.000377645,0.000102185,0.005928854,0
33,9306155,1.12E-18,0,0,0.000775103,0.001549006,0,0,1.35E-08,0,0,0,0,0,0
34,9306156,1.28E-05,0.000214284,0.002586399,0.003876054,0.000774503,3.75E-18,0.002380431,3.56E-05,0.001079925,0.000225419,0.018221359,0.000214284,0.019762846,0
35,9306157,1.12E-18,0,0,0.00542644,0.006196741,0,0,3.88E-05,0,0,0,0,0,0
36,9306161,1.12E-18,0,0,0.011628002,0.0123935,0,0,0.000812238,0,0,0,0,0,0
37,9306162,0.00013222,0.006939447,0.00316115,0.013953581,0.009295111,9.61E-37,0.002746651,0.000117919,0.001208746,0.007022088,0.017513275,0.006939447,0.029644269,0.052103912
38,9306163,3.18E-05,0.000123537,0.001422516,0.008527212,0.006971333,6.66E-38,0.001281771,5.52E-05,0.000527019,0.000121106,0.002313074,0.000123537,0.013833992,0
39,9306164,1.12E-18,0,0,0.000775103,0.001549006,0,0,1.02E-05,0,0,0,0,0,0.010419333
40,9307001,1.12E-18,0,0,0.018604739,0.019364833,0,0,0.000216459,0,0,0,0,0,0
41,9307002,0.00081038,0.001080317,0.001333609,0.002325668,0.000774503,6.66E-38,0.00109866,0.000123279,0.000527019,0.001068579,0.003351597,0.001080317,0.009881423,0
42,9307003,1.12E-18,0,0,0.000775103,0.001549006,0,0,2.61E-05,0,0,0,0,0,0.010419333
43,9307005,5.10E-05,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.001132934,0,0.007905138,0.010419333
44,9307007,7.32E-07,0,0.001389174,0.001550475,0.000774503,3.07E-26,0.001281771,4.12E-09,0.000431024,0,0.070732862,0,0.009881423,0
45,9307008,1.78E-06,1.43E-06,0.002222681,0.003876054,0.000774503,3.07E-26,0.001831101,1.70E-09,0.000910135,1.43E-06,0.064545625,1.43E-06,0.019762846,0
46,9307009,1.12E-18,0,0,0,0.000774503,0,0,6.97E-06,0,0,0,0,0,0
47,9307010,1.12E-18,0,0,0.025581476,0.026336166,0,0,0.011175566,0,0,0,0,0,0.020842283
48,9307011,1.12E-18,0,0,0.003100861,0.003872963,0,0,7.92E-07,0,0,0,0,0,0
49,9307012,1.12E-18,0,0,0.000775103,0.001549006,0,0,5.61E-05,0,0,0,0,0,0
50,9307013,1.12E-18,0,0,0.006976826,0.007745926,0,0,6.76E-05,0,0,0,0,0,0
51,9307015,0.000379599,5.39E-05,0.004457712,0.007752019,0.00309837,9.69E-21,0.004455679,9.24E-07,0.001502067,5.39E-05,0.014444912,5.39E-05,0.0256917,0
52,9307016,0.000189089,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.007411278,0,0.011857708,0
53,9307017,0.000189799,1.56E-05,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,5.65E-08,0.000340012,1.55E-05,0.001274551,1.56E-05,0.011857708,0
54,9307018,1.12E-18,0,0,0.000775103,0.001549006,0,0,2.50E-21,0,0,0,0,0,0
55,9307022,2.03E-06,7.83E-06,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,2.64E-06,0.000170006,9.87E-06,0.000330439,7.83E-06,0.001976285,0
56,9307023,1.12E-18,0,0,0,0.000774503,0,0,2.33E-05,0,0,0,0,0,0
57,9307024,0.000193354,2.59E-06,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,3.59E-06,0.000340012,1.87E-06,0.000802495,2.59E-06,0.005928854,0
58,9307025,0.000414431,4.78E-07,0.001778145,0.003100861,0.000774503,4.62E-26,0.001464881,1.50E-06,0.000793364,4.78E-07,0.002077046,4.78E-07,0.019762846,0
59,9307027,2.50E-07,0.002158092,0.000444485,0.008527212,0.008520519,2.57E-39,0.00036622,4.29E-05,0.000170006,0.002165144,0.003162775,0.002158092,0.003952569,0
60,9307029,0.000349743,0,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,8.00E-06,0.000170006,0,0.000330439,0,0.001976285,0
61,9307030,1.12E-18,0,0,0.004651247,0.005422148,0,0,8.91E-05,0,0,0,0,0,0
62,9307031,0.000194775,0.000910008,0.00412561,0.003876054,0.001549006,9.69E-21,0.004150495,6.72E-07,0.000869132,0.00076327,0.005853494,0.000910008,0.017786561,0
63,9307032,1.12E-18,0,0,0,0.000774503,0,0,3.74E-09,0,0,0,0,0,0
64,9307033,1.12E-18,0,0,0.001550475,0.002323778,0,0,9.81E-06,0,0,0,0,0,0
65,9307034,4.02E-07,0.001298922,0.000999834,0.002325668,0.001549006,6.41E-38,0.00091555,9.69E-08,0.000357013,0.001233954,0.004484531,0.001298922,0.011857708,0
66,9307035,2.83E-05,0.000213267,0.00088897,0.010852809,0.010069722,5.14E-39,0.00073244,2.94E-05,0.000340012,0.000205829,0.000708084,0.000213267,0.009881423,0
67,9307036,1.12E-18,0,0,0.013178388,0.013942685,0,0,0.000931806,0,0,0,0,0,0
68,9307037,0.001734497,0.000152515,0.004950525,0.003876054,0.002323778,4.58E-34,0.00497449,4.66E-06,0.000719346,0.000151128,0.001227345,0.000152515,0.013833992,0.010419333
69,9307038,1.12E-18,0,0,0.012403195,0.013168092,0,0,0.000486518,0,0,0,0,0,0.020842283
70,9307039,0.000656834,5.01E-06,0.002845032,0.008527212,0.004647556,2.51E-37,0.002563541,6.51E-05,0.001088041,3.13E-06,0.002171457,5.01E-06,0.017786561,0
71,9307040,1.12E-18,0,0,0.006976826,0.007745926,0,0,4.33E-05,0,0,0,0,0,0
72,9307042,0.000140039,0.000747325,0.000444485,0.003876054,0.003872963,2.57E-39,0.00036622,0.000210275,0.000170006,0.000748005,0.000566467,0.000747325,0.003952569,0
73,9307043,6.52E-07,0.000348243,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,1.05E-06,0.000340012,0.000340927,0.002549102,0.000348243,0.007905138,0
74,9307045,1.12E-18,0,0,0.013953581,0.014717277,0,0,0.000437042,0,0,0,0,0,0
75,9307046,1.53E-05,0.000419417,0.001852239,0.008527212,0.006196741,1.01E-36,0.001647991,0.000229653,0.000715726,0.000374003,0.003304392,0.000419417,0.015810277,0
76,9307047,1.12E-18,0,0,0,0.000774503,0,0,5.69E-07,0,0,0,0,0,0
77,9307048,1.12E-18,0,0,0.006976826,0.007745926,0,0,2.41E-06,0,0,0,0,0,0
78,9307049,0.001457262,0.005033006,0.001389174,0.060465197,0.059643684,1.82E-37,0.001281771,0.041220566,0.000391012,0.005088469,0.000566467,0.005033006,0.005928854,0
79,9307050,0.000113027,6.25E-05,0.00088897,0.004651247,0.003872963,6.41E-38,0.00073244,0.000523625,0.000357013,6.16E-05,0.000991317,6.25E-05,0.009881423,0
80,9307052,0.001236895,9.38E-06,0.004840513,0.007752019,0.000774503,4.99E-37,0.004394642,9.57E-07,0.001836071,9.39E-06,0.00236028,9.38E-06,0.051383399,0
81,9307053,0.001194244,0,0.001852239,0.002325668,0,6.90E-38,0.001647991,4.45E-21,0.000697025,0,0.004106887,0,0.017786561,0
82,9307054,0.000526036,0.000775286,0.00355629,0.006201633,0.000774503,1.02E-36,0.002929761,5.81E-07,0.001395754,0.000778536,0.003870859,0.000775286,0.027667984,0
83,9307055,1.12E-18,0,0,0,0.000774503,0,0,3.31E-12,0,0,0,0,0,0
84,9307056,5.04E-05,8.59E-05,0.002778359,0.006976826,0.003872963,3.68E-35,0.002685614,2.75E-06,0.001017148,7.28E-05,0.002265869,8.59E-05,0.013833992,0.010419333
85,9307057,1.12E-18,0,0,0.000775103,0.001549006,0,0,5.40E-05,0,0,0,0,0,0
86,9307059,7.68E-05,0.000345701,0.001895128,0.006976826,0.006971333,3.01E-36,0.001709027,0.001385339,0.000277107,0.000396901,0.000236028,0.000345701,0.005928854,0
87,9307060,0.000102364,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000236028,0,0.003952569,0
88,9307061,1.12E-18,0,0,0,0.000774503,0,0,5.25E-21,0,0,0,0,0,0
89,9307063,0.000429359,0.006329386,0.001852239,0.007752019,0.005422148,6.90E-38,0.001647991,2.43E-05,0.000697025,0.006360587,0.001982635,0.006329386,0.015810277,0
90,9307064,1.63E-05,0,0.002286192,0.003100861,0,1.31E-37,0.002014211,4.45E-21,0.000884033,0,0.004720559,0,0.023715415,0
91,9307065,0.000312778,0.001990325,0.002222681,0.003876054,0.000774503,7.19E-38,0.001831101,2.41E-06,0.000867031,0.00191072,0.002501896,0.001990325,0.02173913,0
92,9307066,1.12E-18,0,0,0.003876054,0.004647556,0,0,0.00018966,0,0,0,0,0,0
93,9307067,1.12E-18,0,0,0,0.000774503,0,0,4.65E-21,0,0,0,0,0,0
94,9307068,1.12E-18,0,0,0,0.000774503,0,0,6.10E-05,0,0,0,0,0,0.010419333
95,9307069,1.12E-18,0,0,0,0.000774503,0,0,3.81E-21,0,0,0,0,0,0
96,9307071,1.66E-11,4.02E-05,0.000444485,0.003100861,0.00309837,2.57E-39,0.00036622,1.55E-06,0.000170006,4.02E-05,0.002124252,4.02E-05,0.005928854,0.010419333
97,9307072,0.000373912,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000141617,0,0.001976285,0
98,9307073,0.000853031,0.000536346,0.007337194,0.001550475,0.000774503,3.55E-33,0.00733661,5.07E-06,0.000682427,0.000541922,0.001038523,0.000536346,0.011857708,0.010419333
99,9307074,0.000995203,2.77E-05,0.004137611,0.008527212,0.002323778,1.41E-37,0.003662202,9.44E-07,0.00156406,2.77E-05,0.0202512,2.77E-05,0.037549407,0
100,9307075,1.12E-18,0,0,0.003100861,0.003872963,0,0,1.14E-06,0,0,0,0,0,0.010419333
101,9307076,6.08E-09,9.53E-07,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,2.49E-06,0.000340012,9.54E-07,0.00953553,9.53E-07,0.007905138,0
102,9307079,0.001066289,0.00015582,0.004000826,0.006201633,0.001549006,3.02E-36,0.003906348,9.11E-05,0.001297147,0.000172499,0.001368962,0.00015582,0.033596838,0
103,9307080,4.41E-05,5.39E-05,0.000444485,0.001550475,0.001549006,2.57E-39,0.00036622,0.000120393,0.000170006,5.44E-05,0.000188822,5.39E-05,0.005928854,0
104,9307083,1.12E-18,0,0,0,0.000774503,0,0,4.81E-21,0,0,0,0,0,0.010419333
105,9307085,1.12E-18,0,0,0.006976826,0.007745926,0,0,0.001117342,0,0,0,0,0,0
106,9307086,3.43E-08,0,0,0.001550475,0.001549006,7.69E-27,0,2.88E-07,0.000188896,0,0.005523055,0,0.003952569,0.010419333
107,9307087,0.000142172,1.74E-06,0.00088897,0.007752019,0.006971333,5.14E-39,0.00073244,4.78E-05,0.000340012,1.74E-06,0.000236028,1.74E-06,0.007905138,0
108,9307089,1.39E-05,0,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,3.23E-08,0.000170006,0,0.000566467,0,0.005928854,0
109,9307091,4.76E-06,1.96E-05,0.003111754,0.006976826,0.002323778,1.08E-36,0.002563541,1.35E-06,0.001242745,1.91E-05,0.007033634,1.96E-05,0.035573123,0
110,9307092,0.000183402,8.49E-05,0.001333609,0.003876054,0.002323778,7.67E-39,0.00109866,4.70E-05,0.000510018,8.50E-05,0.010101997,8.49E-05,0.007905138,0
111,9307093,1.12E-18,0,0,0.000775103,0.001549006,0,0,3.03E-05,0,0,0,0,0,0
112,9307095,1.12E-18,0,0,0,0.000774503,0,0,4.63E-21,0,0,0,0,0,0.020842283
113,9307097,1.12E-18,0,0,0,0.000774503,0,0,6.18E-07,0,0,0,0,0,0
114,9307099,1.12E-18,0,0,0.003100861,0.003872963,0,0,6.97E-07,0,0,0,0,0,0
115,9307101,0.000125822,7.14E-06,0.001333609,0.002325668,0.000774503,7.67E-39,0.00109866,3.02E-08,0.000510018,7.15E-06,0.001368962,7.14E-06,0.009881423,0
116,9307102,1.12E-18,0,0,0.000775103,0.001549006,0,0,3.43E-10,0,0,0,0,0,0
117,9307103,1.76E-11,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.003162775,0,0.001976285,0
118,9307104,0.000140039,0,0.000444485,0.003100861,0.00309837,2.57E-39,0.00036622,0.000209862,0.000170006,0,0.000566467,0,0.003952569,0.010419333
119,9307106,0.000267283,0.000289779,0.00088897,0.006201633,0.005422148,5.14E-39,0.00073244,1.12E-05,0.000340012,0.000292587,0.000141617,0.000289779,0.009881423,0
120,9307107,7.68E-05,0.000950679,0.001333609,0.00542644,0.003872963,7.67E-39,0.00109866,1.65E-06,0.000510018,0.000969353,0.004295709,0.000950679,0.017786561,0
121,9307108,0.000103075,0.000937969,0.000444485,0.017829546,0.017815648,2.57E-39,0.00036622,0.002510928,0.000170006,0.00093119,0.00042485,0.000937969,0.003952569,0.010419333
122,9307109,4.17E-08,0.000963388,0.000444485,0.001550475,0.001549006,2.57E-39,0.00036622,2.99E-07,0.000170006,0.000964265,0.001038523,0.000963388,0.003952569,0
123,9307110,1.12E-18,0,0,0,0.000774503,0,0,3.55E-21,0,0,0,0,0,0
124,9307111,1.12E-18,0,0,0.036434196,0.037180481,0,0,0.007284947,0,0,0,0,0,0
125,9307112,1.12E-18,0,0,0,0.000774503,0,0,3.81E-21,0,0,0,0,0,0
126,9307113,1.12E-18,0,0,0,0.000774503,0,0,4.25E-21,0,0,0,0,0,0
127,9307115,0.000625556,0.003177403,0.001778145,0.00542644,0.00309837,1.01E-36,0.001770064,8.37E-05,0.000715726,0.003332947,0.001038523,0.003177403,0.017786561,0
128,9307116,0.000312778,0.001344677,0.002222681,0.007752019,0.004647556,7.19E-38,0.001831101,8.78E-06,0.000867031,0.001452758,0.002501896,0.001344677,0.02173913,0
129,9307117,1.12E-18,0,0,0.002325668,0.00309837,0,0,1.25E-07,0,0,0,0,0,0
130,9307118,1.12E-18,0,0,0.006976826,0.007745926,0,0,2.06E-07,0,0,0,0,0,0
131,9307119,1.12E-18,0,0,0,0.000774503,0,0,9.65E-08,0,0,0,0,0,0
132,9307120,1.12E-18,0,0,0.001550475,0.002323778,0,0,6.84E-07,0,0,0,0,0,0
133,9307121,1.12E-18,0,0,0.000775103,0.001549006,0,0,0.000935929,0,0,0,0,0,0
134,9307123,0.001883777,0.000945595,0.005989542,0.011628002,0.006196741,4.99E-35,0.006103669,0.000989528,0.001484665,0.000943911,0.008544213,0.000945595,0.027667984,0
135,9307124,1.19E-06,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.00042485,0,0.009881423,0
136,9307125,1.49E-05,0,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,3.47E-08,0.000170006,0,0.000802495,0,0.003952569,0
137,9307126,1.83E-05,0.003812883,0.003048253,0.006201633,0.003872963,1.37E-36,0.002868725,0.000145543,0.00081773,0.00379091,0.009252296,0.003812883,0.015810277,0
138,9307128,1.10E-18,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.006372755,0,0.003952569,0
139,9307129,1.19E-06,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.00042485,0,0.009881423,0.010419333
140,9307130,1.19E-06,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.00042485,0,0.009881423,0
141,9307131,5.41E-06,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000236028,0,0.001976285,0
142,9307132,1.12E-18,0,0,0,0.000774503,0,0,4.65E-21,0,0,0,0,0,0
143,9307136,3.69E-06,9.53E-07,0.000444485,0.002325668,0.002323778,2.57E-39,0.00036622,1.71E-08,0.000170006,9.54E-07,0.00042485,9.53E-07,0.001976285,0.010419333
144,9307137,1.12E-18,0,0,0.002325668,0.00309837,0,0,3.62E-05,0,0,0,0,0,0
145,9307139,3.30E-06,9.53E-07,0.00088897,0.003876054,0.00309837,5.14E-39,0.00073244,7.96E-07,0.000340012,9.54E-07,0.000896906,9.53E-07,0.007905138,0
146,9307140,0.004897821,7.60E-05,0.002667217,0.00542644,0.001549006,1.54E-38,0.002197321,2.21E-05,0.001020036,7.00E-05,0.000708084,7.60E-05,0.031620553,0
147,9307143,0.002267641,3.23E-06,0.007585807,0.013178388,0.000774503,3.34E-36,0.00720233,2.71E-05,0.003082218,3.15E-06,0.003257186,3.23E-06,0.077075099,0
148,9307145,0.00027297,0.004067075,0.002586399,0.00542644,0.002323778,3.08E-37,0.002380431,1.23E-05,0.000935033,0.004045333,0.008733035,0.004067075,0.023715415,0.010419333
149,9307146,1.12E-18,0,0,0.004651247,0.005422148,0,0,0.000355406,0,0,0,0,0,0
150,9307147,1.39E-05,0.003431595,0.003585926,0.008527212,0.003872963,1.37E-36,0.003295981,1.85E-05,0.001327748,0.003740025,0.006278344,0.003431595,0.027667984,0.010419333
151,9307148,2.37E-11,4.78E-07,0.000592304,0.001550475,0.001549006,6.17E-38,0.00054933,1.05E-08,0.000187007,4.78E-07,0.00236028,4.78E-07,0.001976285,0
152,9307150,7.54E-07,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.00042485,0,0.005928854,0
153,9307151,0.00037249,0.002821533,0.001333609,0.003100861,0.001549006,7.67E-39,0.00109866,0.000341387,0.000510018,0.00292587,0.001227345,0.002821533,0.015810277,0.041683369
154,9307154,5.86E-05,0.000419417,0.002222681,0.006976826,0.003872963,2.49E-37,0.001831101,0.000260576,0.000918035,0.000424887,0.00354042,0.000419417,0.019762846,0
155,9307155,1.12E-18,0,0,0.009302423,0.010069722,0,0,0.000312114,0,0,0,0,0,0.010419333
156,9307156,3.68E-10,0,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,1.12E-09,0.000170006,0,0.002124252,0,0.003952569,0.010419333
157,9307157,0.000789054,6.96E-05,0.003000622,0.004651247,0.000774503,3.69E-37,0.002746651,1.85E-05,0.00112204,4.35E-05,0.001652196,6.96E-05,0.027667984,0
158,9307158,0.001983298,0.002999468,0.002000418,0.03488381,0.032532925,1.13E-36,0.001831101,0.006024,0.000749728,0.003002197,0.000660878,0.002999468,0.019762846,0.010419333
159,9307159,8.53E-06,0.000622771,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,3.37E-21,0.000340012,0.000620793,0.000849701,0.000622771,0.007905138,0
160,9307160,0.011658094,8.77E-06,0.001587632,0.006976826,0.005422148,1.25E-37,0.001464881,9.28E-05,0.000544021,9.01E-06,0.000472056,8.77E-06,0.009881423,0.010419333
161,9307161,1.12E-18,0,0,0.002325668,0.00309837,0,0,5.52E-07,0,0,0,0,0,0
162,9307163,0.001094723,0.008007054,0.010671744,0.00542644,0.002323778,2.07E-24,0.009991707,6.10E-06,0.001606361,0.007505492,0.010149203,0.008007054,0.023715415,0
163,9307165,1.12E-18,0,0,0.001550475,0.002323778,0,0,1.57E-05,0,0,0,0,0,0.020842283
164,9307166,1.12E-18,0,0,0,0.000774503,0,0,4.33E-21,0,0,0,0,0,0
165,9307168,1.12E-18,0,0,0.037984582,0.038729666,0,0,0.015535633,0,0,0,0,0,0
166,9307169,4.19E-05,3.00E-05,0.00088897,0.008527212,0.007745926,5.14E-39,0.00073244,5.32E-05,0.000340012,2.93E-05,0.000377645,3.00E-05,0.011857708,0
167,9307170,0.000192643,0.000155566,0.000999834,0.006201633,0.005422148,6.41E-38,0.00091555,4.74E-06,0.000357013,0.000129756,0.001841018,0.000155566,0.007905138,0
168,9307171,0.001101832,0.003355337,0.002222681,0.015503967,0.0123935,7.19E-38,0.001831101,0.000416426,0.000867031,0.003332947,0.002029841,0.003355337,0.013833992,0
169,9307172,0.00081038,1.22E-06,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,8.78E-07,0.000340012,9.36E-07,0.000141617,1.22E-06,0.005928854,0
170,9307173,0.002914523,5.16E-07,0.002667217,0.004651247,0.000774503,7.43E-38,0.002197321,5.03E-06,0.001037037,5.16E-07,0.005050999,5.16E-07,0.019762846,0
171,9307174,1.12E-18,0,0,0.026356669,0.027110759,0,0,0.000159974,0,0,0,0,0,0
172,9307175,8.53E-05,0.000211488,0.001852239,0.006976826,0.004647556,2.46E-37,0.001647991,2.65E-05,0.000748026,0.000203539,0.001557785,0.000211488,0.017786561,0
173,9307176,0.001755823,0.001337051,0.00568063,0.006201633,0.002323778,3.99E-33,0.006073151,7.34E-07,0.001301304,0.001307737,0.007600101,0.001337051,0.029644269,0.010419333
174,9307177,0.003454777,0.00168021,0.005020647,0.006976826,0.004647556,2.45E-34,0.004730344,8.33E-05,0.000970261,0.001707181,0.011093315,0.00168021,0.02173913,0
175,9307178,1.12E-18,0,0,0.010077616,0.010844314,0,0,3.97E-06,0,0,0,0,0,0.010419333
176,9307179,4.59E-07,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.001274551,0,0.003952569,0
177,9307180,4.93E-06,3.97E-07,0.00355629,0.006201633,0.000774503,1.39E-35,0.002929761,1.18E-08,0.001537029,1.98E-07,0.01114052,3.97E-07,0.037549407,0
178,9307181,0.000499023,0,0.001778145,0.003100861,0.000774503,1.02E-38,0.001464881,3.46E-06,0.000680024,0,0.000566467,0,0.019762846,0
179,9307182,1.12E-18,0,0,0.004651247,0.005422148,0,0,1.22E-05,0,0,0,0,0,0
180,9307183,1.12E-18,0,0,0.007752019,0.008520519,0,0,0.000453534,0,0,0,0,0,0
181,9307184,1.12E-18,0,0,0,0.000774503,0,0,4.24E-21,0,0,0,0,0,0
182,9307185,0.000159943,5.49E-05,0.004085812,0.003876054,0.002323778,4.78E-35,0.003845312,2.57E-05,0.000580229,3.31E-05,0.001463373,5.49E-05,0.011857708,0
183,9307186,5.40E-10,0.002041163,0.000444485,0.008527212,0.008520519,2.57E-39,0.00036622,4.45E-07,0.000170006,0.00204302,0.003162775,0.002041163,0.003952569,0
184,9307188,1.12E-18,0,0,0,0.000774503,0,0,4.37E-08,0,0,0,0,0,0.020842283
185,9307189,1.12E-18,0,0,0.003100861,0.003872963,0,0,3.34E-06,0,0,0,0,0,0
186,9307190,0.000199041,0.005236359,0.003351119,0.010077616,0.006971333,1.57E-20,0.003295981,8.70E-06,0.001160054,0.004732277,0.002171457,0.005236359,0.017786561,0
187,9307193,1.12E-18,0,0,0,0.000774503,0,0,4.36E-21,0,0,0,0,0,0
188,9307194,0.0009099,0.00078037,0.004629593,0.00542644,0.003872963,4.78E-34,0.00460827,0.001179188,0.000622782,0.000801434,0.002265869,0.00078037,0.011857708,0
189,9307195,0.000695931,0.001090485,0.002722783,0.007752019,0.003872963,2.51E-37,0.002380431,0.000171518,0.001088041,0.001050769,0.002171457,0.001090485,0.017786561,0
190,9307196,3.08E-07,0.000772744,0.000444485,0.017829546,0.017815648,2.57E-39,0.00036622,0.000129876,0.000170006,0.000760726,0.000708084,0.000772744,0.001976285,0
