,Unnamed: 0,Id,Katz-Centrality,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Load-centrality,Page-Rank,Percolation-Centrality,Hybrid-Centrality,score
43,43,0.999377276,0.083423744,0.129906621,0.028569912,0.049136597,0.032448706,0.004418257,5.18e-72,0.001738132,0.005208394,0.028494075,0.019672493,0.028569912,0.019452387,0.190377137
47,47,0.968599452,0.0,1.18e-18,0.0,0.0,0.013274669,0.014727547,0.0,0.000869066,0.001203718,0.0,0.0,0.0,0.001203718,0.156781646
53,53,0.999377478,0.035405171,0.184343823,0.019130885,0.034377287,0.039823327,0.025036814,2.56e-72,0.0,0.038424599,0.019768819,0.003678596,0.019130885,0.04625648,0.145583149
54,54,0.968600158,0.0,1.18e-18,0.0,0.0,0.02064929,0.022091309,0.0,0.001738132,0.003125036,0.0,0.0,0.0,0.003125036,0.078392159
57,57,0.999377579,0.0,1.18e-18,0.0,0.0,0.008849873,0.010309267,0.0,0.018742855,3.69e-05,0.0,0.0,0.0,3.69e-05,0.123186148
61,61,0.968600865,0.021004841,0.006997591,0.027390033,0.017075187,0.050147795,0.039764361,3.78e-79,0.002896886,0.00619606,0.027946112,0.004518276,0.027390033,0.017199274,0.011200995
64,64,0.99937768,0.004333608,1.22e-18,3.83e-05,0.002089929,0.004425101,0.002945505,4.2399999999999996e-89,0.000869066,1.03e-19,3.83e-05,0.010955819,3.83e-05,0.002129654,0.279965296
67,67,0.99937778,0.002600163,0.000209928,0.000674216,0.001880932,0.014749593,0.014727547,3.03e-87,0.014840335,0.012774454,0.000665986,0.000519802,0.000674216,0.013120137,0.223972629
68,68,0.968601571,0.002166804,3.49e-08,0.001217803,0.001044731,0.014749593,0.014727547,2.1099999999999998e-89,0.035194065,4.61e-05,0.001218164,0.002199161,0.001217803,0.000916446,0.100789154
72,72,0.968601974,0.009863278,0.00097534,0.009733996,0.006020997,0.017699441,0.013254795,5.3e-84,0.0,0.004915181,0.009989787,0.010835865,0.009733996,0.010617408,0.223972629
73,73,0.999377881,0.013389517,0.001529203,0.003969448,0.013561961,0.051622743,0.045655371,6.52e-78,0.003041731,0.006412112,0.003856816,0.00227913,0.003969448,0.008284819,0.167980143
74,74,0.968602075,0.024776323,0.075405117,0.00119252,0.032363201,0.017699441,0.008836514,7.11e-73,0.0,0.017196805,0.001289821,0.001439451,0.00119252,0.017929067,0.0
75,75,0.968602176,0.0,1.18e-18,0.0,0.0,0.026548986,0.027982319,0.0,0.0,0.01416606,0.0,0.0,0.0,0.01416606,0.011200995
77,77,0.999377982,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.0,1.02e-19,0.0,0.0,0.0,0.0,0.033597989
78,78,0.96860258,0.028294532,0.091359083,0.000450882,0.031290538,0.011799745,0.002945505,2.46e-71,0.004779862,0.003171333,0.00043837,0.001559405,0.000450882,0.003635073,0.257568302
84,84,0.968603185,0.0,1.18e-18,0.0,0.0,0.036873478,0.038291609,0.0,0.0,0.040859118,0.0,0.0,0.0,0.040859118,0.134384645
85,85,0.968603286,0.011267369,0.096665905,0.000420121,0.005374112,0.013274669,0.007363762,3.11e-87,0.0,0.00667446,0.000414344,0.002399085,0.000420121,0.007290208,0.111987651
88,88,0.999378184,0.020718957,4.24e-05,0.0,0.010240664,0.011799745,0.0,5.38e-84,0.077483872,1.01e-19,0.0,0.018912783,0.0,0.003649734,0.089590656
91,91,0.968603891,0.0,1.18e-18,0.0,0.0,0.026548986,0.027982319,0.0,0.0,0.006134331,0.0,0.0,0.0,0.006134331,0.06719348
94,94,0.000819268,0.013561393,0.005808811,0.010155382,0.02775705,0.007374949,0.002945505,8.190000000000001e-72,0.0,0.002662068,0.010200542,0.00851675,0.010155382,0.008032501,0.548729604
97,97,0.999378386,0.041386613,8.19e-14,0.0,0.708515341,0.001475253,0.0,4.41e-07,0.002824464,1.01e-19,0.0,0.130130342,0.0,0.025112175,0.022399492
105,105,0.999378487,0.002166804,0.000297195,0.0,0.001044731,0.001475253,0.001472424,2.1099999999999998e-89,0.0,4.69e-06,0.0,0.000359863,0.0,7.72e-05,0.011200995
113,113,0.999378688,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.0,0.001165137,0.0,0.0,0.0,0.001165137,0.0
118,118,0.968606716,0.0,1.18e-18,0.0,0.0,0.039823327,0.041237114,0.0,0.0,0.012228383,0.0,0.0,0.0,0.012228383,0.011200995
122,122,0.999378789,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.002607198,1.02e-19,0.0,0.0,0.0,0.0,0.0
125,125,0.968607423,0.0,1.18e-18,0.0,0.0,0.094395589,0.095729023,0.0,0.000869066,0.103466097,0.0,0.0,0.0,0.103466097,0.0
126,126,0.999378991,0.0,1.18e-18,0.0,0.0,0.008849873,0.010309267,0.0,0.031141528,0.008169231,0.0,0.0,0.0,0.008169231,0.0
127,127,0.968607625,0.052037405,0.144114972,0.031308915,0.043428986,0.072271704,0.051546381,2.24e-72,0.0,0.074889761,0.029758605,0.006797406,0.031308915,0.087382191,0.0
132,132,0.999379092,0.002166804,2.76e-11,2.49e-06,0.001044731,0.001475253,0.001472424,2.1099999999999998e-89,0.004779862,6.94e-09,2.5e-06,0.004398322,2.49e-06,0.000848775,0.011200995
137,137,0.968608633,0.007954331,0.00218033,0.004888067,0.006400411,0.010324821,0.007363762,2.97e-84,0.021885976,0.013061263,0.004889516,0.005317971,0.004888067,0.015877654,0.011200995
139,139,0.968608835,0.057590965,0.221615854,0.002680009,0.030835048,0.026548986,0.001472424,6.75e-78,0.064586081,0.003533992,0.002617577,0.010276079,0.002680009,0.006486958,0.011200995
142,142,0.999379294,0.03927502,0.185317812,0.038725293,0.03473737,0.045723023,0.027982319,6.1999999999999995e-74,0.394326953,0.048775723,0.040254204,0.002718962,0.038725293,0.063760465,0.0
143,143,0.968609138,0.055156841,0.027023668,0.0130208,0.027791636,0.054572591,0.030927824,5e-81,0.228017435,0.007230023,0.01306681,0.006357574,0.0130208,0.013233179,0.403148953
145,145,0.968609441,0.018535249,0.000399862,0.012346584,0.009404696,0.017699441,0.007363762,1.4699999999999998e-82,0.0,0.00375776,0.012350243,0.059693221,0.012346584,0.019798842,0.06719348
146,146,0.999379395,0.021022476,0.102186707,0.009228334,0.025871143,0.016224517,0.007363762,2.42e-73,0.071328584,0.007500087,0.009231069,0.008036933,0.009228334,0.0124307,0.033597989
148,148,0.968609743,0.0,1.18e-18,0.0,0.0,0.025074062,0.026509567,0.0,0.0,0.016129432,0.0,0.0,0.0,0.016129432,0.0
150,150,0.968609945,0.018905463,0.068051703,0.001740321,0.021763419,0.008849873,0.002945505,1.05e-76,0.0,0.004228444,0.001749266,0.0023591,0.001740321,0.005322593,0.0
151,151,0.999379496,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.0,2.35e-05,0.0,0.0,0.0,2.35e-05,0.291163793
152,152,0.968610147,0.105473947,0.07399209,0.133755646,0.062740264,0.103245134,0.06774668,1.5e-71,0.0,0.073066669,0.132877231,0.041662901,0.133755646,0.129923582,0.246369805
154,154,0.968610046,0.027820541,0.127893531,0.002587305,0.016581435,0.016224517,0.001472424,8.9e-81,0.0,0.000746922,0.002596502,0.010156124,0.002587305,0.003655907,0.17917864
156,156,0.999379597,0.004333608,1.18e-18,3.32e-06,0.002089929,0.002950177,0.001472424,4.2399999999999996e-89,0.0,1.06e-09,3.33e-06,0.017513317,3.32e-06,0.003379669,0.078392159
158,158,0.999379798,0.013850191,9.16e-05,0.005646561,0.009673398,0.013274669,0.007363762,3.0899999999999998e-83,0.0,0.000918221,0.005732536,0.012755133,0.005646561,0.005463027,0.033597989
160,160,0.999380101,0.016951869,3.43e-05,0.001900447,0.05161978,0.010324821,0.004418257,1.39e-45,0.359845148,2.96e-06,0.00190101,0.04313314,0.001900447,0.009022636,0.492736937
161,161,0.999380202,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.0,1.67e-05,0.0,0.0,0.0,1.67e-05,0.022399492
162,162,0.999380303,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.0,0.000557877,0.0,0.0,0.0,0.000557877,0.089590656
163,163,0.999380404,0.0052855,0.000102397,0.0,0.006287204,0.001475253,0.0,1.81e-81,0.0,1.01e-19,0.0,0.015194202,0.0,0.002932133,0.011200995
164,164,0.999380505,0.0,1.18e-18,0.0,0.0,0.007374949,0.008836514,0.0,0.000869066,0.005779388,0.0,0.0,0.0,0.005779388,0.055994983
165,165,0.999380706,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.000869066,0.001504647,0.0,0.0,0.0,0.001504647,0.011200995
166,166,0.999380807,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.0,0.002831823,0.0,0.0,0.0,0.002831823,0.033597989
167,167,0.99938111,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.0,0.000617291,0.0,0.0,0.0,0.000617291,0.06719348
168,168,0.999381211,0.0,1.18e-18,0.0,0.0,0.002950177,0.004418257,0.0,0.000869066,8.56e-06,0.0,0.0,0.0,8.56e-06,0.41434745
169,169,0.999381614,0.006471359,0.000136169,0.0,0.014936865,0.001475253,0.0,2.6400000000000002e-77,0.0,1.01e-19,0.0,0.035792741,0.0,0.006907179,0.011200995
170,170,0.999381715,0.039759109,0.002388367,0.005140899,0.133783681,0.014749593,0.007363762,4.12e-45,0.0,0.003634302,0.004973818,0.014914309,0.005140899,0.008364295,0.0
171,171,0.999381917,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.0,0.000685193,0.0,0.0,0.0,0.000685193,0.123186148
175,175,0.958704879,0.0,1.18e-18,0.0,0.0,0.025074062,0.026509567,0.0,0.001738132,0.000743836,0.0,0.0,0.0,0.000743836,0.0
176,176,0.999382119,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.0,1.01e-19,0.0,0.0,0.0,0.0,0.033597989
177,177,0.000820075,0.0,1.18e-18,0.0,0.0,0.017699441,0.019145805,0.0,0.0,0.000400468,0.0,0.0,0.0,0.000400468,0.257568302
186,186,0.9994702,0.0,1.18e-18,0.0,0.0,0.02802391,0.029455071,0.0,0.0,0.000902788,0.0,0.0,0.0,0.000902788,0.167980143
188,188,0.999382422,0.004815116,1.23e-18,3.32e-06,0.002351178,0.002950177,0.001472424,3.2899999999999995e-48,0.0,1.01e-19,3.33e-06,0.056791129,3.32e-06,0.010960622,0.022399492
193,193,0.958706897,0.002166804,2.81e-07,0.003455358,0.001044731,0.042773175,0.042709866,2.1099999999999998e-89,0.0,0.000825627,0.003456382,0.004398322,0.003455358,0.002939849,0.022399492
197,197,0.958707301,0.002166804,0.000157784,0.009186196,0.001044731,0.005900025,0.00589101,2.1099999999999998e-89,0.0,0.001543228,0.009188918,0.002199161,0.009186196,0.005331852,0.324759292
199,199,0.999382623,0.0,1.18e-18,0.0,0.0,0.010324821,0.011782043,0.0,0.000869066,0.003765476,0.0,0.0,0.0,0.003765476,0.0
200,200,0.958707603,0.0,1.18e-18,0.0,0.0,0.042773175,0.044182619,0.0,0.0,0.025149907,0.0,0.0,0.0,0.025149907,0.044796486
209,209,0.999470301,0.0,1.18e-18,0.0,0.0,0.005900025,0.007363762,0.0,0.0,7.04e-06,0.0,0.0,0.0,7.72e-06,0.089590656
211,211,0.958708915,0.002648312,1.18e-18,0.0,0.001567097,0.001475253,0.001472424,3.2899999999999995e-48,0.001738132,1.02e-19,0.0,0.055219328,0.0,0.010656066,0.089590656
212,212,0.999382926,0.002166804,1.19e-18,3.32e-06,0.001044731,0.002950177,0.002945505,2.1099999999999998e-89,0.0,1e-19,3.33e-06,0.008756658,3.32e-06,0.001689835,0.190377137
213,213,0.958709016,0.004333608,0.000480915,0.001230445,0.002089929,0.029498834,0.027982319,4.2399999999999996e-89,0.000869066,0.004575671,0.001188658,0.001239527,0.001230445,0.005257777,0.190377137
222,222,0.958710428,0.013217489,0.004647049,0.017782452,0.006269786,0.047197947,0.039764361,1.63e-87,0.0,0.015303188,0.017745571,0.003238764,0.017782452,0.0224329,0.167980143
224,224,0.999383229,0.0,1.18e-18,0.0,0.0,0.004425101,0.00589101,0.0,0.0,8.41e-07,0.0,0.0,0.0,0.0,0.089590656
228,228,0.99938333,0.002166804,1.66e-05,0.001508559,0.001044731,0.001475253,0.001472424,2.1099999999999998e-89,0.0,1.01e-19,0.00148793,0.001279512,0.001508559,0.000795534,0.0
236,236,0.958711841,0.0,1.18e-18,0.0,0.0,0.014749593,0.0162003,0.0,0.0,0.011815724,0.0,0.0,0.0,0.011815724,0.0
238,238,0.999383531,0.002166804,1.18e-18,3.32e-06,0.001044731,0.002950177,0.002945505,2.1099999999999998e-89,0.0,1.01e-19,3.33e-06,0.008756658,3.32e-06,0.001689835,0.0
240,240,0.958712245,0.014595659,3.57e-07,2.49e-05,0.009404696,0.008849873,0.001472424,7.05e-81,0.000869066,6.23e-09,2.5e-05,0.041687292,2.49e-05,0.008053798,0.0
242,242,0.958712446,0.004333608,0.000252075,0.000308454,0.002089929,0.026548986,0.025036814,4.2399999999999996e-89,0.0,0.003533992,0.000305173,0.001439451,0.000308454,0.00392412,0.0
243,243,0.999383632,0.0,1.18e-18,0.0,0.0,0.004425101,0.00589101,0.0,0.0,2.55e-05,0.0,0.0,0.0,2.55e-05,0.0
246,246,0.95871285,0.004550283,0.000108881,0.005646561,0.002089929,0.016224517,0.014727547,1.54e-87,0.167344779,0.01119959,0.005816838,0.006477528,0.005646561,0.014548395,0.0
250,250,0.958713254,0.0,1.18e-18,0.0,0.0,0.076696476,0.078055971,0.0,0.0,0.01731602,0.0,0.0,0.0,0.01731602,0.011200995
252,252,0.958713455,0.002166804,1.92e-07,4.51e-05,0.001044731,0.017699441,0.017673052,2.1099999999999998e-89,0.006083461,0.000748466,4.51e-05,0.000879664,4.51e-05,0.000934733,0.0
254,254,0.999383834,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.000869066,6.02e-10,0.0,0.0,0.0,0.0,0.011200995
257,257,0.95871396,0.0,1.18e-18,0.0,0.0,0.02064929,0.022091309,0.0,0.0,0.007811511,0.0,0.0,0.0,0.007811511,0.145583149
258,258,0.999383935,0.0,1.18e-18,0.0,0.0,0.005900025,0.007363762,0.0,0.000869066,0.000554019,0.0,0.0,0.0,0.000554019,0.022399492
260,260,0.958714262,0.011804097,0.000362038,0.01331577,0.011069545,0.010324821,0.00589101,1.1000000000000001e-79,0.0,0.003819489,0.013361867,0.007717055,0.01331577,0.01019302,0.291163793
263,263,0.958714565,0.0,1.18e-18,0.0,0.0,0.041298251,0.042709866,0.0,0.0,0.016238769,0.0,0.0,0.0,0.016238769,0.033597989
269,269,0.999384137,0.0,1.18e-18,0.0,0.0,0.011799745,0.013254795,0.0,0.0,0.000389665,0.0,0.0,0.0,0.000389665,0.022399492
270,270,0.958715171,0.0,1.18e-18,0.0,0.0,0.016224517,0.017673052,0.0,0.0,0.001867306,0.0,0.0,0.0,0.001867306,0.022399492
274,274,0.958715675,0.004838151,1.17e-18,0.0,0.030216594,0.0,0.0,1.0599999999999999e-67,0.004779862,1.01e-19,0.0,0.063369018,0.0,0.012228769,0.268766799
278,278,0.979100707,0.0,1.18e-18,0.0,0.0,0.017699441,0.019145805,0.0,0.001738132,0.007384345,0.0,0.0,0.0,0.007384345,0.0
279,279,0.958716179,0.0,1.18e-18,0.0,0.0,0.087020945,0.088365237,0.0,0.0,0.017050044,0.0,0.0,0.0,0.017050044,0.100789154
285,285,0.958716886,0.0,1.18e-18,0.0,0.0,0.079646324,0.081001475,0.0,0.001738132,0.029045246,0.0,0.0,0.0,0.029045246,0.0
286,286,0.958716987,0.013522422,1.19e-18,0.0,0.42896446,0.0,0.0,9.71e-12,0.0,1.01e-19,0.0,0.052038942,0.0,0.010042324,0.235171308
287,287,0.99938454,0.0,1.18e-18,0.0,0.0,0.712389471,0.712812955,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.111987651
290,290,0.95871739,0.012805798,0.001429238,0.029412682,0.006510939,0.023599138,0.017673052,8.43e-86,0.0,0.009119551,0.029674303,0.002998856,0.029412682,0.020516288,0.123186148
292,292,0.999384641,0.002166804,1.18e-18,0.004550959,0.001044731,0.001475253,0.001472424,2.1099999999999998e-89,0.0,1.01e-19,0.004552308,0.008756658,0.004550959,0.003356521,0.011200995
294,294,0.958717794,0.0,1.18e-18,0.0,0.0,0.067846908,0.069219433,0.0,0.000869066,0.04563101,0.0,0.0,0.0,0.04563101,0.0
298,298,0.958718197,0.01112446,1.18e-18,0.0,0.205271292,0.0,0.0,1.35e-37,0.0,1.01e-19,0.0,0.105125484,0.0,0.02028681,0.36955328
299,299,0.999384742,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.0,1.77e-06,0.0,0.0,0.0,0.0,0.302362298
305,305,0.999470705,0.007172114,3.19e-06,3.32e-06,0.003134893,0.004425101,0.001472424,7.52e-86,0.0,4.02e-08,3.33e-06,0.016473714,3.32e-06,0.003179049,0.313560795
318,318,0.958720417,0.002166804,1.85e-05,0.007121409,0.001044731,0.032448706,0.0324006,2.1099999999999998e-89,0.001738132,0.010446649,0.007039217,0.002199161,0.007121409,0.01346366,0.022399492
322,322,0.958720821,0.0,1.18e-18,0.0,0.0,0.013274669,0.014727547,0.0,0.0,0.00121915,0.0,0.0,0.0,0.00121915,0.0
323,323,0.979100908,0.0,1.18e-18,0.0,0.0,0.011799745,0.013254795,0.0,0.0,0.009606285,0.0,0.0,0.0,0.009606285,0.033597989
324,324,0.999385348,0.0,1.18e-18,0.0,0.0,0.0781714,0.079528723,0.0,0.0,0.048943857,0.0,0.0,0.0,0.048943857,0.212774131
325,325,0.999470806,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.0,2.15e-12,0.0,0.0,0.0,0.0,0.492736937
326,326,0.958721123,0.0,1.18e-18,0.0,0.0,0.02802391,0.029455071,0.0,0.000869066,0.022159903,0.0,0.0,0.0,0.022159903,0.06719348
330,330,0.958721729,0.0,1.18e-18,0.0,0.0,0.016224517,0.017673052,0.0,0.0,0.003750044,0.0,0.0,0.0,0.003750044,0.0
339,339,0.99938565,0.0,1.18e-18,0.0,0.0,0.11504455,0.11634758,0.0,0.0,0.026452006,0.0,0.0,0.0,0.026452006,0.0
342,342,0.958722939,0.0,1.18e-18,0.0,0.0,0.036873478,0.038291609,0.0,0.000869066,0.008090141,0.0,0.0,0.0,0.008090141,0.0
344,344,0.999385751,0.0,1.18e-18,0.0,0.0,0.008849873,0.010309267,0.0,0.0,0.000613433,0.0,0.0,0.0,0.000613433,0.201575634
347,347,0.958723343,0.0,1.18e-18,0.0,0.0,0.022124214,0.023564062,0.0,0.000869066,0.004143567,0.0,0.0,0.0,0.004143567,0.06719348
349,349,0.999385852,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.000869066,1.02e-19,0.0,0.0,0.0,0.0,0.48153844
361,361,0.958724856,0.0,1.18e-18,0.0,0.0,0.022124214,0.023564062,0.0,0.428755686,0.001311744,0.0,0.0,0.0,0.001311744,0.0
365,365,0.95872526,0.0,1.18e-18,0.0,0.0,0.022124214,0.023564062,0.0,0.014556854,0.008769238,0.0,0.0,0.0,0.008769238,0.0
366,366,0.999386155,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.002607198,1.01e-19,0.0,0.0,0.0,0.0,0.0
367,367,0.958725462,0.0,1.18e-18,0.0,0.0,0.035398554,0.036818857,0.0,0.0,0.036070559,0.0,0.0,0.0,0.036070559,0.0
369,369,0.958725563,0.0,1.18e-18,0.0,0.0,0.035398554,0.036818857,0.0,0.038919668,0.006489273,0.0,0.0,0.0,0.006489273,0.022399492
372,372,0.958725966,0.002166804,8e-07,0.006826439,0.001044731,0.032448706,0.0324006,2.1099999999999998e-89,0.000869066,0.020109494,0.006828462,0.004398322,0.006826439,0.023458298,0.011200995
380,380,0.958726773,0.0,1.18e-18,0.0,0.0,0.014749593,0.0162003,0.0,0.0,1.16e-05,0.0,0.0,0.0,1.16e-05,0.515133931
381,381,0.999386457,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.0,0.002222248,0.0,0.0,0.0,0.002222248,0.324759292
386,386,0.999386558,0.0,1.18e-18,0.0,0.0,0.02064929,0.022091309,0.0,0.008690659,0.004074122,0.0,0.0,0.0,0.004074122,0.0
387,387,0.95872748,0.0,1.18e-18,0.0,0.0,0.030973782,0.0324006,0.0,0.034994387,0.000794762,0.0,0.0,0.0,0.000794762,0.0
396,396,0.999386861,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.0,8.41e-06,0.0,0.0,0.0,8.41e-06,0.011200995
397,397,0.999386962,0.002166804,0.045885282,3.32e-06,0.001044731,0.001475253,0.001472424,2.1099999999999998e-89,0.0,9.41e-05,3.33e-06,4e-05,3.32e-06,0.00010031,0.033597989
398,398,0.999387063,0.0,1.18e-18,0.0,0.0,0.002950177,0.004418257,0.0,0.0,0.001481499,0.0,0.0,0.0,0.001481499,0.022399492
399,399,0.999387265,0.0,1.18e-18,0.0,0.0,0.010324821,0.011782043,0.0,0.026099911,0.002353422,0.0,0.0,0.0,0.002353422,0.167980143
402,402,0.999387365,0.0,1.18e-18,0.0,0.0,0.019174366,0.020618557,0.0,0.0,0.020949781,0.0,0.0,0.0,0.020949781,0.167980143
404,404,0.999387567,0.0,1.18e-18,0.0,0.0,0.016224517,0.017673052,0.0,0.0,0.005725375,0.0,0.0,0.0,0.005725375,0.279965296
405,405,0.999387668,0.002166804,1.17e-18,3.32e-06,0.001044731,0.001475253,0.001472424,2.1099999999999998e-89,0.0,1.01e-19,3.33e-06,0.008756658,3.32e-06,0.001689835,0.011200995
406,406,0.99938787,0.0,1.18e-18,0.0,0.0,0.005900025,0.007363762,0.0,0.0,0.002075641,0.0,0.0,0.0,0.002075641,0.223972629
407,407,0.999387971,0.0,1.18e-18,0.0,0.0,0.008849873,0.010309267,0.0,0.0,0.008019075,0.0,0.0,0.0,0.008019075,0.089590656
408,408,0.999388273,0.0,1.18e-18,0.0,0.0,0.004425101,0.00589101,0.0,0.041435821,0.002754662,0.0,0.0,0.0,0.002754662,0.0
409,409,0.999388374,0.020039273,0.001556221,0.000530945,0.067535249,0.007374949,0.001472424,3.68e-61,0.0,6.27e-05,0.000535318,0.014034644,0.000530945,0.002966238,0.055994983
410,410,0.999388475,0.010798057,0.000160215,4.97e-06,0.012967396,0.007374949,0.002945505,7.01e-73,0.0,1.09e-05,4.97e-06,0.014354522,4.97e-06,0.002785526,0.123186148
411,411,0.999388677,0.004333608,1.27e-18,0.0,0.002089929,0.001475253,0.0,4.2399999999999996e-89,0.0,1.01e-19,0.0,0.005837772,0.0,0.001126556,0.156781646
412,412,0.999389182,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.001738132,0.001574092,0.0,0.0,0.0,0.001574092,0.0
413,413,0.999471613,0.0,1.18e-18,0.0,0.0,0.014749593,0.0162003,0.0,0.0,0.0115962,0.0,0.0,0.0,0.0115962,0.022399492
414,414,0.999389383,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.027133479,0.000529327,0.0,0.0,0.0,0.000529327,0.055994983
418,418,0.999471714,0.002383488,1.18e-18,0.0,0.001394084,0.0,0.0,1.52e-87,0.042291437,1.01e-19,0.0,0.011235712,0.0,0.002168235,0.06719348
421,421,0.999471915,0.002166804,1.17e-18,0.0,0.001044731,0.0,0.0,2.1099999999999998e-89,0.0,1.01e-19,0.0,0.008756658,0.0,0.001689835,0.011200995
424,424,0.010597105,0.004788635,1.23e-18,0.0,0.00290269,0.001475253,0.0,7.36e-86,0.04510452,1.01e-19,0.0,0.038602469,0.0,0.007449392,0.0
428,428,0.999472319,0.002166804,1.18e-18,0.0,0.001044731,0.0,0.0,2.1099999999999998e-89,0.0,1.01e-19,0.0,0.008756658,0.0,0.001689835,0.011200995
432,432,0.99947242,0.002166804,1.17e-18,0.0,0.001044731,0.0,0.0,2.1099999999999998e-89,0.00434533,1.01e-19,0.0,0.008756658,0.0,0.001689835,0.011200995
434,434,0.999472521,0.004766967,1.21e-18,0.0,0.002351178,0.001475253,0.0,3.05e-87,0.0,1.01e-19,0.0,0.010396033,0.0,0.002006196,0.100789154
450,450,0.968694192,0.065990585,0.214295672,0.019805101,0.035955796,0.054572591,0.022091309,7.48e-78,0.0,0.02880512,0.019726668,0.013434873,0.019805101,0.038635481,0.06719348
454,454,0.968694596,0.0,1.18e-18,0.0,0.0,0.029498834,0.030927824,0.0,0.034516401,0.044107921,0.0,0.0,0.0,0.044107921,0.268766799
456,456,0.959312065,0.004333608,1.2e-07,0.000159705,0.002089929,0.016224517,0.014727547,4.2399999999999996e-89,0.003476264,0.004467645,0.000159752,0.004678215,0.000159705,0.005428921,0.145583149
462,462,0.968695403,0.0,1.18e-18,0.0,0.0,0.294985479,0.296023559,0.0,0.0,0.356480619,0.0,0.0,0.0,0.356480619,0.235171308
465,465,0.999473025,0.0,1.18e-18,0.0,0.0,0.001475253,0.002945505,0.0,0.0,1.4e-09,0.0,0.0,0.0,0.0,0.100789154
